,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Inner Mongolia,Shanghai,Liaoning,Shaanxi,Zhejiang,Heilongjiang,Anhui,Hubei,Hainan,Sichuan,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.40786047412,0.37152424548,0.3579937722,0.29767041216,0.2001382506,0.19844694144000002,0.17645992235999997,0.16574829768,0.14094243,0.13925112084000002,0.11500902287999999,0.11049886512,0.0958408524,0.09358577352,0.0930220038,0.0873843066,0.07836399107999999,0.07272629387999999,0.07159875444,0.05581320228,0.05299435367999999,0.047920426200000005,0.043974038160000006,0.03833634096000001,0.0338261832,0.02762471628,0.019168170480000003,0.0169130916,0.009584085240000002,0.00338261832,
Tianjin,1.0997195882400002,,0.21551654124000005,0.10330544952,0.041983741800000016,0.07684296984000001,0.06590175227999999,0.05088938400000001,0.027734714280000003,0.06437507076000001,0.027734714280000003,0.031296971160000006,0.04071150720000001,0.033586993440000004,0.02137354128,0.01933796592,0.02722582044000001,0.017047943640000004,0.030788077320000006,0.017556837480000004,0.018829072080000002,0.013994580600000004,0.01221345216,0.02315466972000001,0.012976792920000002,0.01246789908,0.009414536040000004,0.007124513760000001,0.00305336304,0.00101778768,0.4114406696400001
Hebei,,1.103211738,0.9256750145999999,0.4266726192,0.09205607880000001,0.4763536776,0.17607551579999997,0.24840529200000006,0.046758643200000005,0.2316014046,0.11470479660000002,0.0905948712,0.0686767572,0.08548064459999999,0.07452158760000001,0.040183209,0.0555258888,0.0445668318,0.052603473600000006,0.031415963400000003,0.0343383786,0.0336077748,0.032877171000000004,0.024840529200000003,0.0241099254,0.0211875102,0.013150868400000001,0.0153426798,0.005844830400000001,0.0007306038000000001,2.7003116448
Shanxi,0.4516409664,0.048855393,0.11920715892000001,0.33373661796,0.040169989800000014,,0.0727402518,0.17457660431999994,0.02258204832,0.01823934672,0.39822573672,0.034958747879999995,0.008685403199999999,0.0282275604,0.03170172168,0.02627334468,0.041689935359999986,0.01867361688,0.006731187479999999,0.016719401159999998,0.01367951004,0.017370806399999997,0.0097710786,0.01823934672,0.008251133039999999,0.007816862879999999,0.005428377,0.00998821368,0.004559836679999999,0.0006514052399999999,0.1769650902
Inner Mongolia,0.23944006944,0.03853878912,0.05816502431999999,0.035862484319999985,0.02105359776,0.18145346544,0.022124119680000002,,0.011597320800000002,0.22320382032,0.22980537216,0.016236249119999997,0.11365374384000002,0.011062059840000001,0.008207334719999999,0.01231100208,0.009991537920000002,0.0069583924800000006,0.13131735551999998,0.005887870559999999,0.0055310299200000005,0.0055310299200000005,0.00410366736,0.0526339944,0.00392524704,0.0033899860799999995,0.00606629088,0.15629620032,0.0026763048,,0.1641466944
Liaoning,0.25095677256000004,0.06953320584,0.13644251712000002,0.05472694368,0.051540786,0.02755089288,0.06484767983999999,0.2520812988,0.033548366159999995,,0.02698862976,0.03992068152,0.17280219888,0.02342763,0.01949178816,0.030924471600000003,0.02117857752,0.0178049988,0.33154781976,0.017617577759999996,0.01555594632,0.01143268344,0.01105784136,0.008246525759999998,0.01368173592,0.0121823676,0.006559736399999999,0.004498104960000001,0.0018742104,0.00037484207999999997,0.14037835896
Jilin,0.05404825763999999,0.023372219519999998,0.059441846759999986,0.02303512019999999,0.034271764199999985,0.0101129796,0.033035733359999986,0.13326659783999995,0.02011359276,0.29597320296,0.01146137688,0.02708031204,0.22664310948,0.012697407719999994,0.00887694876,0.0207877914,0.007416185039999999,0.009438780959999995,,0.00988824672,0.006741986399999999,0.007079085719999999,0.005955421319999999,0.00382045896,0.005393589119999999,0.004494657599999999,0.00191022948,0.0013483972799999994,0.0008989315199999998,0.00033709931999999985,0.06270047352000001
Heilongjiang,0.05693421312000001,0.0319208364,0.06823732896000001,0.023024865600000003,0.03997953936,0.015280138080000002,0.03286276272,0.11638022976,0.02543201064,0.13019514912,0.01308231,0.023548158,,0.0120357252,0.009314604720000001,0.028781082000000003,0.01067516496,0.009419263200000002,0.2543201064,0.00900062928,0.0109891404,0.0074307520799999985,0.006070191839999999,0.00460497312,0.0083726784,0.00690745968,0.0027211204800000003,0.0017791941600000002,0.0020931696,0.00041863392,0.08278485767999999
Shanghai,0.049234521600000004,0.028720137600000008,0.16001219519999998,0.1548835992,0.2066824188,0.0251301204,2.0996472024,0.0117957708,,0.030771576,0.048208802399999987,1.0631579508,0.0292329972,0.389773296,0.08718613199999999,0.0441059256,0.05128596,0.0600045732,0.02564298,0.0979561836,0.048721662,0.0456445044,0.11385483119999999,0.016411507199999998,0.0302587164,0.027694418399999997,0.008205753599999999,0.0066671748,0.003590017200000001,0.0010257191999999999,0.14821642440000002
Jiangsu,0.14614436664000002,0.05086792872,0.867984498,0.44650737432,0.22365740088000002,0.06701647752,,0.02099311344,2.06136225432,0.0565199208,0.10738784952,1.2038743130399998,0.03714166224,1.6188920172,0.17036718984000002,0.040371372,0.07105361472,0.09689129279999999,0.03068224272,0.11061755928,0.06943875984,0.05894220312000001,0.1453369392,0.037949089679999985,0.04117879944,0.06782390496,0.012111411599999998,0.011303984160000002,0.006459419520000001,0.0008074274400000001,0.17278947215999998
Zhejiang,0.08032795595999999,0.02349729324,0.18196741044,0.32404406724,0.25081994412,0.032240472119999995,1.1120230638,0.01420766568,0.9098370521999998,0.036065612879999986,0.06502739292000001,,0.027868882680000002,0.61967280312,0.1721313342,0.04043720232,0.08961758351999997,0.15464497644000003,0.0245901906,0.28032817283999995,0.09672141636,0.08743178880000001,0.41475454812,0.02295084456,0.048633932519999985,0.2158472286,0.00928962756,0.007103832839999998,0.00382514076,0.0005464486799999999,0.10491814655999998
Anhui,0.06267386663999999,0.02075563116,0.19290527784000003,0.4602866439600001,0.10621999476,0.022790496960000003,1.5937068945599997,0.00732551688,0.36993860244000004,0.01668589956,0.038662450200000004,0.5652857192399999,0.00976735584,,0.13511508912,0.017499845880000003,0.02197655064,0.04842980604,0.00895340952,0.05005769868,0.02319747012,0.01953471168,0.12249892115999998,0.00976735584,0.01872076536,0.01953471168,0.004883677919999999,0.004069731599999999,0.00244183896,0.0012209194799999998,0.08790620256000001
Fujian,0.02592599724,0.011603243519999999,0.04840728156,0.07125116724,0.39686718851999997,0.015047956440000001,0.09554545836,0.006708125160000001,0.08774952911999999,0.01522925712,0.02792030472,0.26705590164000004,0.00924633468,0.050764190399999985,0.060373126439999994,0.02157478092,0.04423736592,0.06726255228,0.007614628559999999,,0.03879834552,0.04695687612,0.21012748812,0.00924633468,0.03952354824,0.07052596452000001,0.00598292244,0.00217560816,0.0012691047599999998,0.0005439020399999999,0.04967638632
Jiangxi,0.02542190832,0.00742409712,0.040495075200000015,0.056243160000000014,0.51698712672,0.008323987679999999,0.11226134736,0.0029246443199999997,0.10506222287999999,0.00967382352,0.021822346080000003,0.34713278352,0.005849288639999999,0.1169857728,0.16715467152000002,0.0213724008,0.01934764704,0.28976476032000004,0.00472442544,0.19415138832000003,0.02452201776,0.016872948000000002,,0.007199124480000002,0.04431961008,0.03284600544,0.0011248632,0.0022497264,0.0011248632,0.0004499452800000001,0.04027010256
Shandong,0.86057238888,0.20278733616000005,,0.71026519248,0.13960736208000002,0.1222838208,0.94668057936,0.05757529896000001,0.16253557848,0.13196462328,0.10903640688000002,0.21297765456,0.10037463624,0.25119134856,0.10241269992,0.04534691688,0.09782705664,0.06674658552000001,0.07489884024,0.059103846720000006,0.051970623840000015,0.04534691688,0.05655626712,0.025475796,0.03617563032,0.030061439280000005,0.015285477600000003,0.01222838208,0.0071332228800000015,0.0010190318400000002,0.34799937336000003
Henan,0.3674015107200001,0.06456808727999999,0.6238550404800002,,0.23735592648,0.31556515896000004,0.39968555436,0.028646404920000007,0.13004558424,0.036376387200000006,0.25190648136,0.2605458733200001,0.020007012960000004,0.5074506014400001,0.41469081408,0.049108122720000015,0.07775452764000003,0.10640093256000001,0.015914669399999998,0.06502279212,0.0431969598,0.04728930336,0.07002454536000001,0.036376387200000006,0.04092343560000001,0.033193453319999996,0.024099356520000004,0.0136411452,0.01182232584,0.003182933880000001,0.24144827004
Hubei,0.05134663871999999,0.015058389239999997,0.07998226416000001,0.35893275336,0.2801847834,0.0259201782,0.13330377359999998,0.007652624039999998,0.07331707548,0.01258980084,0.0888691824,0.12762602027999995,0.0098743536,0.13281005592,,0.02740133124,0.045915744239999993,0.37497857795999995,0.006665188680000001,0.053321509440000005,0.03727568484,0.14416556256,0.17156689379999998,0.017033259959999998,0.044681450039999994,0.03974427324,0.007652624039999998,0.005677753319999999,0.00394974144,0.0012342942,0.08294457023999999
Hunan,0.02870753076,0.00992690316,0.046414979639999986,0.08022010932000001,0.8470063047599999,0.0160976808,0.07565909976,0.006707367,0.05178087323999999,0.0107317872,0.031122182879999995,0.10275686243999999,0.011000081879999998,0.04265885411999999,0.35441727228000003,0.03782954988,0.03326854032,,0.00482930424,0.0509759892,0.05017110516,0.06653708064,0.25997754492,0.007512251040000002,0.19961124192,0.17251347924000002,0.005634188279999999,0.00321953616,0.00321953616,0.00187806276,0.06278095512
Guangdong,0.07628719644,0.03230178588,0.11821079088,0.2542906548,,0.034363602,0.21236706036,0.016494528959999998,0.17250528203999996,0.04261086648,0.10102898988,0.23779612584,0.04742177076,0.10858898232000001,0.33263966735999995,0.19862161956,0.19174889916,1.04534077284,0.03573814608,0.39105779075999997,0.1821270906,0.16013438532,0.5580648964799999,0.0240545214,1.5779766038399998,0.25841428704,0.013745440800000001,0.009621808559999999,0.00549817632,0.00206181612,0.18899981100000002
Guangxi,0.02196144576,0.005117230079999999,0.032622341760000007,0.0383792256,1.1268567072,0.007462627199999999,0.0362470464,0.00405114048,0.0255861504,0.01108733184,0.0170574336,0.03987175104,0.00980802432,0.01854995904,0.04243036608,0.042856801919999986,0.031129816319999996,0.19957197312,0.006609755520000001,0.028997637120000006,0.1108733184,0.0277183296,0.034967738879999995,0.00469079424,,0.16076631168,0.00191896128,0.00191896128,0.0006396537599999999,0.00021321792,0.03646026432
Hainan,0.03271070628,0.01328103864,0.028119729960000003,0.03820348152,0.17658862487999996,0.01942966764,0.032300797679999986,0.00950987952,0.033694486919999996,0.02475847944,0.02238100956,0.029103510599999993,0.02467649772,0.01196933112,0.01951164936,,0.03574402992,0.03639988368,0.016068417119999998,0.016888234319999997,0.01590445368,0.020577411719999997,0.016150398839999996,0.00647655588,0.045991744919999994,0.015248599919999998,0.00500088492,0.00196756128,0.0024594516,0.00024594516,0.06566735772000001
Chongqing,0.020788488000000004,0.00644443128,0.0291038832,0.038874472560000005,0.11496033864000002,0.012057323040000002,0.046981982879999995,0.0041576976,0.034301005200000005,0.00789962544,0.05093179560000001,0.05217910488,0.0054050068799999995,0.02016483336,0.15300327168000002,0.032430041280000016,0.8720770716000001,0.07400701727999999,0.004989237120000001,0.02785657392000001,0.08273818224000001,,0.015591366000000002,0.013928286960000005,0.029935422720000007,0.26027186976000005,0.008731164960000001,0.004573467360000001,0.003741927840000001,0.005820776640000002,0.04074543648
Sichuan,0.03034255464,0.00958185936,0.039658251240000005,0.061749760320000006,0.15304358699999998,0.02102685804,0.051369412680000004,0.007718720040000001,0.042053716080000005,0.00984802212,0.14984963388,0.06015278376,0.007186394520000002,0.02209150908,0.051369412680000004,0.046046157479999995,,0.034334996039999996,0.00452476692,0.03779511192,0.43730541468,0.8809987356000001,0.01969604424,0.06228208584,0.03832743744,0.246200553,0.01038034764,0.0061217434800000005,0.024220811159999998,0.029810229120000007,0.06148359756
