,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Inner Mongolia,Shanghai,Liaoning,Shaanxi,Zhejiang,Heilongjiang,Anhui,Hubei,Hainan,Sichuan,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Guizhou,0.01197841284,0.0033742008,0.018726814440000003,0.027162316439999997,0.15588807695999998,0.00539872128,0.041671379880000005,0.00202452048,0.022775855400000003,0.004555171080000001,0.018726814440000003,0.06832756620000001,0.00185581044,0.01383422328,0.02766844656,0.01703971404,0.22624016364,0.18153200304,0.00202452048,0.0345855582,0.32561037719999997,0.25239021984000004,0.02210101524,0.00624227148,0.16499841912000002,,0.0016871004,0.00033742008,0.00118097028,0.00118097028,0.022775855400000003
Yunnan,0.02469895740000001,0.006135409800000001,0.0281599578,0.036183186,0.124281378,0.011012274,0.0437344596,0.0044049096000000005,0.0313063218,0.011798865,0.028789230600000007,0.051128415,0.009439092,0.017619638400000002,0.0341380494,0.0166757292,0.38763204479999996,0.0556906428,0.004719546000000001,0.0297331398,,0.071579781,0.0191928204,0.006450046199999999,0.11311178580000003,0.34877444939999996,0.0033036821999999997,0.0029890458000000003,0.0023597730000000003,0.0048768642,0.0404307774
Tibet,0.0017032388400000005,0.00012734496000000006,0.0034223958,0.0067333647600000025,0.0032313783600000003,0.00113018652,0.0022603730400000003,0.0002546899200000001,0.0007003972800000001,0.0007959060000000001,0.009996579360000002,0.0012256952400000005,0.00044570736000000007,0.0021011918399999998,0.0028811797200000012,0.0007003972800000001,0.05507669520000001,0.00163956636,0.0003501986400000001,0.0007003972800000001,0.009359854559999999,0.010267187400000002,0.00057305232,0.00818191368,0.00097100532,0.0015440576400000002,0.0019738468800000004,0.00038203487999999996,0.02736324828000001,,0.002817507240000001
Shaanxi,0.08208616464,0.01548331848,0.08478960120000001,0.26346218111999997,0.08700150384000001,0.32981926032,0.09167107608,0.20619847944000003,0.043009217999999995,0.02015289072,,0.05480603208,0.009830678399999999,0.042026150160000005,0.10125598752,0.02482246296,0.19022362704,0.03096663696,0.00884761056,0.02555976384,0.03022933608,0.050873760719999994,0.019661356799999998,0.32785312464,0.019169822880000003,0.02015289072,0.02875473432,0.10912053024,0.02900050128,0.005652640079999999,0.10125598752
Gansu,0.018923414399999998,0.006128605799999999,0.0205362054,0.037631790000000005,0.0277400052,0.0119346534,0.025804656000000002,0.044082954,0.014945196599999997,0.0054834893999999995,0.319870215,0.0187083756,0.0020428686,0.009676746000000002,0.0158053518,0.0087090714,0.06784474139999999,0.0079564356,0.0024729462,0.0117196146,0.008063955,0.0148376772,0.0056985282,,0.0049458924,0.0055910088,0.0447280704,0.13203382319999998,0.1437534378,0.0044082954,0.0313956648
Qinghai,0.005292802439999999,0.0013491457199999999,0.0051544285200000005,0.015186537719999997,0.005811704639999999,0.00442796544,0.008025687359999999,0.0036323154,0.0025253240399999996,0.0007264630799999999,0.031480066800000005,0.00366690888,0.0004843087200000001,0.0026982914399999998,0.0059154850799999995,0.0025599175199999998,0.02483811864,0.0030096327599999995,0.00041512176,0.0017988609599999996,0.00290585232,0.00342475452,0.0010723978799999998,0.15560147304000002,0.0010032109199999998,0.00076105656,0.01698539868,0.010654791840000002,,0.01563625296,0.00837162216
Ningxia,0.01175587344,0.0026743219199999997,0.009750132000000002,0.01738309248,0.007800105600000001,0.00991727712,0.01097586288,0.13661327808,0.00456863328,0.0019500264000000002,0.10697287679999999,0.0070758100800000015,0.00217288656,0.0049029235200000005,0.00484720848,0.004178628,0.007967250720000001,0.004011482879999999,0.001392876,0.003008612160000001,0.00339861744,0.006128654400000001,0.00289718208,0.14903773200000006,0.0023957467200000004,0.0020057414399999997,0.006072939360000001,,0.007465815360000002,0.00022286016000000006,0.016825942080000003
Xinjiang,0.01636085304,0.0042929352,0.01965210336,0.04846246848,0.01593155952,0.006439402800000001,0.016456251600000003,0.00939675816,0.00734568912,0.0042929352,0.04707918936,0.0114478272,0.0026234604000000003,0.008442772559999999,0.00973065312,0.007154892,0.03372339096,0.010875435840000001,0.002384964,0.00634400424,0.00519922152,0.01521607032,0.0030527539200000003,0.10045468368,0.0021464676,0.00281425752,,0.008633569680000001,0.0248036256,0.0014786776800000002,0.02413583568
Taiwan,6.464447999999999e-05,6.464447999999999e-05,9.696671999999999e-05,3.232224e-05,0.00029145744000000004,9.696671999999999e-05,0.00022625568,6.464447999999999e-05,0.00100421856,9.696671999999999e-05,,0.00035610192,3.232224e-05,3.232224e-05,0.00019393343999999998,,0.0001616112,3.232224e-05,,0.0018462686400000003,3.232224e-05,6.464447999999999e-05,3.232224e-05,3.232224e-05,6.464447999999999e-05,3.232224e-05,6.464447999999999e-05,,,,0.00025913520000000003
Hong Kong,3.1557600000000004e-05,3.1557600000000004e-05,3.1557600000000004e-05,3.1557600000000004e-05,0.029222337599999995,,6.311520000000001e-05,3.1557600000000004e-05,0.0007763169599999999,3.1557600000000004e-05,6.311520000000001e-05,,3.1557600000000004e-05,3.1557600000000004e-05,,3.1557600000000004e-05,3.1557600000000004e-05,6.311520000000001e-05,,0.00045127368,,,,,3.1557600000000004e-05,,3.1557600000000004e-05,,,,0.00019250136
Macau,0.00129347928,0.00069464628,0.0012455726400000002,0.0010778994000000004,0.20638180512,0.0010299927600000002,0.00285044508,0.00033534648000000007,0.00340137144,0.0008383662,0.00043115975999999997,0.0022276587600000004,0.00050301972,0.00028743984,0.00289835172,0.0004790664000000001,0.0010299927600000002,0.0024432386400000004,0.00033534648000000007,0.00234742536,0.0010778994000000004,0.0013174326000000005,0.00043115975999999997,9.581328000000002e-05,0.0016048724400000002,0.00033534648000000007,,4.790664000000001e-05,2.3953320000000005e-05,,0.00196417224
