,Hebei,Shandong,Henan,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Anhui,Hubei,Heilongjiang,Jilin,Zhejiang,Sichuan,Guangdong,Hunan,Shanghai,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Ningxia,Guizhou,Qinghai,Xinjiang,Tibet,Beijing
Beijing,5.957669666160003,1.4172167721600002,1.04653717524,1.00783167516,0.8277022324800001,0.7994174439600001,0.5210355780000001,0.38258898156,0.3126213468000001,0.31113267372000003,0.23967636588,0.2352103466400001,0.2158575966,0.20692555812,0.18757280808000004,0.18459546192,0.15779934648000002,0.15035598107999998,0.12355986564000003,0.09527507712000002,0.08187701940000001,0.07889967324000001,0.06103559627999999,0.052103557800000005,0.05061488472000001,0.04763753856000001,0.04317151932,0.031262134680000005,0.029773461600000006,0.005954692320000002,
Tianjin,2.60154626472,0.7395465823199999,0.24398616527999994,,0.23873287463999995,0.23814917568,0.12899747015999996,0.13249966391999998,0.07354606895999999,0.08697114503999999,0.045528518879999993,0.07646456375999999,0.07062757415999997,0.05836989599999999,0.034438238639999987,0.034438238639999987,0.030352345919999992,0.038524131359999984,0.02159686152,0.026850152159999998,0.02276425944,0.01692726984,0.011090280239999998,0.00933918336,0.011090280239999998,0.00933918336,0.009922882320000001,0.005253290639999999,0.005253290639999999,0.00058369896,0.8049208658399998
Hebei,,1.99365988824,0.9773690558399999,2.45351347056,1.24837994448,0.6169822358400001,0.684734958,0.29695873968000003,0.32146504344,0.16433638992,0.1297392552,0.11676532968000003,0.10523295144,0.13118080248,0.0937005732,0.08360974223999999,0.07496045856000001,0.08072664768000001,0.047571060240000004,0.04901260752,0.036038682,0.03892177656,0.02738939832,0.02738939832,0.031714040160000005,0.031714040160000005,0.020181661920000003,0.01297392552,0.015857020080000003,0.00144154728,4.47888739896
Shanxi,0.9065959084800002,0.30014393831999997,0.7652959185600002,0.13371341328000005,,0.04409697672000002,0.52963788168,0.13798086264000006,0.9620727501600002,0.06306341832000001,0.05927013000000001,0.013750670159999999,0.01232818704,0.05927013000000001,0.08250402096000001,0.039355366320000015,0.032717111760000014,0.045519459840000005,0.018018119520000004,0.04694194296,0.022759729920000003,0.033191272800000005,0.01944060264,0.013750670159999999,0.013276509120000005,0.04362281568,0.010431542880000002,0.01612147536,0.009483220800000004,0.0004741610400000001,0.2982472941600001
Inner Mongolia,0.6347525472000001,0.1489441284,0.08212807080000001,0.09419208119999999,0.5813925012,0.68440059,,0.0505760436,0.5229284507999999,0.019952017199999998,0.019952017199999998,0.35867230920000004,0.26726423039999997,0.034336029600000005,0.040832035200000005,0.0296960256,0.016240014,0.037120032,0.006496005600000001,0.1897761636,0.012992011200000002,0.017168014800000003,0.01160001,0.009280008,0.0060320052,0.380480328,0.0069600059999999995,0.0194880168,0.009280008,0.0009280008,0.33825629160000004
Liaoning,0.6150770121600001,0.24252885215999995,0.07637237279999999,0.14268594528,0.06072535007999999,,0.5506261804799999,0.09984290687999998,0.04358813471999999,0.034646978880000005,0.02272543776,0.3546658483199999,0.8497823529599999,0.06743121696,0.03427443072,0.04396068288,0.01937250432,0.07227434304,0.01341173376,0.012294089279999998,0.018254859840000002,0.01341173376,0.015274474559999997,0.010803896639999998,0.010803896639999998,0.0037254816,0.008941155840000001,0.0026078371200000004,0.0044705779200000005,0.00074509632,0.27307780128000003
Jilin,0.11651864904,0.089457696,0.021917135519999995,0.03980867472,0.01498416408,0.9278999517600002,0.25651994328000005,0.035112145680000005,0.01185314472,0.01162950048,0.010958567759999998,0.46271993256000005,,0.024600866400000004,0.010958567759999998,0.02325900096,0.00849848112,0.031981126320000004,0.0060383944800000006,0.00268373088,0.007603904160000002,0.0060383944800000006,0.012300433200000002,0.00424924056,0.0044728848,0.0015655096800000002,0.00290737512,0.0008945769600000002,0.0022364424,0.00022364424,0.08252472456000001
Heilongjiang,0.16103115575999996,0.1447334406,0.02043295632,0.05059589183999999,0.0133787214,0.6903420242399999,0.2821693968,0.05132564027999999,0.01532471724,0.012162474,0.011432725559999996,,0.6353676417599999,0.03624417252,0.017757212039999998,0.03673067148,0.012892222439999998,0.0377036694,0.005594738039999999,0.0034054927200000006,0.011675975039999998,0.006810985440000001,0.01994645736,0.007054234919999998,0.00632448648,0.0024324948,0.004135241160000001,0.0017027463600000003,0.0021892453200000003,0.00048649895999999993,0.12648972960000002
Shanghai,0.10315097279999999,0.419050827,0.6511405158,0.033524066160000004,0.08767832687999999,0.08638893972000002,0.033524066160000004,4.62632113008,0.12635994168,1.7625922477200002,0.29913782112,0.04254977628000001,0.034813453320000014,2.8263366547200004,0.15730523352,0.19082929967999998,0.20888071992000004,,0.45386428032,0.05673303504,0.22693214016,0.07994200392,0.03997100196,0.060601196520000004,0.052864873560000004,0.01418325876,0.058022422200000014,0.018051420240000005,0.02063019456,0.006446935799999999,0.09412526267999999
Jiangsu,0.23248638792,1.85033686824,1.15287770448,0.06687964583999999,0.16401436955999998,0.09872709623999998,0.036624567959999986,,0.22452452532,4.469789663639999,0.40764736511999994,0.04299405804,0.03503219544,2.7022561664399998,0.1433135268,0.18630758484,0.20860080012,2.7277341267599997,0.3885388948799999,0.06687964583999999,0.18153046728,0.09394997868,0.033439822919999994,0.05732541071999999,0.04936354811999999,0.012738980159999998,0.07484150843999998,0.014331352679999998,0.01751609772,0.0047771175599999995,0.14649827183999994
Zhejiang,0.12268342944,0.34091837604,0.8245742036399999,0.03067085736,0.06959925324,0.06252136307999999,0.02241331884,2.3758117970400003,0.12740202288000002,2.0514084980400003,0.48719477268,0.031850505720000005,0.02831156064,,0.18166584744000003,0.26070228756,0.37866712356,1.5453393516,1.38490717464,0.04364698932,0.6688606201199999,0.13801885811999998,0.031850505720000005,0.09083292372000001,0.06841960488,0.0117964836,0.26660052936,0.0117964836,0.0117964836,0.00471859344,0.1002701106
Anhui,0.12408105204000001,0.4594075315200001,1.03776879888,0.04306945608,0.0615277944,0.0307638972,0.014356485360000002,4.255672446,0.13433568444000002,,0.3384028692,0.01128009564,0.0102546324,1.95555839868,0.05537501496,0.13228475795999997,0.13638661092,0.6532200838800001,0.36301398696,0.02153472804,0.10972456668,0.04717130904,0.01948380156,0.02358565452,0.024611117760000002,0.0061527794400000006,0.02973843396,0.007178242680000001,0.0061527794400000006,,0.12408105204000001
Fujian,0.0281976552,0.054073150559999984,0.10914151247999998,0.011610799199999996,0.0199042272,0.01525990752,0.007961690879999999,0.13667569344,0.0381497688,0.11809841472,0.13335832223999994,0.01061558784,0.006966479519999999,0.61172324928,0.09222291936,0.6956527406399999,0.14331043584,0.10084808448,0.62897357952,0.01525990752,,0.07198695504,0.01857727872,0.04146714,0.05075577936000001,0.00298563408,0.09189118224,0.003980845439999999,0.00530779392,0.0016586856,0.04080366576
Jiangxi,0.03946297644,0.06534033804,0.10739105064000001,0.010997878680000002,0.01487948292,0.01035094464,0.00517547232,0.23095545228,0.042050712600000005,0.30276513071999994,0.4120969834800001,0.007116274440000001,0.00517547232,1.50218084088,0.0452853828,1.49700536856,0.9050607219600001,0.15008869728,,0.010997878680000002,0.8222531648400001,0.0388160424,0.021995757360000003,0.02652429564,0.07375048056,0.00194080212,0.05304859128,0.00388160424,0.00194080212,0.00064693404,0.04916698704
Shandong,1.3698412750799998,,1.33430493564,0.5178152318399999,0.30544329852,0.23860113624,0.11591615484000001,1.6592086105200001,0.24113944620000002,0.4315126931999999,0.1522985976,0.12183887808,0.09391746852,0.3663627375599999,0.10745512163999997,0.11337784488,0.08968695192,0.23183230968000001,0.07530319547999999,0.04907399256,0.06853436892,0.04907399256,0.02453699628,0.03638244276,0.0338441328,0.01946037636,0.03045971952,0.016922066399999998,0.01946037636,0.0025383099599999995,0.5279684716799999
Henan,0.7464564266399999,1.36284112224,,0.14171994576,0.9561242916,0.06115312727999999,0.07183065744,0.8784695268000001,0.90856074816,1.0726064387999998,0.8677919966399998,0.02232574488,0.018443006640000002,0.5794986823199999,0.15822158327999994,0.33682754232,0.2378177172,0.218404026,0.13201310015999998,0.10871667072,0.09318571775999998,0.07959613391999998,0.03785669784,0.0388273824,0.050475597119999986,0.03203259048,0.04659285887999999,0.03785669784,0.036886013280000005,0.0048534228,0.35429986439999994
Hubei,0.08901969984000001,0.13294389384000002,0.8515437076800001,0.01815533352,0.06442215120000001,0.02225492496,0.01581270984,0.29224230408,0.2957562396,0.35373617568000004,,0.0070278710400000005,0.008199182880000001,0.33675215399999997,0.17511112008000004,0.49429359648000004,1.1607700334400002,0.11361724848000003,0.5370464786400001,0.032211075600000014,0.13528651752,0.35549314344000005,0.03748197888,0.04333853808,0.08140617288,0.00995615064,0.06969305448,0.01229877432,0.00761352696,0.0017569677600000001,0.08609142024000001
Hunan,0.04775881176,0.06729650748,0.17439202476,0.0144723672,0.02749749768,0.018090459,0.0108542754,0.14038196184,0.072361836,0.09985933368,0.99063353484,0.00795980196,0.00795980196,0.27280412172,0.11433170088,2.57463412488,,0.08611058483999999,0.8133470366399999,0.018090459,0.14906538215999998,0.19248248376,0.058613087160000014,0.07380907272000001,0.6642816544799999,0.00940703868,0.43127654256000003,0.007236183599999999,0.00795980196,0.00217085508,0.06657288911999999
Guangdong,0.10963188648,0.17375619743999998,0.73018973448,0.031027892400000003,0.062055784800000006,0.06826136328,0.03309641856,0.27925103160000003,0.20892114216,0.2999362932,1.4376256812,0.03723347088,0.028959366240000006,0.39095144424,0.53161122312,,4.8817217375999995,0.19237293287999999,2.51946486288,0.05998725864,1.3610902132799998,0.35785502568000005,0.43852754592,0.29166218856,4.9872165717599986,0.01241115696,0.59573553408,0.02275378776,0.02275378776,0.010342630799999999,0.1861673544
Guangxi,0.024956809559999998,0.03308228244,0.050494010039999995,0.00696469104,0.01102742748,0.00928625472,0.004643127360000001,0.04817244636,0.026697982319999997,0.02379602772,0.072548865,0.00696469104,0.00348234552,0.06790573763999999,0.08879981076000001,3.79459583496,0.57690857448,0.035984237040000006,0.08357629248000001,0.01044703656,0.06210182844000001,0.06442339212,0.07080769224,0.1828231398,,0.0023215636800000003,0.3865403527200001,0.0023215636800000003,0.0023215636800000003,0.0023215636800000003,0.03540384612
Hainan,0.018261573120000003,0.01858767264,0.034403499359999985,0.006766565040000001,0.013859229600000002,0.01108738368,0.006766565040000001,0.03040878024,0.021196468800000003,0.016794125280000002,0.03644162136,0.01035365976,0.006848089920000001,0.031387078799999996,0.04068091512,0.2038122,0.057882664800000004,0.034077399839999994,0.02347916544,0.0048914928,0.02095189416,0.027147785040000004,,0.015408202319999998,0.060083836560000006,0.0022826966400000003,0.019402921440000002,0.0012228732,0.00154897272,0.00024457464,0.0370938204
Chongqing,0.0399136248,0.0487833192,0.082361448,0.0114038928,0.034845228000000006,0.012670991999999999,0.017739388800000002,0.07539240239999999,0.2230094592,0.042447823200000005,0.3883659048,0.0069690456,0.0057019464,0.1007343864,3.4015278023999995,0.2021023224,0.2274443064,0.0487833192,0.0462491208,0.0766595016,0.0620878608,,0.0430813728,0.1672570944,0.1127718288,0.012670991999999999,0.7361846352,0.0259755336,0.0133045416,0.009503244,0.050050418400000005
Sichuan,0.07461508751999997,0.08434749023999999,0.14030880587999994,0.020275839,0.07867025532000001,0.03000824172,0.028386174599999994,0.12733226892000002,0.66180338496,0.05758338275999999,0.18167151744000004,0.01378757052,0.009732402719999998,0.14274190656,,0.30089345076,0.14274190656,0.09083575872000002,0.05677234919999999,0.27494037683999994,0.07785922175999999,3.56124836196,0.05433924852,0.7591274121599998,0.12489916823999997,0.02595307392,0.6845123246399998,0.07867025532000001,0.03568547664,0.08515852380000001,0.09245782583999998
