,Hebei,Shandong,Henan,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Shaanxi,Anhui,Hubei,Heilongjiang,Jilin,Zhejiang,Sichuan,Guangdong,Hunan,Shanghai,Jiangxi,Gansu,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Ningxia,Guizhou,Qinghai,Xinjiang,Tibet,Beijing
Guizhou,0.02056123764,0.0252166122,0.051597068040000006,0.006595113960000001,0.011638436399999999,0.006983061840000001,0.00504332244,0.06983061840000003,0.041898371040000014,0.029871986760000007,0.07875341964,0.0038794788,0.0031035830400000003,0.22617361404,0.54972214596,0.3476013004800001,0.45312312384,0.03840684012,0.07177035780000003,0.0135781758,0.09077980392000001,0.66183908328,0.03569120496,0.62692377408,0.35885178900000003,0.0031035830400000003,,0.004267426679999999,0.002715635160000001,0.00232768728,0.030259934640000007
Yunnan,0.02314037484,0.028725982560000005,0.044418880439999996,0.009841308840000002,0.01569289788,0.00957532752,0.0061175703599999996,0.050270469479999996,0.044152899120000005,0.021544486920000005,0.05160037608000001,0.006915514320000001,0.004255701120000001,0.08883776087999999,0.7503333037200002,0.1649084184,0.09309346200000003,0.04468486176,0.035641496880000005,0.01037327148,0.04229102988,0.18379309212,0.016490841840000003,,0.18991066248,0.005319626400000001,0.6505903087200001,0.004521682440000001,0.0039897197999999995,0.02048056164,0.034843552920000014
Tibet,0.00424023336,0.0033814519199999995,0.008024239079999999,0.0008856183599999998,0.00212011668,0.0017712367199999995,0.00085878144,0.0039718641600000005,0.015806945879999996,0.00236164896,0.00332777808,0.00096612912,0.00042939072,0.00391819032,0.10184611140000001,0.004642787159999999,0.0035961472799999994,0.00263001816,0.0013686829199999998,0.00947343276,0.0015297044399999998,0.017229302639999996,0.0002683692,0.017282976479999997,0.0016638890399999998,0.0005635753199999999,0.00220062744,0.04315376735999999,0.004401254879999999,,0.0039718641600000005
Shaanxi,0.146117358,0.18234971100000003,0.6961363560000001,0.025540839,0.836907957,0.032668515,0.5547707820000001,0.16571846699999998,,0.099193491,0.23640125399999998,0.012473433,0.010097541,0.090283896,0.667625652,0.09562965300000001,0.090283896,0.060585245999999995,0.039202218,0.870170445,0.039202218,0.195417117,0.027322758,0.038014272,0.027322758,0.40627753200000005,0.043954002,0.100381437,0.034450433999999995,0.007721649000000001,0.09622362600000002
Gansu,0.0362085552,0.04534224480000001,0.0919893024,0.0198983952,0.049909089600000005,0.0104385024,0.1409197824,0.06458823359999999,1.0807112016000002,0.0215294112,0.0355561488,0.004566844800000001,0.003262032,0.037513368,0.39177004320000003,0.039144384,0.020224598400000002,0.0420802128,0.0104385024,,0.014352940800000004,0.0678502656,0.006524064,0.013048128,0.011090908799999999,0.3826363536,0.0169625664,0.4488556032,0.09101069279999999,0.006524064,0.052192512
Qinghai,0.009517140359999999,0.0146417544,0.033780619080000004,0.0033466867200000004,0.00962172432,0.0023008471200000003,0.008262132840000002,0.016628849640000002,0.09663557903999999,0.006170453639999999,0.01087673184,0.0009412556399999999,0.0007320877200000001,0.01014464412,0.1145194362,0.010981315800000002,0.008157548879999999,0.0099354762,0.0036604386,0.5467649428800001,0.0023008471200000003,0.016942601520000003,0.0008366716800000001,0.004183358400000001,0.0015687594000000002,0.03336228324,0.00386960652,,0.026878077719999997,0.02645974188,0.01014464412
Ningxia,0.02390832288,0.02164833216,0.027357782400000002,0.005233662720000001,0.02509779168,0.00392524704,0.30260086272000003,0.016771510080000003,0.25656842016,0.007969440960000001,0.009158909759999998,0.00285472512,0.0017842032,0.0107052192,0.022480960319999996,0.01201363488,0.008326281599999999,0.01153784736,0.00368735328,0.33459757344,0.002973672,0.01022943168,0.004876822079999999,0.004876822079999999,0.00285472512,,0.0033305126400000004,0.02343253536,0.008207334719999999,0.0005947344,0.018317819519999997
Xinjiang,0.019205388359999995,0.020346302519999998,0.05273558783999999,0.006465180239999999,0.00976115448,0.005260881959999999,0.012740208119999995,0.020980143719999997,0.061799516999999984,0.010141459199999998,0.010902068639999998,0.0025353647999999994,0.00272551716,0.016796791799999995,0.05609494619999999,0.01863493128,0.01178944632,0.018127858319999995,0.004500272519999999,0.15611508755999998,0.007162405559999999,0.021423832559999998,0.003929815439999999,0.005387650199999999,0.00278890128,0.010521763919999998,0.0029156695199999997,0.031058218799999995,,0.0017747553600000001,0.027952396919999997
Taiwan,3.2319000000000014e-05,9.6957e-05,9.6957e-05,6.463800000000001e-05,,,9.6957e-05,9.6957e-05,3.2319000000000014e-05,,6.463800000000001e-05,6.463800000000001e-05,6.463800000000001e-05,0.00012927600000000005,3.2319000000000014e-05,9.6957e-05,3.2319000000000014e-05,0.0009069732,6.463800000000001e-05,9.6957e-05,0.0009719514000000002,,,9.6957e-05,3.2319000000000014e-05,,,,,3.2319000000000014e-05,0.0001619352
Hong Kong,3.225096e-05,3.225096e-05,3.225096e-05,,3.225096e-05,3.225096e-05,,6.450192e-05,,,0.00012900384,,3.225096e-05,,3.225096e-05,0.01334729016,3.225096e-05,0.00054980208,3.225096e-05,,0.00029025864,,,,9.675288e-05,,,,,,0.00022575672
Macau,0.00029050164,0.0007338988799999999,0.0005504241600000001,0.00018347471999999998,0.000382239,0.00090208404,,0.0011925856800000002,0.000382239,0.0004739763600000001,0.0010549796400000002,0.00012231648000000006,9.173735999999999e-05,0.00203351148,0.0006115824000000001,0.13616882136000005,0.0010549796400000002,0.0015442455600000002,0.00015289560000000002,0.00012231648000000006,0.0015442455600000002,0.00015289560000000002,0.000382239,0.00021405384000000005,0.00151366644,,0.00015289560000000002,,,,0.00064216152
