,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Sichuan,Guangdong,Anhui,Shanghai,Heilongjiang,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Jiangxi,Hainan,Fujian,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Sichuan,0.12151605744,0.22733060184000006,0.12083338295999999,0.032085700560000006,0.08533431000000001,0.05666198183999999,0.037547096400000014,0.16179385176000002,,0.3481639848,0.08943035687999999,0.11468931264,0.038229770880000014,0.23961874248000004,0.37069224264,0.14336164080000002,0.030037677119999998,0.14882303664000002,0.09147838032,0.102401172,0.10649721888,2.04597541656,0.19046617991999998,0.8089692587999999,0.1126412892,0.55774505016,0.08533431000000001,0.030037677119999998,0.051883260480000006,0.054613958399999996,0.20002362264000004
Guizhou,0.036947699640000005,0.0914169888,0.03923312436,0.00685627416,0.017521589520000002,0.01180802772,0.00723717828,0.06703912512000001,0.6406807298400001,0.28910622708,0.047993919120000006,0.035043179040000004,0.01256983596,0.12912649668,0.051041152080000006,0.1085576742,0.007618082400000002,0.390426723,0.07694263223999999,0.049136631480000005,0.08913156407999999,0.6025903178400001,0.012188931840000002,0.6650585935200001,0.2533012398,,0.0030472329600000005,0.0019045206,0.0026663288400000005,0.0003809041200000001,0.05142205620000001
Yunnan,0.06530844672,0.11911370111999997,0.06642165888,0.02152210176,0.035993859839999996,0.029314586880000007,0.01372961664,0.07866699263999999,0.94029320448,0.18145358208,0.056031678720000005,0.045641698560000006,0.019666748159999997,0.11911370111999997,0.06567951744,0.10575515519999999,0.018553536000000002,0.176258592,0.0816355584,0.0241195968,0.09054125568,0.28795087871999997,0.023006384640000002,,0.18330893568,0.7458521472,0.01076105088,0.0070503436800000005,0.00593713152,0.0074214144,0.0760694976
Tibet,0.0056506896,0.0233210664,0.006273223200000001,0.0011014056,0.0029690064000000003,0.0011971800000000002,0.0011014056,0.0054112536,0.21257128079999998,0.0033042168000000003,0.006225336000000001,0.0018197136,0.0013408416000000002,0.0114450408,0.0281576736,0.0033042168000000003,0.0010056312,0.0085718088,0.0025859088000000003,0.000957744,0.0022985856,0.027247816800000005,0.025763313599999997,0.02274642,0.0008619696000000001,0.005028156000000001,0.0017718264,0.0014366160000000002,0.0576083016,,0.004884494400000001
Shaanxi,0.20591593524000001,0.5778416167199999,0.19793469744000003,0.042566601600000004,0.4932404960399999,0.051612004440000005,0.3032870364,0.22134632832,0.52729377732,0.16441349867999994,0.15909267348,0.0877936158,0.03618161136,0.25912418724,,0.1117373292,0.03298911624,0.10641650400000001,0.07342738775999999,0.05906115972,0.07981237799999999,0.14525852796,0.59806075248,0.06970281012,0.051079921919999986,0.06278573736000001,0.0877936158,0.19154970719999997,0.06597823248,0.021283300800000002,0.22294257588
Gansu,0.05895662760000001,0.13151863079999998,0.0506024496,0.0181405008,0.0391452912,0.014798829599999999,0.0766197468,0.11003645880000001,0.1978746732,0.046306015199999995,0.037474455600000005,0.036519692400000005,0.0085928688,0.055137574800000005,0.5917144931999999,0.043203034800000005,0.0081154872,0.036997074,0.0207660996,0.0284042052,0.0269720604,0.050363758799999984,,0.0257786064,0.0210047904,0.024823843199999997,0.1043078796,0.2150604108,0.2212663716,0.010979776799999999,0.0713685492
Qinghai,0.020230566480000003,0.07016677488,0.02552295096,0.00324371952,0.011011574159999999,0.0034144415999999996,0.0063167169600000005,0.02415717432,0.08117834904,0.01698684696,0.016816124879999998,0.00520702344,0.00187794288,0.019889122319999997,0.08126371008,0.01220662872,0.0013657766399999998,0.012035906640000002,0.006572800079999999,0.007938576720000002,0.008792187120000001,0.01562107032,0.30354385824,0.00836538192,0.0036705247200000003,0.00537774552,0.01613323656,0.014340654719999997,,0.03107141856,0.01784045736
Ningxia,0.03801091536,0.05696063856000001,0.031657184639999995,0.006353730720000001,0.02095616448,0.0066881376000000005,0.19752299712,0.0339980328,0.02909339856,0.01872678528,0.017835033600000005,0.01772356464,0.005573448000000001,0.018057971520000004,0.19272983184000006,0.020175881760000004,0.004458758400000001,0.013153337280000002,0.007579889280000002,0.008583109920000002,0.012484523520000004,0.016720343999999998,0.24489730512,0.01326480624,0.010923958079999999,0.005127572160000001,0.01382215104,,0.014045088960000002,0.0006688137600000001,0.034555377600000006
Xinjiang,0.07068553127999999,0.28377553931999994,0.07977957623999997,0.012400970400000001,0.031002426,0.016327944360000003,0.033482620080000004,0.06841202004,0.24553921391999997,0.041129885160000004,0.05601104964,0.02500862364,0.01281433608,0.05931797508,0.14054433119999998,0.041336568,0.0074405822399999984,0.04216329936000001,0.015501212999999996,0.02728213488,0.02914228044,0.0795728934,0.459869319,0.02149501536,0.011987604719999998,0.011367556200000002,,0.03162247452,0.04092320232,0.00165346272,0.06531177744000001
Taiwan,0.0006432566400000001,0.0014535126,0.00126177264,0.00032162832000000004,0.00032162832000000004,0.0006123308399999999,6.18516e-05,0.00457083324,0.0011009584800000002,0.012679578,0.0007422192,0.00586971684,0.00035255411999999994,0.00149062356,0.00045151668,0.004280130720000001,6.18516e-05,0.00090303336,0.00042059088,0.0001237032,0.015178382639999996,0.00116281008,0.00045151668,0.00032162832000000004,0.00025359156000000004,0.00038347992,3.09258e-05,0.00019173996,,,0.00223284276
Hong Kong,0.00228573576,0.0019394121600000004,0.00408661848,0.0015238238400000002,0.0007619119200000001,0.00187014744,6.926472e-05,0.00983559024,0.0030476476800000004,0.5551567307999999,0.00228573576,0.01828588608,0.0004848530400000001,0.00325544184,0.0008311766399999999,0.017177650559999997,0.00034632360000000004,0.0045022068,0.00187014744,0.00221647104,0.02022529824,0.00200867688,6.926472e-05,0.0014545591199999998,0.0041558832,0.00131602968,,,0.00013852944,,0.01122088464
Macau,0.003916107,0.004880071800000001,0.0025304075999999995,0.0034943724,0.0053018064,0.003916107,0.0010844604,0.012230303399999998,0.0037353636,0.4538466774,0.0039763548,0.0181345878,0.0009639648,0.006928497,0.0021689208,0.012230303399999998,0.0016266906,0.0083141964,0.0071092404,0.0029521422,0.0089166744,0.0024701598,0.0004819824,0.0013254516,0.006446514600000001,0.001506195,0.0001204956,6.02478e-05,6.02478e-05,,0.009760143600000002
