,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Sichuan,Guangdong,Anhui,Shanghai,Heilongjiang,Hubei,Shaanxi,Zhejiang,Jilin,Hunan,Jiangxi,Hainan,Fujian,Chongqing,Gansu,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,5.028026730480001,1.0092754386000002,0.92175784812,0.8045972028000001,0.5618064679200001,0.4799351736000001,0.45029211876,0.4460573966400001,0.3994754533200001,0.3910060090800001,0.3698323984800001,0.3373661955600001,0.3373661955600001,0.32466202920000004,0.28654953012,0.25408332720000004,0.23432129064000004,0.21314768004000004,0.17221203287999998,0.17221203287999998,0.15386157035999998,0.13268795976,0.12986481168000005,0.11433749724000004,0.09034073856000002,0.08187129432000001,0.07763657220000003,0.050816665440000006,0.025408332720000003,0.007057870200000002,
Tianjin,2.00064128472,0.34948063331999996,0.50707775196,,0.23519264652,0.17022894876000005,0.14676983568,0.14737135140000002,0.11067889248,0.08060310647999999,0.17203349592,0.06255763487999999,0.16962743304000003,0.09864857808000001,0.09143038944,0.08240765364000001,0.10045312524,0.05533944624,0.04992580476,0.043309131839999994,0.05834702484,0.050527320480000006,0.11188192392,0.05293338336,0.050527320480000006,0.0691743078,0.04090306896,0.024060628799999997,0.015639408719999998,0.006015157199999999,0.8445280708799999
Hebei,,0.93182087988,1.415936214,1.8123983539200001,0.7403323633200001,0.46119065256,0.4369174603200001,0.31824852048,0.1955340486,0.14024511072,0.2562170292,0.0943957476,0.26970213600000004,0.24542894376,0.22654979424000002,0.15912426024,0.16721532432,0.1281085146,0.11057787576,0.08225915147999999,0.07821361943999999,0.08630468352000001,0.07416808740000001,0.06877404468000001,0.062031491279999997,0.055288937879999986,0.026970213599999997,0.026970213599999997,0.014833617480000004,0.00134851068,4.7723792965200005
Shanxi,0.6954877825200001,0.5731658107200001,0.20814151392,0.106789023,,0.05242370220000001,0.2660017482,0.14096151036,0.12465191412,0.06368509007999999,0.08620786584000001,0.050093759880000005,0.028735955280000006,0.10174081464,0.5230720508400001,0.06795665099999999,0.02368774692,0.050093759880000005,0.03766740084,0.055530291960000006,0.04737549384,0.049705436160000005,0.03456081108,0.03456081108,0.02174612832000001,0.02019283344,0.01203803532,0.02058115716,0.00931976928,0.00038832372,0.3615293833200001
Inner Mongolia,0.418997124,0.10277963640000001,0.1357264188,0.0744883776,0.2750340096,0.4379773356,,0.0508526424,0.0415415952,0.0383185404,0.037960423199999996,0.0257844384,0.33842075399999993,0.030798079199999998,0.3430762776,0.031872430800000004,0.24889145399999998,0.0182639772,0.015040922399999997,0.034379251199999995,0.0225613836,0.0164733912,0.111016332,0.0164733912,0.0118178676,0.0114597504,0.007878578399999999,0.25605379800000005,0.007520461199999998,0.00035811720000000004,0.41183478
Liaoning,0.47067381504,0.2181624192,0.30496321152,0.12857657471999998,0.09329924735999998,,0.48970500479999995,0.16756730495999994,0.09608429952,0.1021185792,0.12996910079999996,0.09979770239999998,0.5356583654399999,0.06312784896000001,0.06823377791999999,0.09422759808,0.6693408691199999,0.04966676352,0.040383256319999984,0.05152346496,0.05291599103999999,0.03852655488,0.04548918528,0.04363248383999999,0.04502500992,0.06452037504,0.0278505216,0.01021185792,0.006034279679999999,0.00371340288,0.417757824
Jilin,0.15578535275999994,0.10819248408,0.16051507883999994,0.0650337336,0.055574281439999984,0.6414690996,0.27284607324,0.08838675611999999,0.04108949532,0.06059961539999999,0.062373262679999986,0.0458192214,0.52204351608,0.04049827956,0.04700165292,0.06739859663999999,,0.03931584804,0.02719592496,0.04818408443999999,0.02896957224,0.022466198880000003,0.02690031708,0.02394423828,0.0266047092,0.036064161359999986,0.019510120080000002,0.012119923079999996,0.007685804879999998,0.00266047092,0.19244072988
Heilongjiang,0.13893491952,0.09262327968,0.16828357500000002,0.07296775812,0.04227283404000001,0.35972296991999997,0.29106327132000004,0.07646805647999999,0.05169671424,0.08508417552000001,0.053850744000000006,0.052504475400000014,,0.03796477452,0.036079998480000014,0.05008119192000001,0.5315068432800001,0.030425670360000004,0.02477134224,0.07242925068000003,0.032579700120000006,0.02261731248,0.020194029,0.02800238688,0.026117610840000003,0.040926565440000014,0.01157790996,0.004846566960000001,0.0018847760400000004,0.0013462686000000005,0.22805790084000005
Shanghai,0.12814468920000002,0.6791668527600001,0.3844340676,0.06057748944,0.10717555824,0.116495172,0.03844340676000001,3.6171750906,0.38559901932,0.35065046772,1.2802819402799999,,0.09203118587999999,0.31686686784,0.15144372360000002,1.77538642128,0.06640224803999999,0.20619645444,0.3821041641599999,0.07339195836,0.25162957152000004,0.203866551,0.1048456548,0.13047459264000005,0.08620642728,0.14328906156,0.04310321364,0.01863922752,0.00931961376,0.00349485516,0.35298037116
Jiangsu,0.31117940424,1.708788636,1.3886156073599998,0.0989298684,0.27160745688,0.15109288992,0.05935792103999999,,0.6223588084799999,0.36514115064,3.7953094968,3.2556920328000003,0.13670309088,0.58998176064,0.3507513516,1.75735420776,0.10072859328,0.33456282768,0.44788249511999995,0.05935792103999999,0.25362020808,0.28959470568000006,0.21764571048,0.29858833008,0.14569671528000006,0.40831054776,0.06115664592,0.03777322248,0.03057832296,0.019785973680000003,0.34895262672
Zhejiang,0.18571765212,2.26961442396,0.40761406764,0.04582643364,0.12059587800000003,0.11094820775999999,0.04100259852000001,1.9150625426400003,1.32414274044,0.40761406764,3.2681482938000004,1.61839668276,0.10612437264000002,1.5436272384,0.2894301072,,0.07476944436,1.4688577940399998,2.9280679178400004,0.05788602143999999,0.5764482968400001,0.9406478484,0.13506738336000004,0.8296996406399999,0.24360367355999998,2.8508865559200003,0.03376684584000001,0.019295340480000003,0.004823835120000001,0.0024119175600000003,0.2291321682
Anhui,0.12666911544,0.8243545608,0.2982420972,0.037531589760000005,0.05428676376000001,0.04289324544,0.016755173999999998,2.39062822632,0.10522249272,0.15481780775999998,,0.5924629526399999,0.033510347999999995,0.2546786448,0.09181835352,0.7218128959199999,0.022116829680000002,0.1139351832,0.20575353672000002,0.032169934080000004,0.10522249272,0.05964841944,0.03552096888,0.06031862640000001,0.036861382799999995,0.061659040320000004,0.01407434616,0.00737227656,0.00603186264,0.0033510348,0.17157298176
Fujian,0.07172540928000001,0.39833218368,0.11847500640000005,0.028177839360000005,0.05827689504000001,0.03970513728,0.01665054144,0.18123473952,0.5808477340800001,0.59493665376,0.24527528352000005,0.15561852192000006,0.035862704640000014,0.38360285856,0.08773554528000001,0.45532826783999997,0.025616217599999998,0.35606542464,0.90553329216,0.03458189376,,0.4002534,0.05187284064000002,0.19788528096000002,0.15561852192000006,0.6346417910400001,0.016010136,0.010886892480000002,0.004482838080000001,0.0032020271999999997,0.10310527584
Jiangxi,0.07262249400000001,0.21371762520000004,0.1016714916,0.0228242124,0.04191355368,0.033198854400000005,0.01991931264,0.20002309776,0.11080117656,0.6071240498400001,0.23861676600000006,0.16101444384000002,0.027804040560000003,0.35439777071999995,0.056853038160000015,0.45980413344,0.02323919808000001,0.5137522718399999,,0.041498568000000007,0.3174640452,0.07220750832,0.04606341048,0.06681269448,0.08465707872000001,0.12242077560000003,0.01286455608,0.00954467064,0.00954467064,0.0020749284000000003,0.08797696416000002
Shandong,1.3798910034,1.3182255446399995,,0.35482911516000004,0.29922911136,0.38212366248,0.12838546331999998,1.55073465144,0.31034911211999994,0.22543274268000002,0.5216291265599999,0.30125092968,0.34876366020000005,0.27597820068000006,0.23453092512,0.35685093348,0.21128001444,0.15568001064,0.1364727366,0.06773091372000001,0.14456000987999998,0.10008000684,0.09906909768,0.11322182592,0.0808727328,0.10816728012,0.04650182136,0.031338183959999995,0.018196364880000003,0.00202181832,0.77941096236
Henan,0.61539637248,,0.9165477888,0.11702351232000002,0.5204682086400001,0.08183462400000002,0.05973927552000001,0.7684271193600002,0.21604340736000005,0.4329051609600001,0.8633552832000002,0.27905606784000003,0.05810258304000001,0.6857741491200002,0.4378152384000001,0.36661911552000015,0.040098965760000015,0.22177183104000006,0.13502712960000005,0.10802170368000004,0.16448759424,0.09983824128000003,0.09247312512,0.08347131648000003,0.09574651008,0.07856123904000001,0.05728423680000001,0.034370542080000004,0.02455038720000001,0.003273384960000001,0.5032829376000002
Hubei,0.16545350304,0.8601056150399999,0.20334361824,0.03410110368,0.11430184752,0.051151655520000006,0.037258613280000005,0.30185791776000004,0.27975535056,0.5216205859199999,0.347326056,0.15029745696,0.0410476248,,0.20650112784000002,0.26775681408,0.02904908832,0.76474882512,0.410476248,0.06378169392000001,0.16861101264000003,0.41489676144,0.09093627648,0.10988133408,0.16608500496,0.20334361824,0.04673114208,0.02399707296,0.01705055184,0.007578023039999999,0.189450576
Hunan,0.11372147928,0.25030154736,0.11543587344,0.02228712408,0.052003289519999996,0.04114545984,0.028573236,0.16801062768,0.18115431624000003,1.2903673377599998,0.13829446224000003,0.09657753768,0.03371641848,0.7691915131199999,0.10114925544,0.17772552792,0.030287630160000002,,0.49831723584,0.07714773720000001,0.14172325056,0.19201214592,0.0457171776,0.1314368856,0.38745308016,0.39316772736,0.03371641848,0.01828687104,0.01200075912,0.005143182479999999,0.14286618
Guangdong,0.1930697856,1.9026715968,0.28026259200000003,0.0653946048,0.10899100800000001,0.13390323839999999,0.043596403200000015,0.4172798592000001,2.7123190848000003,,0.5356129535999999,0.3207449664,0.11521906560000003,2.8929327552,0.3830255424,0.45464820479999996,0.08407877760000003,5.9135406912,2.6593805952,0.27714856320000003,0.8563579200000001,1.276751808,0.1121050368,0.8719280640000001,4.963761907199999,1.8528471360000005,0.043596403200000015,0.0186841728,0.0093420864,,0.35188525439999996
Guangxi,0.06852370608,0.12987632663999998,0.08485784532,0.01673253288,0.03107470392,0.035058640319999994,0.0139437774,0.07688997251999999,0.1912289472,1.2923889681599998,0.06693013152,0.040636151280000005,0.021513256560000003,0.15377994503999998,0.06294619512,0.08087390892000001,0.021513256560000003,0.48046272984,0.11872130472,0.06533655696,0.10079359092,0.10756628280000002,0.02669237388,0.24501208860000004,,0.35536712688,0.0059759046,0.006772691880000001,0.00637429824,0.00079678728,0.05617350324
Hainan,0.04837226688,0.09691853472,0.0487202688,0.02940616224,0.0295801632,0.03149417376,0.0147900816,0.05341829472,0.14737881312000006,0.28849359167999994,0.047328261120000006,0.046284255360000005,0.029928165120000003,0.08578247328,0.049242271680000005,0.04993827552,0.02401213248,0.11710264608,0.061770340800000004,,0.04315223808,0.06646836671999999,0.0191401056,0.031668174720000004,0.10405257408000003,0.06594636384000001,0.01287607104,0.004872026880000001,0.0029580163200000004,0.00052200288,0.07951843872000001
Chongqing,0.06116142168,0.10999927332000001,0.06846427799999999,0.02099571192,0.03788356716,0.02373428304,0.01506214116,0.09676284624,2.01376263024,0.16248855312000002,0.05522785092,0.06526927836,0.01460571264,0.29576568096,0.11638927259999997,0.08489570472,0.013236427079999998,0.13190784228,0.05522785092,0.05431499387999999,0.05842285056,,0.04746856608,0.17298640908,0.06709499243999999,0.5454320813999999,0.03742713863999999,0.015518569680000002,0.01506214116,0.009128570400000001,0.08580856175999999
