,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Jilin,Hunan,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.5735114875600003,0.5225731524,0.39612335256,0.31483419551999997,0.23741595072,0.23612564664,0.22451290991999998,0.21290017320000004,0.20773895688,0.18902954772,0.14451405696000005,0.13612708044000002,0.12322403964000002,0.10580493456000001,0.10451463048000002,0.10257917436,0.07870854887999999,0.07548278868,0.07032157236,0.06645066012,0.06257974788000001,0.04709609892,0.04645094688,0.039354274439999996,0.034838210160000015,0.030967297919999998,0.022580321400000002,0.018064257120000003,0.0129030408,0.0038709122399999997,
Tianjin,1.2427930828799998,,0.20662648668,0.08859755375999999,0.0364099536,0.06432425136,0.0637174188,0.037927035,0.07281990719999999,0.0424782792,0.0333757908,0.02245280472,0.02032889076,0.02791429776,0.02154255588,0.034589455919999984,0.02548696752,0.01335031632,0.016384479119999996,0.01547423028,0.02002547448,0.010316153520000001,0.01001273724,0.010316153520000001,0.007888823279999999,0.005158076760000001,0.0045512442,0.00333757908,0.00182049768,,0.8686808096399999
Hebei,,1.3558068619199997,0.912193002,0.4455342662399999,0.08737848756000001,0.16899575615999998,0.4810617831599999,0.06337340855999997,0.24773241527999995,0.23717018051999997,0.08641828439999999,0.061453002239999985,0.10658255076,0.07873665911999997,0.06625401803999999,0.05857239275999999,0.047049954839999984,0.04128873587999999,0.031686704279999985,0.037447923239999986,0.03456731376,0.028806094799999994,0.026885688480000003,0.024005078999999995,0.02112446952,0.017283656879999998,0.014403047399999997,0.01056223476,0.005761218959999997,0.00096020316,4.788533158919999
Shanxi,0.436509648,0.06795524160000001,0.1296228096,0.34775671680000003,0.044013715200000005,0.0800469216,,0.0372423744,0.0239415264,0.1997545536,0.0403862112,0.039660710399999986,0.4212741312000001,0.0299873664,0.031438368,0.0082223424,0.007255008,0.0220068576,0.0207976896,0.020555856,0.020072188799999998,0.0111243456,0.014510016,0.018379353600000002,0.009673344,0.0094315104,0.012333513600000002,0.0074968416,0.0043530048,0.0009673344,0.2979389952
Inner Mongolia,0.26244399816,0.04412962944,0.05961743208,0.03967423416,0.02503507824,0.03055128192,0.1729117692,0.0233377848,0.26965749528000005,,0.023762108160000003,0.022701299759999998,0.24865348896000006,0.013790509199999999,0.013366185840000001,0.16697124215999998,0.1410875172,0.00975943728,0.00975943728,0.01230537744,0.009971598959999998,0.00551620368,0.00827430552,0.05664716856,0.005304041999999999,0.0074256587999999984,0.16484962535999995,0.005940527040000001,0.00381891024,0.00042432335999999997,0.26074670472
Liaoning,0.28120045535999993,0.08823722687999998,0.14750768735999994,0.05303146463999999,0.06617792015999999,0.08623183535999998,0.02740701744,0.07330820111999999,,0.25557600816,0.05303146463999999,0.031640621759999994,0.024510340800000002,0.02696137488,0.02183648544,0.19073501568,0.3752310355199999,0.02094520031999999,0.02473316208,0.030303694080000002,0.015374668319999996,0.009581315039999998,0.01492902576,0.005793353279999999,0.01247799168,0.01203234912,0.00245103408,0.00601617456,0.00200539152,0.0004456425599999999,0.26426603807999993
Jilin,0.055185581879999994,0.035375372999999995,0.057758336279999996,0.01633699044,0.03074441508,0.034989459839999994,0.008232814080000001,0.03010122648,0.39337414776,0.1376423604,0.027785747519999997,0.0122205834,0.0102910176,0.0102910176,0.012349221119999998,0.24788488644,,0.00951919128,0.009390553559999999,0.023797978200000004,0.007460987759999998,0.00488823336,0.0072037123200000015,0.0021868412399999996,0.00475959564,0.00283002984,0.0006431886,0.00244411668,0.0007718263199999999,0.00025727544000000004,0.08760228731999999
Heilongjiang,0.06368937984,0.036944816039999995,0.08048247804,0.01878339132,0.04204494216,0.040427829000000005,0.00783677916,0.033586196400000004,0.2015171784,0.13956930504,0.033337409760000006,0.01542477168,0.01032464556,0.011319792120000002,0.01293690528,,0.27602877708,0.010075858920000002,0.01020025224,0.03706920936,0.00733920588,0.0048513394799999995,0.00908071236,0.0018658998,0.0068416326000000005,0.00335861964,0.00149271984,0.00161711316,0.00111953988,0.00037317996,0.12227863355999999
Shanghai,0.05391668772,0.02907866304,0.16477909056,0.17931842208,0.22475383308000002,2.3765748980400003,0.034530912359999985,,0.06300376992000001,0.01877996988,1.33701269436,0.09814048776000002,0.059974742519999985,0.47616310728,0.1029869316,0.031501884960000004,0.026655441119999998,0.07209085211999999,0.10056370968,0.0333193014,0.06724440828,0.12843076175999998,0.05633990964000001,0.01938577536,0.039377356200000005,0.03755993976,0.0072696657599999985,0.010904498640000001,0.0066638602799999995,0.00181741644,0.18719389332
Jiangsu,0.13540850352000006,0.06083570448000001,0.81048857904,0.4238874892800001,0.25413624936,,0.06770425176000001,3.3292829887200006,0.07457279904000001,0.021586862880000002,1.4404324867200002,0.10989675648000004,0.11087797752,1.7985781663200002,0.16975123992000002,0.03238029432,0.025511747039999998,0.09714088296,0.10400943024000002,0.03336151536000001,0.08144134632000001,0.14423949288,0.059854483439999995,0.03238029432,0.04317372576000001,0.05592959927999999,0.009812210400000002,0.014718315600000004,0.009812210400000002,0.001962442080000001,0.24432403896000005
Zhejiang,0.07665819588,0.035430258600000014,0.17715129300000002,0.29696998572000005,0.2815095092400001,1.320582366,0.038007004680000005,1.5408941558400002,0.04766980248000001,0.016104663,,0.12368381184,0.06313027896000001,0.6776842190400001,0.17199780084000002,0.02447908776,0.0193255956,0.16362337608,0.3253141926,0.03027676644,0.08825355323999999,0.44255613924,0.07794656892000001,0.021902341680000003,0.048313989,0.15073964568,0.006441865200000001,0.01159535736,0.005153492160000001,0.0006441865200000001,0.14623034004000002
Anhui,0.061999671239999984,0.02861523288,0.19447760124,0.4848692238,0.12240960732,2.1736978754400003,0.02596567428,0.6199967123999999,0.0211964688,0.00953841096,0.76784208228,0.038683555560000006,0.0423929376,,0.16851192695999997,0.00953841096,0.007418764079999999,0.05458090716,0.06040993607999999,0.016957175039999998,0.03126479148,0.14678554643999994,0.02013664536,0.011128146119999998,0.0185469102,0.02013664536,0.00423929376,0.004769205479999999,0.0026495586,0.00105982344,0.12028996044000001
