,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Jilin,Hunan,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Fujian,0.025368441839999995,0.016509620879999996,0.04026736799999999,0.06724650455999999,0.45824264784,0.10952724095999998,0.014496252479999997,0.12160745135999998,0.018925662959999992,0.00885882096,0.3209309229599999,0.06281709408,0.023556410279999992,0.05758233623999999,0.06603848351999997,0.008254810439999998,0.007650799919999999,0.06905853612,,0.016308284040000003,0.04268341007999999,0.22589993448,0.03946202063999999,0.011476199879999996,0.04207939955999999,0.059394367799999986,0.0032213894399999994,0.004026736799999999,0.00342272628,0.0016106947199999995,0.060602388839999986
Jiangxi,0.0220421412,0.0096770376,0.0373641174,0.05376132,0.6209432460000001,0.13977943199999998,0.0096770376,0.15537021480000002,0.011021070599999998,0.0032256792,0.4558959936,0.0325255986,0.0185476554,0.1314464274,0.1903150728,0.006451358399999999,0.0032256792,0.35401829220000003,0.2330553222,0.0169348158,0.024730207200000003,,0.023654980800000003,0.006182551800000001,0.040589796600000005,0.026343046800000002,0.0016128395999999998,0.0021504528,0.001344033,0.0008064197999999999,0.051073254000000005
Shandong,0.8036737444800002,0.23568294924000005,,0.65796953508,0.13599059544000006,0.9473329825200002,0.12423201012000006,0.20654210735999998,0.13956929532000004,0.054191741040000005,0.23414922072,0.07822015452000003,0.10633851072000003,0.23005927800000006,0.08384382576,0.06952902624000001,0.04550061276,0.05930416944000001,0.05777044092000001,0.03016332756,0.050101798319999995,0.050101798319999995,0.03527575596,0.02300592780000001,0.03680948448,0.025562142000000003,0.013292313840000002,0.01482604236,0.009713613959999999,0.0020449713600000003,0.54293989608
Henan,0.3825958017600001,0.08085242772000001,0.64576252728,,0.3012149268,0.49409816939999995,0.35458809804,0.20715131807999998,0.041747331960000016,0.0317068344,0.3688561735200001,0.09194981976,0.2959304544,0.5353170541200001,0.4438956816,0.0158534172,0.01426807548,0.11414460384,0.07556795532,0.039633543,0.0502024878,0.07609640256,0.04333267368,0.04386112092,0.04016199024,0.0317068344,0.01638186444,0.026950809239999998,0.013739628240000001,0.00422757792,0.3931647465600001
Hubei,0.0563090616,0.016864135199999998,0.07060070160000001,0.3835876175999999,0.3664376496,0.168641352,0.024867453599999995,0.1117606248,0.017149967999999998,0.008574983999999999,0.1712138472,0.08031901679999999,0.097183152,0.15263471519999994,,0.007431652799999998,0.006288321600000001,0.40616840880000005,0.0608823864,0.0262966176,0.14891888879999998,0.2152320984,0.0354432672,0.014005807199999998,0.042017421599999986,0.034585768799999986,0.005716656,0.006288321600000001,0.0037158264,0.0017149967999999995,0.112903956
Hunan,0.034273176839999996,0.012366610200000001,0.0423998064,0.09045292031999999,1.32499395,0.10211286707999999,0.01907991288,0.0830329542,0.015546595680000002,0.006713302679999999,0.15935260572,0.05900639724,0.03745316232,0.0547664166,0.4169314296,0.00812662956,0.004946644080000001,,0.06571969992,0.03639316716,0.0812662956,0.31870521144,0.052646426280000005,0.010246619879999998,0.21411902232,0.17525253312,0.0035333172,0.004946644080000001,0.0028266537599999997,0.0014133268799999999,0.08762626656
Guangdong,0.07115203296000001,0.03096431064,0.10145752847999999,0.24969093048000005,,0.22663240128000003,0.039528907200000005,0.20818557792000006,0.050728764239999995,0.01581156288,0.26616130848,0.27209064456,0.10079871336,0.11002212504,0.3280899297600001,0.03425838624,0.022399714080000004,1.021163436,0.38079513936,0.16338614976000002,0.15745681368000006,0.52968735648,0.16931548584000003,0.024376159440000003,1.29984223176,0.22860884664000006,0.00856459656,0.01251748728,0.00856459656,0.00395289072,0.19500927552
Guangxi,0.02028324564,0.004723495560000001,0.0305637948,0.03556514304,1.7124060668399999,0.04417857612,0.00805772772,0.04140004932,0.011669812560000001,0.00333423216,0.04973562972,0.0500134824,0.013614781319999998,0.01972754028,0.04362287076,0.006390611639999999,0.0041677902,0.22005932256,0.03917722788,0.04278931272,0.0333423216,0.04056649128,0.1014162282,0.005279200919999999,,0.14781762576000002,0.00222282144,0.0013892634,0.0019449687600000005,0.0008335580399999999,0.036120848399999995
Hainan,0.023847786719999996,0.013094336880000002,0.0193854708,0.030650989680000008,0.16393524552000002,0.02604236832,0.013825864080000002,0.0336502512,0.015654682080000003,0.005925370320000002,0.027651728160000003,0.04740296256000001,0.01894655448,0.014337933119999998,0.021360594240000003,0.01587414024,0.009290395440000002,0.030577836960000004,0.014923154880000003,,0.028090644480000003,0.014923154880000003,0.014337933119999998,0.0042428577600000005,0.03906355248,0.014557391280000003,0.00270665064,0.00299926152,0.0018288179999999998,0.0003657636000000001,0.060789910320000015
Chongqing,0.02826023256,0.01239989796,0.036911324160000016,0.05017633128000001,0.15918008544,0.06401807784,0.0187440318,0.061422750360000014,0.01355337684,0.00749761272,0.07526449692,1.2976637400000002,0.07497612720000002,0.03402762696,0.18657520884,0.00605576412,0.004613915520000001,0.0836272188,0.044408936880000006,0.035469475560000005,,0.0230695776,0.08824113432000001,0.021627729,0.038353172760000005,0.31864854060000003,0.005479024680000001,0.008939461320000001,0.00605576412,0.00749761272,0.06603666588000001
Sichuan,0.051451417080000006,0.02205060732,0.058027913999999986,0.08549445995999999,0.25454911608,0.10986618383999998,0.0348167484,0.10251598139999997,0.02785339872,0.01663466868,0.11373471143999997,,0.23714074188,0.03752471772,0.08472075443999999,0.01237928832,0.00928446624,0.05880161952,0.06073588332,0.051451417080000006,1.2174256357199995,0.030948220800000002,0.4545519929999999,0.10677136176,0.05841476676,0.30793479696,0.011218730039999998,0.02591913492,0.0367510122,0.05299882812,0.12959567460000002
Guizhou,0.014685675840000002,0.005099193000000001,0.01754122392,0.031614996600000014,0.24863665068,0.049972091400000015,0.007750773360000002,0.04487289840000002,0.008158708800000001,0.003263483520000001,0.13543456607999999,0.28514687256000004,0.020396772000000004,0.01713328848,0.03345070608,0.00244761264,0.0040793544,0.19499314032000006,0.05751889704000001,0.018561062520000005,0.26189455248000004,0.030595158000000008,0.34103402784000003,0.0057110961600000025,0.15562737036000002,,0.0022436449200000006,0.0018357094800000003,0.0014277740400000006,0.0018357094800000003,0.03324673836
Yunnan,0.02283262992,0.0074454228,0.02299808376,0.037227114,0.15254844048,0.04847797512,0.01058904576,0.05095978272,0.010092684239999998,0.005294522879999999,0.06982152047999997,0.42339637655999995,0.02713442976,0.018365376240000002,0.030608960400000006,0.006287245919999999,0.00446725368,0.0562543056,0.032098044959999995,0.012905399520000001,0.07561240488,0.02051627616,,0.00562543056,0.11101952663999998,0.32991495696,0.00198544608,0.0033090768,0.0018199922399999998,0.006287245919999999,0.045996167519999985
Tibet,0.0017650936800000002,0.0008645356799999999,0.0017650936800000002,0.006411972960000001,0.0047189239200000005,0.0033680869200000004,0.0012787923599999998,0.0023954842800000004,0.00079249104,0.00018011159999999998,0.00264764052,0.06838837452,0.0079249104,0.0017470825200000002,0.0017470825200000002,0.0003061897200000001,0.000450279,0.0025575847199999996,0.0009365803199999999,0.0003061897200000001,0.01253576736,0.0009906138,0.00949188132,0.006375950640000001,0.0019271941200000003,0.00158498208,0.00079249104,0.00190918296,0.0302587488,,0.0034221204
Shaanxi,0.084352104,0.02586797856,0.08350858296,0.31238395847999995,0.10544013,0.11303181935999995,0.36749399975999997,0.06298290432,0.02193154704,0.22550129136,0.06776285687999999,0.25333748568000003,,0.05004891504,0.09925430904,0.0112469472,0.00759168936,0.03739609944,0.02361858912,0.02502445752,0.06270173064,0.02193154704,0.0267114996,0.35765292096,0.014621031359999996,0.023337415440000002,0.12427876655999998,0.0224938944,0.032897320559999985,0.00506112624,0.1377751032
Gansu,0.01872571608,0.013978351439999998,0.0217587546,0.03771517464,0.031649097599999995,0.038242659599999985,0.014373965159999997,0.021626883359999998,0.0059342058,0.06092451287999999,0.02597863428,0.09850781627999998,0.38084414112,0.01411022268,0.01833010236,0.0019780686,0.0017143261199999995,0.01028595672,0.013978351439999998,0.00975847176,0.019385072280000002,0.00580233456,0.00883537308,,0.006989175719999999,0.0077804031599999985,0.15573993444,0.04852861632,0.17815804523999998,0.0054067208399999995,0.03982511448
Qinghai,0.005196992399999999,0.0018005328,0.0065064708,0.0152226864,0.009002664,0.0092481912,0.005033307599999999,0.003928435199999999,0.0009821087999999998,0.0033964596000000003,0.008388845999999998,0.0380976372,0.031427481599999994,0.0033964596000000003,0.003887514,0.0006547392,0.0005319756,0.0041739624,0.0043785684,0.0027826415999999995,0.0060563376,0.0015140844,0.0027417204,0.17952130439999994,0.003478302,0.0020051388,0.0109668816,0.0149771592,,0.0191920428,0.0101484576
Ningxia,0.012372549119999998,0.0038664216,0.01147038408,0.020427594119999996,0.013790237040000002,0.015594567119999996,0.01147038408,0.009021650400000001,0.00206209152,0.16354963367999995,0.00844168716,0.01488572316,0.1172814552,0.005928513119999999,0.006315155279999999,0.00296425656,0.00115992648,0.00470414628,0.008312806439999999,0.0035442197999999998,0.007023999239999999,0.00315757764,0.0034797794399999997,0.15182148816,0.00212653188,0.00238429332,,0.00431750412,0.01018157688,0.0006444036,0.02113643808
Xinjiang,0.015806314079999998,0.00347841216,0.018005898240000002,0.05120427311999999,0.01902896064,0.01923357312,0.006496446239999999,0.01294173936,0.0035807183999999994,0.010230624,0.012890586240000002,0.05897954736,0.03764869632,0.007775274239999999,0.008389111679999998,0.0024041966399999995,0.0015857467199999998,0.008542571039999999,0.0053710776,0.008491417920000001,0.020563554239999997,0.00291572784,0.0052687713600000005,0.09939051216,0.0028134215999999997,0.0034272590399999996,0.00941217408,,0.028696900319999996,0.0016880529599999998,0.0245534976
Taiwan,0.00032345243999999993,6.448896e-05,0.00055017144,0.00042119351999999986,0.0003879414,0.000226719,0.00032345243999999993,0.0017815075199999995,0.00042119351999999986,0.000226719,0.00019346688,0.0005179269599999999,9.673344e-05,9.673344e-05,0.000226719,0.00035569692000000003,0.00019346688,0.000226719,0.00174926304,3.224448e-05,6.448896e-05,0.00012897792,0.00035569692000000003,9.673344e-05,0.00019346688,0.00019346688,,9.673344e-05,9.673344e-05,3.224448e-05,0.00019346688
Hong Kong,0.00016130664,3.0935520000000004e-05,0.00012816143999999998,,0.01989153936,3.0935520000000004e-05,3.0935520000000004e-05,0.0005170651199999999,6.408071999999999e-05,3.0935520000000004e-05,0.00012816143999999998,0.00019224216,3.0935520000000004e-05,6.408071999999999e-05,,,,6.408071999999999e-05,0.00019224216,9.501624e-05,3.0935520000000004e-05,3.0935520000000004e-05,,3.0935520000000004e-05,3.0935520000000004e-05,,,,,,0.00016130664
Macau,0.00080889192,0.0009029491199999998,0.00060196608,0.0006960232799999999,0.15600327192,0.004589991359999999,0.00015049152,0.004100893919999999,0.00041385167999999996,0.00024454872000000003,0.0035177392799999995,0.0011286864,0.00031979447999999996,0.0007712690399999997,0.00184352112,0.0003762288,0.000470286,0.00167421816,0.00208806984,0.0006960232799999999,0.00041385167999999996,0.0010534406400000002,0.00041385167999999996,5.643431999999999e-05,0.0015425380799999994,0.0009593834399999999,,,5.643431999999999e-05,,0.00186233256
