,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hubei,Heilongjiang,Hainan,Anhui,Hunan,Fujian,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07697917296000001,0.19187346096,0.02125544328,0.30217197744,0.29125702008000004,1.25866692504,0.033893814960000004,0.049404543839999995,0.018383086080000003,,0.12466030248,0.9507502332,0.06663868704,0.1665967176,0.024702271919999998,0.043085358,0.6169823265600001,0.157979646,0.31423587768000005,0.020680971840000003,0.07525575864,0.08272388736000001,0.4515345518399999,0.053425843920000014,0.022404386159999998,0.17176696056,0.008042600160000002,0.00746812872,0.004595771520000001,0.0011489428800000002,0.12293688816000002
Anhui,0.06254783387999999,0.1931006952,0.01805071716,0.4185247676400001,0.11921869008,1.6455537504000002,0.02392769484,0.01805071716,0.0083956824,0.62925639588,0.03442229784,0.35597693376,0.038200354920000006,0.13307156604,0.009655034759999999,0.01637158068,,0.052473015000000005,0.060448913279999995,0.005876977680000001,0.025187047200000003,0.02182877424,0.14314638492,0.02014963776,0.01217373948,0.017630933039999998,0.00503740944,0.0041978412,0.0029384888400000005,0.0008395682400000001,0.09487121112
Fujian,0.02549495088000001,0.04926467951999999,0.01015964208,0.05884924752,0.4209542265600001,0.10907238384000002,0.015335308800000003,0.01801898784,0.0061341235200000005,0.3105400032,0.05769909936000001,0.07629316128000001,0.029328778080000006,0.05654895120000001,0.010543024800000002,0.022811271839999998,0.06191630928000001,0.0680504328,,0.006325814880000001,0.04773114864000001,0.03603797568,0.23750559504000004,0.044089012800000014,0.00920118528,0.0555904944,0.0032587531200000005,0.0032587531200000005,0.0015335308800000006,0.0007667654400000003,0.05808248208
Jiangxi,0.023435892000000003,0.0439114608,0.0054272592,0.05525936640000001,0.5577742296,0.12680051039999998,0.0078941952,0.0091276632,0.0032070168,0.4141985544,0.0288631512,0.1043513928,0.0194887944,0.16873842239999998,0.004193791200000001,0.019735488,0.1349413992,0.31379425920000004,0.2286849672,0.003453710400000001,0.024175972799999997,0.026889602400000004,,0.044404848,0.004933872,0.030343312799999998,0.0017268552000000005,0.0019735488,0.0014801615999999998,0.0002466936,0.052792430400000014
Shandong,0.7970175662400002,,0.16329871188,0.6237311655600001,0.15031471644000002,0.9378439783200002,0.12834180107999998,0.16080178968,0.06192367056000001,0.2521891422,0.08489535480000003,0.16379809632,0.1023738102,0.10187442576,0.08040089484,0.036455064120000005,0.224722998,0.06442059276,0.07640581932000001,0.057928595039999996,0.04194829296,0.04394583072000001,0.05842797948,0.04594336848,0.025468606440000003,0.029463681960000005,0.012484611,0.016479686519999998,0.008988919920000001,0.00149815332,0.43246692503999995
Henan,0.3502953475200001,0.5824130979600001,0.053674287120000004,,0.29567940624000005,0.4435191093600001,0.33569970804000004,0.0376661664,0.03154541436,0.32863730184,0.08898631812,0.14831053019999998,0.270725571,0.37901579939999996,0.01742060196,0.051320151720000005,0.44116497396000004,0.10970270964000002,0.07203654324000001,0.01553729364,0.051790978800000005,0.040491128880000005,0.0729781974,0.04425774552,0.04284526428,0.036724512240000014,0.01553729364,0.025424662320000003,0.016008120719999998,0.005649924959999999,0.29473775208
Hubei,0.051783287040000014,0.07687415807999999,0.009609269759999999,0.3574114502400001,0.3421967731200001,0.15668448192000006,0.02455702272,0.019218539519999998,0.008007724800000001,0.16469220672,0.08274648960000001,0.06699796416,0.09155498688000002,,0.0074738764800000015,0.029628581760000005,0.13372900416000005,0.3833030937600001,0.06406179840000001,0.005338483200000001,0.15401524032,0.036568609920000016,0.19165154688,0.046177879680000006,0.01227851136,0.032831671680000014,0.004270786560000001,0.005338483200000001,0.00347001408,0.0010676966400000002,0.09902886336
Hunan,0.0329311008,0.0519298128,0.007599484799999999,0.08961059160000001,1.0572783228,0.0937269792,0.01583226,0.0183654216,0.0069661943999999995,0.14565679199999998,0.0620624592,0.0519298128,0.0386307144,0.3574924308,0.0120325176,0.0373641336,0.044330328,,0.0668121372,0.00791613,0.0829610424,0.05889600720000001,0.31379539320000005,0.2219682852,0.009499356,0.1861873776,0.0037997424,0.005382968399999999,0.003166452,0.0012665808,0.0731450412
Guangdong,0.07135437096,0.11603421071999998,0.0233402148,0.22940096832,,0.23473587456,0.03534375384,0.04868101944,0.01867217184,0.27941571431999995,0.24540568704,0.15604600751999995,0.09269399591999998,0.3040896556799999,0.039344933519999986,0.200058984,0.10869871463999996,0.9916256973599998,0.39945110472,0.02467394136,0.15071110127999998,0.183387402,0.5721686942399999,1.4564294035199998,0.025340804639999995,0.23073469488,0.007335496079999998,0.01200353904,0.006001769519999999,0.00266745312,0.20139271056
Guangxi,0.02069055576,0.03067909992,0.00499427208,0.03710030688,1.33989185232,0.04328369136,0.00808596432,0.01236676896,0.00404298216,0.04708885103999999,0.05279659056,0.02425789296,0.01522063872,0.0368624844,0.00761031936,0.04804014096,0.01926362088,0.20072217312,0.03519772704,0.0071346744,0.0309169224,0.10892269584000001,0.03638683944,,0.005945562,0.15482243447999994,0.00214040232,0.00190257984,0.00142693488,0.00047564496,0.03400861464
Hainan,0.024177933,0.02678171040000001,0.011754195120000002,0.027153678599999998,0.17913988512,0.030873360600000007,0.01688735628,0.016664175360000002,0.007736938559999999,0.02804640228,0.043669066680000014,0.02499626304,0.017036143559999998,0.018375229080000003,0.01844962272,,0.013614036119999999,0.033402744360000014,0.016589781720000002,0.00877844952,0.02507065668,0.015473877119999998,0.01353964248,0.04143725748,0.00610027848,0.016738569000000002,0.00431483112,0.0026037774,0.001859841,7.439364000000001e-05,0.051406005240000004
Chongqing,0.0283484124,0.04716144972,0.00927766224,0.04870772676,0.15952424795999998,0.07138645667999999,0.017009047439999998,0.013658780519999998,0.00798909804,0.07499443643999999,1.0486335459599998,0.038914638839999995,0.05901624036000001,0.18503781912,0.007731385199999999,0.04071862872,0.027059848199999997,0.08916864263999999,0.04071862872,0.00592739532,,0.09690002784,0.0219055914,0.042007192919999985,0.0154627704,0.29791604304,0.005411969639999999,0.008762236560000001,0.00438111828,0.00798909804,0.05051171664
Sichuan,0.05093859312,0.06681076343999999,0.01439568936,0.08489765519999999,0.26170625016,0.09855510407999997,0.034328182320000004,0.025100176319999997,0.01550305008,0.10741398984000002,,0.06422692176,0.20966029632,0.08157557303999999,0.01365744888,0.0682872444,0.033220821600000006,0.06607252295999999,0.05758275744,0.008858885759999999,1.09038118896,0.49499024184,0.02731489776,0.06976372536,0.08268293376000001,0.31781252664,0.00959712624,0.026576657280000002,0.029160498960000007,0.046509150240000005,0.12587000184
Guizhou,0.0117193392,0.019847268,0.002835324,0.026841067199999995,0.195637356,0.043474968,0.005670648,0.0062377128000000006,0.0022682591999999995,0.1060411176,0.26179491599999993,0.0236277,0.0202253112,0.0289203048,0.0024572808,0.025139872799999997,0.015499771199999996,0.1929910536,0.0423408384,0.0013231512,0.2782397952,0.34515344159999994,0.029676391200000006,0.16255857599999998,0.004536518399999999,,0.0009451080000000001,0.0015121728,0.0011341295999999998,0.0007560864,0.026841067199999995
Yunnan,0.020753415,0.02639834388,0.007139174759999999,0.03254135472,0.14842842407999998,0.044495321760000005,0.008965475280000001,0.011621912399999998,0.005810956199999999,0.06441860015999999,0.42702226704,0.034865737200000003,0.02805861708,0.03021697224,0.006641092800000001,0.01759889592,0.01759889592,0.0564492888,0.03021697224,0.00531287424,0.08301366,,0.02108546964,0.11887556112,0.006641092800000001,0.34948750860000005,0.00215835516,0.0024904098,0.00199232784,0.0049808196,0.041672857319999985
Tibet,0.00119784744,0.0025744780800000004,0.0005005929600000001,0.0060249938399999994,0.0042014052,0.00352202904,0.00069725448,0.0008581593599999999,0.00021453984,0.0026102347199999996,0.07668011447999999,0.000893916,0.007115571360000001,0.0018951019199999997,0.00033968808,0.00037544472,0.00101906424,0.0016805620799999995,0.00109057752,0.00016090488000000002,0.00986883264,0.008903403360000001,0.0012514824,0.00132299568,0.00588196728,0.0016090488,0.0005005929600000001,0.0009654292800000001,0.03096525024,,0.0034862724
Shaanxi,0.08031830400000001,0.08673350399999999,0.0128304,0.258147648,0.100590336,0.10649232,0.352322784,0.020785248000000003,0.222992352,0.06543504,0.21811679999999997,0.033872256,,0.10007712,0.009237888,0.0256608,0.039004416,0.037977984,0.028483487999999998,0.006671808,0.058763232,0.03079296,0.021041856,0.01667952,0.30228422399999993,0.024121152,0.12086236800000001,0.02437776,0.032076,0.0064152,0.119066112
Gansu,0.020661813719999998,0.02271591216,0.007491417839999999,0.040719480839999996,0.0314156232,0.03371138028,0.01498283568,0.0041081968800000005,0.05268158352,0.02489083992,0.09267608844,0.018486885959999998,0.34726346568000005,0.014741177039999998,0.00217492776,0.00990800424,0.0102704922,0.00894136968,0.0108746388,0.00169161048,0.01897020324,0.00882054036,0.006283124639999999,0.00652478328,,0.0078539058,0.14668679448,0.04700260548,0.1516407966,0.0041081968800000005,0.0380612358
Qinghai,0.0056861481600000005,0.006915585600000001,0.0011525976,0.014637989520000004,0.01279383336,0.008221862880000002,0.0029199139200000003,0.00103733784,0.00372673224,0.007222944959999998,0.03865043952,0.0041877712800000005,0.03127381488,0.004456710720000001,0.00092207808,0.00330411312,0.00272781432,0.0034962127200000004,0.00315043344,0.00069155856,0.00626244696,0.0029583338399999997,0.0014983768800000002,0.00195941592,0.15636907440000006,0.0017288964000000005,0.00929762064,0.01659740544,,0.0180573624,0.01167965568
Ningxia,0.012221092079999996,0.012599063999999998,0.00239382216,0.016063806599999998,0.013418003159999995,0.012284087399999996,0.012599063999999998,0.0029607800399999986,0.14829098327999998,0.009386302679999998,0.015937815959999997,0.006299531999999999,0.12454174763999995,0.0058585647600000006,0.0013229017199999993,0.0061105460399999995,0.0054805928399999995,0.005669578799999999,0.005417597519999999,0.0009449297999999998,0.007559438399999998,0.0032757566399999986,0.0030867706799999994,0.003023775359999999,0.15288964163999996,0.00277179408,,0.005354602199999999,0.010331232479999996,0.00025198128,0.02041048368
Xinjiang,0.01453025304,0.019581989759999998,0.00218734992,0.05062152672,0.0153635292,0.01880079336,0.005989172399999999,0.00505173672,0.00921811752,0.01203042456,0.06864112368,0.007655724720000001,0.0437469984,0.008957718719999999,0.00281230704,0.007343246159999999,0.008749399679999999,0.00890563896,0.00656204976,0.0020311106399999996,0.01729048032,0.005155896239999999,0.0020831904,0.0031247856,0.1072843056,0.0032289451199999995,0.00900979848,,0.02848762872,0.00119783448,0.024112928880000002
Taiwan,0.0001617408,9.704448000000001e-05,,,0.0001617408,0.0001617408,,3.234816e-05,3.234816e-05,0.0002592,,0.0008099481599999999,,3.234816e-05,3.234816e-05,3.234816e-05,3.234816e-05,3.234816e-05,0.0014577408,,6.469632e-05,6.469632e-05,,9.704448000000001e-05,,,,,,,0.00029154816000000005
Hong Kong,6.478055999999997e-05,9.717084000000001e-05,,6.478055999999997e-05,0.02284013052,,6.478055999999997e-05,3.2390279999999986e-05,,0.0003239028,,0.0004534639199999999,,6.478055999999997e-05,,3.2390279999999986e-05,3.2390279999999986e-05,,0.0003239028,,3.2390279999999986e-05,3.2390279999999986e-05,3.2390279999999986e-05,,,,,,,,9.717084000000001e-05
Macau,0.0009320994000000004,0.00126351252,0.00024855984000000003,0.0008078194800000003,0.18393428160000005,0.0017399188800000002,0.00037283976000000013,0.0004349797200000001,0.0003106998000000001,0.0019677654000000004,0.0008078194800000003,0.0024855984000000005,0.00028998648000000014,0.0010978059600000002,0.00037283976000000013,0.0007249662000000001,0.0003106998000000001,0.0019884787200000003,0.0010356660000000002,0.00028998648000000014,0.0005385463200000001,0.0003106998000000001,0.0006628262400000003,0.0017399188800000002,8.285328000000002e-05,0.00028998648000000014,,,,,0.0017399188800000002
