,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hubei,Heilongjiang,Hainan,Anhui,Hunan,Fujian,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.48280874056,0.38303109251999995,0.314696907,0.28592461835999994,0.26254713384,0.21938870088000004,0.19541179368,0.18941756688000005,0.17443199988,0.1408643298,0.13966548444000002,0.12467991744000001,0.11568857723999998,0.10669723704,0.10070301024,0.0959076288,0.09530820612,0.08152148448,0.07312956695999999,0.07253014428,0.0569451546,0.055746309240000014,0.053948041200000005,0.037164206160000005,0.03656478348,0.0359653608,0.0209797938,0.016783835040000004,0.01138903092,0.00239769072,
Tianjin,0.92889031932,0.17526232440000006,,0.06852953808,0.030917061720000007,0.05041253376,0.041354031600000014,0.0561233286,0.0374155524,0.02500934292,0.020677015800000004,0.019889319960000002,0.01614776472,0.01457237304,0.0226462554,0.0137846772,0.02402472312,0.009846198,0.010830817800000002,0.01752623244,0.01122466572,0.010043121960000002,0.008467730279999999,0.007089262559999999,0.006695414640000001,0.004332327120000001,0.0039384792,0.00236308752,0.0013784677200000006,0.00059077188,0.32551530588000005
Hebei,,0.9036555695999999,0.9507787128000004,0.4088625660000001,0.0984042108,0.1877995854,0.4629155832,0.2397736404,0.2432385774,0.100483173,0.0616758786,0.04504418100000001,0.1053340848,0.0720706896,0.0582109416,0.043658206200000015,0.08246550059999999,0.044351193600000005,0.0318774204,0.050588080199999996,0.0318774204,0.034649370000000006,0.034649370000000006,0.028412483399999997,0.022868584200000003,0.0200966346,0.0159387102,0.011780785800000002,0.007622861400000002,0.0006929874000000001,2.5183162116000006
Shanxi,0.4513762033200001,0.13901163947999998,0.04304421324,0.36716949108,0.04516114176,0.08138414088000001,,0.02375664228,0.17735156712000003,0.03833992764,0.050100641640000006,0.023991856560000004,0.41915184696,0.03622299912,0.008467714079999999,0.02728485648,0.02869614216,0.017405856719999998,0.02046364236,0.0065859998400000005,0.0223453566,0.014583285359999998,0.01364242824,0.011995928280000002,0.018346713840000004,0.00987899976,0.01223114256,0.00611557128,0.0042338570399999996,0.00070564284,0.22862828016000006
Inner Mongolia,0.25604964431999994,0.06426187488,0.030334798080000003,0.0379184976,0.02454723792,0.0289378008,0.17203023648,0.25505178912,,0.02015667504,0.02734123248,0.01357083072,0.219528144,0.011375549279999998,0.17043366815999994,0.014169543839999996,0.009978552,0.007583699520000001,0.00838198368,0.13650659135999998,0.011375549279999998,0.0079828416,0.004989276,0.005787560159999999,0.06426187488,0.0053884180799999995,0.16744010256,0.0059871312,0.00419099184,0.00019957104,0.20635645536
Liaoning,0.24839561736,0.17637316488,0.05340301164,0.0470601252,0.06465651984000001,0.08307135144,0.02578076424,,0.23877898308,0.055244494800000016,0.032328259920000005,0.038671146360000005,0.0265992012,0.022507016400000003,0.17944230348,0.034783570800000004,0.01861944084,0.0194378778,0.030691386,0.34640344331999995,0.013504209840000002,0.01575491148,0.012071945159999998,0.01555030224,0.00491062176,0.011458117440000002,0.0028645293600000005,0.00429679404,0.0014322646800000007,0.0010230462,0.21647657592000005
Jilin,0.06242646024,0.07914105,0.020006857440000005,0.01861397496,0.03203629704,0.039507212160000006,0.007597540800000002,0.3897538430400001,0.13131083016,0.025831638720000005,0.0139288248,0.01848734928,0.010256680080000002,0.0082306692,0.23210487144,0.02190624264,0.009496926,0.009496926,0.010763182800000002,,0.006331284,0.007597540800000002,0.0062046583200000005,0.00797741784,0.0025325136000000003,0.00367214472,0.0011396311199999998,0.0016461338399999998,0.0008863797600000002,0.00037987704,0.08471257992
Heilongjiang,0.07056446867999999,0.10221380279999999,0.025984472760000002,0.018841821480000003,0.04962911148,0.041993863560000004,0.008004695400000001,0.1884182148,0.15073457184000005,0.029432649239999997,0.016625136600000003,0.02499927948,0.011452871880000002,0.009975081960000002,,0.03645215136,0.01022138028,0.01083712608,0.011206573559999999,0.25935213096,0.0049259664000000005,0.00886673952,0.00517226472,0.008620441199999999,0.00197038656,0.0036944748,0.0020935357200000003,0.00147778992,0.00049259664,0.00024629832,0.11440556964000001
Shanghai,0.0407223936,0.1450735272,0.01832507712,0.1476186768,0.1985216688,2.1715216387200003,0.02697858576,0.039195303839999994,0.011707688159999998,1.0821976099200001,0.0687190392,,0.03970433376,0.07533642816000001,0.01934313696,0.03257791488,0.36090221328,0.05904747071999999,0.09264344544,0.014761867679999997,0.04733978256,0.04937590223999999,0.11554979184,0.029014705439999993,0.016288957439999998,0.03257791488,0.0055993291200000005,0.0050902992,0.00407223936,0.0005090299199999999,0.12929359967999998
Jiangsu,0.14214588263999994,0.8406213404399998,0.039212657279999986,0.40928211036,0.2614177152,,0.0694390806,0.0694390806,0.023690980439999995,1.3544705368799996,0.11273638968000001,1.96144979436,0.10456708608,0.16175221127999995,0.032677214399999994,0.039212657279999986,1.60771894848,0.10375015572,0.11763797183999998,0.02614177152,0.07107294131999999,0.0735237324,0.1593014202,0.040846518,0.03186028404,0.06045284664,0.01143702504,0.0122539554,0.00653544288,0.00326772144,0.2083172418
