,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Shaanxi,Sichuan,Hainan,Heilongjiang,Hubei,Anhui,Jilin,Hunan,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2116974378400003,0.346076874,0.29176942608,0.26461570212,0.21989192148,0.1916733456,0.18581666004,0.16558447355999995,0.14854684284000003,0.11766613715999998,0.11447158139999998,0.11340672947999997,0.10222578431999997,0.09104483916000002,0.08678543147999998,0.08572057956,0.08465572764,0.06708567096,0.06495596711999999,0.060164133479999986,0.0559047258,0.04738591044,0.0425940768,0.04046437296,0.03407526144,0.02768614992,0.0212970384,0.01703763072,0.01118094516,0.00212970384,
Tianjin,0.92441299896,0.17314982172,,0.07104623400000001,0.032275289160000005,0.048108449880000015,0.04892040683999999,0.05155926696,0.037350020160000004,0.02374974108,0.022328816400000003,0.018269031600000003,0.02111088096,0.018269031600000003,0.02517066576,0.01766006388,0.02151685944,0.01989294552,0.010149462,0.00994647276,0.010149462,0.010149462,0.007307612640000001,0.0075106018799999995,0.00974348352,0.00629266644,0.0018269031600000002,0.004262774039999999,0.0008119569599999999,0.00020298923999999998,0.37350020159999997
Hebei,,0.9096240384000002,0.95727101184,0.4129404364800001,0.10323510912000003,0.18697827456,0.45553394304,0.2201867712,0.2418444864000001,0.1010693376,0.04909082112000001,0.11839550976,0.06786084096,0.04981274496000001,0.06569506944000003,0.07508007936000001,0.08807470848,0.0505346688,0.04909082112000001,0.032486572800000016,0.03393042048,0.02959887744,0.035374268160000014,0.027433105920000003,0.026711182080000003,0.01877001984,0.012272705280000002,0.01588232448,0.007219238400000001,0.0014438476800000002,2.762802535680001
Shanxi,0.437024808,0.1336243392,0.044388907199999994,0.32742539280000005,0.044617715999999995,0.06910025759999999,,0.0201351744,0.2061567288,0.0402703488,0.021736836000000002,0.386686872,0.0567445824,0.029745144000000005,0.010296396,0.0336348936,0.0299739528,0.006864264,0.020592792,0.017389468800000002,0.0185335128,0.0215080272,0.0112116312,0.0118980576,0.020592792,0.008694734400000001,0.006864264,0.015330189600000004,0.0061778376000000005,0.0013728528,0.2249190504
Inner Mongolia,0.23559430607999995,0.06160604688,0.03053671488,0.03408749568,0.02183730192,0.02379023136,0.15765466752,0.23044567392,,0.014558201279999997,0.007634178719999998,0.21819548015999995,0.017398825919999996,0.01846406016,0.10510311168,0.009232030079999998,0.011717576640000001,0.13031365535999995,0.007456639679999998,0.00656894448,0.0072791006399999985,0.005858788320000001,0.00514863216,0.004616015039999999,0.050066009280000004,0.0030181636800000002,0.0060363273600000005,0.14487185664000002,0.0035507808,0.00017753904,0.19990895904
Liaoning,0.24041844576000004,0.14172638688000005,0.05336256672000001,0.045712019520000015,0.06847239744,0.07191514368,0.02237785056,,0.22339597824000004,0.05278877568,0.03653136288,0.027733233599999997,0.028307024640000008,0.03787020863999999,0.17137225728000005,0.020465213760000003,0.020465213760000003,0.3240006739200001,0.017404994880000003,0.02084774112,0.015874885440000003,0.01224087552,0.01109329344,0.01090202976,0.007076756160000002,0.0076505472000000015,0.004972855680000001,0.0030602188800000004,0.0017213731200000002,0.00038252736,0.20809488384000005
Jilin,0.0483095502,0.0554499918,0.0203056308,0.0157312854,0.033247681200000004,0.0282270582,0.0075867192,0.3234396906,0.1276353936,0.0254378232,0.0143924526,0.008367705,0.0112685094,0.0242105598,0.2212421202,0.0087024132,0.0088139826,,0.0098181072,0.0102643848,0.006694164,0.005690039399999999,0.005801608799999999,0.006471025199999999,0.0017851104,0.0034586514000000002,0.0013388328,0.0010041246,0.0007809858,0.0003347082,0.07809858
Heilongjiang,0.06197619744000001,0.07881755543999999,0.02346562548,0.017290460880000004,0.04187884356,0.036489609000000006,0.008532954720000001,0.16863813144,0.1055391768,0.02773210284,0.0230165226,0.013023983519999999,0.013473086400000002,0.035479127520000014,,0.009431160479999999,0.011227572000000002,0.27327910248000004,0.01268715636,0.01077846912,0.009543436200000002,0.005501510279999999,0.004940131680000001,0.008982057600000001,0.0020209629600000003,0.0015718600800000006,0.0020209629600000003,0.0015718600800000006,0.0017964115200000005,0.00022455144000000006,0.10958110272
Shanghai,0.03956789412,0.13248575784000002,0.02045082168,0.12048201468,0.19294905672,1.80856396944,0.022229154,0.031565398679999995,0.010669993919999995,0.97230319596,,0.037344978719999984,0.0600187158,0.036011229480000004,0.017338740119999998,0.06935496047999999,0.3374385577199999,0.01467124164,0.048014972639999993,0.08091412056,0.04090164336,0.03823414488,0.09514077912,0.02623040172,0.013782075479999998,0.02489665248,0.0026674984799999997,0.00311208156,0.00311208156,0.00044458308,0.13381950707999998
Jiangsu,0.1421352684,0.7832401369199999,0.04039633944,0.37254401928,0.24836267952,,0.06358683059999999,0.06283875023999999,0.02393857152,1.1984247367199998,1.7894082211200002,0.09425812536,0.10024276824,0.041892500160000005,0.0336636162,0.15410455416,1.45277205912,0.026930892959999998,0.09650236644,0.11520437544,0.06508299131999999,0.06283875023999999,0.13315830407999998,0.047877143039999986,0.03291553584,0.05311370555999999,0.014961607199999997,0.009725044679999998,0.006732723239999999,0.0007480803599999999,0.19749321504
Zhejiang,0.0796472352,0.17512180559999999,0.020422368,0.2619168696,0.28591315199999995,1.0604314584,0.0326757888,0.042886972799999985,0.015827335199999997,,0.8179158384,0.05922486719999999,0.097006248,0.0393130584,0.0285913152,0.15316776,0.5764213367999999,0.0194012496,0.1409143392,0.278254764,0.08322114959999999,0.0699466104,0.3910883472,0.05105592,0.022975164000000003,0.1521466416,0.0112323024,0.005105592,0.0056161512,0.0010211184,0.1169180568
Anhui,0.061133181840000016,0.17740609631999998,0.01917903744,0.41714406431999995,0.1158733512,1.528329546,0.0239737968,0.017980347600000002,0.009189955440000001,0.59415059736,0.36520083791999997,0.04035589128,0.035161568639999995,0.01917903744,0.01158733512,0.12466374336,,0.009189955440000001,0.05034497328,0.053941042800000005,0.02477292336,0.025572049920000003,0.11667247775999999,0.019978164,0.00958951872,0.016382094479999998,0.0039956328,0.0039956328,0.00239737968,0.0007991265600000001,0.09229911767999999
Fujian,0.025593796800000002,0.0434915568,0.008232969599999999,0.06013647359999999,0.4229240688,0.0916365312,0.013423319999999996,0.0186136704,0.0057272832,0.27115106399999994,0.079645032,0.0279205056,0.05369327999999999,0.020940379199999998,0.012707409599999995,0.05745180959999999,0.0486819072,0.0069801264,0.0649688688,,0.04026996,0.04026996,0.2038554864,0.0424176912,0.00894888,0.052798392,0.005190350399999999,0.0025056864,0.0025056864,0.0005369327999999999,0.051008616
