,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Shaanxi,Sichuan,Hainan,Heilongjiang,Hubei,Anhui,Jilin,Hunan,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.0213403896,0.0404344224,0.005615892,0.0516662064,0.5404734460799999,0.1100714832,0.0089854272,0.00808688448,0.003818806560000001,0.36256198751999996,0.0965933424,0.0179708544,0.027630188639999997,0.020441846880000003,0.007637613120000002,0.15028126992000002,0.10602804096000001,0.005840527679999999,0.27562797936,0.21138217488,0.0247099248,0.01886939712,,0.042006872160000014,0.007637613120000002,0.026057738880000004,0.0022463568,0.0015724497600000005,0.0013478140799999998,0.0006739070399999999,0.04515177168
Shandong,0.7753327030799999,,0.17024369075999998,0.6500213647199999,0.16774744896,0.8901598258799999,0.13679405064000003,0.14627976948000002,0.062406045,0.22566025872,0.17573542272,0.10683914904,0.08537146956,0.04593084912,0.09136244988,0.10034892035999997,0.23364823248,0.0649022868,0.06590078351999999,0.06340454172,0.05142258108,0.04393385568,0.055915816320000006,0.04243611059999999,0.02895640488,0.02945565324,0.017473692599999997,0.01198196064,0.007987973760000001,0.0019969934400000003,0.4338468248399999
Henan,0.35716070016,0.5997065817599999,0.05992310016,,0.28201903488,0.44799651071999996,0.3043713024,0.04089989376,0.03376619136,0.32767473024,0.1498077504,0.25586212608000003,0.09321371136,0.05611845887999999,0.01854762624,0.3999629145600001,0.4684464575999999,0.01379182464,0.11128575743999998,0.07656840576,0.049935916799999994,0.04613127552,0.07323934464,0.044704535039999986,0.04613127552,0.03899757312,0.027108069119999998,0.01379182464,0.01379182464,0.0047558016,0.29200621823999995
Hubei,0.049977728999999985,0.06606811979999999,0.0112145148,0.3042546624,0.3305843928,0.1379872908,0.0238917924,0.0175531536,0.008288989200000001,0.1521273312,0.06363018179999999,0.0809395416,0.0699688206,0.0333997506,0.0092641644,,0.11945896199999999,0.007313814,0.34691857740000004,0.0614360376,0.0392508018,0.1275041574,0.17309359800000002,0.0448580592,0.014140040399999996,0.034131131999999995,0.0056072574,0.0043882884,0.0031693194,0.0019503504,0.09044749980000001
Hunan,0.02856759192,0.04314289392,0.00670463892,0.07637458248,1.05058776816,0.08220470327999999,0.014283795959999996,0.013700783879999998,0.0058301208,0.13146922404,0.04605795432,0.0320656644,0.048973014719999985,0.04547494224,0.00903668724,0.31832459568000004,0.040519339559999985,0.006121626839999999,,0.06500584692000001,0.056260665719999985,0.0670463892,0.262355436,0.2069692884,0.007287650999999998,0.16091133408,0.005538614759999999,0.00262355436,0.00378957852,0.0008745181199999999,0.07141897979999999
Guangdong,0.07695745200000001,0.1219479624,0.026047137600000003,0.2166648264,,0.20541719879999998,0.0367027848,0.049134373200000005,0.0183513924,0.254551572,0.1355635116,0.091756962,0.22436057160000006,0.18588184560000004,0.041438628,0.27763880760000004,0.0994527072,0.0307829808,0.8761309920000001,0.3705797304,0.1622026296,0.1349715312,0.4824640260000001,1.1401542504000002,0.0230872356,0.19653749280000002,0.013615549199999999,0.007695745199999999,0.005919804,0.002959902,0.1959455124
Guangxi,0.01861366716,0.03039446916,0.0047123208,0.03439994184,1.40356475028,0.032750629559999994,0.00753971328,0.0106027218,0.0032986245600000004,0.045945127800000006,0.0200273634,0.01837805112,0.04688759196,0.05489853732,0.009895873679999998,0.03157254936,0.016728738839999997,0.005654784959999999,0.17953942248,0.033928709759999995,0.10037243304,0.02968762104,0.035813638079999995,,0.006832865159999999,0.13265183052,0.00212054436,0.00188492832,0.0014136962399999998,0.00047123208,0.029452005
Hainan,0.02696434272,0.02421443808,0.00977743872,0.0309364272,0.15903615168,0.028797612479999995,0.014971703039999998,0.02199923712,0.00939550752,0.02421443808,0.02887399872,0.02169369216,0.046748378880000004,,0.02092982976,0.02001319488,0.01138154976,0.01313843328,0.02963786112,0.016270269119999996,0.015735565439999998,0.027040728960000003,0.016881359040000002,0.044533177919999986,0.0062636716799999975,0.01588833792,0.0045831744,0.00206242848,0.0026735183999999994,0.0003819312,0.0672198912
Chongqing,0.024896367359999998,0.031976985599999994,0.005710175999999999,0.043625744639999985,0.15257590271999996,0.05367565439999999,0.014389643519999997,0.009364688639999995,0.006623804159999997,0.06578122751999999,0.031520171519999994,0.05207680511999999,0.9225360345599998,0.042712116479999986,0.005938583039999999,0.15097705343999998,0.021470261759999998,0.00502495488,0.07765839359999999,0.03631671936,0.10072750463999998,,0.02215548288,0.043168930559999985,0.013019201279999995,0.27226119168,0.009821502719999998,0.004339733759999999,0.00365451264,0.005710175999999999,0.05070636288
Sichuan,0.04657606272,0.06245426592,0.01270256256,0.07974386496000001,0.2699294544,0.09279927648,0.03281495328,0.02434657824,0.01376110944,0.10444329216,0.05610298464,0.20218245408,,0.07550967744,0.014466807359999997,0.07797962015999997,0.03105070848,0.00952692192,0.05786722944,0.06033717216,0.5042211638399999,0.98585999424,0.0299921616,0.06492420864,0.09032933376,0.29921591808000003,0.027875067840000003,0.0105854688,0.03140355744,0.04269472416,0.11008887552
Guizhou,0.012016897560000002,0.01811502468,0.0023316368400000003,0.02546864856,0.22168485648000003,0.039099756240000005,0.00520134372,0.005021987040000001,0.0016142101200000002,0.11927219220000003,0.018832451400000002,0.01811502468,0.23962052448,0.025648005240000004,0.0028697068800000005,0.029414495519999997,0.013093037640000004,0.0019729234800000004,0.16895399256000004,0.04663273680000001,0.32266266732,0.23423982408,0.025648005240000004,0.15801323508000004,0.00430456032,,0.0012554967600000007,0.0008967834000000002,0.00107614008,0.0016142101200000002,0.025648005240000004
Yunnan,0.02273951232,0.02490518016,0.005414169599999999,0.033103779840000014,0.158557824,0.04269459456,0.01020957696,0.011601792,0.004176645120000001,0.06094808063999999,0.03294908928,0.03000996864,0.37713558528,0.01964570112,0.007889218560000001,0.03217563648,0.018408176640000003,0.00495009792,0.05244009984,0.030938112000000007,,0.07641713664000002,0.019491010559999997,0.11338818048000003,0.006651694079999999,0.29282923008,0.0032485017600000004,0.0023203584000000004,0.0023203584000000004,0.00556886016,0.041147688960000005
Tibet,0.0025133004,0.0022997519999999995,0.0001478412,0.005010174,0.0042381144,0.0021683376,0.0009691812,0.0012484368,0.0003449628,0.0012812904000000002,0.0008706203999999999,0.0089361792,0.06715275840000001,0.0004763772,0.0005092308,0.0020040696,0.0007392060000000001,0.0003778164,0.0022340448,0.0005092308,0.008164119599999999,0.0093797028,0.0008706203999999999,0.0005092308,0.0075727547999999995,0.0011827296,0.0025133004,0.0002792556,0.0262993068,,0.0032032259999999996
Shaanxi,0.07417189115999999,0.08518751856000001,0.01395312804,0.23965109388,0.11358335808,0.1028125224,0.30329694108000005,0.02007292104,0.20342191932,0.05972917968,0.03133334016,,0.20978650404,0.03476042424,0.01052604396,0.08665626888,0.043572926160000004,0.006854168160000001,0.03378125736,0.027416672640000004,0.03867709176,0.054098970119999985,0.01786979556,0.02423438028,0.29693235636000004,0.024479172,0.03035417328,0.10672918992000001,0.02888542296,0.0073437516,0.1138281498
Gansu,0.01802745072,0.022754160359999998,0.00571602096,0.04023199368,0.028799951760000005,0.032207579640000004,0.01396028196,0.004946556600000001,0.04473885636,0.021105308160000003,0.013190817600000002,0.31756893372,0.08233268652000003,0.00978318972,0.00186869916,0.016378598520000003,0.01033280712,0.0015389287200000005,0.00901372536,0.00978318972,0.009343495799999999,0.015719057640000002,0.005276327040000001,0.00670533228,,0.005606097480000001,0.04979533644,0.12234483324000002,0.14268067704,0.0043969392,0.031438115280000005
Qinghai,0.00652034124,0.0074467285199999985,0.0014252112,0.013218833880000001,0.01040404176,0.009905217840000001,0.00466756668,0.00128269008,0.0027435315600000004,0.0057008448,0.0019596654,0.02878926624,0.03363498432,0.00299294352,0.0007126055999999999,0.00359865828,0.00260101044,0.00042756335999999986,0.0033492463199999998,0.00263664072,0.0037411794,0.00299294352,0.0012114295199999999,0.00138958092,0.14619103883999998,0.0008194964399999999,0.019632284280000002,0.00922824252,,0.017423206919999996,0.009121351679999999
Ningxia,0.010539558,0.013736952,0.002664495,0.019302786000000002,0.012967208999999999,0.012730365,0.01243431,0.002250018,0.14009322600000002,0.010184292,0.003848715,0.112974588,0.012907998,0.0051513570000000005,0.002782917,0.0049145130000000006,0.005861889,0.0005921100000000001,0.0051513570000000005,0.00296055,0.004026348000000001,0.006039521999999999,0.002605284,0.003789504,0.14157350100000002,0.003197394,0.007282953000000001,,0.009651393000000001,0.0006513210000000001,0.018473832000000003
Xinjiang,0.016970575680000002,0.022868885519999996,0.0020695824000000005,0.050653029239999994,0.02162713608,0.01666013832,0.008847464760000001,0.00522569556,0.010865307600000002,0.010865307600000002,0.004811779080000001,0.04842822816,0.05505089184000001,0.009261381240000002,0.00248349888,0.008537027400000001,0.008537027400000001,0.002897415360000001,0.01039965156,0.0058465702799999995,0.0055878724800000005,0.016349700960000005,0.00217306152,0.003828727440000001,0.09980561124,0.0030008944800000003,,0.009985735079999999,0.0235414998,0.0010347912000000005,0.028405018440000006
Taiwan,,3.22056e-05,3.22056e-05,3.22056e-05,9.707688e-05,,,,,0.00012951252,0.00051828012,3.22056e-05,0.0002265894,,,3.22056e-05,,,9.707688e-05,0.0009394833600000002,,,,,3.22056e-05,3.22056e-05,,,,,
Hong Kong,6.3261e-05,,,,0.02378107512,,,,0.00012905244000000005,,0.00045294875999999995,,3.036528e-05,3.036528e-05,,9.615671999999999e-05,,,,0.00012905244000000005,,,,3.036528e-05,3.036528e-05,,,3.036528e-05,,,6.3261e-05
Macau,0.0013888972800000002,0.001021248,0.00018382464,0.00053104896,0.17581805568,0.00310459392,0.0010008230400000001,0.0012254975999999999,0.00014297472000000005,0.00249184512,0.0026143948800000003,0.00018382464,0.0007965734399999999,0.0007965734399999999,0.00024509952,0.0021854707200000003,0.00022467456,0.00053104896,0.00151144704,0.00171569664,0.0003472243200000001,0.00024509952,0.00053104896,0.0021854707200000003,6.127487999999999e-05,0.00063317376,,,,,0.00212419584
