,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Anhui,Shaanxi,Gansu,Sichuan,Hunan,Heilongjiang,Jilin,Zhejiang,Shanghai,Fujian,Jiangxi,Yunnan,Hainan,Guizhou,Chongqing,Guangxi,Hubei,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.029753580960000005,0.01206984888,0.09515532024000001,0.15101345808,0.01852581456,0.02133275616,0.00926290728,0.15185554056,0.71380524888,0.34862214671999997,0.05305119624,0.0168416496,0.04715661888,0.08364685967999999,0.005613883199999999,0.007017354,,0.40869069696,0.15606595295999998,0.24364253088000004,0.04743731304,0.010104989759999999,0.07775228232,0.030876357600000005,0.030876357600000005,0.00533318904,0.00336832992,0.0016841649599999998,0.005052494879999999,0.0008420824799999999,0.01431540216
Anhui,0.0530084736,0.031805084160000004,0.20209480559999998,0.6076096286399999,0.0265042368,0.01921557168,0.0099390888,0.22197298320000006,2.35490143968,,0.07487446896000001,0.0132521184,0.0265042368,0.043069384800000006,0.00265042368,0.00530084736,1.9719152179200004,0.53803600704,0.10071609983999999,0.13450900176,0.021865995359999998,0.009276482880000004,0.0198781776,0.0132521184,0.023853813119999998,0.0198781776,0.0039756355200000005,0.0033130296,0.00530084736,0.0019878177600000002,0.05367107952000001
Fujian,0.014482557000000004,0.007850358,0.029777220000000007,0.045207234000000006,0.012858345,0.009339219000000001,0.006090795,0.386562456,0.07918033499999999,0.037762929,0.044395127999999985,0.009474569999999998,0.032078187,0.043041618,0.00270702,0.003248424,0.21466668600000002,0.050485922999999995,,0.141983199,0.040469949000000005,0.011369484,0.045207234000000006,0.023009670000000003,0.037627578,0.003925179,0.002165616,0.001082808,0.00270702,0.000406053,0.010151325
Jiangxi,0.015654604319999998,0.0065227518000000005,0.034353159480000006,0.039571360920000014,0.007827302159999999,0.0034788009600000003,0.003043950840000001,1.36455967656,0.17915824944000003,0.09914582736,0.03087435852,0.009131852519999999,0.02870010792,0.25047366911999996,0.0008697002400000001,0.00173940048,1.4250038432400003,0.12523683455999998,0.4996427878800001,,0.036962260200000006,0.0173940048,0.04435471224,0.0195682554,0.057835065960000015,0.021307655879999998,0.00130455036,0.00043485012,0.0021742506,0.00043485012,0.01391520384
Shandong,0.5915957115599999,0.17100543096,,0.5396709855599999,0.10384945199999998,0.07442544059999999,0.0467322534,0.09484916616,0.7650242963999999,0.16685145287999995,0.09969547392,0.02527003332,0.03946279175999999,0.03184716528,0.024231538799999997,0.02492386848,0.21012205788,0.11354206751999996,0.034962648839999985,0.043270605,0.02492386848,0.006230967119999999,0.016269747479999996,0.012808099080000001,0.02353920912,0.00934645068,0.008307956159999998,0.008307956159999998,0.0103849452,0.00138465936,0.13292729855999996
Henan,0.3067287264,0.0885939768,0.8710500240000001,,0.2948169312,0.029779488,0.033501924,0.8695610495999999,1.2068137512,0.7534210464,0.3960671904000001,0.055092052800000006,0.0759376944,0.11539551599999999,0.005211410400000001,0.008189359200000001,1.2864738815999999,0.2628039816,0.145175004,0.1384746192,0.0476471808,0.0171232056,0.0349908984,0.0342464112,0.0491361552,0.1198624392,0.014145256799999999,0.0134007696,0.026057052,0.005211410400000001,0.1280517984
Hubei,0.0030820953600000003,0.0007419859199999999,0.00305355744,0.059216184000000005,0.0013983580800000003,0.00108444096,0.0004280688,0.01375527744,0.00610711488,0.01575293184,0.01678029696,0.0007705238400000001,0.00196911648,0.0790500384,0.0007990617600000001,0.00111297888,0.00422361216,0.0015695856,0.00239718528,0.01777912416,0.00102736512,0.00037099296,0.0015981235200000002,0.04471892063999999,0.00211180608,,0.00034245504000000003,0.00025684128,0.00019976544000000005,5.7075839999999996e-05,0.0013412822399999998
Hunan,0.02055847716,0.007171561800000002,0.028208143080000005,0.05354766144000001,0.008127770040000001,0.006693457680000002,0.003346728840000001,2.6510873454,0.10374859404000003,0.038726433720000016,0.031076767800000005,0.0076496659200000015,0.038726433720000016,,0.0009562082400000002,0.0023905206000000003,0.5153962413600001,0.04446368316000001,0.131478633,0.2686945154400001,0.06884699327999999,0.028208143080000005,0.23379291468,0.07458424272000001,0.2701288278,0.10470480228,0.0019124164800000004,0.0009562082400000002,0.0023905206000000003,0.0023905206000000003,0.021036581280000004
Guangdong,0.02411603928,0.007058352959999998,0.04029143148,0.11293364736,0.0117639216,0.01588129416,0.0058819608,,0.06999533352000001,0.05323174524,0.03882094128,0.015587196119999999,0.10558119636,0.5379053151600001,0.006764254920000001,0.007058352959999998,0.11087496108,0.032938980480000005,0.20233945152,0.30321507924,0.07352451,0.0970523532,0.1661653926,0.054408137400000015,0.70407070776,0.016175392200000003,0.0017645882399999996,0.008234745120000001,0.0044114706,0.00029409804,0.01941047064
Guangxi,0.0101341206,0.0026273646000000003,0.0116354718,0.0228956058,0.0033780402,0.0041287158,0.0015013512,2.9539084860000004,0.025147632599999997,0.0116354718,0.0082574316,0.0026273646000000003,0.0255229704,0.15388849799999998,0.0022520268,0.0030027024,0.08144830260000001,0.0123861474,0.044665198200000006,0.0367831044,0.110724651,0.0277749972,0.1658993076,0.015388849799999996,,0.0026273646000000003,0.0003753378,0.0003753378,0.0007506756,,0.005630067
Hainan,0.01083357504,0.00231429312,0.00657393408,0.01546216128,0.010665872639999999,0.00935779392,0.006204988800000001,0.11655316800000001,0.0053664768000000005,0.0038571552,0.00895530816,0.0046956672,0.017642292480000002,0.012175194240000001,0.011135439359999999,0.00858636288,0.01251059904,0.007714310399999999,0.00509815296,0.006473312639999999,0.0056012601600000005,,0.00858636288,0.00919009152,0.0140870016,0.0013080787199999998,0.0017105644800000002,0.00174410496,0.00174410496,0.00010062144,0.008183877119999999
Chongqing,0.016363283040000003,0.0034310109600000005,0.019794294000000004,0.037741120560000015,0.01108480464,0.004486706640000001,0.0018474674400000008,0.35999222688000004,0.06703667568,0.01873859832,0.08339995872000003,0.015835435200000005,0.7669629115200001,0.13222588392,0.0015835435199999998,0.0021113913600000005,0.2760644203200001,0.033782261760000015,0.13539297096000005,0.04143605544000002,0.13539297096000005,0.012668348159999999,0.3087909864,,0.062286045120000015,0.056743642800000015,0.0018474674400000008,0.005278478400000001,0.004486706640000001,0.007917717600000002,0.010820880719999999
Sichuan,0.0387832536,0.013297115520000001,0.07091794944000003,0.12189022560000005,0.047093950800000006,0.014405208480000002,0.008310697200000002,0.95794636392,0.19834863984,0.03712111416,0.33630621336000005,0.0941879016,,0.09640408752,0.0016621394400000002,0.003878325360000001,0.4243996036800001,0.07590436776000001,0.19391626800000006,0.04321562544000001,0.651004614,0.031026602880000007,0.5014120644000001,1.2272129532,0.18615961728,0.012189022560000002,0.006648557760000001,0.01274306904,0.022161859199999998,0.07036390296,0.033242788800000006
Guizhou,0.01005379128,0.00393409224,0.01398788352,0.02141894664,0.0043712136,0.00174848544,0.00131136408,0.92057758416,0.120208374,0.02535303888,0.02054470392,0.0048083349600000005,0.26139857328000005,0.41657665608000005,0.00043712136,0.00043712136,1.01062458432,0.030161373839999995,0.25003341792,0.14687277695999998,0.48389334552,0.00917954856,,0.25396751016,0.33702056856,0.006556820400000001,0.0008742427200000001,,0.0008742427200000001,0.0008742427200000001,0.005682577679999999
Yunnan,0.010910350079999999,0.0022729895999999998,0.01841121576000001,0.021138803280000003,0.0079554636,0.003636783360000001,0.00204569064,0.4014099633600001,0.07932733704000001,0.017274720960000003,0.018183916799999998,0.006137071920000001,0.4559617137600001,0.08228222352000003,0.00204569064,0.0013637937599999999,0.25889351544000005,0.020911504320000003,0.06068882232000001,0.02659397832,,0.005227876080000001,0.48232839312,0.05500634832,0.21116073384000006,0.0040913812800000005,0.0011364947999999999,0.00090919584,0.0006818968799999999,0.0034094844000000005,0.0079554636
Tibet,0.00015867575999999994,,0.00041863392,0.0007123528799999999,0.00012829104,0.00025658208,3.0384720000000002e-05,0.00045239472,0.00025658208,0.00012829104,0.0005806857600000001,0.00226534968,0.01366974792,0.00022619736,3.0384720000000002e-05,,0.00035448840000000005,,0.00012829104,0.00012829104,0.0026535988800000005,,0.00019243656,0.00093855024,9.453024000000002e-05,6.414552e-05,,0.00025658208,0.00949016088,,9.453024000000002e-05
Shaanxi,0.051056075520000015,0.010511544960000004,0.05556102336000001,0.15335593272,0.28418712624000003,0.007132834080000002,0.19183569552000004,0.14922639720000005,0.12989266272000002,0.03341169648,,0.22693674744000003,0.13214513664000002,0.019709146800000004,0.00225247392,0.002815592400000001,0.11374993296,0.033599402640000005,0.024964919280000004,0.015204198960000003,0.019709146800000004,0.00394182936,0.025715743920000003,0.034913345760000006,0.012951725039999999,0.023463270000000005,0.059878265039999996,0.007695952559999999,0.018958322160000003,0.005068066320000001,0.024026388480000004
Gansu,0.01576187424,0.012106946880000002,0.02055896640000001,0.031066882560000012,0.01119321504,0.0029696284800000004,0.05962100256,0.04226009760000001,0.07526866032000001,0.008223586560000001,0.3845668881600001,,0.05562342576000001,0.0058250404800000025,0.0005710824000000001,0.0009137318400000002,0.04134636576000001,0.025698708000000004,0.008452019520000001,0.010622132640000006,0.0055966075200000005,0.003426494400000001,0.004682875679999999,0.009365751359999999,0.0038833603200000007,0.0019416801600000003,0.11467334592,0.028325687040000005,0.13717399248000006,0.00536817456,0.013363328159999998
Qinghai,0.0022649868,0.00032051700000000003,0.0035470548000000007,0.0050855364,0.0022222512,0.0004059882,0.0033333768,0.00320517,0.0043376634,0.00106839,0.0113890374,0.13049315460000002,0.011645451,0.0009615510000000002,8.547120000000001e-05,6.410340000000001e-05,0.0022649868,0.0005769306,0.0007692408,0.0009188153999999999,0.0008547120000000001,0.0001923102,0.0004059882,0.0011538612,0.0004059882,0.0004700916000000001,0.0041453532,0.0038034684,,0.0156412296,0.0013461714
Ningxia,0.0033690816000000005,0.0017366400000000002,0.0058351104,0.0077106816000000016,0.0043416,0.0011114496000000002,0.08815184640000001,0.007293888000000002,0.0057309119999999995,0.0029522880000000004,0.0700907904,0.1072896192,0.0047236608000000005,0.0013545792,0.00013893120000000006,0.00034732800000000005,0.007502284800000002,0.0022576320000000003,0.005244652800000001,0.0019103040000000005,0.0020492352,0.0002083968,0.0004862592000000001,0.0019797696,0.0009030528,0.0007641216000000001,,0.0018061056,0.006738163200000001,3.4732800000000014e-05,0.0027438912000000005
Xinjiang,0.0022587012,0.0007716060000000001,0.0040404096,0.0085437828,0.0017817083999999996,0.0008698104,0.0069304248,0.013930995600000001,0.0049242492,0.0017396208,0.0111111264,0.044612856,0.008670045599999999,0.0024551100000000004,0.00035073,0.0001262628,0.0030022488,0.004433227200000001,0.0013468031999999998,0.0005751971999999999,0.0009960732000000002,0.0005471388,0.000280584,0.00455949,0.0012205404,0.000280584,0.0027076356,,0.004068468,0.0002525256,0.0026795772
Taiwan,6.407424000000001e-05,9.611136e-05,0.00025829928,0.00016018559999999999,6.407424000000001e-05,9.611136e-05,6.407424000000001e-05,0.004405104,0.00502181856,9.611136e-05,0.00016018559999999999,,0.00012814848000000005,3.2037120000000014e-05,6.407424000000001e-05,,0.0016839511200000005,0.00434102976,0.0018781761600000003,6.407424000000001e-05,6.407424000000001e-05,6.407424000000001e-05,3.2037120000000014e-05,9.611136e-05,0.00012814848000000005,0.00016018559999999999,,,,,0.00045252432
Hong Kong,9.348696e-05,3.116232e-05,9.348696e-05,3.116232e-05,9.348696e-05,0.00016026335999999998,,0.035378136719999995,0.00048524184000000003,0.00012910104,6.232464e-05,3.116232e-05,0.00019142568,0.0002893644,6.232464e-05,3.116232e-05,0.0005164041599999999,0.00080576856,0.00129546216,6.232464e-05,9.348696e-05,0.0003561408,0.00012910104,,0.00025820208,3.116232e-05,,,,,0.0007122815999999999
Macau,0.00012492143999999998,9.517824e-05,0.00022604832,0.00016061328,0.00032122656,9.517824e-05,2.97432e-05,0.049926935520000014,0.0004818398400000001,0.00025579152000000004,,5.94864e-05,0.00035096976,0.00070788816,,,0.00025579152000000004,0.00064245312,0.0008387582400000001,0.00064245312,,0.00016061328,0.00012492143999999998,9.517824e-05,0.00051753168,,,,,,0.00025579152000000004
