,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Guangdong,Jiangsu,Anhui,Shaanxi,Gansu,Sichuan,Hunan,Heilongjiang,Jilin,Zhejiang,Shanghai,Fujian,Jiangxi,Yunnan,Hainan,Guizhou,Chongqing,Guangxi,Hubei,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,0.6481552089599999,0.09194816736,0.07375390847999999,0.05739128640000001,0.04432561056,0.033091571519999995,0.02832931584,0.02478815136,0.023078623680000004,0.02295651456,0.02112487776,0.017705822399999998,0.0164847312,0.01550785824,0.014042548799999999,0.013065675840000002,0.012455130239999999,0.01050138432,0.007692874559999999,0.007326547199999999,0.0070823289599999985,0.0061054559999999996,0.00464014656,0.004395928320000001,0.00402960096,0.0024421824000000003,0.0021979641600000004,0.00195374592,0.00134320032,0.00012210912,
Tianjin,0.5443820136,,0.09513282816,0.029534064480000004,0.027682093439999996,0.028169454240000006,0.023003429760000003,0.0102345768,0.02037168144,0.010916881920000005,0.010721937600000002,0.005166024480000001,0.0067255790400000005,0.00253427616,0.005750857440000001,0.00955227168,0.01033204896,0.00477613584,0.00360646992,0.0028266926399999996,0.0019494432,0.0016570267200000002,0.0015595545600000007,0.00253427616,0.0028266926399999996,0.0008772494400000001,0.0016570267200000002,0.0005848329599999999,0.0014620823999999999,,0.10643959872
Hebei,,0.71806925736,0.7461256874400001,0.3265943814,0.36429520932,0.15474874715999998,0.18455870412,0.06268858596,0.1446659676,0.058304768760000014,0.131514516,0.02717966664,0.037262446200000014,0.02893319352,0.0175352688,0.023672612880000003,0.07759356444,0.029371575240000006,0.02060394084,0.02104232256,0.021480704280000002,0.007014107520000001,0.01446659676,0.015781741919999998,0.02016555912,0.00569896236,0.01052116128,0.00482219892,0.007452489240000001,0.00131514516,1.0933240096799999
Shanxi,0.30623995296,0.050139103680000005,0.12860959680000006,0.21509489088000003,,0.01230178752,0.2227369104,0.035973408959999995,0.1276776432,0.029822515200000007,0.42292054368,0.02031658848,0.030195296640000008,0.013420131840000002,0.0031686422400000005,0.0033550329600000005,0.050884666560000014,0.023112449280000003,0.008760363839999999,0.00913314528,0.013047350400000001,0.0035414236799999996,0.009505926720000002,0.00987870816,0.0068964566400000005,0.0035414236799999996,0.00857397312,0.0031686422400000005,0.007082847359999999,0.00074556288,0.08070718176
Inner Mongolia,0.15405857856000005,0.04291292196,0.04053547476,0.013194831960000002,0.15001691832,0.19720924524,,0.01414581084,0.0142646832,0.00582474564,0.17664432696,0.0398222406,0.00582474564,0.0034472984399999997,0.048618795240000005,0.08570697156,0.011768363640000001,0.006300235080000001,0.0023774472,0.0022585748400000003,0.004636022040000001,0.002971809,0.0022585748400000003,0.00213970248,0.0017830854,0.0013075959600000002,0.08760892932000001,0.004041660240000001,0.0041605326,0.00023774472000000004,0.06086264832000001
Liaoning,0.20040307200000004,0.05882419584000001,0.10503478656,0.02098338048,0.01968665472,,0.19922423039999998,0.03489371136,0.046564243200000015,0.01225995264,0.016385898240000002,0.0047153664000000005,0.00990226944,0.006955165440000001,0.06672243456000003,0.21348821376,0.0330075648,0.01862569728000001,0.00919496448,0.005894208000000001,0.00612997632,0.00436171392,0.004243829760000001,0.004243829760000001,0.0063657446400000005,0.00141460992,0.0023576832,0.0012967257600000005,0.0011788416,0.00070730496,0.061771299840000016
Jilin,0.04674730644,0.0316478502,0.05658483096000001,0.00747346824,0.00510941196,0.25341158124,0.08701252308,0.02730103704,0.0308852514,0.00732094848,0.007092168840000001,0.00167771736,0.00472811256,0.0042705532800000005,0.09349461288,,0.025318280159999998,0.010981422720000002,0.005643231120000001,0.00404177364,0.005719491,0.0022877964,0.0017539772399999998,0.00297413532,0.00449933292,0.00099137844,0.00083885868,0.0006863389200000001,0.0006863389200000001,0.00022877964,0.029817613080000006
Heilongjiang,0.060762474,0.046486953,0.08784936,0.0076136111999999985,0.0040996368000000005,0.14070539159999998,0.0566628372,0.029575951200000002,0.0333827568,0.0062958708,0.006808325400000001,0.0008784935999999999,0.004758507,0.0049049226,,0.1070298036,0.0407035368,0.015886092600000002,0.0053441693999999994,0.0034407666,0.0032943510000000005,0.0051977538,0.002196234,0.0019034028,0.0032211432,0.0005124546000000001,0.0011713248,0.0009517014,0.0006588701999999999,0.0001464156,0.0484635636
Shanghai,0.01067877108,0.005610879720000001,0.047420983439999995,0.05900473512,0.00832582152,0.00959279436,0.0027149418,0.0389141658,0.8805461238,0.14751183780000002,0.01520367408,0.00941179824,0.021900530519999996,0.014660685720000004,0.00343892628,0.004524903,0.40977521568,,0.02208152664,0.03819018132,0.0117647478,0.00434390688,0.007239844800000002,0.00923080212,0.00687785256,0.00434390688,0.0009049806,0.00108597672,0.0018099612,,0.009049806
Jiangsu,0.07640831412,0.02725392096,0.6565274888399998,0.22922494236,0.04623433019999999,0.03114733824,0.014113637639999998,0.11047571532,,1.0750698464399997,0.08127508571999999,0.03455407835999999,0.04915439315999999,0.041367558599999986,0.006813480239999999,0.011193574679999995,0.8750455336799999,1.1694852154799995,0.05596787339999999,0.09149530607999996,0.031634015399999986,0.005353448759999999,0.02725392096,0.02092711788,0.020440440719999998,0.008760188879999999,0.005353448759999999,0.004380094439999999,0.008760188879999999,0.0014600314799999995,0.039420849960000004
