,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Shanghai,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08567919504,0.0202619718,0.20435645844,0.29987718264,0.03531372228,1.317028167,0.27093150864,0.045734164920000014,0.016209577440000005,,0.11983509036,0.06483830976000003,0.17309513052000006,0.8764750087200001,0.6941172625200001,0.026051106600000002,0.03299806836,0.15167533176,0.025472193120000004,0.30856088484,0.07931114676,0.08683702199999999,0.4521314278800001,0.04457633796,0.02141979876,0.17020056311999998,0.00984152916,0.005789134800000001,0.005789134800000001,0.0011578269599999999,0.13083444648
Anhui,0.06515313408000001,0.01585964448,0.20274626592,0.49807856448,0.02100331296,1.7484186441599998,0.11016023328,0.02014603488,0.008572780799999999,0.6198120518400001,0.034291123199999995,0.040292069759999986,0.15602461056000005,0.27818673695999996,,0.010715976,0.02014603488,0.05186532384,0.008572780799999999,0.05229396288,0.02400378624,0.02271786912,0.12644851680000002,0.01971739584,0.012001893120000004,0.016716922560000003,0.00600094656,0.00342911232,0.0021431951999999997,0.00042863904,0.0835846128
Fujian,0.027525523680000004,0.0062469273600000005,0.056027129759999995,0.06246927360000001,0.013860370080000002,0.11263990896,0.42732887472,0.019521648,0.007223009759999999,0.31097985264,0.062078840640000015,0.02713509072,0.06403100544,0.06949706687999999,0.05485583088,0.010932122880000002,0.02127859632,0.06793533504,0.00897995808,,0.043923708,0.04138589376,0.24577754832000004,0.0409954608,0.01054168992,0.059345809920000006,0.00448997904,0.00253781424,0.0019521648000000002,0.00039043296,0.061883624160000004
Jiangxi,0.024735089879999998,0.006122546999999999,0.04457214216,0.05657233427999999,0.00832666392,0.13690015092,0.5363351171999998,0.008816467679999999,0.00416333196,0.39012869484,0.03110253876,0.018612542880000003,0.19175817203999995,0.07934820912,0.13910426783999996,0.0063674488799999995,0.023510580479999998,0.32792361731999997,0.005632743239999999,0.22114639764,0.024000384239999995,0.023510580479999998,,0.050449787279999984,0.006122546999999999,0.027918814319999992,0.00220411692,0.0012245093999999998,0.00195921504,0.00024490188,0.045061945919999985
Shandong,0.81554971824,0.14081433984000002,,0.67620219444,0.11587846715999998,0.93974014296,0.14228115587999998,0.14374797192,0.05280537744,0.22882330223999994,0.08458639164,0.10023242939999998,0.09925455204,0.11441165111999994,0.22393391544,0.08067488219999999,0.04107084912,0.060628396319999986,0.06013945764,0.0635620284,0.04742705196,0.05036068404,0.055250070839999985,0.048404929319999984,0.024446934,0.0317810142,0.0146681604,0.012223467,0.008800896240000002,0.0024446934,0.40141865628
Henan,0.3737526138,0.0525811662,0.6177102767999999,,0.3060129132,0.39791152799999996,0.2624321268,0.0383700402,0.0265274352,0.2828014074,0.09000379800000001,0.30885513839999995,0.5457072383999999,0.1051623324,0.4774938336,0.0151585344,0.056844504000000004,0.1061097408,0.0132637176,0.06442377120000001,0.0468967158,0.0468967158,0.0625289544,0.040264857,0.03884374439999999,0.0317381814,0.0279485478,0.012316309199999998,0.011842605,0.004737042,0.2638532394
Hubei,0.051153324119999996,0.01053912708,0.07043221512,0.35370338688,0.02210646168,0.14986124603999998,0.31514560488000004,0.01773657972,0.007197452640000002,0.14163558587999994,0.07865787528,0.09151046928,,0.058607828639999984,0.13572339264,0.008739763920000001,0.0308462256,0.40511376288,0.006426296999999999,0.0552661542,0.154231128,0.03573021132,0.18199273104000002,0.041642404560000006,0.01259554212,0.0282757068,0.0051410376,0.0025705188,0.0025705188,0.00102820752,0.08816879484000001
Hunan,0.03472208856,0.009218253600000002,0.05192949528,0.08542248336000001,0.015363756000000003,0.09003161016000003,1.0090914940800002,0.013827380400000004,0.00583822728,0.12967010064,0.05561679672000002,0.030727512000000005,0.40191585696,0.04148214120000001,0.0445548924,0.010754629199999999,0.039023940240000006,,0.007681878000000001,0.05746044744000001,0.07128782784,0.056231346960000005,0.31833702432000005,0.2258472132,0.009525528719999999,0.17299589255999998,0.004916401920000001,0.0030727512000000004,0.0030727512000000004,0.0015363756000000002,0.06422050007999999
Guangdong,0.07670457648000001,0.023879726639999998,0.12663491400000002,0.2387972664,0.035457775920000004,0.24386266296,,0.05644299024,0.01881433008,0.26122973688,0.25326982800000003,0.10058430312000001,0.3220144956000001,0.13893659136,0.10347881544,0.04197042864,0.18307790424000003,1.26707276808,0.032563263599999996,0.4754236485600001,0.15123826872,0.17005259879999998,0.6461998754399999,1.56086576856,0.02605061088,0.21636479592,0.01230167736,0.00940716504,0.005065396560000001,0.00289451232,0.21491753976000005
Guangxi,0.021384194400000004,0.00285122592,0.033501904560000004,0.0368283348,0.00784087128,0.0403923672,1.2970701914400002,0.012592914479999998,0.00261362376,0.04253078664,0.056311711920000014,0.01354332312,0.0403923672,0.02447302248,0.02067138792,0.01021689288,0.048470840640000006,0.22904848224,0.00451444104,0.03516511968,0.03896675424,0.11785067136,0.0332643024,,0.005940054,0.15182778024000002,0.00213841944,0.00142561296,0.00142561296,0.0011880108,0.03492751752
Hainan,0.03128400792,0.0096194142,0.027854477640000003,0.033124243680000005,0.015474709800000003,0.03605189148,0.17348404392,0.024006711960000003,0.01037223792,0.027018006840000004,0.054370602,0.0217482408,0.02149729956,0.030865772520000008,0.012379767840000002,0.019824357960000004,,0.035800950240000004,0.0108741204,0.018904240080000002,0.028440007200000006,0.017398592640000002,0.01564200396,0.042910952040000006,0.00610623684,0.020242593359999998,0.00493517772,0.002342118240000001,0.0026767065600000004,0.00025094124,0.07921378476000003
Chongqing,0.027514728,0.006603534719999999,0.039070913759999985,0.04457385936000001,0.01403251128,0.06135784344,0.15078070944,0.012931922159999996,0.00632838744,0.0715382928,1.3410678427199998,0.061082696160000005,0.17334278639999998,0.035493999119999994,0.024212960640000003,0.005502945600000001,0.03824547192,0.08199388944,0.00440235648,0.039070913759999985,,0.09244948608,0.022286929680000005,0.03742003008,0.01430765856,0.26716800888000003,0.008804712959999999,0.00467750376,0.0041272092,0.005502945600000001,0.05035195224
Sichuan,0.049515079680000004,0.01200365568,0.06264407808,0.0862762752,0.0300091392,0.09377856,0.23857265664,0.02288196864,0.01387922688,0.10503198719999997,,0.20331191808,0.07689841919999997,0.05401645056,0.03150959616000001,0.01425434112,0.06301919232000001,0.0600182784,0.009377856,0.05739247872000001,1.33203066624,0.4681425715200001,0.02850868224,0.05326622208,0.08177490432,0.28133568,0.021006397439999998,0.00975297024,0.02663311104,0.042012794879999996,0.11553518592
Guizhou,0.01602143712,0.00328644864,0.0225943344,0.02855102256,0.00554588208,0.0472426992,0.23662430208,0.004929672959999999,0.0034918516799999993,0.12817149696,0.30440730528,0.02136191616,0.03306988944,0.02012949792,0.017253855359999997,0.00287564256,0.0215673192,0.19061402112,0.00225943344,0.05135076,0.30235327488,0.35740128959999995,0.02855102256,0.1581603408,0.005135076,,0.0010270152000000001,0.00164322432,0.0012324182399999998,0.0010270152000000001,0.03142666512
Yunnan,0.022420696320000003,0.00611473536,0.027176601600000003,0.037028119680000006,0.0101912256,0.048408321600000005,0.15660516672000002,0.013248593280000002,0.005265466559999999,0.06369516,0.44094036096,0.02428908768,0.03210236064,0.038217096,0.018004498560000002,0.00713385792,0.018514059840000003,0.0619966224,0.00458605152,0.040595048640000006,0.09443869056,,0.02004274368,0.11329245792,0.00713385792,0.32577951168,0.0033970752000000003,0.0020382451199999997,0.0023779526400000005,0.004755905280000001,0.045690661439999995
Tibet,0.0020710015199999995,0.00030883356,0.0019983348000000003,0.006049504440000001,0.0007993339200000001,0.0017803346399999996,0.00406933632,0.0008720006399999999,0.00038150028,0.00059950044,0.08018772552,0.00795700584,0.0027795020399999995,0.00096283404,0.0009265006800000001,0.00043600032,0.00067216716,0.00203466816,0.00021800016,0.0008720006399999999,0.01159034184,0.009737340479999999,0.0005450003999999999,0.0009265006800000001,0.006503671439999999,0.00132616764,0.0015441678,0.00043600032,0.02863068768,,0.0041783364000000005
Shaanxi,0.09015246216,0.00931743324,0.08612330184,0.26894645135999995,0.33593124167999994,0.10123265303999998,0.10299541068,0.01989397908,0.22235928515999998,0.05590459944,0.2430087318,,0.09468526751999998,0.026945009639999996,0.035758797839999995,0.007302853079999999,0.0289595898,0.03349239516,0.0100729008,0.02316767184,0.06270380748,0.030218702400000002,0.01838304396,0.014605706159999997,0.30571253928000003,0.020397624120000003,0.02291584932,0.11155737636,0.02493042948,0.0037773378000000002,0.10223994311999997
Gansu,0.019548864000000003,0.0057424788,0.024069538799999998,0.0423965988,0.0147838284,0.0337217904,0.035065774800000005,0.0051315768,0.048139077599999996,0.0216259308,0.1194924312,0.3662968392000001,0.017471797200000003,0.011607138,0.010996236000000005,0.0015883452,0.0102631536,0.0102631536,0.0029323296,0.0114849576,0.019060142400000004,0.008552628,0.0064755611999999995,0.007208643600000002,,0.0052537572000000005,0.052048850400000006,0.12828942000000002,0.14649429960000002,0.003909772800000001,0.029812017599999997
Qinghai,0.00525418812,0.00173760552,0.007281394559999999,0.01642450932,0.00417852756,0.008108825759999999,0.010591119360000002,0.0016548624,0.0035165826000000005,0.0065367064800000005,0.03938572512,0.03624148656,0.00521281656,0.0028960092,0.0028960092,0.00086880276,0.00359932572,0.004013041320000001,0.0004137156,0.003268353240000001,0.005957504640000001,0.00359932572,0.00119977524,0.00190309176,0.1853445888,0.00095154588,0.01431455976,0.00959820192,,0.01638313776,0.009680945040000001
Ningxia,0.01427272488,0.0031437719999999995,0.013643970479999998,0.019239884640000003,0.013140966959999998,0.015341607359999997,0.01238646168,0.0029551456799999988,0.13901759783999998,0.009116938799999998,0.01892550744,0.12279573432,0.006476170319999999,0.00452703168,0.005218661519999999,0.00308089656,0.00509291064,0.004841408879999999,0.0012575088000000001,0.00389827728,0.0084881844,0.00402402816,0.0028293947999999997,0.00320664744,0.15373045079999995,0.00238926672,0.005784540479999999,,0.008613935279999999,0.00037725264,0.01999438992
Xinjiang,0.01440209484,0.0019313154,0.01992013884,0.05898789036,0.00844260732,0.019313154000000003,0.017712921240000002,0.004635156959999999,0.0085529682,0.01285704252,0.07405215048,0.043923630240000004,0.008994411719999998,0.00292456332,0.007780442039999998,0.00270384156,0.00838742688,0.009049592159999998,0.0022623980399999995,0.0065112919200000004,0.02063748456,0.00601466796,0.0024279393600000003,0.00270384156,0.1244318922,0.00336600684,,0.01026356184,0.022072176000000002,0.0008277066,0.02494155888
Taiwan,6.45408e-05,3.22704e-05,6.45408e-05,3.22704e-05,6.45408e-05,0.00012935052,,3.22704e-05,3.22704e-05,0.00025896995999999997,,,3.22704e-05,0.0008099870400000001,,,,,3.22704e-05,0.0008422574400000001,9.708012e-05,,,3.22704e-05,,6.45408e-05,,,,,
Hong Kong,,3.025512e-05,,3.025512e-05,3.025512e-05,,0.0203789844,,,,3.025512e-05,,,0.00032200092000000003,,3.025512e-05,,,3.025512e-05,0.00022475232000000004,,,6.267131999999999e-05,0.00012750372,,,,3.025512e-05,,,9.508752e-05
Macau,0.0007230221999999999,0.000124659,0.0007728857999999999,0.0007230221999999999,0.0004487724,0.0026677026000000003,0.2247103134,0.0008726129999999997,0.00014959079999999998,0.002243862,0.0010471355999999998,0.000623295,0.0018948168,0.0021690666,0.0002243862,0.0002243862,0.0004487724,0.0016454988,7.479539999999999e-05,0.0016953623999999999,0.00017452260000000002,0.000249318,0.0007728857999999999,0.0014709761999999998,4.9863599999999995e-05,0.000623295,,2.4931799999999997e-05,2.4931799999999997e-05,,0.0019696122
