,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Shanghai,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.872322400399999,0.6561164268,0.5281601112000001,0.372071556,0.2695250052,0.240485274,0.2295953748,0.2286878832,0.1932957108,0.1379387232,0.1379387232,0.1306787904,0.11343645,0.1098064836,0.104361534,0.1034540424,0.08711919359999999,0.0825817356,0.0807667524,0.0653393952,0.058986954000000015,0.05081952960000001,0.04537458,0.0399296304,0.035392172400000005,0.030854714400000007,0.0199648152,0.018149832,0.0099824076,0.0018149832,
Tianjin,1.0946658427199998,,0.17348078447999996,0.06570924768,0.0408066984,0.03996963792,0.02364695856,0.04394567519999999,0.02992491216,0.019670921279999996,0.016531944479999998,0.01339296768,0.016741209599999998,0.012765172319999995,0.02113577712,0.020926512,0.01067252112,0.007742809439999998,0.015485618879999996,0.008579869919999998,0.008370604799999999,0.007533544319999998,0.006487218719999999,0.00397603728,0.007533544319999998,0.00460383264,0.00083706048,0.00292971168,0.00083706048,,0.37018999728
Hebei,,0.99251924076,0.9408184441200002,0.4319737614,0.4394567714400001,0.17551059912000005,0.09115666776,0.23333385852000005,0.23197331124,0.09251721504000003,0.06938791127999999,0.1088437824,0.07278927948000001,0.033333408360000004,0.07959201587999999,0.05578243848,0.03945587112,0.03877559748,0.04829942843999999,0.03197286108,0.031292587440000005,0.03265313472,0.02857149288,0.02585039832,0.02244903012,0.019047661920000004,0.01088437824,0.0136054728,0.007483010040000002,0.00136054728,2.38639992912
Shanxi,0.4556161871999999,0.041635944,0.1486998,0.39542250816,,0.07304134175999999,0.04758393599999999,0.02165069088,0.19438037856,0.0404463456,0.058766160960000015,0.40969768896,0.03521211264,0.0190335744,0.029977879680000003,0.007613429759999999,0.02331612864,0.02188861056,0.005472152639999999,0.01855773504,0.02712284352,0.0166543776,0.011420144640000001,0.01165806432,0.01998525312,0.01237182336,0.006423831360000001,0.014037261119999998,0.00452047392,0.0009516787199999999,0.20151796896
Inner Mongolia,0.24265449936000005,0.026093929680000003,0.06533005752000001,0.04533106032,0.17770537511999998,0.030855595680000007,0.02361786336,0.23389303391999997,,0.024760663199999998,0.02647486296,0.22894090128000003,0.012380331599999999,0.0104756652,0.011047065120000001,0.11294671752,0.015618264479999996,0.008380532159999999,0.12780311543999998,0.008380532159999999,0.01066613184,0.00590446584,0.0036188661600000003,0.004380732720000001,0.06609192408,0.005142599279999999,0.0057139992,0.18360984096000002,0.0034283995200000005,0.00019046664,0.18018144144
Liaoning,0.23996014776,0.04427724384,0.154782738,0.05009332248,0.018761544,0.08104987007999999,0.06322640328,,0.19737144288,0.05046855336,0.031144163039999995,0.02101292928,0.021200544720000002,0.023639545440000003,0.02213862192,0.16585204895999994,0.03302031744,0.01819869768,0.35046564192,0.02514046896,0.015384466079999997,0.01707300504,0.011819772720000002,0.013695927119999998,0.007317002159999999,0.0067541558400000005,0.005065616879999999,0.00206376984,0.00225138528,0.0005628463199999999,0.17804705255999995
Jilin,0.05628953736,0.016960602959999998,0.07423336368000001,0.01892704968,0.00651385476,0.03760829352,0.03330669132,0.38800451844000006,0.11724938567999997,0.026547030720000003,0.01253609784,0.01192158324,0.008480301479999999,0.015731573760000003,0.01081545696,0.2378171502,0.021139302239999998,0.00970933068,,0.008726107319999999,0.006268048920000001,0.0079886898,0.00565353432,0.00479321388,0.0036870876,0.00356418468,0.00135193212,0.0019664467200000003,0.00036870876000000003,0.00012290292000000002,0.07841206296
Heilongjiang,0.06466771079999999,0.018716443200000002,0.09238244399999998,0.020396124,0.008998289999999999,0.040072384799999985,0.04631119919999999,0.2000019924,0.1039002552,0.0295143912,0.0128375604,0.010557993600000001,0.0109179252,0.0188364204,0.010438016399999998,,0.032393844,0.010557993600000001,0.31446024119999993,0.012117697199999998,0.007198631999999998,0.009358221600000001,0.0058788828,0.009358221600000001,0.0017996579999999996,0.0022795668,0.0014397263999999994,0.0015597035999999995,0.0011997719999999998,0.0004799088,0.09910116719999998
Shanghai,0.05068846188,0.02198535696,0.16550088155999998,0.15145468127999998,0.023206765679999998,2.9234417713199994,0.17405074259999995,0.03419944416,0.01038197412,1.2891969039599998,0.07084170575999997,0.03908507904,0.07694874935999997,,0.4476462958799999,0.0213746526,0.035420852879999985,0.06839888832,0.017710426439999996,0.08610931475999999,0.038474374679999986,0.04091719212,0.10443044556,0.02626028748,0.015267608999999996,0.027481696200000003,0.00244281744,0.0030535217999999994,0.00244281744,0.00122140872,0.12397298507999994
Jiangsu,0.143177706,0.031090016159999994,0.8680659775199998,0.4458962843999999,0.060543715679999985,,0.24217486272,0.07036161551999999,0.01963579968,1.3221438451199998,0.10390610663999998,0.10308794831999997,0.1718132472,1.6215897902399998,1.99712445912,0.032726332799999994,0.0368171244,0.10390610663999998,0.03027185784,0.1063605816,0.06627082392000001,0.06545266559999999,0.14645033927999998,0.048271340879999985,0.032726332799999994,0.05563476576,0.012272374799999998,0.009817899839999998,0.008181583199999998,0.0024544749599999995,0.20535773832
