,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Jiangsu,Anhui,Sichuan,Guangdong,Heilongjiang,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Yunnan,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Fujian,0.019331223480000003,0.01011727584,0.1065927276,0.04588907256,0.0153565794,0.004877972279999999,0.08870682924,0.0560063484,0.0695562714,0.34434870983999993,0.009755944559999999,0.07118226216,0.07371158112000001,0.0065039630400000005,0.028183839839999995,0.24245328887999995,0.08021554416,0.00578130048,0.015537245039999996,0.2222187372,0.012465929159999998,0.06467829911999999,0.04480507872,,0.038843112599999986,0.09774011124,0.00397464408,0.0027099846,0.0016259907600000001,0.00036133128,0.018427895280000002
Jiangxi,0.0257005548,0.0068952708,0.08065377359999999,0.0409537296,0.0110742228,0.0045968471999999995,0.1011306384,0.1220253984,0.0246558168,0.41935783320000003,0.009193694399999999,0.07835534999999999,0.1761428268,0.0073131659999999985,0.0231931836,0.3006755964,0.2854224216,0.0071042184,0.018387388799999998,,0.0123279084,0.0225663408,0.0238200264,0.17990388359999998,0.036356882400000005,0.042834257999999986,0.0029252664000000003,0.0025073712,0.0027163187999999995,0.00041789519999999996,0.017133703199999996
Shandong,0.54321946272,0.16574267952,0.74454041376,,0.1345032216,0.06421444127999999,0.8386926688799998,0.24123803616,0.09892495008,0.11194139087999999,0.12669335712000002,0.12886276392,0.09632166192,0.08373910248,0.1041315264,0.17225089991999998,0.0629127972,0.07462759392000001,0.035144390160000004,0.05770622088000001,0.037313796960000006,0.0412187292,0.0455575428,0.04902859368,0.03601215288,0.04382201736000001,0.02256183072,0.0130164408,0.00954538992,0.0008677627199999999,0.14621801832
Henan,0.22520744604000004,0.05382814176000001,,0.5758819578000002,0.2909094426,0.030476227320000007,0.34513337952,0.4955355403200001,0.08192959812,0.20145973644,0.023747709600000003,0.11596798188000006,0.36333995688000004,0.024143504759999997,0.24460140888,0.19789758,0.10567730772,0.017414987040000003,0.04353746760000001,0.06965994816000001,0.04789121436,0.043933262760000015,0.039579516,0.06253563528000003,0.041162696639999996,0.04037110632000001,0.03324679344,0.01622760156,0.014644420920000003,0.00237477096,0.10330253676
Hubei,0.04221242424000002,0.015373660680000003,0.43827961464000015,0.07999514964000001,0.0377827254,0.009901679760000002,0.13393324728,0.14748291432000005,0.07895286756,0.25926766739999996,0.012246814440000002,0.06800890572000001,,0.008598827160000001,0.08937568836000002,0.11777787504000002,0.3968489019600001,0.008859397680000002,0.02709933408,0.19933644780000004,0.02345134680000001,0.15269432472000005,0.040649001120000014,0.05237467452,0.049508398800000006,0.04820554620000002,0.014331378600000003,0.005732551440000002,0.004690269360000001,0.0018239936400000008,0.035437590720000016
Hunan,0.03042898488,0.008541469440000001,0.09822689856000001,0.0440419518,0.01975214808,0.00720686484,0.07367017392000001,0.04591039824,0.049113449280000006,0.78047677008,0.00960915312,0.042707347199999995,0.38142999468,0.00907531128,0.03229743132,0.0960915312,,0.008274548520000001,0.03389895684,0.29307917016,0.01174452048,0.07100096472,0.0440419518,0.054451867679999995,0.193517667,0.18043854192,0.00774070668,0.004270734720000001,0.0040038138,0.00160152552,0.027225933839999997
Guangdong,0.05059894068,0.02369823804,0.36892392192,0.09735492384,0.03394612476,0.01473133716,0.16524717336,0.1056813318,0.26132111136,,0.03971056104,0.14411090699999998,0.47908870416,0.02049577344,0.09094999464,0.18638343972,1.1272675392,0.02497922388,0.15179682204000003,0.5629932766799999,0.02946267432,0.17741653884,0.2017552698,0.33369681132,1.2047671825200001,0.30039117948000005,0.01088837964,0.005764436279999999,0.00512394336,0.00128098584,0.07109471412
Guangxi,0.021268354680000004,0.006634165680000001,0.04643915976,0.028487887920000007,0.008195145840000001,0.00370732788,0.03200009328,0.017561026800000004,0.041365974240000006,1.00624683564,0.007609778280000002,0.021268354680000004,0.03882938148,0.00468294048,0.016000046639999998,0.033170828400000005,0.19063470204,0.005268308040000001,0.03590254368,0.03473180856,0.0064390431599999996,0.033756195960000006,0.1141466742,0.030634235640000007,,0.14400041976000005,0.0025365927600000003,0.0019512251999999999,0.0009756125999999999,,0.01307320884
Hainan,0.02379826008,0.00968190084,0.04087092492,0.02653284276,0.02039850864,0.00982971612,0.027419734439999996,0.013672913400000002,0.046192275,0.14833263347999998,0.02409389064,0.03259326923999999,0.023946075360000003,0.0099775314,0.021950569080000003,0.02387216772,0.03569739012,0.01315555992,,0.017590018319999998,0.00864719388,0.02468515176,0.01936380168,0.01507715856,0.036140835960000006,0.02025069336,0.0059126112,0.001847691,0.00236504448,0.00029563056,0.0328888998
Chongqing,0.0147235968,0.005751404999999999,0.047391577199999986,0.025306182000000003,0.013343259599999996,0.0062115174,0.0469314648,0.0186345522,1.1169228509999998,0.09892416599999998,0.005751404999999999,0.0328980366,0.1605792276,0.0036808992,0.047161520999999984,0.049001970599999986,0.07545843359999999,0.0039109554,0.031517699399999995,0.0186345522,0.0200148894,,0.07890927660000001,0.0285269688,0.033358149,0.27146631600000004,0.012192978600000001,0.0052912926,0.004141011599999999,0.0043710678000000005,0.015873877800000002
Sichuan,0.03041224704,0.01172138688,0.07349626367999999,0.04561837056,0.029461864320000006,0.01013741568,0.06304205376000001,0.02724430464,,0.16568338752,0.01045420992,0.0538550208,0.0665267904,0.008236650239999999,0.18247348224,0.06842755584,0.047835930240000005,0.00728626752,0.05100387264,0.02312597952,0.0776145888,1.19494787328,0.45808447103999994,0.03706492607999999,0.04150004544,0.245515536,0.02249239104,0.01172138688,0.02787789312,0.02787789312,0.04150004544
Guizhou,0.00832395528,0.0025128921600000003,0.032196430799999995,0.01586263176,0.006125174640000001,0.00204172488,0.03109704048,0.013349739600000002,0.25097510448000004,0.16569382680000005,0.003455226720000001,0.0180614124,0.02811298104,0.00204172488,0.016962022080000003,0.06407875008000001,0.16852083048000002,0.0018846691199999998,0.015077352959999998,0.023558364,0.0047116728,0.25961317128,0.24139470312000005,0.030625873199999997,0.14669007984,,0.0017276133600000005,0.0010993903200000002,0.0010993903200000002,0.00031411152000000004,0.01036568016
Yunnan,0.016673441759999998,0.006050845799999999,0.035363832119999994,0.026623721519999997,0.01250508132,0.004706213399999999,0.03469151592,0.01573219908,0.4013727714,0.09452765772,0.007261014959999998,0.026489258279999997,0.028371743639999995,0.004437286919999999,0.0248756994,0.042759310319999994,0.0497513988,0.00430282368,0.01573219908,0.020976265440000003,0.007664404679999999,0.07745082623999999,,0.021917508119999998,0.08928359135999997,0.24324400116,0.0034960442399999997,0.0026892648,0.0029581912800000004,0.003899433959999999,0.016538978519999997
Tibet,0.0014227488,0.00029101679999999995,0.0070167384,0.0023928048,0.0009700560000000001,9.700559999999997e-05,0.0019077768,0.0011640671999999998,0.0651877632,0.0028778328,0.0002263464,0.0007113744,0.0026838216,0.00048502800000000003,0.0086173308,0.0012287376,0.0020371176,0.000323352,0.0007113744,0.000646704,0.007469431199999999,0.0110424708,0.010331096399999998,0.0007437095999999999,0.0007760447999999999,0.0014550840000000002,0.0010993968,0.0005173632,0.025625646000000002,,0.0014874192
Shaanxi,0.070511067,0.013532426999999998,0.289166598,0.08333126099999999,0.310770999,0.213195078,0.08380608299999999,0.05555417399999999,0.194439609,0.071935533,0.012582783,0.034662006,0.09733851,0.013532426999999998,,0.04463326799999999,0.037036116,0.007359740999999999,0.01899288,0.022554045,0.321454494,0.050093721,0.029201553,0.024215922,0.018518058,0.025877799,0.034424594999999995,0.113007636,0.036323883,0.00474822,0.037510938
Gansu,0.022450932000000003,0.00756917136,0.06453039312000002,0.027839155679999998,0.022194349920000002,0.04952034144,0.038487312,0.0166778352,0.09814264560000001,0.0275825736,0.00474676848,0.01680612624,0.022066058880000003,0.004875059520000001,0.3316323384,0.02270751408,0.01680612624,0.004875059520000001,0.01039157424,0.007440880319999998,,0.02296409616,0.012059357759999998,0.009621828,0.007440880319999998,0.009750119040000001,0.05824413216,0.150741972,0.17037050112,0.005516514720000001,0.01680612624
Qinghai,0.006285081600000001,0.0014927068799999998,0.02525817168,0.011391710400000001,0.00447812064,0.00329966784,0.00801347904,0.00514591056,0.0298541376,0.006442208639999999,0.0014927068799999998,0.0030246955199999996,0.0060886728,0.00113917104,0.03177894384,0.0043995571200000005,0.00329966784,0.0007070716800000001,0.0036532036799999997,0.00239618736,0.17794637279999995,0.0025533144,0.0030246955199999996,0.0019640879999999997,0.0008641987199999999,0.00125701632,0.0159091128,0.0092312136,,0.016066239840000003,0.0036924854399999992
Ningxia,0.0131809032,0.0024890976,0.0227413008,0.013463755199999998,0.0120494952,0.1256428584,0.0116535024,0.006392455199999999,0.011823213599999998,0.007467292800000001,0.0027719496000000003,0.0044690616,0.0062793143999999995,0.0016405416000000001,0.10935058319999998,0.0059964624,0.0044690616,0.0018668232000000002,0.005034765599999999,0.0021496752,0.15262693919999998,0.006675307199999999,0.0038467871999999996,0.0032245127999999995,0.0033942240000000004,0.0033376536,0.0054873288,,0.009051264,0.00033942239999999995,0.0058267512
Xinjiang,0.013338464400000005,0.004175047800000001,0.055739599199999997,0.022122331200000005,0.009976737600000002,0.009814073400000005,0.018977490000000003,0.0106816158,0.04641351840000001,0.012633586200000005,0.0039581621999999995,0.008078988600000002,0.0105189516,0.0022772988000000004,0.04961258100000001,0.012633586200000005,0.012037150800000002,0.0022230774,0.006560789400000001,0.003632833800000001,0.1340895222,0.0179472834,0.005584804200000001,0.006560789400000001,0.0021688560000000003,0.0026568486000000005,,0.0103562874,0.031448412,0.0008133210000000001,0.014368671
Taiwan,3.229632000000001e-05,,9.717732e-05,3.229632000000001e-05,,,0.00016176996000000002,,6.459264000000001e-05,0.00016176996000000002,,0.00113383152,,,,0.00016176996000000002,6.459264000000001e-05,3.229632000000001e-05,,3.229632000000001e-05,3.229632000000001e-05,,3.229632000000001e-05,0.00077741856,,,,,,,
Hong Kong,3.094848e-05,3.094848e-05,,,,,,,,0.017170603559999997,,0.00132691608,,,3.094848e-05,3.094848e-05,,,3.094848e-05,,9.6714e-05,,3.094848e-05,0.00032302476000000004,,,,,,,0.00016054524
Macau,0.0007373948399999997,0.00032373432,0.00048560148,0.00102515868,0.00050358672,8.992619999999999e-05,0.0022661402399999997,0.00028776383999999997,0.0006114981599999999,0.15762264335999998,0.00021582287999999996,0.0036869742,0.0013848634799999999,0.00016186715999999998,0.00034171956,0.0016186716,0.0016186716,0.00034171956,0.00037769004000000003,0.0009891882,,0.00028776383999999997,8.992619999999999e-05,0.0017805387599999997,0.0012229963199999999,0.00037769004000000003,,,,,0.00109709964
