,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Jiangsu,Anhui,Sichuan,Guangdong,Heilongjiang,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Gansu,Chongqing,Yunnan,Fujian,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.4835867109199998,0.42487513200000004,0.35419136004,0.24295132548,0.13866379308,0.10506003264,0.10351503216,0.08845127747999999,0.08536127652,0.08227127556,0.07647752376,0.06450377003999999,0.06450377003999999,0.06218626932,0.061413769080000014,0.05523376716,0.04789501488,0.04519126404,0.04210126308,0.037852511760000006,0.035148760919999994,0.031672509839999995,0.028968759,0.02626500816,0.018926255880000003,0.01815375564,0.011587503600000002,0.01042875324,0.006180001920000001,0.00115875036,
Tianjin,0.88541762256,,0.12623224032,0.19870627104000002,0.05256358272,0.04519671696000001,0.04798417968,0.035838806400000006,0.02050776144,0.02767552272,0.051966269280000005,0.01871582112,0.0228970152,0.04420119456,0.0238925376,0.021105074879999998,0.011348955359999998,0.029865672000000003,0.011348955359999998,0.007964179200000001,0.015530149440000003,0.01075164192,0.009357910559999998,0.011348955359999998,0.0069686568,0.00457940304,0.0035838806400000003,0.0037829851200000004,0.0013937313600000006,,0.23633701776000002
Hebei,,0.88262059536,0.48371377824,0.5743540224,0.19563933888,0.20102390784,0.11621694672,0.10679395104,0.0650635416,0.050704691039999986,0.10814009328,0.02064084768,0.09333252864,0.16781906592,0.07044811056,0.052050833279999986,0.03410227008,0.06820454016,0.01705113504,0.03275612784,0.026474130719999996,0.02782027296,0.0201921336,0.02108956176,0.015704992799999998,0.018397277279999995,0.0044871408,0.0067307112,0.00583328304,0.0008974281599999998,0.99120940272
Shanxi,0.18366452244,0.04747790376,0.33680753531999996,0.11887324776,,0.18437847588,0.058365693719999986,0.03641162544,0.05318953128000001,0.03194941644,0.01392209208,0.02088313812,0.041230811160000005,0.015885464040000002,0.35180055755999995,0.0285581376,0.023203486800000003,0.0098168598,0.02356046352,0.01392209208,0.02124011484,0.021954068280000003,0.01374360372,0.016777905839999996,0.010173836519999998,0.01053081324,0.008210464559999998,0.01302965028,0.00589011588,0.00035697672,0.06568371647999999
Inner Mongolia,0.1945054296,0.0310889826,0.043046283600000006,0.059627074320000015,0.17027196624000002,,0.02263915656,0.01307331576,0.01387046916,0.01721851344,0.13280575644,0.01100071692,0.01084128624,0.15241573008,0.2128399578,0.0127544544,0.007174380600000001,0.12626909856,0.01562420664,0.0055800738,0.0621779652,0.007812103319999999,0.007174380600000001,0.00573950448,0.00430462836,0.0060583658400000006,0.004464059040000001,0.16389473904000001,0.00510178176,0.00015943068,0.07206266736
Liaoning,0.1648851714,0.04092969528,0.040399517880000006,0.07708779396000001,0.01452686076,0.16902055512000003,0.03796070184,0.025236444240000003,0.0164354994,0.025236444240000003,0.09479571912000001,0.016011357480000002,0.01017940608,,0.01346650596,0.02035881216,0.00869490936,0.17400422268,0.016223428440000003,0.008058696479999999,0.00625609332,0.00646816428,0.0063621288,0.00996733512,0.005831951400000001,0.00731644812,0.0020146741199999997,0.0021207096000000003,0.00063621288,0.00042414192,0.03753655992
Jilin,0.03926444544,0.022709237760000004,0.025656238080000004,0.05018568192000001,0.012828119040000002,0.11319948288,0.027649797120000003,0.013088148480000002,0.013781560320000002,0.024876149760000004,0.20013599232,0.01958888448,0.011267942400000005,0.14986363392000002,0.011354618880000002,0.019848913920000003,0.0099677952,,0.0186354432,0.005807324160000001,0.00494055936,0.007454177280000002,0.007800883200000002,0.008580971520000001,0.006587412480000001,0.005547294720000001,0.003467059200000001,0.0025136179200000003,0.0013868236800000002,0.0006067353600000001,0.02669635584
Heilongjiang,0.0361919502,0.022259286000000003,0.019373823000000002,0.053422286400000005,0.0081617382,0.1204474698,0.0264638178,0.0100578996,0.0110472012,0.036274392,,0.0207753336,0.0087388308,0.057297050999999995,0.0088212726,0.0207753336,0.00824418,0.2328156432,0.0384178788,0.0050289498,0.0029679048,0.004781624399999999,0.0084915054,0.0084915054,0.0072548783999999995,0.002885463,0.0017312778,0.0014015106,0.0013190688,0.0002473254,0.0389125296
Shanghai,0.03216447144,0.022634257680000002,0.22515130008,0.1459313982,0.027995002919999998,0.0119127672,2.7893744398799996,0.46400228244,0.07862426352000002,0.16797001752000001,0.029781918,,0.09172830743999999,0.016677874080000002,0.04705543044,1.18591597476,0.06313766616000001,0.020847342599999995,0.04050340848,0.11793639527999998,0.0238255344,0.05241617568,0.05122489896,0.08279373203999997,0.02918627964,0.033951386519999995,0.01012585212,0.007743298679999998,0.0035738301599999994,0.00119127672,0.06611585796
Jiangsu,0.12102560567999998,0.03869526167999999,0.7368565787999999,0.8051907643199999,0.09467989560000001,0.02140588944,,1.94217281496,0.13172855039999998,0.18359666712,0.048574902959999985,1.80879765768,0.19018309464,0.03046222728,0.12678872976,1.06700125824,0.10291293,0.033755441039999994,0.03128553072,0.15313443984,0.06257106143999999,0.07080409584,0.08397695088,0.08562355775999997,0.042811778879999984,0.09467989560000001,0.01893597912,0.0123495516,0.008233034399999999,0.00329321376,0.06421766832
Zhejiang,0.06837506784,0.0221585868,0.63246937752,0.174103182,0.03292132896,0.0126620496,1.1364189515999998,0.86481798768,0.14118185304000003,0.2025927936,0.03038891904,0.92622892824,0.24817617216,0.0221585868,0.0696412728,,0.20132658864,0.02342479176,0.02785650912,0.53370539064,0.031655124,0.12725359847999998,0.1297860084,0.22981620024,0.04874889096,0.31465193256,0.008230332239999999,0.0063310248,0.00506481984,0.00063310248,0.04495027608
Anhui,0.04426151688,0.016737548400000003,0.5300223660000001,0.17407050336,0.02343256776,0.007810855920000002,1.5272083051200005,,0.033475096800000013,0.08182801440000002,0.01264614768,0.27598357584000005,0.12422980368,0.009298638,0.038310388560000005,0.44968213368,0.04351762584,0.00892669248,0.013390038720000002,0.12013840296000006,0.0111583656,0.02045700360000001,0.02082894912000001,0.040542061680000005,0.016737548400000003,0.019713112560000003,0.004091400720000001,0.003719455200000001,0.002975564160000001,0.00111583656,0.037194552000000006
