,Hebei,Shandong,Henan,Tianjin,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.1386438812799997,0.34296032772,0.2746833865200001,0.24789781728,0.22478869872000004,0.20115437292,0.18959981364,0.16438986612,0.15178489236,0.12289849416,0.11764642176000002,0.10819269144000002,0.0997893756,0.09138605976,0.09138605976,0.08981043804000001,0.08455836564000001,0.07300380635999999,0.07142818464,0.06197445432,0.048844273320000006,0.047793858840000016,0.04411740816,0.03623929956,0.03571409232,0.02993681268,0.02048308236,0.01943266788,0.00945373032,0.0021008289600000004,
Tianjin,0.8135929656000002,0.14613580656000005,0.06615840887999999,,0.031265462160000014,0.03869316864000001,0.037829481840000005,0.044738976240000006,0.03161093688,0.02055574584,0.016928261280000002,0.01675552392,0.019173846960000004,0.012437089920000002,0.018137422800000004,0.02660155344,0.0207284832,0.009327817440000002,0.017273736,0.009673292160000005,0.00708223176,0.00898234272,0.006564019680000001,0.00829139328,0.00414569664,0.0051821208,0.0008636868000000001,0.0032820098400000003,0.0015546362400000002,0.0003454747200000001,0.2806982100000001
Hebei,,0.76022198784,0.3652532352,0.80293804416,0.09409913856,0.16095905280000006,0.38815894656,0.20491325568,0.19996066944,0.08419396607999999,0.06066918144,0.09471821184,0.03962068992,0.03962068992,0.06871713407999999,0.06190732800000001,0.07119342719999999,0.040239763200000014,0.04519234944,0.02971551744,0.02971551744,0.029096444159999995,0.032191810560000006,0.01795312512,0.024143857919999998,0.01671497856,0.01361961216,0.008667025920000002,0.00495258624,0.00061907328,2.39148008064
Shanxi,0.35330138388000004,0.11482784855999999,0.3105838566,0.03272397732,0.041933719439999996,0.06721152227999999,,0.01979114796,0.16538345423999998,0.034291592999999995,0.05133941352,0.33351023591999995,0.017635676399999998,0.02429804304,0.03272397732,0.00901379016,0.0254737548,0.017831628359999997,0.00627046272,0.0166559166,0.01489234896,0.018615436200000002,0.008817838199999999,0.01489234896,0.009209742119999998,0.0107773578,0.0066623666399999995,0.007642126440000001,0.00352713528,0.00078380784,0.18478269828
Inner Mongolia,0.2063589696,0.0577238886,0.035232019200000006,0.0250084422,0.0206044398,0.0250084422,0.14202907739999998,0.20384239680000005,,0.0201325824,0.0191888676,0.18496810079999998,0.009437148,0.0150994368,0.0113245776,0.09295590779999999,0.010538148600000002,0.006763289400000001,0.1189080648,0.0075497184,0.006291432,0.0055050030000000005,0.0050331456,0.043253595000000006,0.005190431400000001,0.0047185740000000006,0.005347717200000001,0.11308849020000003,0.0029884302000000003,0.0001572858,0.16640837640000006
Liaoning,0.21661945344000005,0.1405943568,0.04669121232,0.04131044064,0.06265995408,0.07619866991999999,0.02221737984,,0.19422850032000002,0.04964195808,0.02551527216,0.02395311264,0.02638313856,0.032805349920000004,0.01926663408,0.16645677552000002,0.01874591424,0.015448021919999997,0.28778449824,0.023085246240000003,0.015968741760000002,0.01110868992,0.008678664,0.0062486380800000005,0.01249727616,0.007116504479999998,0.00312431904,0.0026035992000000003,0.00156215952,0.0008678664,0.17322613344
Jilin,0.05014023119999999,0.06120209664,0.013543031519999998,0.015920815680000002,0.031221339839999997,0.029877374879999998,0.00682320672,0.29525876352,0.10834425215999999,0.02460489696,0.010648337759999998,0.010234810079999998,0.01281935808,0.02140005744,0.007133352480000001,0.20293870896,0.008994227039999999,0.008063789759999999,,0.010028046240000001,0.007133352480000001,0.004238658719999999,0.0056860056,0.0020676384,0.0073401163199999985,0.00279131184,0.0016541107199999998,0.0010338192,0.0005169096,0.00041352767999999995,0.07040308751999999
Heilongjiang,0.0586525212,0.07810046243999999,0.015949369799999998,0.02088852948,0.04198285728,0.0344712186,0.008231932800000001,0.15836180724,0.08952226919999999,0.02973785724,0.01101021012,0.0108044118,0.01934504208,0.034574117759999995,0.012142100879999998,,0.01049571432,0.01090731096,0.24068113524,0.01193630256,0.00936382356,0.0056594538,0.005144958,0.00144058824,0.007511638679999998,0.003601470599999999,0.0012347899199999998,0.00133768908,0.00092609244,0.00020579832,0.09271214316
Shanghai,0.034714500480000014,0.11597799024,0.12544558128000002,0.016568284319999998,0.15660973512,1.6102794427200002,0.018146216160000003,0.025641392400000004,0.008678625120000002,0.8268362841600001,0.062328307680000014,0.031558636800000005,,0.033925534560000005,0.06430072248,0.017751733200000005,0.31243050432,0.04773243816000001,0.013412420640000002,0.08126348976,0.03905381304,0.033136568639999996,0.08718073416000001,0.013412420640000002,0.02130207984,0.02603587536,0.00236689776,0.003944829600000001,0.0015779318400000002,0.0003944829600000001,0.10335453552
Jiangsu,0.13030709759999998,0.699043284,0.37531158840000006,0.034612822800000005,0.247719222,,0.0631175004,0.0604027692,0.0196818012,1.062138582,0.1004450544,0.0909434952,1.5548622948,0.038684919599999985,0.1465954848,0.033255457200000005,1.3159659492,0.0923008608,0.0244325808,0.111982662,0.06176013480000001,0.055651989599999986,0.1228415868,0.03393414,0.0468291132,0.052258575599999996,0.0122162904,0.007465510799999999,0.006786828000000001,0.0020360484,0.1717067484
Zhejiang,0.07311593304,0.1742023908,0.29737084175999995,0.01913772744,0.26694676223999997,0.9691541459999999,0.033368345279999996,0.04465469736,0.01423061784,,0.11335423176,0.06330171384,0.7247800879199999,0.038766165840000005,0.16144390583999998,0.026498391840000003,0.51328366416,0.15310181952000002,0.02306341512,0.26989102800000003,0.09519792624,0.07556948784,0.3655796652,0.022081993200000004,0.052015361759999997,0.18499803192000003,0.00932350824,0.00637924248,0.0034349767200000003,0.00098142192,0.10255859064
Anhui,0.05717451744,0.16612972992,0.38907438912000003,0.015462290879999997,0.11578738752,1.3682329487999998,0.0215752896,0.017979408,0.008630115839999999,0.5487315321599999,0.03020540544,0.03667799232,0.28803011616,0.02085611328,0.11542779936,0.00934929216,,0.04602728448,0.00791093952,0.04926357792,0.017619819840000002,0.01941776064,0.10967438880000001,0.01006846848,0.017619819840000002,0.0161814672,0.00395546976,0.00323629344,0.00215752896,0.00107876448,0.07731145440000001
Fujian,0.02395038456,0.04216617,0.06392391372,0.00691525188,0.37561624236,0.08871762168000001,0.011469198240000002,0.017203797360000002,0.0074212459200000015,0.25535832552000004,0.057345991200000015,0.025131037319999997,0.060381955439999996,0.020914420319999998,0.055659344400000005,0.00995121612,0.04925008656,0.06291192563999999,0.006746587200000001,,0.03946753512,0.04250349936000001,0.1931210586,0.0092765574,0.03592557684,0.06240593160000001,0.00404795232,0.002361305520000001,0.0016866468000000007,0.00050599404,0.049924745280000016
Jiangxi,0.022808835359999998,0.039070690200000015,0.04772959992,0.00506863008,0.52143531948,0.10263975912,0.00887010264,0.008447716800000001,0.003590279640000001,0.34825712508,0.028933430040000006,0.01942974864,0.07286155740000001,0.019007362800000004,0.13474108295999998,0.00675817344,0.10179498743999998,0.25786655531999997,0.003590279640000001,0.19514225808,0.022597642440000003,0.02027452032,,0.0057022088399999995,0.03780353268,0.027666272520000004,0.0014783504400000002,0.00168954336,0.0010559646000000002,0.00042238584,0.0411826194
Shandong,0.69324079392,,0.57741035976,0.13107128076,0.16155297395999998,0.7886049483600001,0.10581502068,0.141522147,0.05181887844,0.2046627972,0.07794604404,0.0957996072,0.1262813004,0.04310982324,0.08665509924,0.09057417408,0.19856645856,0.06139883916,0.05791521708000001,0.05747976432,0.043545275999999994,0.03788439012,0.05094797292,0.021772637999999997,0.039626201160000006,0.02482080732,0.01349903556,0.010886318999999998,0.00566088588,0.00261271656,0.34357222764
Henan,0.31759957440000003,0.5467908240000001,,0.049022625599999994,0.25475005440000004,0.3850580592,0.2932977600000001,0.0393856992,0.026815795200000003,0.2811468528,0.0867323376,0.232543224,0.11354813279999999,0.050279616000000006,0.35237630880000004,0.015502881600000002,0.4160638224000001,0.1001402352,0.0129889008,0.064944504,0.041061686400000005,0.0414806832,0.0624305232,0.033938740800000006,0.037709712000000006,0.033519744000000004,0.025139808000000003,0.011731910400000005,0.012569904000000002,0.0033519744000000003,0.24092316000000005
