,Hebei,Shandong,Henan,Tianjin,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hubei,0.046129354199999986,0.067506372,0.29207756951999997,0.00990093456,0.30737901384,0.13298755284000002,0.02160203904,0.01552646556,0.007425700920000001,0.13996321128,0.06930654192,0.07920747648000001,0.05648033124,0.02880271872,,0.0078757434,0.10756015272,0.31570479972,0.00652561596,0.05468016132000001,0.035103313440000006,0.118136151,0.14828899716000002,0.01102604076,0.03847863204,0.029927824920000005,0.004950467280000001,0.0036003398400000007,0.00270025488,0.00180016992,0.084382965
Hunan,0.030328570800000006,0.04218428484,0.07140999852,0.006617142719999999,1.006357122,0.0813357126,0.0151642854,0.013234285439999998,0.0052385713200000005,0.124071426,0.05266142748,0.02867428512,0.04108142772,0.04163285628,0.29142999395999997,0.00882285696,0.03915142776,,0.0057899998800000005,0.05955428448,0.05707285596,0.06451714151999999,0.23794142364,0.006617142719999999,0.18803713896,0.15798428244,0.0063414284400000005,0.0027571428000000005,0.00303285708,0.0013785714000000002,0.06093285588
Guangdong,0.07144605,0.11307114,0.23173371,0.02236572,,0.20564037,0.031063499999999997,0.043488900000000004,0.01428921,0.23359752,0.24540165,0.08822034,0.12052638,0.18078957,0.30193722,0.03789747,0.10188827999999997,0.91761579,0.02609334,0.37711089,0.19072989,0.14351337,0.48396933,0.02050191,1.36493019,0.22738482,0.01118286,0.00869778,0.00434889,0.00248508,0.17333433
Guangxi,0.01695376656,0.0300446496,0.03261990528,0.0032190696000000004,1.250072028,0.03390753312,0.0075111623999999984,0.00944260416,0.00193144176,0.04549618368,0.04356474192,0.01459311552,0.017812185119999997,0.049573671839999986,0.036053579520000004,0.007725767039999999,0.014163906240000001,0.1695376656,0.00364827888,0.032190696,0.0976451112,0.028757021760000005,0.03197609136000001,0.0042920928,,0.12296845872000002,0.00193144176,0.0021460464,0.0010730232,0.00042920928,0.02918623104
Hainan,0.028755835920000007,0.022304646,0.02553024096000001,0.007549264800000002,0.14844599784,0.0267655752,0.015716196720000002,0.019971236880000003,0.007206116400000001,0.024706684800000003,0.03905028792000001,0.016402493520000002,0.02003986656,,0.017226049679999998,0.0195594588,0.01084348944,0.030197059200000008,0.012010194000000002,0.01633386384,0.01502989992,0.02278505376,0.01352004696,0.006382560240000002,0.03953069568,0.01297100952,0.003774632400000001,0.0025392981600000004,0.00178437168,0.00020588904,0.05737441248
Chongqing,0.02419502400000001,0.031539942,0.04104513,0.00432054,0.141065631,0.051414426,0.014905863,0.011233403999999999,0.006480810000000001,0.063943992,0.8932716450000001,0.04925415599999999,0.027435429,0.037588698,0.14581822500000002,0.005400675000000001,0.020306538,0.07431328799999999,0.00432054,0.037804725,0.09613201500000003,,0.018362295000000004,0.012097512000000005,0.040613076,0.238061754,0.008209026000000001,0.006048756000000002,0.003672459,0.005400675000000001,0.041909238
Sichuan,0.045501912,0.059921532,0.086838156,0.010574388,0.252824004,0.093246876,0.02883924,0.022110084,0.014740056000000001,0.102859956,,0.17527849199999998,0.049988015999999996,0.07017548400000001,0.07209810000000001,0.00961308,0.027557496,0.054153684,0.008651772,0.057358044000000004,0.433870344,0.891773388,0.029159676000000002,0.07305940799999999,0.0560763,0.27365234399999994,0.022750956,0.00961308,0.0240327,0.039734064,0.102859956
Guizhou,0.01124561232,0.01611311616,0.02416967424,0.00302120928,0.19184678928,0.03390468192,0.00637810848,0.00436396896,0.00218198448,0.09919637136,0.24572502144000002,0.01997355024,0.0159452712,0.02098062,0.030379937760000007,0.00184629456,0.013763286719999998,0.15810995232,0.00201413952,0.04515029424,0.30665274191999997,0.2333044944,0.02316260448,0.00486750384,0.13377243311999998,,0.00184629456,0.00151060464,0.0006713798400000001,0.00100706976,0.02249122464
Yunnan,0.019784914200000003,0.028138544639999995,0.035466290639999995,0.004982867280000001,0.1406927232,0.040156048080000006,0.010991619,0.00893985012,0.00410353776,0.06052718196,0.3722494968,0.026819550360000003,0.026819550360000003,0.016560705959999998,0.02843165448,0.007181191080000001,0.013629607560000005,0.054664985160000006,0.00381042792,0.029164429080000005,,0.07078602636,0.01744003548,0.0058621968,0.10156255956,0.28416998988000003,0.00381042792,0.00190521396,0.00190521396,0.00410353776,0.038104279200000014
Tibet,0.001060452,0.0023153201999999997,0.006009228000000001,0.00017674200000000002,0.0035878626,0.0019088136000000003,0.0010958004,0.0009544068,0.00031813560000000003,0.0015199812000000002,0.07840275120000001,0.0094203486,0.0004065066,0.0004065066,0.0024920622000000003,0.0002120904,0.0013432392,0.0017143974000000002,0.0004418550000000001,0.0012195198,0.00795339,0.011134746,0.0008306873999999999,0.0073524672,0.0010958004,0.0012548682,0.0011311488,0.00031813560000000003,0.027041526,,0.0033227496
Shaanxi,0.08338718016000002,0.08020446336,0.22172927039999998,0.010609056000000002,0.08911607040000001,0.08720644032000002,0.27371364480000004,0.021218112000000004,0.16634999808,0.05601581568,0.19435790592,,0.027371364480000004,0.030554081280000006,0.08593335360000001,0.00869942592,0.03437334144000001,0.02800790784,0.0067897958400000005,0.02397646656,0.032463711360000015,0.04667984640000001,0.015913583999999998,0.2270337984,0.01782321408,0.021854655360000003,0.025461734399999998,0.07150503744000003,0.023127742080000003,0.004667984640000001,0.10227129984
Gansu,0.0164286144,0.0184344336,0.035818199999999994,0.0041071536,0.028176984,0.028845590400000006,0.0119394,0.004298184000000001,0.0349585632,0.019580616000000002,0.08567713440000001,0.26639189280000003,0.00955152,0.007736731200000002,0.0131810976,0.0022923648,0.0086918832,0.007545700800000002,0.001910304,0.0084053376,0.008978428799999999,0.014804856000000002,0.0079277616,,0.0058264272,0.0048712752000000005,0.0424087488,0.1013416272,0.1220684256,0.003820608,0.0277949232
Qinghai,0.0047488517999999995,0.00717604272,0.0161812728,0.00112565376,0.007774046279999999,0.00752780952,0.00408049488,0.0012311838000000001,0.0029900178000000005,0.0056282688,0.03654857052,0.030498181560000004,0.00232166088,0.0036935514000000003,0.00390461148,0.000879417,0.0034824913199999995,0.0030251944800000004,0.0007387102799999999,0.0030603711600000003,0.0033417846,0.00689462928,0.0012311838000000001,0.13961624292000002,0.0012311838000000001,0.00214577748,0.015301855799999996,0.0093218202,,0.01554809256,0.00999017712
Ningxia,0.009567914399999999,0.01061168688,0.012699231840000002,0.0023919785999999997,0.01061168688,0.0100028196,0.006828011640000001,0.002174526,0.09959329079999997,0.007349897879999998,0.013395080159999998,0.08015302835999999,0.0031748079600000005,0.005697258120000001,0.0036966942,0.00252245016,0.004262070959999999,0.0034357510800000005,0.0010437724800000001,0.00265292172,0.00356622264,0.0050014098,0.00160914924,0.10194177888,0.00252245016,0.00182660184,0.004262070959999999,,0.00617565384,0.0004349052,0.01504771992
Xinjiang,0.014347623960000003,0.016849522800000002,0.05407165044,0.0008680057200000001,0.017360114399999998,0.015470925480000002,0.007199341559999999,0.00500379768,0.01000759536,0.013632795719999998,0.06341547672,0.047382900480000004,0.0034209637200000005,0.00725040072,0.009497003759999999,0.00245083968,0.006382395000000001,0.008373702240000001,0.00194024808,0.007046164079999999,0.008680057199999999,0.017870706000000004,0.00245083968,0.10308844404000002,0.00291037212,0.0033188454000000005,,0.0099565362,0.021240610559999998,0.0013785973199999999,0.026908177319999997
Taiwan,6.462828e-05,,,,6.462828e-05,0.00012925656,,,3.213756000000001e-05,6.462828e-05,,3.213756000000001e-05,0.0008747773200000001,,,,,3.213756000000001e-05,,0.00161994492,,,3.213756000000001e-05,,,3.213756000000001e-05,,3.213756000000001e-05,,,0.00025886628000000003
Hong Kong,3.0747600000000004e-05,,,,0.029351658959999995,3.0747600000000004e-05,3.0747600000000004e-05,,,3.0747600000000004e-05,,3.0747600000000004e-05,0.00058112964,0.00012913992,,,,,,0.00015988752,,,,,9.531756e-05,,,,,,3.0747600000000004e-05
Macau,0.0009984546000000002,0.00087137856,0.0006353802,0.00030861324,0.15955304507999998,0.0022873687200000003,0.0005990727600000001,0.0007079950800000001,1.8153720000000007e-05,0.0019424480400000003,0.00096214716,5.446116e-05,0.00223290756,0.0005446116000000001,0.0011618380800000002,0.0005446116000000001,9.07686e-05,0.0011981455200000002,0.00030861324,0.0011618380800000002,0.00030861324,0.00047199671999999997,0.00041753556000000006,1.8153720000000007e-05,0.0015430662,0.00030861324,,,,,0.0018335257199999999
