,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Anhui,Inner Mongolia,Heilongjiang,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Shanghai,Zhejiang,Gansu,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.21645429768,3.4571714587199995,0.6127790680799998,0.042681129119999994,0.14023799567999998,0.1219460832,6.325953065999999,0.036583824960000004,0.12499473527999998,2.3596567099200003,1.981623852,1.45725569424,0.40547072664000006,0.09450821448,0.35974094544,1.75602359808,1.27128791736,,0.152432604,4.167507393359998,0.7865522366399998,0.05792438952,0.9633740572799998,0.7164332388,0.29876790384,2.3017323204,0.021340564559999997,0.015243260399999996,0.00609730416,,0.16157856023999995
Anhui,0.13265301312,1.12066767216,0.29659211424000004,0.02753175744,0.04943201904,0.03316325328,,0.0125144352,0.02628031392,2.0930392872,0.30535221888,0.1063726992,0.08196955055999999,0.020648818080000002,0.12076429967999998,0.14704461359999998,0.39921048288,0.5450036529600001,0.0281574792,0.24215432112,0.11200419504,0.0187716528,0.06632650656,0.046929132,0.03253753152,0.05756640192,0.0093858264,0.00375433056,0.00250288704,0.00062572176,0.10386981216
Fujian,0.06823761408000001,0.5772533299200001,0.12448753920000002,0.02120898816,0.04518436608,0.035963066880000005,0.4656756096,0.01106555904,0.029508157440000005,0.18165959424000003,0.6713105817600001,0.8815562035200001,0.1060449408,0.020286858240000004,0.4961058969600001,0.6989744793600001,0.09959003136,0.37530687744,0.03872945664,2.26659534336,,0.02397537792,0.6703884518400001,0.20655710208000005,0.18258172416,0.7755112627200001,0.0092212992,0.01198768896,0.0018442598400000003,,0.07745891328
Jiangxi,0.05769824400000001,0.219877092,0.08186913000000001,0.008186913,0.021052062000000003,0.019492650000000004,0.3048650460000001,0.007017354000000001,0.017543385,0.16685708400000004,0.4962828690000001,0.10876898700000004,0.045612800999999994,0.011305737,0.4869263970000001,0.6362400960000001,0.093954573,0.3590546130000001,0.022611474000000003,,0.30954328200000003,0.029628828000000006,0.07134309900000001,0.04795191900000001,0.08303868900000001,0.11266751700000002,0.004288383000000001,0.0038985300000000007,0.0019492650000000004,0.0003898530000000001,0.056138832000000014
Shandong,1.1432815146,1.305477162,,0.2215355184,0.23498588915999996,0.30223774295999994,0.4905429336,0.09336139704,0.3441712518,1.2192365494800002,0.21362353560000005,0.19859076828,0.16852523364,0.19621717344,0.1345037076,0.12421812995999999,0.16140444912000002,0.237359484,0.07595503488,0.11235015576,0.1226357334,0.04272470712,0.07437263831999999,0.0830758194,0.048263095079999985,0.053801483039999994,0.026900741519999997,0.02136235356,0.01265917248,0.00158239656,0.42803826948
Henan,0.5178764969999999,,0.791530704,0.063247311,0.393886719,0.05635899000000001,0.9493358759999999,0.033189183,0.038198871,0.402027462,0.63247311,0.178470135,0.381362499,0.025674651,0.27177557399999996,0.190994355,0.122737356,0.218547639,0.060116255999999986,0.107708292,0.11772766799999998,0.08328606300000001,0.08328606300000001,0.066378366,0.065752155,0.054480356999999986,0.038198871,0.015655275,0.011271798000000001,0.003131055,0.270523152
Hubei,0.13497578855999998,0.9188110908,0.15286414608,0.02005664328,0.0650485728,0.03902914368,0.35451472176,0.0162621432,0.030898072079999995,0.23092243344000002,,0.22712793335999998,0.20436093288,0.02005664328,0.35126229312,0.8537625179999999,0.08564728752,0.18105186096,0.04282364376,0.4211895088799999,0.14202271728,0.03957121512,0.4759387243199999,0.06775893,0.09106800192,0.09540457344,0.02059871472,0.0081310716,0.005420714399999999,0.00108414288,0.10407771647999997
Hunan,0.08105301936,0.25766854920000004,0.08955858312000001,0.012007854719999995,0.03852520056,0.025016364,0.13058542008,0.01400916384,0.0200130912,0.11457494712,0.9211025224799999,0.16861029336,0.07104647375999999,0.01400916384,0.87457208544,,0.05703730991999999,0.13108574736,0.02301505488,0.56186753544,0.13308705648,0.052534364400000005,0.20763582120000001,0.09456185592000001,0.37724676912,0.41377066056,0.011007200159999998,0.006504254639999999,0.00350229096,0.0010006545599999998,0.07955203752000001
Guangdong,0.2062333872,2.6538980616,0.3093500807999999,0.04341755519999999,0.13025266559999998,0.1248254712,0.8683511039999999,0.037990360800000005,0.1139710824,0.4124667744,3.9509975232,3.4299868607999997,0.488447496,0.081407916,,11.9615364576,0.2116605816,0.461311524,0.13567986,7.380984384,1.6932846528,0.40703958,1.6064495424,1.0800116856,12.726770868,2.0677610663999997,0.0325631664,0.016281583199999998,0.005427194399999999,,0.2496509424
Guangxi,0.07375598207999999,0.14248314720000002,0.07291784591999999,0.014248314719999999,0.02388688056,0.0251440848,0.08758522871999999,0.009219497759999999,0.0167627232,0.07375598207999999,0.17936113824000002,0.19863826992000005,0.046935624960000005,0.015505518959999999,1.19182961952,0.7509699993600001,0.031430106,0.07627039056,0.01592458704,0.18397088712,0.14876916839999998,0.054478850400000015,0.10560515616,0.2053433592,,0.36961804655999997,0.004609748879999999,0.0041906808,0.0020953404,,0.049869101519999987
Hainan,0.043970202,0.07845984,0.037922256,0.016999631999999997,0.021903372,0.024191783999999997,0.046422072,0.01225935,0.022230287999999997,0.043479828,0.07796946599999999,0.134199018,0.023537952,0.014384303999999999,0.35355965399999995,0.12994911,0.036941508,0.043970202,0.010788228,0.07028693999999999,0.044297118,,0.060152544,0.024682158,0.11997817199999998,0.04822011,0.011768976,0.006374861999999999,0.0027787859999999997,,0.066037032
Chongqing,0.06940862784,0.14001395615999998,0.06821192736000001,0.016155456480000004,0.0418845168,0.022138958880000004,0.06821192736000001,0.013762055520000002,0.015557106240000004,0.09932613984,0.42243526944,2.9983330526400005,0.14360405760000006,0.011368654560000002,0.18369352368000005,0.2273730912,0.05085977040000001,0.0837690336,0.05026142016,0.09633438864,0.07658883072000001,0.06163007472000001,,0.18907867584000004,0.08855583552000001,0.6139073462400001,0.027524111040000004,0.010770304320000002,0.009573603840000002,0.009573603840000002,0.059835024000000014
Sichuan,0.13198298112,0.24835507200000004,0.11069540352,0.022706749440000003,0.08373113856,0.043994327039999996,0.10501871616,0.024835507200000002,0.027673850880000003,0.14404594176,0.28454395392,,0.40730231808,0.026254679040000003,0.29234939904,0.18874985472000005,0.07663527936,0.12559670784000002,0.18874985472000005,0.13340215296,0.10430913024,0.08373113856,2.41117295616,0.8444072448000001,0.11921043455999998,0.56128246272,0.06102438912,0.01915881984,0.039027225600000014,0.039736811520000005,0.12488712192
Guizhou,0.041164245360000004,0.09660996359999999,0.04326446196000001,0.005880606480000001,0.01596164616,0.01134116964,0.05334550164,0.00504051984,0.00798082308,0.06258645468,0.15289576848,0.7812805752000002,0.047884938479999986,0.00546056316,0.147015162,0.59394125448,0.023522425920000003,0.1029106134,0.01176121296,0.12013238952,0.11215156644,0.045784721880000004,0.6922313913600001,0.68551069824,0.28646954424000004,,0.0029403032400000004,0.0021002166,0.00126012996,0.00084008664,0.03192329232
Yunnan,0.059612452199999985,0.12539170979999995,0.059612452199999985,0.01480033296,0.026722823399999998,0.017267055119999996,0.059612452199999985,0.007811286839999998,0.01315585152,0.071946063,0.15129229247999998,1.1577149337600001,0.05467900788,0.01110024972,0.14553660744000002,0.27380615976,0.030834027,0.0966132846,0.01932265692,0.11922490439999997,0.10730241395999998,0.016855934759999996,0.33465197304,,0.21912715188,0.8304631271999998,0.007811286839999998,0.00534456468,0.00328896288,0.00657792576,0.053034526439999986
Tibet,0.0035301873600000005,0.01298720304,0.0045341856,0.00025909632,0.00213754464,0.00116593344,0.003627348480000001,0.00087445008,0.00061535376,0.0051819264,0.005246700480000001,0.13991201279999999,0.01470371616,0.00035625744000000005,0.00236425392,0.005732506080000001,0.00093922416,0.0019108353600000001,0.02367492624,0.00174890016,0.0011335464,0.0007125148800000001,0.02111635008,0.0152219088,0.00055057968,0.0028500595200000004,0.00126309456,0.0008096760000000001,0.0450179856,,0.0035625744000000008
Shaanxi,0.19528101107999998,0.6419091142800001,0.18245233152,0.02280654144,0.53405317872,0.037060629840000005,0.15346901844,0.28650717684,0.02090599632,0.16962365195999998,0.26797686192,0.4898655046800001,,0.02043086004,0.0974029374,0.09597752856000001,0.04371253776,0.07174557828,0.6376328877599999,0.07032016944,0.06746935175999999,0.0403865838,0.12543597792000002,0.042762265199999996,0.03040872192,0.0332595396,0.042762265199999996,0.16819824311999998,0.034684948439999995,0.00427622652,0.10975648068
Gansu,0.05150376576,0.11891310624,0.04468709088,0.01117177272,0.030864389039999995,0.00833149152,0.03351531816,0.06759869255999999,0.0045444499200000005,0.059077848960000005,0.04430838672,0.16909140743999998,0.52848165528,0.00435509784,0.03427272648,0.02480512248,0.01685233512,0.03256855776,,0.01874585592,0.01969261632,0.01628427888,0.030864389039999995,0.0113611248,0.01003566024,0.01022501232,0.0747940716,0.19143495288,0.17874836351999998,0.00397639368,0.03919588056
Qinghai,0.019477584000000003,0.057041496,0.022552992,0.0024163920000000003,0.012155184,0.002050272,0.014059008000000001,0.005638248,0.0018305999999999997,0.020722392000000003,0.014059008000000001,0.078056784,0.071246952,0.001391256,0.00878688,0.010397808,0.004979232,0.008640432,0.280960488,0.0054185760000000005,0.0057114719999999996,0.0066633840000000005,0.013326768,0.0048327840000000006,0.0036611999999999994,0.002050272,0.009592344,0.010544256,,0.02269944,0.010104911999999999
Ningxia,0.045238211640000005,0.06248731392000001,0.032436991080000005,0.0043393968,0.02831456412,0.004881821400000001,0.02093758956,0.16402919904000002,0.00412242696,0.02234789352,0.016164253080000003,0.030592747439999998,0.19863588852000003,0.0034715174400000003,0.0130181904,0.01074000708,0.0075939443999999984,0.015947283240000002,0.29703171096000003,0.00791939916,0.00911273328,0.009221218199999999,0.01052303724,0.00932970312,0.004881821400000001,0.00499030632,0.010848492,,0.00998061264,0.0005424246,0.02310728796
Xinjiang,0.046484649360000005,0.18255229848,0.05972199984000001,0.01092851028,0.029091386519999998,0.00785005668,0.0369414432,0.024165860760000005,0.007080443279999999,0.05141017512,0.03263160816,0.17116202015999998,0.10066543272,0.0046176804,0.03016884528,0.02755215972,0.0184707216,0.02478155148,0.43590902976,0.012005969040000002,0.016931494800000002,0.01739326284,0.04756210812,0.014314809240000004,0.006002984520000001,0.007388288639999998,,0.0261668556,0.04109735556000001,0.00015392268,0.04525326791999999
Taiwan,0.00016018559999999999,0.0008059337999999999,0.0011963861999999999,0.00029033639999999995,0.0001902204,0.0016168734,0.00022526099999999998,0.00016018559999999999,0.0002552958,0.0050208174,0.00100116,0.0014216472,0.0007758989999999999,3.00348e-05,0.0094259214,0.001226421,0.005281119,0.0023927723999999997,9.51102e-05,0.0004204872,0.0086500224,0.0008409743999999999,0.0011663514,0.000550638,0.0009711252,0.000550638,,6.0069599999999985e-05,,,0.0013565717999999998
Hong Kong,0.00186820668,0.0025768368,0.00347872968,0.0015461020799999994,0.00090189288,0.0011595765599999998,0.0013528393199999998,0.0005797882799999999,0.00045094644,0.0061199874,0.003994097039999999,0.003994097039999999,0.00141726024,0.00038652551999999985,0.5178153549599999,0.006248829239999999,0.01372165596,0.007472826719999998,0.00012884184,0.0021258903600000004,0.0231915312,0.0028989414,0.0028989414,0.0019326276000000001,0.003994097039999999,0.00173936484,0.00012884184,0.00012884184,0.00012884184,,0.012690921239999998
Macau,0.002635578,0.0018449046,0.00384794388,0.001317789,0.00168676992,0.00168676992,0.0025828664399999996,0.00021084624,0.0012650774399999998,0.008539272720000001,0.00400607856,0.0023193086399999996,0.0005798271599999999,0.0005271156000000001,0.42237773028000003,0.0048494635200000006,0.01354687092,0.00996248484,0.00015813467999999998,0.005060309759999999,0.0073796183999999985,0.0014759236800000002,0.00110694276,0.0005271156000000001,0.004164213240000001,0.0018449046,0.00010542312,0.00042169248,5.271156e-05,,0.00785402244
