,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Anhui,Inner Mongolia,Heilongjiang,Jiangsu,Hubei,Sichuan,Shaanxi,Jilin,Guangdong,Hunan,Shanghai,Zhejiang,Gansu,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,6.49398384648,1.48319384148,1.24267592124,0.8766703904400001,0.8540129052000001,0.59083749972,0.54377964576,0.522865044,0.51763639356,0.45489258828,0.43746375348000005,0.39563454995999997,0.38169148212,0.32591921075999997,0.30326172552,0.25620387156,0.21611755151999998,0.20566025064,0.2004316002,0.19868871672000002,0.17080258104,0.14988797928,0.14117356188000002,0.11677319316,0.09411570792,0.07668687312000001,0.054029387879999995,0.04531497048,0.02091460176,0.006971533920000001,
Tianjin,1.8654503828400002,0.35115571655999994,0.5844013758,,0.20029263012000004,0.17506296720000006,0.16167579912000005,0.11430581976,0.19668839255999998,0.09885908736,0.0798081174,0.06693584040000003,0.06951029580000001,0.11173136436000003,0.042735959639999994,0.04582530612,0.031923246960000005,0.05045932584,0.07568898876,0.04067639532000001,0.040161504240000014,0.0180211878,0.02625944508,0.017506296719999998,0.017506296719999998,0.014416950240000004,0.014416950240000004,0.00978293052,0.005148910800000001,,0.6106608208800001
Hebei,,0.8707526308800002,1.1366237520000002,1.35109971216,0.5930210880000001,0.36668470608,0.23424332976000006,0.32418486144,0.22930148735999997,0.21447596016000006,0.17296448400000006,0.15023200896000002,0.17098774704,0.13441811328000006,0.08401132080000001,0.08401132080000001,0.04744168704,0.10081358496000002,0.06424395120000001,0.06325558272000001,0.062267214240000014,0.06523231968000001,0.05930210880000001,0.043488213120000015,0.051395160960000005,0.031627791360000004,0.01186042176,0.014825527200000002,0.00593021088,0.00098836848,3.1222560283200003
Shanxi,0.68395942512,0.6186922689600001,0.19479218255999997,0.054165011039999995,,0.0386892936,0.08814430368000001,0.22641647471999998,0.024559290719999998,0.1143857376,0.07670572992000001,0.09117216144,0.49017652848000004,0.014802860160000004,0.04945501008000001,0.04407215184,0.028932863039999996,0.04844572416,0.02422286208,0.02826000576,0.04508143776,0.04272643728,0.037007150400000015,0.0201857184,0.019176432480000002,0.01110214512,0.007401430080000002,0.0134571456,0.0050464296,0.00033642864000000004,0.2153143296
Inner Mongolia,0.38938666032,0.09368935632000001,0.1058285088,0.04388770512,0.30410133264,0.37288986335999996,0.03205981296,,0.29009461824000005,0.046066527360000005,0.025212085920000002,0.0326823336,0.33491610431999996,0.21881600496,0.02552334624,0.01898687952,0.01898687952,0.02583460656,0.13508697888,0.012139152480000002,0.01836435888,0.02707964784,0.01307293344,0.00996033024,0.007470247679999999,0.00653646672,0.005291425440000001,0.25087581792,0.0046689048,,0.23686910351999999
Liaoning,0.3690219384,0.18284202575999997,0.28223687952000004,0.07751315087999999,0.05711495328000001,,0.11830954608,0.42687864431999994,0.6011905147200002,0.12424356720000003,0.050439179520000016,0.06898299552000002,0.039683766240000015,0.6475500547199999,0.06638686128,0.034120621440000005,0.057856705920000015,0.06267809808,0.017802063360000002,0.02559046608,0.046359540000000005,0.037087632,0.025219589760000004,0.020027321280000003,0.018543816,0.017802063360000002,0.010013660640000002,0.006675773760000001,0.004079639520000001,0.0007417526400000001,0.20249847072
Jilin,0.08412526511999999,0.043687369439999985,0.09279052847999998,0.031592106,0.01841368464,0.48543527448,0.02852315856,0.18937210968,0.42134843088,0.040798948319999986,0.02021894784,0.021482632079999998,0.014803158239999998,,0.04170157992,0.016608421439999996,0.02996736912,0.02725947432,0.005596315919999999,0.012275789760000001,0.02058000048,0.032133684959999985,0.00920684232,0.007943158079999998,0.008484737039999997,0.004332631679999999,0.003971579039999999,0.0018052632,0.0007221052799999999,0.00018052631999999997,0.08593052831999998
Heilongjiang,0.1080556686,0.04633605,0.13159438199999998,0.045780017400000005,0.0187197642,0.2661542712,0.03484470959999999,0.23649919919999995,,0.049486901399999984,0.0226119924,0.0226119924,0.015198224399999996,0.4214727107999999,0.05912479979999999,0.0164956338,0.0413317566,0.0402196914,0.004448260799999999,0.015939601199999997,0.019461141,0.056900669399999985,0.010193931,0.010193931,0.012232717199999998,0.0063017028000000004,0.0025948188000000003,0.004448260799999999,0.0011120651999999998,,0.128814219
Shanghai,0.16492647168,1.36064339136,0.66485983896,0.05325750648,0.13056679008,0.12884880599999998,3.2469899112,0.03264169752,0.10479702888,4.80863743992,0.6631418548800001,0.4707276379200001,0.25082567568,0.08246323584,0.27659543688,0.3779564976000001,,1.87947458352,0.12541283784,0.87101792856,0.4707276379200001,0.05841145872000001,0.25082567568,0.1202588856,0.08246323584,0.14431066272,0.030923713439999997,0.015461856719999998,0.006871936320000001,0.0017179840800000002,0.23536381896000005
Jiangsu,0.3555943092,2.9954699424,1.7238081744000002,0.070647876,0.2990760084,0.15307039800000002,7.5499030152,0.0494535132,0.1436506812,,0.9867153348000002,0.7394477688000002,0.494535132,0.09184223880000003,0.282591504,0.5486985035999999,2.3690587752000005,1.5613180596,0.23549292,0.9019378836,0.45685626479999997,0.047098584000000006,0.3555943092,0.24020277840000004,0.1153915308,0.3603041676000001,0.032969008800000005,0.023549292000000003,0.011774646,0.0023549292,0.282591504
