,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Shaanxi,Zhejiang,Heilongjiang,Hainan,Anhui,Hubei,Jilin,Hunan,Sichuan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.596120389,0.365139576,0.33654430799999996,0.28100349900000005,0.18916869600000003,0.167172336,0.15397451999999998,0.14847543000000002,0.13032843300000002,0.097333893,0.09348453,0.08963516699999999,0.08798544,0.08798544,0.08028671400000001,0.079736805,0.067088898,0.064889262,0.058290354,0.051141537,0.048941901,0.041243175,0.039593448,0.03299454,0.031894721999999986,0.022546269,0.019796724,0.015397452000000002,0.007148816999999998,0.0032994539999999994,
Tianjin,1.00262045592,,0.18426299255999998,0.09367806816,0.03291988716,0.06120005868,0.049711239000000004,0.051257810880000004,0.03402458136000001,0.01966355676,0.021431067480000003,0.021652006319999997,0.030047682239999998,0.01966355676,0.02916392688,0.015465718799999997,0.02121012864,0.01303539156,0.01833792372,0.015686657639999997,0.0132563304,0.010826003159999998,0.00972130896,0.021652006319999997,0.011046941999999999,0.0044187768,0.011046941999999999,0.005302532159999999,0.00198844956,0.00044187767999999996,0.38023574364
Hebei,,0.9713204423999999,0.8371420793999998,0.4038441462,0.0863977752,0.4130075466,0.1747591362,0.15905044980000002,0.1721410218,0.0346900158,0.0988338186,0.07788890339999999,0.0602166312,0.0484351164,0.078543432,0.0674164458,0.0399262446,0.039271716,0.0471260592,0.033380958599999996,0.029453787,0.0274902012,0.0274902012,0.0215994438,0.0274902012,0.013090572,0.0183268008,0.0137451006,0.0045817002,0.0013090572,2.5048809522
Shanxi,0.38214326448,0.04612759487999999,0.109354212,0.31991077655999994,0.03916869048,,0.0159060672,0.06481722384,0.1511076384,0.023063797439999995,0.33641332128,0.029823876,0.006958904399999999,0.029625050160000003,0.02743796592,0.03042035352,0.00656125272,0.02028023568,0.04811585328,0.01968375816,0.0178943256,0.01749667392,0.00874833696,0.015508415519999999,0.00974246616,0.006163601039999999,0.008350685279999999,0.009543640319999998,0.00338003928,0.0005964775199999999,0.18033503688000002
Inner Mongolia,0.2134944054,0.02808709668,0.04935536063999999,0.033282397799999995,0.01883296656,0.15456020831999998,0.21008498904,0.02743768404,,0.01071530856,0.20180497788,0.016235316,0.09432718596,0.01509884388,0.010390602240000001,0.00925413012,0.12484958004000002,0.00828001116,0.012338840159999998,0.00828001116,0.0071435390400000015,0.00503294796,0.0032470632,0.0454588848,0.005682360599999999,0.006007066920000001,0.0030847100399999995,0.1404354834,0.00389647584,0.00032470632000000004,0.15391079568000002
Liaoning,0.1958691456,0.04864618944,0.1276360416,0.03997657152,0.05554977408,0.0208713024,,0.06389829504,0.18366746112,0.03178859904,0.0208713024,0.0409398624,0.13775059584000002,0.034839020160000005,0.017018138880000002,0.01749978432,0.28545519744000003,0.01573375104,0.01477046016,0.01894472064,0.02038965696,0.00947236032,0.0088301664,0.00513755136,0.01107784512,0.00449535744,0.006743036159999999,0.0016054848000000002,0.0009632908799999998,0.00032109696,0.16119067391999994
Jilin,0.0514278072,0.0205073694,0.050471504999999986,0.014769556199999997,0.0296453682,0.006906626999999999,0.3296054916,0.030707926200000003,0.11443749659999998,0.0162571374,0.0096692778,0.020932392599999995,0.2059237404,0.0240138108,0.0074379059999999985,0.007544161799999998,,0.008925487199999999,0.0059503248,0.0068003712,0.006481603799999999,0.0041439762,0.006056580599999997,0.0020188602,0.005419045799999999,0.0019126044,0.0025501391999999995,0.0008500464,0.0007437906,0.0002125116,0.0681099678
Heilongjiang,0.061372339200000015,0.02527096320000001,0.0833716152,0.0205326576,0.0481727736,0.007220275200000002,0.18535800239999997,0.0331681392,0.09329949359999999,0.022788993599999998,0.0115073136,0.024481245600000003,,0.0357629256,0.01128168,0.0092509776,0.2705346864,0.0128611152,0.009815061600000001,0.010491962400000002,0.012184214399999999,0.006769008000000001,0.0063177408000000025,0.0024819696000000003,0.0125226648,0.0022563360000000003,0.0043998552,0.0036101376,0.0003384504,0.0003384504,0.0983762496
Shanghai,0.043512623279999996,0.019980286200000003,0.13675395888,0.13453392707999998,0.1576222578,0.022200317999999997,0.035076502440000004,1.9429718313599997,0.00932413356,,0.04084858512,0.91065704436,0.019980286200000003,0.0421806042,0.33344877636000003,0.06837697944,0.01687224168,0.04884069960000001,0.039072559680000014,0.04262461056,0.07148502396,0.035520508799999996,0.08480521476,0.0133201908,0.02397634344,0.0057720826799999994,0.026196375240000003,0.00532807632,0.00399605724,0.00133201908,0.09279732924
Jiangsu,0.129222054,0.038552436,0.7296405480000001,0.386238294,0.211324464,0.056400785999999994,0.05711472,,0.017134416,1.719867006,0.08995568400000001,1.040915772,0.036410634,0.039980304,1.618488378,0.14350073399999996,0.02498769,0.08709994800000001,0.059970455999999984,0.063540126,0.099236826,0.052117182000000005,0.11922697800000001,0.03212703,0.045691775999999996,0.013564746,0.054258984,0.01070901,0.00713934,0.0014278679999999999,0.138503196
Zhejiang,0.074448396,0.02183819616,0.16428279384000002,0.26652525768,0.22880473704,0.03027568104,0.03871316592,1.0432701892799998,0.01389703392,0.8655866841600001,0.059062394160000004,,0.02580877728,0.03672787536,0.55985193792,0.14939311464000002,0.02084555088,0.13847401656,0.07990794504,0.08139691295999997,0.24816132,0.06402562056,0.37373094791999995,0.01935658296,0.04814329608,0.0099264528,0.18512834472,0.006948516960000001,0.00397058112,0.00099264528,0.09330865632
Anhui,0.06024653316,0.015733171079999997,0.16539016427999995,0.4259468268,0.0997713288,0.01995426576,0.014965699319999998,1.5917364302399997,0.007674717599999999,0.31351221395999995,0.0364549086,0.5379977037599999,0.009593397,0.020338001640000002,,0.12241174571999998,0.007290981719999998,0.04182721092,0.01841932224,0.01995426576,0.045280833839999986,0.0172681146,0.11128340519999998,0.008058453479999998,0.01650064284,0.00422109468,0.015733171079999997,0.00422109468,0.0019186794,0.0007674717599999999,0.076747176
Fujian,0.025847190719999996,0.009609852959999998,0.04705514208,0.06528072528,0.35523318528000003,0.01192947264,0.0157402764,0.08847692207999999,0.005799049199999999,0.0695885904,0.02949230736,0.24488556335999995,0.01010691432,0.0198824544,0.046723767839999986,0.05351693976,0.007621607519999999,0.06229835711999999,0.041918841359999987,0.038273724719999985,,0.04042765728,0.2004814152,0.01126672416,0.039433534560000004,0.00381080376,0.05567087232,0.00265099392,0.0024853068,0.0004970613599999999,0.046061019360000004
Jiangxi,0.02381418468,0.007123901399999999,0.0366372072,0.044982348839999985,0.4742482932,0.0073274414400000005,0.00793806156,0.09953107956,0.00325664064,0.07551335484,0.016283203200000002,0.30877024068000003,0.005902661159999999,0.0173009034,0.10869038136,0.15896477124000002,0.0034601806799999997,0.27009763307999995,0.015265502999999996,0.02605312512,0.18807099696,0.01648674324,,0.00488496096,0.043150488480000006,0.00223894044,0.0234071046,0.00122124024,0.00162832032,0.0010177002000000001,0.03806198748
Shandong,0.8058180153600001,0.18012936491999998,,0.6388467148800001,0.13339554984000002,0.10707942096,0.12568220172,0.84529220868,0.04265027784,0.11796885360000002,0.09119899836,0.18738898668,0.08484682932000001,0.04219655148,0.20599176744000006,0.09392135652000001,0.05671579500000001,0.05989187952,0.05626206864,0.046733815080000005,0.05989187952,0.04038164604,0.048548720520000005,0.02450122344,0.03493692972,0.012704338080000002,0.02676985524,0.012704338080000002,0.00771334812,0.00136117908,0.33757241184000003
Henan,0.34483281768,0.05818519008,0.5493366475199999,,0.24942621924,0.27338482692,0.03165958872,0.36408527028000004,0.02395860768,0.11679821244000001,0.23231292803999995,0.25841069712,0.015401962079999996,0.05091204131999999,0.449223894,0.4535022168,0.01197930384,0.09669009528,0.06588617112,0.044494557119999986,0.06716966796,0.042783228,0.06032435148,0.03679357608,0.042783228,0.02652560136,0.035082246959999994,0.01411846524,0.010695807,0.0021391614000000002,0.24129740592
Hubei,0.04543506107999999,0.01107620892,0.06374471255999999,0.32866954631999995,0.2854949360399999,0.02102219244,0.0146929302,0.12116016288,0.007233442559999998,0.059901946199999986,0.07775950751999999,0.12658524479999994,0.009041803199999998,0.028481680079999995,0.11980389239999994,,0.00610321716,0.34765733303999996,0.03639325788,0.035263032480000005,0.05470290935999999,0.11889971207999997,0.16795149443999996,0.011528299079999998,0.03978393408,0.004520901599999999,0.0293858604,0.00361672128,0.0027125409599999995,0.0006781352399999999,0.07595114687999999
Hunan,0.035716839840000014,0.007576299360000002,0.0432931392,0.07305717240000002,0.9216027007200002,0.01325852388,0.011905613280000005,0.07549241148000001,0.005141060280000001,0.04464604980000001,0.03138752592,0.10498586256000003,0.011635031160000002,0.040857900120000006,0.039504989520000006,0.33552182880000003,0.00649397088,,0.03192869016,0.05492817036,0.0514106028,0.057092827320000004,0.26598222396000004,0.00838804572,0.19725436548000005,0.0048704781599999995,0.15612588324,0.002976403320000001,0.0027058212,0.0010823284800000005,0.06304563396000001
Guangdong,0.08126811647999999,0.0268901856,0.12070705535999998,0.22886535744000003,,0.034060901760000005,0.05258525183999999,0.194206896,0.01553655168,0.13803628608,0.10636562304,0.20735320895999998,0.04302429696000001,0.16492647168,0.09441442944,0.29519448192000003,0.032268222719999996,0.94772965248,0.16373135232,0.17568254592,0.35973092735999995,0.13863384576,0.48880381824,0.02270726784,1.2351558585600002,0.01374387264,0.21452392512,0.0089633952,0.005975596800000001,0.003585358079999999,0.16970694911999998
Guangxi,0.025328295,0.00486303264,0.029786074920000002,0.033635975760000006,1.06865142264,0.008105054399999999,0.0111444498,0.03566223936,0.0032420217600000003,0.022896778680000004,0.022694152320000004,0.04234890924,0.010941823440000002,0.046604062800000005,0.015804856080000002,0.03627011844,0.0046604062799999995,0.192495042,0.035459613,0.1023263118,0.032014964879999996,0.02472041592,0.032825470320000015,0.005673538080000001,,0.00222888996,0.13738067208,0.00222888996,0.0016210108800000002,0.00020262636,0.03019132764
Hainan,0.03533172048,0.01223350128,0.0333640944,0.03875367888,0.16468174800000002,0.020959495200000004,0.02575023696,0.037384895519999996,0.01069362,0.030369880800000002,0.027204569280000004,0.031824213120000014,0.021986082719999998,,0.0166820472,0.025579139040000004,0.013858931520000005,0.03404848608,0.04294557791999999,0.017451987840000002,0.016083204480000002,0.028658901600000005,0.013345637760000004,0.0072716616000000015,0.04345887168,0.00504738864,0.017794183680000002,0.005475133440000001,0.0029942135999999997,8.554896000000001e-05,0.07228887120000001
Chongqing,0.02369970252,0.007494777720000002,0.035650834560000004,0.034840588320000004,0.13389319115999998,0.01559724012,0.010330639559999999,0.059350537080000015,0.005064039,0.037676450160000007,0.047196843480000014,0.053881374960000006,0.005671723680000001,0.03787901172,0.02349714096,0.14179309199999998,0.0036461080799999996,0.0698837382,0.7974848617199999,0.07839132372,0.036258519239999995,,0.01681260948,0.014381870759999998,0.03605595768,0.00992551644,0.22362796224,0.005064039,0.0032409849600000006,0.01276137828,0.04111999668
Sichuan,0.03723493859999999,0.010014914520000001,0.04519551168,0.06163024319999999,0.1848907296,0.025679267999999998,0.012069255959999995,0.05906231639999999,0.007960573079999998,0.035950975199999985,0.13995201059999998,0.06702288947999999,0.008474158439999999,0.04853381651999999,0.0218273778,0.04904740187999999,0.005392646279999999,0.035694182519999985,,0.40367809296,0.03749173128,0.7880967349199999,0.01848907296,0.06650930411999999,0.04057324344,0.012582841319999998,0.2195577414,0.006676609679999997,0.025936060679999998,0.035437389839999986,0.05315608475999999
Guizhou,0.012837515040000002,0.00427917168,0.020286443520000003,0.024248639520000004,0.17243476991999998,0.005547074399999999,0.004120683839999999,0.03344093424,0.0025358054400000003,0.01886005296,0.01854307728,0.08162123760000001,0.0023773176,0.02599200576,0.012996002879999998,0.028210835519999998,0.00190185408,0.16276701168,0.1957324824,0.3131719718400001,0.035659764,0.21411707184,0.02250527328,0.0028527811199999995,0.13994476272,0.0020603419199999996,,0.0007924392,0.0007924392,0.00031697568000000004,0.02092039488
Yunnan,0.022596459840000003,0.007284385079999999,0.02928620124,0.035381298959999995,0.13647072455999998,0.011892873600000001,0.01100090808,0.046679528880000015,0.0047571494399999996,0.034192011599999995,0.02720494836,0.05039605188,0.006689741400000001,0.015609396599999999,0.016204040280000002,0.03612460356,0.00401384484,0.05188266108,0.34890717924000003,,0.0289888794,0.07314117264,0.018582615,0.007284385079999999,0.1025760348,0.0046084885200000005,0.2988084492,0.0022299138,0.0025272356399999997,0.00535179312,0.04340898864
Tibet,0.0018759114000000002,0.0005426189999999999,0.0027130950000000004,0.0046200132,0.0031937004,0.0009922175999999999,0.0011007414,0.0024495372000000004,0.00021704760000000004,0.0009612108,0.008712910800000001,0.0017363808000000005,0.000387585,0.0005426189999999999,0.0012247686000000002,0.0027441018000000004,0.00024805439999999997,0.0029456459999999997,0.055533178800000006,0.008867944800000001,0.0017363808000000005,0.009875665799999999,0.0009922175999999999,0.007085053800000001,0.0005736258000000001,0.0011317482,0.0020309454000000003,0.0006976530000000001,0.0256271202,,0.0034262514
Shaanxi,0.07420517568,0.017041304880000004,0.07808800464000001,0.21657557088,0.08779507704,0.28732934304,0.0172570176,0.08261797176,0.18874863,0.03192548256,,0.05263390368,0.00992278512,0.03041549352,0.036671162400000006,0.08822650248,0.0075499452,0.0312783444,0.14603751144000002,0.033651184320000006,0.028474079040000006,0.041632554960000005,0.01596274128,0.27438657984000003,0.017041304880000004,0.02308126104000001,0.018119868480000002,0.09577644768000003,0.024159824640000004,0.0043142544,0.09232504416000002
Gansu,0.01872598176,0.00600452676,0.01994724144,0.035823617280000004,0.028801374120000008,0.01333208484,0.0040708656,0.032974011360000006,0.039589167960000005,0.012110825159999998,0.30857161248000003,0.01821712356,0.0018318895199999998,0.00875236104,0.01007539236,0.014146257959999999,0.0020354328,0.009057675959999999,0.06391258992000001,0.00885413268,0.01058425056,0.013637399760000002,0.0042744088799999995,,0.0064116133200000005,0.042947632080000006,0.005495668560000001,0.11571435468,0.12477203064000002,0.0036637790399999997,0.03185452332
Qinghai,0.005675624640000001,0.00077702004,0.0073985821199999986,0.01567553472,0.00949315788,0.0032769975599999997,0.0010135044,0.00685804644,0.0027026784,0.00222970968,0.02797272144,0.0064188612,0.0005067522,0.00418915152,0.0025337610000000003,0.00530400636,0.00023648436,0.00280402884,0.025574094359999997,0.0036486158399999997,0.0023648435999999995,0.0059121090000000005,0.00104728788,0.14283655344,0.0012162052800000001,0.014357979,0.0024324105600000002,0.00797290128,,0.01543905036,0.00939180744
