,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Hunan,Zhejiang,Jilin,Heilongjiang,Shanghai,Gansu,Yunnan,Fujian,Jiangxi,Chongqing,Hainan,Guangxi,Guizhou,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.03687283944,0.01164405456,0.10900128852,0.17401392647999997,0.0194067576,0.01584885204,0.00776270304,0.81896517072,0.17142635879999998,0.4250079914400001,0.0452824344,0.053368583399999996,0.08733040920000001,,0.006792365159999999,0.00776270304,0.52915759056,0.0113206086,0.04625277228,0.19406757600000002,0.2768697417600001,0.03040392024,0.00776270304,0.028463244480000007,0.08086149000000001,0.00873304092,0.00291101364,0.002264121720000001,0.003557905560000001,0.00064689192,0.01487851416
Anhui,0.07278571223999998,0.03958521192,0.22410337716,0.52482329352,0.033838971479999994,0.022346490599999998,0.011492480879999998,2.3342505609599997,0.21261089628,,0.08044736615999999,0.02362343292,0.04533145235999999,1.7628188727599998,0.005746240439999999,0.0031923558000000003,0.53695424556,0.015961779,0.01979260596,0.10662468372,0.14620989563999998,0.013407894359999995,0.008300125079999998,0.022984961759999995,0.01979260596,0.02106954828,0.0031923558000000003,0.00446929812,0.006384711600000001,0.00063847116,0.05235463511999999
Fujian,0.015991311600000002,0.00668727576,0.03387250548,0.05873172624,0.011193918119999998,0.009885538079999999,0.00479739348,0.08984209607999999,0.4173732327600001,0.04535717472,0.029220487559999994,0.029220487559999994,0.045502550280000005,0.23463615384000006,0.00276213564,0.003634389,0.06454674864,0.007995655800000001,0.03372712992,,0.16194837384000002,0.029511238680000003,0.00915866028,0.035907763320000015,0.04099590792,0.007414153560000002,0.0015991311600000002,0.00174450672,0.0014537556,0.00087225336,0.0130838004
Jiangxi,0.01952991,0.0070307676000000005,0.042965802,0.048043578600000005,0.0085931604,0.0031247856,0.0023435892,0.16522303859999998,1.1596860558,0.115226469,0.0374974272,0.0226546956,0.25506062459999995,1.2124168128,0.0015623928,0.0007811964,0.13085039699999998,0.0062495712,0.038669221799999993,0.4351263948,,0.0249982848,0.015623928,0.056636738999999985,0.044918793,0.0249982848,0.0015623928,0.0015623928,0.0015623928,0.0007811964,0.0148427316
Shandong,0.6857277847200001,0.18001307807999997,,0.57054992544,0.123949683,0.08352301716,0.05797031328,0.84590891352,0.08924377175999999,0.18230137991999998,0.10907572104,0.04233358404,0.03318037668,0.2269232658,0.027078238439999996,0.02898515664,0.12547521756,0.02631547116,0.02021333292,0.04080804948,0.04805433864,0.016018112879999997,0.0057207546,0.0228830184,0.01983194928,0.0114415092,0.012585660120000002,0.012585660120000002,0.01220427648,0.0011441509199999998,0.1449257832
Henan,0.37396852416000004,0.10353674016,0.7433010748800001,,0.3438346968000001,0.042496423200000015,0.04558707216,1.13426816832,0.9387846216,0.6969413404800001,0.3461526835200001,0.09735544223999999,0.12671660735999998,1.4271071572799998,0.00695396016,0.00463597344,0.32297281632,0.08035687295999999,0.04095109872,0.1893022488,0.17153101728,0.032451814079999995,0.02008921824,0.057949668,0.037860449760000005,0.08422018416000002,0.02240720496,0.021634542720000004,0.03399713856,0.00463597344,0.16225907039999998
Hubei,0.00331475328,0.0005179302000000001,0.00576628956,0.06035613264,0.00165737664,0.0008977456800000001,0.00055245888,0.00956444436,0.04450746852,0.01633206564,0.015468848640000003,0.0032111672400000004,0.08901493704,0.012085038,0.00062151624,0.0003452868,0.005421002760000001,0.0012085038000000002,0.0010358604,0.0032802246,0.0191634174,0.04360972284,0.00041434416,0.0027622944,0.00113944644,,0.00027622944,0.00044887284000000007,0.00024170076000000005,,0.0015192619199999998
Hunan,0.028498651200000006,0.0071246628000000015,0.0332484264,0.062222055120000015,0.01044950544,0.00427479768,0.00379982016,0.11589451488,2.51690587848,0.04559784192,0.03372340392,0.038473179120000006,,0.54052441776,0.00189991008,0.00142493256,0.047497752,0.00902457288,0.07219658304,0.14629307615999998,0.30256068024000005,0.07029667296,0.030873538800000006,0.26883727632000004,0.21041504136,0.10307012184,0.003324842640000001,0.00142493256,0.00284986512,0.00189991008,0.02517380856
Guangdong,0.029852653680000004,0.007636725360000002,0.045126104400000006,0.12843583560000002,0.012496459679999999,0.015967698480000004,0.0052068582,0.07949136852000001,,0.060052431239999995,0.03783650292,0.11698074755999999,0.6390550630799999,0.1267002162,0.00833097312,0.0104137164,0.03610088352,0.012843583560000002,0.07011902376,0.2638141488,0.37628228592,0.06387079392000002,0.10448428787999998,0.8914141238400001,0.16627233852,0.02117455668,0.01076084028,0.00208274328,0.00416548656,0.0006942477599999999,0.02117455668
Guangxi,0.009071514,0.00217716336,0.01197439848,0.02431165752,0.0032657450400000003,0.0036286056,0.0018143028,0.02249735472,2.78168905296,0.010885816800000002,0.010160095680000002,0.02975456592,0.17308448712000002,0.07075780920000001,0.00217716336,0.00217716336,0.013425840720000002,0.0025400239200000004,0.11466393696000003,0.04390612776,0.04245468552,0.018868749119999997,0.033746032080000016,,0.18143028000000005,0.004717187279999999,0.0007257211200000001,0.00036286056,0.00036286056,,0.005805768960000001
Hainan,0.01276560648,0.00260235504,0.007279560719999998,0.02257718832,0.008229068639999998,0.00555637968,0.005697047520000001,0.007877399040000002,0.12164251464000002,0.004466203919999999,0.008229068639999998,0.01782964872,0.01325794392,0.0091434096,0.0072092267999999985,0.012343602959999998,0.00780706512,0.00478270656,0.00383319864,0.0060135501600000005,0.008369736479999999,0.01149959592,,0.01680980688,0.0100225836,0.0014418453599999994,0.0020396836799999995,0.0014770123199999998,0.00137151144,,0.008580738239999998
Chongqing,0.027173442600000004,0.006713438759999999,0.035165631600000004,0.07065095076,0.0255750048,0.004795313400000001,0.004795313400000001,0.08887314167999999,0.47601477684,0.0255750048,0.07992189000000001,0.82735140528,0.16272096804000002,0.33279474995999997,0.0009590626800000001,0.00127875024,0.050830322040000014,0.027493130160000004,0.16016346756000002,0.19085347332000002,0.07256907612,,0.01726312824,0.08855345412,0.31744974708,0.05946188616000001,0.006713438759999999,0.00255750048,0.007033126320000001,0.008311876559999999,0.012467814840000004
Sichuan,0.04784899392,0.0156029328,0.08997691247999999,0.12326316912000003,0.06033134016,0.01508283504,0.011442150719999999,0.1846347048,0.82279465632,0.03432645216,0.41035713264,,0.08529603263999999,0.34690520592,0.0026004888,0.0026004888,0.07853476176,0.117021996,0.59759232624,0.19555675776,0.037967136480000004,1.06828079904,0.0338063544,0.15967001232,0.44312329152,0.01664312832,0.026524985759999998,0.00884166192,0.042127918560000005,0.07853476176,0.03536664768
Guizhou,0.010079426160000002,0.0013147077599999998,0.020158852320000004,0.02629415520000001,0.004820595120000001,0.0026294155199999996,0.0013147077599999998,0.1117501596,1.0022455490400002,0.02410297560000001,0.023664739680000005,0.2743356859200001,0.4228976628000001,0.92423955528,0.00043823592000000015,0.00043823592000000015,0.0306765144,0.005258831039999999,0.4689124344000001,0.27258274224,0.15513551568000006,0.2537385976800001,0.011832369840000002,0.31158573912000004,,0.006135302880000002,0.00043823592000000015,0.0013147077599999998,0.0008764718400000003,0.0008764718400000003,0.004820595120000001
Yunnan,0.01111703616,0.00208444428,0.01829678868,0.02223407232,0.00555851808,0.0037056787200000006,0.0018528393600000003,0.06971308092,0.46691551872,0.015285924720000003,0.02478172644000001,0.4402809529200001,0.08731505483999999,0.23646862332000004,0.0016212344400000002,0.0009264196800000002,0.0208444428,0.00532691316,,0.0625333284,0.028024195319999997,0.051879502080000015,0.00602172792,0.2350789938,0.47641132044,0.0037056787200000006,0.0023160492,0.0009264196800000002,0.0009264196800000002,0.00416888856,0.006716542679999999
Tibet,6.290136000000001e-05,2.960064e-05,0.00022570488,0.0007437160799999997,6.290136000000001e-05,9.620208e-05,6.290136000000001e-05,0.00028860624,0.00045140976,9.620208e-05,0.0006771146400000001,0.0150963264,0.00032190696,0.00012950279999999998,9.620208e-05,6.290136000000001e-05,,0.001942542,0.00265665744,2.960064e-05,0.00015910344000000002,0.00096942096,6.290136000000001e-05,9.620208e-05,0.00032190696,6.290136000000001e-05,0.00045140976,2.960064e-05,0.011596050719999999,,6.290136000000001e-05
Shaanxi,0.06614534844,0.012116715479999998,0.06356309760000001,0.17201763288,0.31801412268,0.00675357912,0.20836777932,0.12374940564000002,0.1271261952,0.03595287708,,0.14659239384,0.022048449480000003,0.09951597468000001,0.0017877121199999996,0.00218498148,0.029795202000000003,0.26140323888,0.02045937204,0.024432065640000004,0.01370579292,0.03595287708,0.004767232319999999,0.01350715824,0.026617047119999997,0.020658006719999997,0.01072627272,0.064556271,0.02324025756,0.0037740589200000005,0.023836161600000003
Gansu,0.01884052224,0.00909164736,0.017854680959999997,0.032751838080000005,0.013582702080000002,0.0016430688,0.05465942208,0.06254615231999999,0.031218307200000003,0.00733904064,0.34581121344000004,0.05926001472,0.0059150476799999996,0.03428536896,0.0005476896000000001,0.00021907583999999998,0.01829283264,,0.00460059264,0.01139194368,0.0074485785599999995,0.008982109439999999,0.0010953792,0.0029575238399999998,0.00317659968,0.00240983424,0.051263746560000004,0.11534342976,0.15149094336000002,0.00503874432,0.014568543360000004
Qinghai,0.002837025,0.0009305442,0.0023150124,0.0058783158,0.0029732021999999995,0.00020426580000000003,0.0034498224,0.0031093794,0.004334974199999999,0.0009532404,0.0130049226,0.0098274546,0.0004312278,0.0019745694,0.0002496582,4.5392399999999996e-05,0.0007035822,0.1329316434,0.0004312278,0.0007262783999999999,0.0013390758,0.0011121138000000001,0.0002723544,0.0006127974,0.0004766202,0.000113481,0.006786163800000001,0.0056286576,,0.0221514912,0.0007262783999999999
Ningxia,0.0047801955600000005,0.0014735941199999995,0.004205134439999999,0.006685085520000001,0.0048520782,0.00057506112,0.09937774979999997,0.004528606320000001,0.0059303178,0.00230024448,0.07019339796,0.0030550122,0.00064694376,0.005606845920000001,0.0001797066,0.00025158924000000005,0.0025158924,0.11644987679999999,0.0014735941199999995,0.00524743272,0.00327066012,0.0005391198000000001,0.00064694376,0.0016892420399999995,0.00064694376,0.0010422982799999998,0.0024080684399999997,,0.005606845920000001,0.00014376528,0.00247995108
Xinjiang,0.0022905763200000004,0.00209262528,0.006348572639999999,0.00667377792,0.00180983808,0.0004807382400000001,0.008709845760000001,0.00333688896,0.01312132608,0.0019088136000000003,0.008639148959999999,0.011170094399999999,0.00138565728,0.0036903729600000004,0.00050901696,0.0003817627200000001,0.00323791344,0.04791829103999999,0.00090491904,0.00178155936,0.00053729568,0.0017108625600000002,0.0007069680000000001,0.0007352467200000001,0.00025450848,0.0003817627200000001,,0.0017391412800000002,0.0067020566400000006,,0.00203606784
Taiwan,6.354936e-05,3.177468e-05,0.00016189956000000006,6.354936e-05,3.177468e-05,,,0.00226659384,0.00434102652,9.683711999999999e-05,0.00012861180000000002,0.00106823448,3.177468e-05,0.0008412724799999999,,,0.00226659384,,3.177468e-05,0.0022998816,9.683711999999999e-05,0.00012861180000000002,,0.00019367423999999998,3.177468e-05,3.177468e-05,9.683711999999999e-05,,,,0.0004524109200000001
Hong Kong,,,0.00028760508,0.00015978059999999995,,3.195612e-05,6.391224e-05,0.00025564896,0.03703257792,9.586835999999998e-05,3.195612e-05,0.00025564896,0.00019173672,0.00025564896,,3.195612e-05,0.0007121649599999999,,0.00015978059999999995,0.0011002035599999998,,0.00019173672,9.586835999999998e-05,0.00028760508,3.195612e-05,3.195612e-05,,,,,0.0005158630799999999
Macau,0.00038484396,0.00012828132000000002,0.0002263788,0.00035466012000000003,9.055152e-05,0.00015846516,,0.0004527576,0.06512163480000001,0.0004150278000000001,0.00015846516,0.00015846516,0.0008677854,0.0007772338800000001,0.00012828132000000002,,0.00025656264000000005,6.0367680000000014e-05,6.0367680000000014e-05,0.0004527576,0.0008074177200000001,0.0002263788,0.0002263788,0.00073950408,0.00015846516,9.055152e-05,,,,,0.00025656264000000005
