,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Hunan,Zhejiang,Jilin,Heilongjiang,Shanghai,Gansu,Yunnan,Fujian,Jiangxi,Chongqing,Hainan,Guangxi,Guizhou,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.7279748769600001,0.10431628416000001,0.07507611360000001,0.05874376607999999,0.04557251808,0.03345496992,0.030425582880000003,0.02752790832,0.0250253712,0.02291797152,0.01896659712,0.017912897280000003,0.0144883728,0.0144883728,0.01422494784,0.01343467296,0.01290782304,0.00829788624,0.006717336480000001,0.006190486559999999,0.006058774079999999,0.006058774079999999,0.005927061600000001,0.00500507424,0.00355623696,0.00316109952,0.0019756872,0.0018439747200000003,0.00171226224,0.00026342496,
Tianjin,0.62861559192,,0.1052601156,0.0338141304,0.028251160560000002,0.0305417952,0.02257911288,0.02192464584,0.008944382879999999,0.008944382879999999,0.010253316959999998,0.00589020336,0.0023997124800000003,0.00959884992,0.0098170056,0.008398993680000001,0.005672047679999999,0.0046903471200000005,0.0027269459999999996,0.00338141304,0.0043631136,0.0023997124800000003,0.00207247896,0.00185432328,0.0013089340800000002,0.00098170056,0.0013089340800000002,0.0014180119199999998,0.0016361676,,0.119985624
Hebei,,0.81827271792,0.85773619008,0.31760963136,0.39606111216,0.16355945087999998,0.21253219344000002,0.15024647232000002,0.06561396576,0.06323664816,0.12552236928,0.04184078976,0.02900327472,0.071319528,0.029478738239999996,0.02519956656,0.02662595712,0.02472410304,0.01854307728,0.01854307728,0.02329771248,0.01806761376,0.00618102576,0.01759215024,0.013788442080000001,0.00665648928,0.00903380688,0.012837515039999999,0.0095092704,0.00095092704,1.17249304032
Shanxi,0.32867289971999997,0.047959218719999995,0.13341036636,0.24131860848,,0.01084791852,0.25197621264000003,0.09534749436,0.029689040160000006,0.027976210919999998,0.4339167408,0.033305013000000015,0.01218011904,0.038253186360000004,0.0020934579600000005,0.0030450297600000003,0.02112489396,0.01884112164,0.01218011904,0.00780288876,0.00780288876,0.008564146199999999,0.00342565848,0.00647068824,0.00875446056,0.004186915920000001,0.004186915920000001,0.01103823288,0.0066610026,0.00057094308,0.08735429123999999
Inner Mongolia,0.18130710167999997,0.040585480919999986,0.04589573076,0.016057184040000002,0.14868699551999998,0.21544442208,,0.014034231719999998,0.009482589,0.00455164272,0.19142186327999997,0.006701029559999999,0.0024022558800000002,0.0074596366799999985,0.09002137823999999,0.06106787316000001,0.00531024984,0.03894183216,0.00265512492,0.0017700832800000004,0.0017700832800000004,0.0027815594400000003,0.0020229523199999998,0.0020229523199999998,0.0017700832800000004,0.0012643452000000001,0.00531024984,0.09659597328,0.00417233916,0.00012643451999999998,0.06094143864
Liaoning,0.19928659392,0.049227523199999984,0.10105788095999996,0.021954343680000002,0.015843340799999998,,0.1997392608,0.036213350400000004,0.030441847680000002,0.010637671679999995,0.012448339199999998,0.0096191712,0.004753002239999999,0.02478351168,0.22916260800000002,0.06767369856000001,0.01459850688,0.0027160012799999998,0.004639835519999999,0.008487503999999998,0.005205669119999999,0.004300335359999999,0.00384766848,0.00645050304,0.00294233472,0.00192383424,0.00124483392,0.0011316672000000001,0.0010185004800000001,0.00022633344,0.058167694079999985
Jilin,0.056168312760000005,0.029570728320000007,0.06653413872000001,0.0071516163600000016,0.0056248668,0.25882422804,0.09947978712,0.02756184732000001,0.019526323320000004,0.00618735348,0.00940156308,0.00506238012,0.0025713676800000005,0.021936980520000003,,0.11619367704,0.010044405,0.00096426288,0.00289278864,0.007955168759999999,0.0036159858000000007,0.0032142096,0.0031338543600000004,0.00377669628,0.002008881,0.0011249733600000003,0.0012053286,0.00096426288,0.00048213144,0.00016071048000000006,0.02876717592
Heilongjiang,0.0757026972,0.0435230172,0.0950909544,0.0106192944,0.006355486800000001,0.1469806884,0.0747373068,0.035960792400000004,0.0296053056,0.0066772836,0.007642673999999999,0.0065968343999999995,0.0037811124,0.0331450704,0.12992545799999994,,0.0150440004,0.0013676364,0.002815722,0.0051487488,0.0023330268,0.0019307808,0.00603369,0.0039420108,0.0017698823999999999,0.0007240428,0.0012871872,0.000402246,0.0006435936,0.0002413476,0.0530160228
Shanghai,0.01339407576,0.00518480352,0.054440436960000005,0.057680939159999986,0.00799323876,0.01036960704,0.00280843524,1.06634125728,0.04428686339999999,0.17174661659999998,0.014258209679999996,0.02203541496,0.0205231806,0.5178322515599999,0.0041046361200000004,0.00496877004,,0.007129104839999998,0.010585640519999998,0.028084352400000002,0.042126528600000004,0.008857372679999998,0.005832903960000001,0.006913071359999999,0.008857372679999998,0.0038886026399999993,0.0012962008799999995,0.0008641339199999999,0.00237636828,,0.011449774440000001
Jiangsu,0.08713504692,0.02779768368,0.7147212130799999,0.24483344472,0.04918051728,0.029935967040000008,0.016037125200000002,,0.11439815976000002,1.17926327304,0.07965105516000001,0.04757680476,0.044369379720000005,1.00659689172,0.010691416799999999,0.00908770428,1.3145096955600002,0.02459025864,0.031539679560000006,0.0614756466,0.09354989700000002,0.020313691919999998,0.007483991760000002,0.022451975279999998,0.026728542,0.011225987639999999,0.0053457083999999995,0.00588027924,0.00908770428,0.00106914168,0.039023671319999995
