,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Hainan,Fujian,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.6007819552,0.3907394899200001,0.35278549488000005,0.29803219055999997,0.24016790304000002,0.22025761055999998,0.20843587440000005,0.18728118864,0.18479240208,0.17608164912000002,0.14870499695999997,0.13688326080000002,0.11572857504000003,0.11261759184000003,0.10950660864000003,0.093329496,0.07964116992,0.07653018672,0.07155261360000001,0.07030822032,0.06035307408000001,0.05537550096,0.05413110767999999,0.03982058496,0.03857619168,0.037331798400000005,0.020532489119999997,0.01493271936,0.012443932800000002,0.00248878656,
Tianjin,1.17067442184,0.2100094128,,0.07913769335999997,0.040465228320000005,0.06351504192,0.06402726,0.06786889559999999,0.04558740912,0.03201363,0.0345747204,0.02740366728,0.02458646784,0.0230498136,0.02765977632,0.03380639328,0.0166470876,0.01690319664,0.0140859972,0.02458646784,0.015110433359999996,0.01126879776,0.01050047064,0.01050047064,0.009988252559999999,0.006402726,0.0033294175199999995,0.0035855265600000007,0.0012805452,0.00025610903999999997,0.46791121608
Hebei,,1.00085008104,1.19909384208,0.43501262544,0.10674664056,0.18138902832,0.5513905418399999,0.25442620344,0.2768991804,0.058590261359999986,0.09872057736,0.06661632456000001,0.11718052272,0.07303717511999999,0.08427366359999999,0.058590261359999986,0.0441433476,0.04655116656,0.032906859119999986,0.04976159184,0.034512071760000006,0.03049904016,0.036117284400000005,0.02648600856,0.02327558328,0.02086776432,0.01364430744,0.01284170112,0.00642085056,0.00080260632,3.0739822055999992
Shanxi,0.509558202,0.14771289599999998,0.055648782,0.372872484,0.046929618,0.07872892199999999,,0.022567247999999998,0.2179791,0.035133102,0.041544252,0.046160280000000005,0.458012556,0.03333798,0.032568641999999995,0.009232056,0.021028571999999995,0.02308014,0.016925436000000002,0.006924041999999999,0.027183276,0.016412543999999998,0.011283623999999999,0.012822299999999998,0.018720558,0.012052962,0.012565854,0.00641115,0.004872474,0.0007693379999999999,0.260549136
Inner Mongolia,0.28037594340000005,0.06733352772000001,0.042218771400000014,0.042218771400000014,0.02316619764000001,0.029661393240000007,0.18424704852,0.27279821519999997,,0.01883606724,0.019052573760000004,0.023599210680000003,0.25093105668000004,0.011907858600000005,0.01125833904,0.17991691812000005,0.007794234720000001,0.017104015080000003,0.008660260800000001,0.15675072048000005,0.00995929992,0.008876767320000001,0.004763143440000001,0.0049796499600000006,0.06971509944000001,0.006278689079999999,0.17039063124000006,0.00562916952,0.0034641043200000013,0.00021650652000000005,0.22928040468
Liaoning,0.29675511864,0.16746441228,0.07793798292000001,0.05385219227999999,0.0670312098,0.08725418496,0.03226587048,,0.27130598135999995,0.06203227212,0.057942232199999985,0.03272031936,0.02522191284,0.026130810600000002,0.024313015080000003,0.18496069415999997,0.020222975159999997,0.0352197882,0.02567636172,0.37696534596000003,0.017723506320000002,0.017950730760000002,0.012951793079999998,0.01613293524,0.00749840652,0.010452324240000001,0.0031811421600000003,0.0045444888000000004,0.0015905710800000002,0.00045444888,0.24971965956
Jilin,0.06329359763999999,0.07287176987999999,0.0284756472,0.02058012684,0.03184095096,0.03779494992,0.008283824640000001,0.38377406340000003,0.14160162744000002,0.029252255760000005,0.02744016912,0.015661605959999998,0.00815438988,0.0103547808,0.00931930272,0.23867769744000006,0.00893099844,0.020191822560000003,0.010613650320000001,,0.00802495512,0.008672128920000001,0.006471738,0.00763665084,0.00220039092,0.00232982568,0.00142378236,0.0018120866400000003,0.00077660856,0.00025886952000000004,0.08594468063999999
Heilongjiang,0.07004060928,0.08922452616,0.03579281136,0.018540161280000002,0.04454788752,0.040942856160000006,0.0103000896,0.19428544008,0.15759137088,0.03321778896,0.029355255359999995,0.017123898959999998,0.0115876008,0.01184510304,0.01133009856,,0.01326136536,0.03630781584,0.0109438452,0.29406755808,0.006695058239999999,0.01068634296,0.0050212936799999995,0.006437556,0.0019312668,0.0036050313600000006,0.00141626232,0.0012875112,0.0015450134399999998,0.00025750223999999996,0.11664851472000001
Shanghai,0.06139415088,0.19269253296,0.030393144,0.17020160639999998,0.24375301488,2.36884164336,0.04011895008,0.06321773952000001,0.0212752008,,1.3032580147200001,0.09361088352,0.06564919104,0.11184676992,0.43097478192,0.031608869760000005,0.07841431152,0.0425504016,0.10759172976,0.02796169248,0.05653124784,0.06443346527999999,0.13312197071999998,0.0395110872,0.021883063680000002,0.04194253872,0.00851008032,0.00972580608,0.00486290304,0.00182358864,0.19816329888
Jiangsu,0.14670876816,0.9005797274399999,0.049492114560000015,0.42245054928,0.24834436055999998,,0.07423817183999999,0.07512195960000001,0.024746057280000004,2.32171044552,1.4379226855200002,0.11047347000000003,0.11135725776,0.17410618872000003,1.7180834054400005,0.0309325716,0.1060545312,0.037119085919999996,0.11842755984000003,0.02562984504,0.07512195960000001,0.06628408200000001,0.15731422128,0.04860832680000001,0.03358393488,0.05832999216,0.01148924088,0.014140604160000004,0.007954089840000001,0.0017675755200000005,0.21476042568000006
Zhejiang,0.0827443512,0.19090303884000004,0.02836949184,0.3020168818800001,0.28783213596,1.25535001392,0.033097740480000006,0.050828672879999995,0.01595783916,1.1253231763200002,,0.11761518492000002,0.06264929447999999,0.16962591995999998,0.65486243664,0.02245918104,0.15189498756,0.038417020200000006,0.30792719268,0.020095056720000004,0.07801610256000001,0.08392641336000001,0.4397271235200001,0.050828672879999995,0.0206860878,0.14125642812000005,0.007683404040000001,0.01241165268,0.00709237296,0.0011820621600000002,0.13771024164
Anhui,0.07363127448,0.21993132312,0.024062508,0.4889501625599999,0.12079379015999996,1.8080568511199997,0.03031876008,0.01828750608,0.011550003839999995,0.5106064197599999,0.7151377377599998,0.044756264879999993,0.04186876391999999,0.14533754831999998,,0.01058750352,0.056787518879999985,0.0216562572,0.06256252080000001,0.008662502879999999,0.031281260400000004,0.02069375688,0.1540000512,0.020212506719999995,0.011550003839999995,0.0216562572,0.0048125016,0.005775001919999997,0.00529375176,0.0009625003199999998,0.11357503775999997
