,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Hainan,Fujian,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Fujian,0.025775334,0.04996449360000001,0.0122928516,0.0676106838,0.4278705444,0.1064719566,0.016258287599999997,0.016060015800000004,0.0095170464,0.1082564028,0.31604524920000004,0.060472899000000004,0.0251805186,0.0660245094,0.0618608016,0.011698036200000001,0.0670158684,0.023197800600000002,,0.0069395130000000005,0.0454042422,0.0362837394,0.22682293920000002,0.046792144800000005,0.012491123400000002,0.0576970938,0.0043619796,0.0035688924,0.0025775334,0.0007930872,0.06106771440000001
Jiangxi,0.02334353904,0.0393287886,0.00786575772,0.058866315839999996,0.56633455584,0.13118054004000002,0.01065683304,0.00964189656,0.004059745920000001,0.13498655184000002,0.4250046510000001,0.032224233240000004,0.01750765428,0.17507654280000004,0.14132990484000002,0.00532841652,0.31158549936,0.01826885664,0.2207486844,0.0043134800400000005,0.026388348480000004,0.0241047414,,0.045672141600000014,0.006343353,0.034761574440000005,0.00228360708,0.00228360708,0.0012686706000000002,0.0005074682400000001,0.05150802636
Shandong,0.87713114112,,0.19450804752,0.6952740235199999,0.15128403695999998,0.96885038304,0.14390432784,0.14601281615999998,0.062200405439999995,0.21137595408,0.2398405464,0.09013787568,0.1159668576,0.10331592767999999,0.2451117672,0.0737970912,0.08117680032,0.03900703392,0.056402062560000014,0.052712207999999997,0.050076597599999995,0.03900703392,0.055874940479999996,0.042696888480000014,0.025301859840000003,0.032681568960000004,0.012650929920000002,0.015286540319999996,0.008961075360000001,0.00105424416,0.43013161728
Henan,0.40341794688,0.7042720089600002,0.07258367232000001,,0.30138003071999997,0.4707419328,0.3871129190400001,0.041551522560000005,0.037869742080000005,0.19566033408000005,0.35239898880000003,0.10046001024,0.28980872064,0.41130747648,0.5317542950399999,0.017356965119999998,0.11413519488,0.04628524032000001,0.06995382912000002,0.01367518464,0.05943445632,0.04365539712,0.07889529599999999,0.0420774912,0.04681120896,0.039447647999999995,0.01630502784,0.02735036928,0.01367518464,0.0057856550400000005,0.31558118399999996
Hubei,0.06045471287999999,0.08598655763999999,0.015553882439999996,0.3741735869999999,0.4002923707199999,0.17109270683999994,0.028173070079999994,0.0205428636,0.010271431799999998,0.10506207383999998,0.17989679123999994,0.09126900827999998,0.10183390956,,0.15054984323999998,0.0073367369999999986,0.40821604668,0.02729266164,0.06104165183999999,0.006456328559999999,0.16023433607999998,0.04079225771999999,0.19779842952,0.04548776939999999,0.014673473999999997,0.03903144084,0.005282450639999999,0.006162859079999999,0.00322816428,0.0014673473999999998,0.10946411603999998
Hunan,0.037568836800000005,0.056011720319999986,0.011953720799999998,0.09802051056,1.13799422016,0.09460516176,0.018784418400000003,0.01810134864,0.009562976640000002,0.07513767360000001,0.15129995184,0.06694083647999999,0.036885767039999996,0.39891273984,0.061476278400000015,0.009221441759999999,,0.03722730192,0.06625776672,0.00887990688,0.08914060367999999,0.061817813279999995,0.31660283376,0.23019450911999997,0.01229525568,0.19774869552000002,0.00409841856,0.005806092959999999,0.00375688368,0.0013661395199999998,0.09084827808
Guangdong,0.07724039147999999,0.11229065315999999,0.02791039356,0.23107209551999996,,0.22587946416,0.03829565628,0.044786445480000006,0.01752513084,0.1914782814,0.26222788368,0.25638617340000003,0.09865999583999999,0.31675051295999995,0.11164157424,0.03310302492,0.98140732704,0.19018012356000005,0.38230748388,0.024664998959999997,0.14734091484,0.16681328244000002,0.55301523984,1.30270139244,0.02661223572,0.20835433332,0.009087104880000002,0.012332499479999998,0.007788947039999998,0.00259631568,0.20251262304
Guangxi,0.02210136192,0.032147435519999996,0.0075345552,0.035161257599999995,1.45241109072,0.03742162416,0.008288010719999999,0.00904146624,0.00326497392,0.033905498400000005,0.047216545919999985,0.05073267168,0.01431565488,0.03666816864,0.01833408432,0.0075345552,0.21071639375999998,0.047970001439999986,0.0389285352,0.003516125760000001,0.034910105760000004,0.10422801359999999,0.0414400536,,0.0075345552,0.15470953344000002,0.0017580628800000005,0.0015069110399999995,0.0010046073599999999,0.0005023036799999999,0.04093774992
Hainan,0.025605758880000003,0.020640653280000004,0.010497651840000002,0.02815924176,0.15583338576,0.029648773439999995,0.013122064800000005,0.017165079360000002,0.006738357600000001,0.03659992128,0.026102269440000003,0.049083615360000006,0.018583680959999998,0.020144142719999997,0.010710442080000002,0.016313918400000002,0.03113830512,,0.012767414400000005,0.007802308800000002,0.02879761248,0.0145406664,0.011703463200000002,0.037876662719999996,0.00453952512,0.015817407840000002,0.00269534304,0.0021279024,0.0019151121600000003,0.00021279023999999996,0.05057314704000001
Chongqing,0.029755142640000006,0.035760767760000006,0.009827386560000002,0.048045000960000014,0.1596950316,0.06496994448,0.015833011680000002,0.012284233200000005,0.007916505840000001,0.053504660160000016,0.07479733104000001,1.1383389432000002,0.06551591040000003,0.20309932224000005,0.030574091520000013,0.006005625120000001,0.09554403600000004,0.039309546240000014,0.042312358800000005,0.004913693280000001,,0.10427949072,0.02620636416,0.043950256560000005,0.018289858320000005,0.31393040400000005,0.004640710320000001,0.00873545472,0.004640710320000001,0.008189488800000002,0.055415540879999996
Sichuan,0.05771040696,0.06877815624,0.017787454200000004,0.08972782452000001,0.26957875032,0.10079557380000001,0.04110878303999999,0.028459926719999997,0.01660162392,0.09170420832000001,0.1166066442,,0.24862908204,0.08972782452000001,0.03636546192,0.01343940984,0.07194037032,0.06956870976,0.05810568372,0.00948664224,1.15974201384,0.49251484296,0.032017417560000004,0.062453728080000014,0.10040029704,0.34151912064,0.01264885632,0.0237166056,0.03280797108,0.05257180908,0.13716103572000002
Guizhou,0.015008849640000002,0.020560068,0.00431761428,0.02796169248,0.23088956364,0.047493757080000004,0.006168020400000001,0.00699042312,0.0020560068000000003,0.030840102,0.13240683792000002,0.27900012276,0.01912086324,0.033101709480000005,0.01829846052,0.0030840102000000004,0.20436707592,0.01932646392,0.05386737816000001,0.0012336040799999998,0.28146733092,0.3721372308000001,0.030017699280000004,0.17229336984000002,0.0057568190400000005,,0.0010280034,0.0010280034,0.0010280034,0.0010280034,0.03022329996
Yunnan,0.02139136776,0.02767295988,0.006621137640000001,0.0348034158,0.15551184816000002,0.044989781400000005,0.009846820079999999,0.00899795628,0.0045838645200000005,0.046178190720000005,0.06434387604000001,0.43224144696,0.023937959159999998,0.03276614268,0.01748659428,0.006621137640000001,0.05925069324000001,0.01850523084,0.029031141960000006,0.00322568244,0.08590501655999999,,0.023258868119999998,0.1196897958,0.00628159212,0.35635302324,0.0018675003600000003,0.002376818640000001,0.0025465914,0.00628159212,0.042273417240000014
Tibet,0.00187720416,0.0017147537999999995,0.00021660048,0.0058301629200000005,0.0051442614,0.0031407069599999997,0.0011010524399999997,0.0007400516399999999,0.000451251,0.0014440031999999998,0.0018952542000000001,0.07411346424,0.00853766892,0.00200355444,0.0017147537999999995,0.0007761517199999999,0.001805004,0.00037905083999999987,0.00070395156,0.0004693010399999999,0.012111576839999996,0.0093860208,0.0005776012799999999,0.00131765292,0.00527061168,0.0015162033599999995,0.000451251,0.0016064535599999998,0.029890866239999994,,0.00404320896
Shaanxi,0.09429366492,0.08869760172,0.01594878012,0.28288099476,0.11080205136,0.11499909876000006,0.3908850145200001,0.018746811720000003,0.23587406388,0.05624043516,0.061276892039999996,0.22775977224,,0.10464638184000002,0.04644732456,0.009233504279999999,0.036934017119999996,0.02742070968,0.032177363400000006,0.007834488480000002,0.06407492364,0.030498544440000008,0.023503465440000003,0.01650838644,0.3466761152400001,0.02406307176,0.13150748520000002,0.023783268600000004,0.03301677288,0.005596063200000001,0.13094787888
Gansu,0.01753636716,0.02227246632,0.007936166159999999,0.04249688976,0.031488659280000005,0.0358407504,0.014848310879999996,0.00473609916,0.05964924887999999,0.022400469,0.022528471680000002,0.0966420234,0.37594387115999994,0.01830438324,0.00921619296,0.0017920375199999999,0.00947219832,0.00972820368,0.00947219832,0.0019200402,0.01817638056,0.0075521581199999984,0.0056321179200000005,0.006016125959999999,,0.007680160799999999,0.15897932856,0.04812900767999999,0.16755550811999995,0.0051201072,0.03865680936
Qinghai,0.007088689079999999,0.008064975600000001,0.0016129951199999998,0.01770049908,0.007598055959999999,0.007980081120000001,0.00441451296,0.00110362824,0.003862698840000001,0.0030986485200000004,0.00590016636,0.04079179764,0.032132560680000005,0.00407493504,0.0030986485200000004,0.0008064975599999999,0.0036929098799999994,0.0028864123200000005,0.003310884720000001,0.00050936688,0.005433246720000001,0.00407493504,0.0019101258000000004,0.0019101258000000004,0.18833840388,0.00140075892,0.01286151372,0.01859189112,,0.019271046960000003,0.01022978484
Ningxia,0.01303776,0.011082096,0.0027379296000000003,0.017275032,0.013494081599999999,0.012059928000000004,0.010560585600000002,0.0023467968,0.16668776159999998,0.0063885024,0.0084093552,0.0138852144,0.1230764544,0.0067144464,0.005280292800000001,0.0027379296000000003,0.0041068944,0.006062558400000001,0.0069100128,0.0016949088,0.0044980272,0.0034550064,0.0026727408,0.0026727408,0.16153784640000002,0.0034550064,,0.005215104,0.0101694528,0.000325944,0.0222293808
Xinjiang,0.0157670064,0.0191070576,0.0042733008,0.046908072,0.01473552,0.016209071999999998,0.0055503792,0.004175064,0.0089395488,0.0084974832,0.0106586928,0.060906815999999996,0.0404244432,0.0086448384,0.0073186416,0.0018664992,0.0097745616,0.006532747199999999,0.005157432,0.0015717888,0.018910583999999998,0.005894208000000001,0.0029962224,0.0028979856,0.1016259696,0.00245592,0.008890430400000001,,0.029078092800000007,0.0020138544,0.0187141104
Taiwan,9.69408e-05,3.216672e-05,,9.69408e-05,0.00029126304,0.0004208112,,,6.477407999999999e-05,0.0009716112,0.00022648896,9.69408e-05,,0.00012954815999999998,9.69408e-05,3.216672e-05,3.216672e-05,,0.0010042185599999998,6.477407999999999e-05,,3.216672e-05,3.216672e-05,0.00012954815999999998,,3.216672e-05,,,,,0.0004534185599999999
Hong Kong,9.654876e-05,3.1434480000000004e-05,,,0.0207355302,9.654876e-05,,6.286896000000001e-05,,0.00041987484,9.654876e-05,3.1434480000000004e-05,3.1434480000000004e-05,6.286896000000001e-05,,,9.654876e-05,,0.0002582118,,,,,6.286896000000001e-05,,,,,,,0.00012798324
Macau,0.0013157575200000002,0.0008572359600000001,0.0005382644400000001,0.0013556289600000005,0.16901503416000002,0.00281093652,0.00025916436,0.0007774930800000001,0.00025916436,0.0033292652399999996,0.00233247924,0.0016347290400000002,0.00017942148,0.0022527363600000003,0.00063794304,0.00021929292000000004,0.00187395768,0.0005382644400000001,0.00173440764,0.00011961432,0.0007774930800000001,0.0003389072400000001,0.00115627176,0.0018340862399999999,5.980716e-05,0.0005980716,0.00011961432,,1.993572e-05,1.993572e-05,0.0019935720000000003
