,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Jiangxi,Chongqing,Hainan,Yunnan,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.6691622912799997,0.47909707956,0.36013538952,0.30097957644,0.24182376336000005,0.23597318844,0.23272286904,0.20737037772,0.19696935564,0.18786846131999999,0.15666539508,0.13716347867999998,0.13196296763999998,0.11506130676,0.1040102208,0.10336015692,0.08190804887999999,0.07540741008,0.06565645188,0.05850574920000001,0.05850574920000001,0.05720562143999999,0.046804599360000004,0.040303960560000004,0.040303960560000004,0.03770370504,0.025352491319999997,0.023402299680000002,0.01365134148,0.00390038328,
Tianjin,1.2054338870399999,,0.2145332304,0.08446402655999999,0.08203534847999999,0.07232063616000001,0.0391287024,0.039398555519999996,0.07582872672,0.044525764800000006,0.03831914304,0.02671545888,0.02536619328,0.02266766208,0.029953696320000008,0.03427134624,0.014302215359999999,0.02617575264,0.017540452800000002,0.008635299840000001,0.014302215359999999,0.015921334080000002,0.00971471232,0.008095593600000001,0.011603684159999999,0.0051272092799999995,0.0043176499200000005,0.0043176499200000005,0.0018889718400000005,0.00026985312000000003,0.51622901856
Hebei,,1.3558855712399998,1.00869796692,0.4719054816,0.20477327148,0.5679719546399999,0.10449335664,0.06657238044000001,0.27050296356,0.28567135404,0.10617873336000001,0.07415657568,0.12387518892,0.07415657568,0.08342614763999999,0.06151625028,0.047190548160000005,0.0463478598,0.03202215768,0.03117946932,0.030336780960000004,0.036235599480000005,0.02780871588,0.028651404239999997,0.02443796244,0.01938183228,0.014325702119999999,0.014325702119999999,0.007584195240000001,0.00252806508,3.1912608193199996
Shanxi,0.5244263287200001,0.06876861767999999,0.15171091992,0.3910887036,0.0866169612,,0.04540828572,0.03884639472,0.02283538068,0.21470507352,0.04514581008,0.05039532288,0.4656317853599999,0.03622163832,0.03123460116,0.008399220479999999,0.01994814864,0.00971159868,0.01784834352,0.012073879440000001,0.0183732948,0.016798440959999997,0.014961111479999997,0.0104990256,0.022310429399999998,0.010236549959999999,0.007611793559999998,0.01286130636,0.0060369397200000004,0.0005249512799999999,0.25985088359999997
Inner Mongolia,0.3087615672,0.048388006799999994,0.060369798960000005,0.04331878703999999,0.035023700160000004,0.20875968648,0.025346098799999998,0.02235065076,0.28641091643999994,,0.02096813628,0.024654841559999998,0.28088085851999994,0.012673049399999999,0.01359472572,0.18041813964,0.0071429914799999985,0.15691539347999994,0.01013843952,0.005299638839999999,0.01013843952,0.010829696759999995,0.008525505959999999,0.004838800679999999,0.06543901871999999,0.00737341056,0.0066821533199999976,0.17972688239999998,0.004608381599999999,,0.25115679719999995
Liaoning,0.30323947968000003,0.09186234624,0.15279145344,0.05905436544000001,0.09209668896000002,0.03304232352,0.06397556256,0.07311492864000001,,0.27230624064000003,0.06022607904,0.035385750720000005,0.030230210880000007,0.027418098239999994,0.02648072736,0.19450445760000004,0.022496901119999996,0.3948674832000001,0.02366861472,0.013123192320000004,0.01452924864,0.030933239040000005,0.01687267584,0.014763591360000003,0.007498967040000001,0.012420164160000002,0.0070302816,0.003280798080000001,0.00210908448,0.0007030281599999999,0.2594173910400001
Jilin,0.06101582256,0.031973356800000005,0.05515404047999999,0.0186511248,0.03517069248,0.00972522936,0.032639468399999996,0.033572024639999996,0.41911741872,0.14001665832,0.028376354160000002,0.01385512128,0.00985845168,0.0139883436,0.008925895440000001,0.2484596268,0.00959200704,,0.01052456328,0.005861782080000001,0.00572855976,0.02291423904,0.007993339200000001,0.0073272276000000015,0.00306411336,0.00346378032,0.00253122408,0.0009325562400000002,0.00053288928,0.00039966696000000003,0.08845962048
Heilongjiang,0.07191984492,0.03894072732,0.07242721596,0.01788482916,0.038813884560000005,0.00849846492,0.041858110800000015,0.0323449038,0.20688054156,0.15868029275999998,0.029554363080000007,0.01509428844,0.013572175320000004,0.01446007464,0.00989373528,,0.011669533919999999,0.27321930504,0.0107816346,0.0036784400399999997,0.005707924200000002,0.03513544452,0.00786425112,0.007483722840000001,0.0017757986400000004,0.0038052828,0.0020294841600000005,0.0010147420800000002,0.00164895588,0.00012684276000000006,0.1293796152
Shanghai,0.058460901119999985,0.0342058464,0.16667576063999998,0.17351692991999998,2.50573372992,0.0404250912,0.22016126591999996,,0.05472935424,0.01803580992,1.34584457472,0.10199561471999996,0.06343629696,0.11132448191999998,0.46146796416,0.02674275264,0.07960633344,0.02363313024,0.10945870848,0.12998221631999998,0.05970475007999999,0.0373154688,0.05970475007999999,0.03855931776,0.02052350784,0.04166894016,0.014304263039999997,0.0093288672,0.00684116928,0.00186577344,0.19155273984
Jiangsu,0.1538654292,0.06154617168,0.8942296708800002,0.44892501696000003,,0.08145816840000003,0.25433050356000003,2.37948360804,0.06878689776000001,0.025342541280000002,1.4581012143599998,0.11675670804000002,0.12309234336,0.17287233516,1.76130661896,0.028962904320000007,0.11132616347999999,0.025342541280000002,0.11585161728,0.16653669984000002,0.06697671624000001,0.034393448880000003,0.060641080920000014,0.049779991800000006,0.03891890268,0.06245126244,0.017196724440000002,0.013576361399999999,0.00995599836,0.00271527228,0.22989305304000002
