,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Jiangxi,Chongqing,Hainan,Yunnan,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.09137777832,0.03802296815999999,0.19379448288,0.31092975576,1.32835079088,0.040476062880000004,0.2790395244,1.1584739815199998,0.05335481015999999,0.0183982104,,0.12020164127999998,0.0674601048,0.16926353567999994,0.6795072374399999,0.028823862959999988,0.15331841999999998,0.02330439984,0.33668725032,0.43849068119999995,0.07788575735999999,0.0337300524,0.07727248367999999,0.05580790488,0.02637076824,0.14963877791999994,0.012265473599999998,0.00858583152,0.007972557839999998,0.0012265473599999998,0.14043967272
Anhui,0.07396295004,0.03169840716,0.22138570080000006,0.5348477271600001,1.91649575988,0.034214153760000005,0.12880622592000002,0.49711152816,0.02113227144,0.00955983708,0.7632775184399999,0.041258244239999985,0.049811782679999986,0.14943534804000003,,0.00905668776,0.06088106772,0.00905668776,0.06490626227999999,0.15446684124,0.02867951124,0.01559762892,0.022641719400000003,0.02113227144,0.012075583679999998,0.02163542076,0.006540941159999999,0.0040251945600000005,0.0040251945600000005,0.0015094479599999998,0.11471804496
Fujian,0.02918730672,0.014287492799999997,0.04327069248,0.06796764431999999,0.11266708607999998,0.014899813919999998,0.45026013024,0.11266708607999998,0.01877784768,0.007347853439999999,0.34473679055999995,0.06286496831999999,0.0265339152,0.05551711488,0.06102800496,0.009797137919999995,0.06776353728,0.007143746399999999,,0.23656005936,0.045719976960000006,0.0183696336,0.035922839039999994,0.04245426431999999,0.0132669576,0.059395148639999985,0.004490354879999999,0.00326571264,0.0028574985600000003,0.0006123211199999997,0.06408961056
Jiangxi,0.02490349536000001,0.0093722832,0.0428447232,0.06667710048000001,0.14727873600000002,0.01231785792,0.58831160544,0.13844201184,0.00883672416,0.004016692800000001,0.46540080576000004,0.032936880960000005,0.02169014112000001,0.18128673504,0.14192314560000002,0.004016692800000001,0.33070770720000003,0.0042844723200000006,0.24367936320000005,,0.023564597760000004,0.017405668800000003,0.024100156800000005,0.0428447232,0.0053555904000000005,0.029723526720000008,0.0018744566400000003,0.0021422361600000003,0.00241001568,0.00080333856,0.05302034496
Shandong,0.9433162962,0.24538062239999997,,0.7323750594,1.0138094136000002,0.1512104274,0.13937188860000002,0.20071704420000006,0.13452885,0.05757834780000001,0.24591873780000004,0.07695050219999999,0.1119280032,0.09739888740000002,0.2512998918,0.0694168866,0.0651119634,0.0452016936,0.05919269400000001,0.05650211700000001,0.035515616400000005,0.031210693199999997,0.030672577799999996,0.036591847200000006,0.0252914238,0.029596347000000005,0.017219692800000002,0.012914769599999999,0.008609846400000001,0.0016143461999999999,0.446635782
Henan,0.4490392302,0.08969285519999999,0.7158179790000001,,0.5623052076,0.4133920698,0.3461224284,0.2305566342,0.0471462444,0.0385219314,0.4179917034,0.0983171682,0.3012760008,0.4358152836000001,0.5743792458,0.0155237634,0.1230401988,0.0126489924,0.08336835899999999,0.08049358799999999,0.0511709238,0.0436965192,0.043121565,0.0425466108,0.0494460612,0.044846427599999995,0.0339222978,0.016673671799999998,0.016673671799999998,0.0051745878,0.3576215124
Hubei,0.061495718399999996,0.021101472,0.07385515200000001,0.3885685344,0.1841857056,0.033762355200000004,0.39278882880000004,0.1124407008,0.0186898752,0.009043488,0.18659730239999997,0.0910377792,0.119072592,,0.1543421952,0.006330441599999999,0.425043936,0.007234790399999998,0.072347904,0.1968465888,0.1543421952,0.027130464000000003,0.035872502399999985,0.0449159904,0.016881177600000002,0.039188448,0.0069333408,0.0048231936,0.004521744,0.001507248,0.117565344
Hunan,0.04131782459999999,0.012713176799999998,0.0497932758,0.1017054144,0.1179500292,0.0187166214,1.1773814292,0.08404822439999997,0.016597758599999998,0.0067097322,0.16527129839999996,0.0660378906,0.04131782459999999,0.3934021932,0.05932815839999999,0.0091817388,,0.0067097322,0.07451334179999998,0.337252329,0.0872265186,0.0360206676,0.0586218708,0.238372065,0.011653745399999998,0.210120561,0.007062875999999998,0.0038845818,0.005297156999999999,0.0017657189999999996,0.0836950806
Guangdong,0.08122736700000001,0.034018299,0.098583642,0.238822344,0.24090509699999998,0.04165506,,0.20827529999999997,0.04582056599999999,0.018050526,0.29713942800000004,0.260344125,0.10483190099999999,0.31727270700000004,0.117328419,0.031241295000000006,0.983753667,0.022910282999999997,0.406136835,0.574839828,0.13815594900000006,0.20827529999999997,0.15759497700000002,1.496805156,0.027770040000000003,0.21730056300000006,0.014579271000000001,0.009025263,0.006942510000000001,0.004859757000000001,0.20410979399999998
Guangxi,0.024137676,0.005793042239999999,0.02928704688,0.035401924800000005,0.0450569952,0.008689563360000001,2.0928974270400005,0.04119496704,0.00997690608,0.003540192480000001,0.04730984496,0.05213738016000001,0.014482605600000004,0.03894211728,0.02059748352,0.005793042239999999,0.21691724831999998,0.00418386384,0.03894211728,0.054712065600000005,0.03508008912,0.05728675103999999,0.1094241312,,0.007080384960000002,0.16574537520000002,0.00418386384,0.00193101408,0.0016091783999999999,0.00128734272,0.0370111032
Hainan,0.02033769384,0.01128222432,0.014993482319999998,0.025607680200000003,0.028873587240000005,0.010836873359999999,0.20790467316000005,0.035182725840000005,0.01439968104,0.006309138600000001,0.032213719440000003,0.04030426188,0.016329535200000002,0.02018924352,0.013508979119999999,0.01573573392,0.035182725840000005,0.00794209212,0.016106859720000002,0.0141027804,0.0215252964,,0.01321207848,0.047949453360000005,0.003711258,0.01885319064,0.0033401322000000005,0.00200407932,0.0014845032,0.0003711258,0.04089806316
Chongqing,0.041413304160000004,0.014003059679999996,0.04498855344,0.06644004912000001,0.08342248319999998,0.02294118288,0.17608102703999998,0.06435448703999999,0.016386559199999998,0.015492746879999996,0.08997710687999999,1.1631477657599998,0.08431629552000001,0.20915208288,0.03754011744,0.007448435999999998,0.10695954096,0.00953399808,0.05094730223999999,0.032475180959999995,,0.028601994239999994,0.10427810400000001,0.044690616,0.0238349952,0.3247518096,0.011917497599999998,0.007746373439999998,0.0068525611200000005,0.008640185759999999,0.07537817231999999
Sichuan,0.06029964,0.02159379,0.06192936,0.10022778,0.11530269,0.04155786,0.26727408,0.10593179999999999,0.03300183,0.01955664,0.12671073,,0.28275642,0.09493119,0.03870585,0.014260049999999996,0.07089282,0.01181547,0.05989221,0.036668700000000005,1.16606466,0.05011389,0.4872862800000001,0.06396651,0.11041353,0.34264863,0.0325944,0.01344519,0.03503898,0.05866992,0.14300793
Guizhou,0.016977243600000004,0.0044015076,0.016767648000000003,0.0297625752,0.054075664800000006,0.007126250400000002,0.23327990280000005,0.034164082799999995,0.006916654800000001,0.003143934,0.1307876544,0.285050016,0.02095956,0.035631252,0.017396434800000003,0.0018863604,0.21148196040000006,0.0027247428000000003,0.0507221352,0.03290650920000001,0.28987071480000004,0.016767648000000003,0.37203219,0.17207798760000004,0.004611103200000001,,0.0014671692000000002,0.0012575736,0.0016767648,0.0016767648,0.034583274000000004
Yunnan,0.02147171328000001,0.0065421626400000025,0.023149190880000003,0.033214056480000004,0.0486468504,0.00989711784,0.14610829896000005,0.047975859360000005,0.01056810888,0.004193694,0.06844108608000002,0.4287632745600001,0.026839641600000002,0.029523605760000005,0.016439280480000002,0.0048646850399999995,0.05736973392000001,0.003522702960000001,0.033214056480000004,0.022478199840000004,0.07917694272,0.013084325280000005,,0.11541045888,0.0072131536800000015,0.3621674138400001,0.00385819848,0.002683964160000001,0.00218072088,0.0072131536800000015,0.038414237040000014
Tibet,0.00180573624,0.0010565478000000002,0.0020554657200000004,0.006147187199999999,0.00397646172,0.00080681832,0.0065698063200000005,0.00213230556,0.0008644482000000003,0.0004994589599999999,0.00265097448,0.0770319396,0.007760823840000001,0.0014791669199999999,0.00151758684,0.0002881494,0.00213230556,0.00040340916,0.0015367967999999998,0.00082602828,0.011237826599999999,0.00034577928,0.0111417768,0.00090286812,0.00530194896,0.00132548724,0.00161363664,0.0006339286800000001,0.03348296028,,0.004226191200000001
Shaanxi,0.09775398168,0.021822754320000002,0.08998149384,0.31179633912,0.12256615439999995,0.43585720272,0.11240213183999996,0.06666403032000001,0.023317463519999998,0.25768786608000005,0.0702513324,0.2436375996,,0.10971165528,0.049325403600000005,0.0089682552,0.03617196264,0.007772487839999998,0.026306881919999997,0.02720370744,0.06337567007999999,0.02361640536,0.031986776880000005,0.017039684879999996,0.36231751008,0.0283994748,0.03019312584,0.12435980543999997,0.03467725343999999,0.006875662320000001,0.14259525767999998
Gansu,0.01985396184,0.013598604,0.01998994788,0.044195463,0.04201968635999999,0.01577438064,0.03358855188,0.02420551512,0.005167469520000001,0.05928991344,0.02801312424,0.10049368355999998,0.377361261,0.01781417124,0.009926980919999998,0.00149584644,0.01060691112,0.0017678185199999997,0.014686492319999998,0.006391343879999998,0.02094185016,0.00924705072,0.009655008839999998,0.0061193718000000005,,0.0074792322,0.06241759235999999,0.16508705256,0.18208530756,0.00503148348,0.043379546759999985
Qinghai,0.005968323,0.0020778605999999997,0.0061451621999999975,0.015694478999999997,0.0080019738,0.0052167564,0.010433512799999996,0.005924113199999999,0.0010610351999999995,0.003978882,0.006277791599999999,0.0412919532,0.034527853799999994,0.0040230918,0.0032273153999999994,0.0009284057999999998,0.0041115114,0.0004863078,0.0028294272,0.0022546998,0.0056146446,0.002652588,0.002873637,0.0017683919999999997,0.1966894002,0.0015915527999999998,0.0180375984,0.014589233999999996,,0.022768047000000003,0.0103008834
Ningxia,0.014704386840000002,0.005384705040000001,0.012564311760000002,0.020089091880000003,0.015049560239999999,0.012771415800000005,0.01263334644,0.0075247801199999995,0.0030375259200000003,0.16637357880000006,0.008905473720000001,0.013530797280000001,0.13158010007999998,0.006765398640000001,0.0058679478,0.0025542831600000003,0.007041537360000002,0.001725867,0.00593698248,0.00296849124,0.006627329279999999,0.00358980336,0.0033136646399999996,0.004418219520000001,0.17210345724,0.003520768680000001,0.006282155880000001,,0.011183618160000002,0.0004832427600000001,0.020848473359999998
Xinjiang,0.01724427144,0.00983351016,0.01973827764,0.04645977264,0.024013716839999998,0.01061734068,0.02679275232,0.025367605919999998,0.0065556734400000006,0.01368140544,0.017743072680000003,0.06740942472,0.05878728900000001,0.0103323114,0.00790956252,0.0030640647600000005,0.01204248708,0.0024940062,0.0065556734400000006,0.004346696519999999,0.0174580434,0.008693393039999999,0.006626930760000001,0.00377663796,0.19018578708000006,0.003919152600000001,,0.013752662759999998,0.04368073716,0.00171017568,0.03056939028
Taiwan,0.00016166304000000002,,6.479352e-05,9.686951999999999e-05,0.00012958704,6.479352e-05,0.0003239676,0.0011014898399999999,,3.2075999999999996e-05,0.0006800112,0.00019438056,6.479352e-05,6.479352e-05,6.479352e-05,,9.686951999999999e-05,3.2075999999999996e-05,0.0021702621600000003,9.686951999999999e-05,,,3.2075999999999996e-05,,,,3.2075999999999996e-05,,,,0.00071272872
Hong Kong,,,3.2221800000000004e-05,3.2221800000000004e-05,,,0.020183735520000003,0.00051769692,,,,3.2221800000000004e-05,,,,,3.2221800000000004e-05,,0.00012888720000000002,,,9.666540000000002e-05,3.2221800000000004e-05,0.00012888720000000002,,,,,,,6.444360000000001e-05
Macau,0.0012519003599999999,0.0005830768799999999,0.0006688234800000001,0.0010289592,0.0033955653600000004,0.00084031668,0.14167053252,0.00380714904,0.00070312212,5.144796e-05,0.0025552486800000003,0.0008917646400000001,0.0005487782400000001,0.0018692758800000003,0.0009603619200000002,0.0004801809600000001,0.0017149320000000002,0.00018864252,0.0010289592,0.00099466056,0.0005144796000000001,0.0003772850400000001,0.00044588232000000006,0.0015434388000000005,0.00022294116000000003,0.0007717194000000003,0.00012004524000000002,5.144796e-05,,,0.00176637996
