,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Anhui,Inner Mongolia,Guangdong,Shaanxi,Hunan,Jiangsu,Sichuan,Zhejiang,Jilin,Heilongjiang,Gansu,Shanghai,Jiangxi,Guizhou,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Xinjiang,Ningxia,Hubei,Qinghai,Tibet,Beijing
Shandong,0.5301099432,0.18303796152,0.42875558928,,0.10735559856,0.08301721752,0.15203153088,0.0466763472,0.10768900104,0.09235248696000001,0.03400705296,0.7058130501600001,0.044342529840000006,0.25071866495999995,0.02567199096,0.024338381040000003,0.024338381040000003,0.12069169776,0.052677591839999996,0.0216711612,0.0400082976,0.014336306640000001,0.022004563680000002,0.008668464479999999,0.025005186000000002,0.00700145208,0.012669294240000002,0.0076682570399999985,0.00900186696,0.0023338173600000005,0.14469667632000002
Henan,0.24842755079999998,0.0841667112,,0.5538712607999999,0.2687904648,0.037332009000000006,0.6475406652000001,0.030544371000000008,0.9210824766,0.2334947472,0.1126747908,1.0704105126,0.0739852542,1.388071971,0.009502693200000002,0.004751346600000001,0.047513466,0.29661978060000005,0.13507399620000002,0.0352957176,0.1418616342,0.038689536600000005,0.045477174599999996,0.0183266226,0.044119647000000005,0.010181457,0.0142540398,0.0719489628,0.0244354968,0.0040725828,0.16493960340000002
Hubei,0.00256257108,0.0005007322800000001,0.05902749936000001,0.004565500200000001,0.0011192839200000002,0.0013843774800000003,0.015964523280000004,0.0004418226000000001,0.017672904000000003,0.016965987840000002,0.08111862936000001,0.006627339,0.0017672904000000005,0.005360780880000001,0.0007069161599999999,0.00026509356000000003,0.0012371032800000002,0.00241529688,0.017024897520000002,0.0011192839200000002,0.00262148076,0.047275018200000005,0.00106037424,0.00035345807999999997,0.0025036614000000005,0.00035345807999999997,8.836451999999999e-05,,,5.8909680000000015e-05,0.0018851097600000005
Hunan,0.0183913092,0.0066877488,0.044584992,0.0239644332,0.0094743108,0.0044584991999999995,0.039011868,0.0039011868,3.4068507012,0.0245217456,,0.1070039808,0.0378972432,0.5004665352000001,0.0016719372,0.0016719372,0.0072450612,0.0512727408,0.2892451356,0.24020164440000003,0.128181852,0.0847114848,0.07077867480000001,0.0267509952,0.3054071952,0.0016719372,0.0022292495999999998,0.08638342199999999,0.0022292495999999998,0.0011146247999999999,0.036225306000000006
Guangdong,0.0220306716,0.008182820879999999,0.10889446248,0.03965520888,0.015106746239999996,0.02171594772,0.048152753640000004,0.008182820879999999,,0.0409141044,0.5586348870000001,0.06577729092,0.12179814156,0.1133005968,0.0094417164,0.008182820879999999,0.01699508952,0.0361932462,0.31315026059999995,0.18757543248,0.21117972348,0.055076679,0.08717851475999999,0.10417360427999997,0.8116728865199999,0.0069239253599999995,0.00251779104,0.017939261159999997,0.00440613432,0.00031472388,0.02612208204
Guangxi,0.0096117354,0.0022615848,0.022615847999999997,0.0107425278,0.0028269809999999997,0.0062193581999999996,0.011307923999999999,0.0011307924,4.778163286200002,0.0062193581999999996,0.1628341056,0.0260082252,0.0435355074,0.08537482619999999,0.0016961886,0.0022615848,0.0039577734000000005,0.0118733202,0.039577734,0.19280010420000002,0.044100903600000005,0.016396489799999997,0.11816780579999997,0.0299659986,,0.0005653962,0.0005653962,0.0039577734000000005,,,0.0090463392
Hainan,0.01786310496,0.0045971226000000006,0.023686126919999998,0.007224049800000002,0.010201233960000002,0.0077494352400000015,0.00433442988,0.00858129552,0.15301850940000006,0.012784379040000002,0.015586434719999999,0.006830010720000001,0.02351099844,0.012390339960000002,0.008756424,0.01593669168,0.0037214802000000006,0.007486742520000002,0.01024501608,0.012653032680000002,0.006698664360000001,0.01514861352,0.005910586200000001,,0.018651183119999998,0.00100698876,0.0012258993600000002,0.00223288812,0.00140102784,0.00013134635999999998,0.0172939374
Chongqing,0.01526183208,0.00465615216,0.024056786160000003,0.014485806720000003,0.0090536292,0.005949527760000001,0.01629653256,0.0028454263200000003,0.37999375128,0.06906625704,0.12131863128000002,0.06492745511999999,0.7765427102400001,0.2961830124,0.0010347004800000002,0.0007760253599999999,0.010605679920000001,0.03569716656000001,0.032334390000000005,0.32515462584000004,0.12649213367999998,,0.10424607336,0.013192431120000002,0.042422719680000005,0.0025867512,0.0012933756,0.05871925224000001,0.004138801920000001,0.008536278960000001,0.014227131600000003
Sichuan,0.033739166519999995,0.013724406719999995,0.07948718892000001,0.044604321839999996,0.030308064839999996,0.01772735868,0.03202361568,0.008577754200000001,1.02418385148,0.25733262599999995,0.06404723136,0.22473716004,,0.6095923984799999,0.0028592514000000003,0.0028592514000000003,0.07605608724,0.08463384144,0.03545471736,0.60844869792,0.20357869968,1.36443476808,0.6067331470799999,0.029164364280000004,0.10922340347999998,0.010865155319999998,0.00629035308,0.011437005600000001,0.02058661008,0.05832872856000001,0.038313968760000004
Guizhou,0.006938482680000001,0.0020407301999999998,0.01510140348,0.013468819319999999,0.0040814603999999996,0.00244887624,0.020407302,0.0016325841599999999,0.7864974190799999,0.011836235159999998,0.35059744835999995,0.12407639615999999,0.26896824036,1.0224058301999999,0.00040814603999999997,0.0008162920799999999,0.0032651683199999997,0.0285702228,0.10326094812000002,,0.21182779476,0.24529577004,0.5061010896,0.00897921288,0.31345615872,,0.00040814603999999997,0.006122190600000001,0.0008162920799999999,0.0008162920799999999,0.01469325744
Yunnan,0.00957139092,0.00269962308,0.019388202120000003,0.01521605736,0.00515382588,0.00392672448,0.0171794196,0.00220878252,0.3696029416800001,0.01325269512,0.05718292524,0.09645017004,0.4655622711599999,0.41795073684,0.0012271014,0.0012271014,0.0049084056,0.026505390240000003,0.02920501332,0.5428696593600001,0.06945393924000001,0.05055657768,,0.006871767840000001,0.20369883239999997,0.00073626084,0.00073626084,0.00294504336,0.0012271014,0.00392672448,0.00908055036
Tibet,6.361740000000001e-05,2.9937600000000006e-05,0.0018112248,0.00035550900000000005,0.00028814940000000005,9.3555e-05,0.00035550900000000005,,0.0006137208000000001,0.0005501034000000001,0.0003854466000000001,0.000224532,0.013995828000000002,0.0002582118,,2.9937600000000006e-05,0.003042408600000001,6.361740000000001e-05,0.00016091460000000005,0.0004827438000000001,9.3555e-05,0.0007110180000000001,0.003042408600000001,,2.9937600000000006e-05,0.00035550900000000005,0.00016091460000000005,2.9937600000000006e-05,0.010010385000000002,,0.00012723480000000002
Shaanxi,0.04420361484,0.013777750080000001,0.1310799834,0.04439497248,0.26598711960000004,0.010907385479999998,0.03616659396,0.19499343516,0.18198111564,,0.02258020152,0.14466637584,0.13701207023999998,0.124382466,0.0032530798800000003,0.0015308611199999999,0.2066662512,0.03750609744,0.0114814584,0.0248764932,0.02564192376,0.034827090479999996,0.022388843880000002,0.004783941,0.01301231952,0.0065061597600000005,0.07099368444,0.020666625119999997,0.019709836919999998,0.004783941,0.0497529864
Gansu,0.014470410240000004,0.01413126,0.02961912096,0.014583460320000003,0.0135660096,0.003617602560000001,0.01006145712,0.05629893984000001,0.05042033568,0.34095904128,0.005991654240000001,0.0712215504,0.06183839376000001,0.05268133728,0.00090440064,0.00022610016000000006,,0.030862671840000005,0.00780045552,0.00463505328,0.013113809280000001,0.01096585776,0.005991654240000001,0.00124355088,0.0035045524799999996,0.025436267999999998,0.12107663568000004,0.0018088012800000005,0.13577314608000002,0.0045220032,0.0214795152
Qinghai,0.00177572736,0.0002774574,0.004013883720000001,0.00181272168,0.0014427784800000005,0.00048092615999999997,0.0013502926800000002,0.00255260808,0.0035884490400000008,0.011431244879999998,0.0008323722000000001,0.0031260200399999996,0.011819685239999999,0.0024786194400000005,0.0001849716,0.00012948012000000002,0.11225926404000001,0.000924858,0.0006104062799999999,0.0008693665199999999,0.0006474006,0.00077688072,0.0011838182400000002,0.0004069375200000001,0.00070289208,0.00260809956,0.00390290076,0.00025896024000000004,,0.01087633008,0.001387287
Ningxia,0.00464431968,0.00311786496,0.0057160857600000005,0.0030204316800000004,0.0047742307200000006,0.0007145107200000001,0.00321529824,0.07979785632,0.006820329599999999,0.06752126304,0.0010717660800000002,0.007924573439999999,0.0050340528,0.007599795839999999,0.0003247776,0.00022734432000000006,0.0969461136,0.003637509120000001,0.00120167712,0.00090937728,0.00155893248,0.00142902144,0.0030204316800000004,0.0003247776,0.00090937728,0.00165636576,,0.00058459968,0.00587847456,3.247776e-05,0.00441697536
Xinjiang,0.002453344200000001,0.00025196508000000005,0.00770482692,0.004071225239999999,0.00122004144,0.0007426339200000001,0.00128634804,0.007970053320000002,0.013791772800000004,0.006219559080000001,0.00122004144,0.0040447026,0.012558470040000002,0.00312967152,0.00047740752,0.00022544244000000005,0.03978396,0.003487727160000001,0.0009945989999999999,0.00076915656,0.0014189612400000006,0.0026522640000000005,0.0017372329200000002,0.00076915656,0.0010343829600000002,,0.0017770168800000004,0.00038457828,0.003527511120000001,0.00018565848000000004,0.0064715241599999996
Taiwan,3.18168e-05,6.36336e-05,3.18168e-05,3.18168e-05,3.18168e-05,,9.704123999999997e-05,,0.0053452224,,6.36336e-05,0.0026885196,,0.00084155436,,6.36336e-05,,0.00249443712,,,0.0028507852800000004,6.36336e-05,0.00012885803999999998,,,,,3.18168e-05,,,0.0007126963200000001
Hong Kong,9.615671999999999e-05,3.059532e-05,0.00016171812,0.00016171812,,6.119064e-05,0.00012675204,3.059532e-05,0.03382531164,0.00016171812,0.00025787484,0.00025787484,0.00012675204,0.00051574968,9.615671999999999e-05,,3.059532e-05,0.000874152,0.00012675204,6.119064e-05,0.0016171812000000002,0.00019231343999999998,3.059532e-05,0.00032343624,0.00051574968,,,3.059532e-05,6.119064e-05,,0.00090474732
Macau,0.00025675056,0.00012837528,0.00038512584,9.336384e-05,0.00022173912,0.00025675056,0.00015755148,6.418764e-05,0.04973375052,6.418764e-05,0.0006127001999999999,0.00042013728,0.00019256292,0.0007760869200000001,,2.91762e-05,2.91762e-05,0.00019256292,0.00035594964,0.00012837528,0.00044931348,,0.00012837528,2.91762e-05,0.00042013728,,,,,,0.00025675056
