,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Anhui,Inner Mongolia,Guangdong,Shaanxi,Hunan,Jiangsu,Sichuan,Zhejiang,Jilin,Heilongjiang,Gansu,Shanghai,Jiangxi,Guizhou,Fujian,Chongqing,Yunnan,Hainan,Guangxi,Xinjiang,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,0.5560246296000001,0.08630226,0.0677323944,0.0664229808,0.047972152800000015,0.0420202728,0.031425926400000005,0.029759400000000005,0.0283309488,0.02678346,0.0252359712,0.024997896,0.0182127528,0.0169033392,0.015712963200000003,0.0149987376,0.0138083616,0.0114276096,0.010118196,0.0097610832,0.007856481600000001,0.007142256000000001,0.0065470680000000005,0.0060709176000000005,0.0048805416,0.003333052800000001,0.0024997896,0.0022617144000000003,0.0015474888,0.0008332632000000003,
Tianjin,0.4570519737599999,,0.02669975136,0.0771989616,0.02397006432,0.03139140096,0.008274363839999998,0.0251643024,0.013904343359999995,0.00921269376,0.0022178707199999995,0.020216744640000003,0.005288768639999999,0.009809812799999998,0.009553904640000001,0.005118163199999999,0.006227098559999999,0.0053740713600000005,0.00264438432,0.00196196256,0.0035827142399999993,0.00187665984,0.00272968704,0.00187665984,0.0025590816,0.0005118163199999999,0.0017913571199999997,0.0008530271999999999,0.0013648435199999998,,0.09340647839999998
Hebei,,0.67304860848,0.24210381600000003,0.65489082228,0.38010299111999996,0.14405177051999998,0.05366634588000001,0.18843747012000003,0.07061361299999999,0.13477112423999998,0.029859470639999997,0.14243774507999998,0.04277167416,0.08554334832,0.026631419759999997,0.01371921624,0.02905245792,0.02905245792,0.027841938839999997,0.016140254399999998,0.01936830528,0.016947267119999998,0.02461388796,0.008070127199999999,0.01735077348,0.00322805088,0.0181577862,0.00484207632,0.00887713992,0.00161402544,0.9203980071600001
Shanxi,0.3060733716,0.06445657295999999,0.19012782024,0.12548054735999994,,0.013348994399999998,0.02879568792,0.23494230144,0.04805637984,0.39436743456,0.011632695119999998,0.13768534223999998,0.030702687119999995,0.05606577647999999,0.0028604988000000002,0.0017162992799999994,0.01926069192,0.03165618672,0.008772196319999998,0.008390796479999999,0.0104884956,0.008390796479999999,0.01201409496,0.00514889784,0.005530297679999999,0.004386098159999999,0.01010709576,0.0024790989599999995,0.007818696719999999,0.0013348994400000003,0.12128514912
Inner Mongolia,0.14784856127999998,0.043059288960000004,0.013186177919999998,0.03465747648,0.14854871232,0.19965973824000002,0.00478436544,,0.014819863679999996,0.17993881728,0.0032673715200000003,0.016920316799999998,0.01073564928,0.01260271872,0.07748338176,0.04270921344,0.03710800512,0.00688481856,0.0023338368,0.0018670694399999998,0.00280060416,0.00221714496,0.0035007552,0.0018670694399999998,0.00198376128,0.004317598079999999,0.08075075327999999,0.0007001510399999999,0.00385083072,0.00023338367999999998,0.06441389568
Liaoning,0.18938261375999998,0.06943215672000001,0.02001208032,0.09957230208,0.02294067744,,0.01415488608,0.19560588264000003,0.047345653439999996,0.014887035359999997,0.007443517679999998,0.05137247448,0.01317868704,0.04161048408,0.20976076872000005,0.05478917112000001,0.0037827712799999996,0.02464902576,0.00585719424,0.00463694544,0.010982239200000002,0.005613144479999999,0.00866376648,0.005491119600000001,0.00866376648,0.0012202488,0.00146429856,0.0012202488,0.0012202488,0.00036607464,0.08273286864
Jilin,0.052731777599999995,0.0407925072,0.008705718000000001,0.0611058492,0.0064671048,0.28322602559999993,0.0071303976,0.0897932628,0.0237127176,0.0067987512,0.0034822872,0.0313405848,0.0073791323999999985,0.038222247599999995,,0.0803413404,0.0014924087999999998,0.0126854748,0.0053063424,0.003731022,0.0061354584,0.0021557016,0.0051405192,0.0051405192,0.0038139336,0.00041455800000000004,0.0011607624000000002,0.0005803812000000001,0.0004974695999999999,0.0002487348,0.0380564244
Heilongjiang,0.03990546,0.032593590000000006,0.007249904999999998,0.05985819000000001,0.004895235,0.113953635,0.00384183,0.05397151500000001,0.027698355,0.003284145,0.0037179,0.031416255000000004,0.005514885000000001,0.02999106,0.10100295,,0.00161109,0.016544655,0.0017350200000000005,0.001673055,0.00644436,0.00223074,0.003284145,0.0066922200000000005,0.0024166350000000003,0.000557685,0.00099144,0.000557685,0.0008675100000000003,0.00037179,0.05366169
Shanghai,0.011124734399999999,0.0052771176,0.0593319168,0.0425021904,0.0094132368,0.01069686,0.1289328192,0.0032803703999999996,0.0343725768,0.013121481599999998,0.0186838488,0.6229851264,0.0219642192,0.2990842056,0.004991867999999999,0.0041361192,0.0109821096,,0.038366071200000004,0.0095558616,0.0211084704,0.0095558616,0.013406731199999996,0.0047066184,0.0096984864,0.0005704992,0.001426248,0.002852496,0.0015688728,0.0002852496,0.008129613599999998
Jiangsu,0.06460833456000001,0.02812879872,0.2021757408,0.5291730259199999,0.046148810400000004,0.032963436,0.99066112992,0.01406439936,0.11954739456,0.07295907168,0.04307222304,,0.0505439352,0.8218883375999999,0.010987812,0.007471712159999999,0.0395561232,0.97967331792,0.09185810831999998,0.02812879872,0.05845515984,0.02153611152,0.0351609984,0.0087902496,0.02285464896,0.00263707488,0.0065926872,0.0087902496,0.007471712159999999,0.0008790249599999999,0.041753685599999986
Zhejiang,0.03112679988,0.01131883632,0.12039125903999998,0.08051808563999999,0.02135144124,0.02160868752,0.31486944672,0.00951811236,0.16823906711999995,0.03755795688,0.07871736168,0.6019562951999999,0.05556519647999999,,0.012347821439999998,0.00668840328,0.02032245612,0.3704346432,0.225090495,0.07511591376,0.14560139447999998,0.0295833222,0.058652151839999986,0.00668840328,0.0295833222,0.0018007239600000005,0.00463043304,0.005402171879999999,0.004115940479999999,0.0010289851199999998,0.018007239599999995
Anhui,0.04902122268,0.032924701800000004,0.47996898624,0.15803856864000002,0.027071421480000003,0.024876441360000005,,0.00877992048,0.24583777344000002,0.053411182919999994,0.04243628232,2.5410553189200002,0.028534741560000007,2.450329473960001,0.00585328032,0.00219498012,0.012438220680000002,0.66142067616,0.15364860840000005,0.02341312128,0.12657718692,0.0146332008,0.02341312128,0.0073166004,0.024876441360000005,0.00146332008,0.00438996024,0.01975482108,0.005121620280000001,0.00073166004,0.07462932408
Fujian,0.01573248096,0.01059534432,0.04527101664,0.02905692912,0.014929803360000004,0.013966590239999998,0.042060306240000005,0.0048160656,0.47743263648,0.02841478704,0.053297792639999994,0.10563237216,0.0345151368,0.2544487992,0.004013388,0.0024080328,0.00995320224,0.07127777088000001,0.15764588064,0.0545820768,,0.026648896319999997,0.05265565056,0.014608732319999998,0.04960547568,0.0008026776,0.00369231696,0.0035317814400000007,0.0024080328,0.00048160656,0.0152508744
Jiangxi,0.014504041440000004,0.005698016280000001,0.030562087319999997,0.027454078439999995,0.005698016280000001,0.0077700222000000015,0.10463629896,0.00310800888,1.8197391992400003,0.018648053280000004,0.25692873408000005,0.20771859348000002,0.03004408584,1.6570867345200002,0.0020720059200000003,0.00103600296,0.006734019240000002,0.15229243512,,0.047138134680000006,0.58585967388,0.02434606956,0.04195811988000001,0.018648053280000004,0.055944159840000014,0.0005180014800000001,0.00103600296,0.02123806068,0.00310800888,,0.01968405624
