,Hebei,Henan,Shandong,Tianjin,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Anhui,Heilongjiang,Shaanxi,Sichuan,Hubei,Shanghai,Zhejiang,Hunan,Hainan,Jilin,Yunnan,Jiangxi,Fujian,Gansu,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.06862375404,0.29286672984,0.14697370944000002,0.02053309176,0.028097915039999997,0.01242792396,1.08933455232,0.22802538744,0.02377515888,0.70677063216,0.030259293120000006,0.06159927528,0.10320580332,0.19776609432,0.83429193888,,0.16804714572,0.042687217080000006,0.022694469840000002,0.10104442524,0.49009247963999997,0.26801088192,0.02053309176,0.09185856839999999,0.04755031776,0.22208159772,0.0075648232800000015,0.00594378972,0.004322756160000001,0.0005403445200000001,0.05295376296
Anhui,0.05363855640000001,0.4085995914000001,0.14640170687999998,0.017038129680000003,0.01640708784,0.009465627600000002,1.1459719814400002,0.0915010668,0.01009666944,,0.011674274040000002,0.03691594764,0.023348548080000003,0.11137888476,0.27860497236000004,0.41869626084,0.0441729288,0.01672260876,0.007256981159999999,0.018300213359999998,0.10790815464000003,0.046066054320000015,0.00978114852,0.023348548080000003,0.017038129680000003,0.015776046000000002,0.004732813800000001,0.0028396882799999997,0.00189312552,0.00189312552,0.05111438904000001
Fujian,0.026730972,0.0703915596,0.03991825152000001,0.01140521472,0.01211804064,0.0033859231200000003,0.09694432512,0.35516551464,0.01140521472,0.05506580232,0.0115834212,0.02922586272,0.054531182880000015,0.06736204944,0.08714296872000002,0.25287499512,0.08250960024000001,0.0231668424,0.007484672159999999,0.03884901264,0.23523255360000006,,0.0080192916,0.053105531039999994,0.035641296,0.06611460408,0.004455162,0.002494890720000001,0.0008910324000000002,0.0008910324000000002,0.029938688639999995
Jiangxi,0.025245561599999997,0.05953744944,0.03870986112,0.0071529091199999985,0.00967746528,0.003155695199999999,0.11002857264,0.4607314991999998,0.0071529091199999985,0.12223059407999998,0.005259491999999999,0.01830303216,0.020617208639999995,0.16662070655999994,0.09467085599999997,0.30568167503999993,0.28443332735999993,0.022300246079999995,0.0050491123199999976,0.02040682896,,0.18639639647999995,0.005680251359999999,0.02166910704,0.037868342400000005,0.031977711359999994,0.0014726577599999998,0.0014726577599999998,0.0010518983999999998,0.0006311390399999997,0.023772903839999998
Shandong,0.6641129282399999,0.53100017856,,0.14580742607999994,0.09430331039999999,0.043524604800000005,0.5698096178400001,0.11098774224000002,0.08052051887999999,0.17881358471999995,0.10228282128,0.0834221592,0.08124592896,0.081608634,0.11135044728,0.13275004464,0.054405756,0.035907798959999994,0.06637502232,0.038446734239999995,0.03880943928,0.04606354008000001,0.02103689232,0.041348374559999984,0.027928288080000002,0.02865369816,0.01414549656,0.01015574112,0.00616598568,0.00108811512,0.17881358471999995
Henan,0.32585889492,,0.51769826784,0.05131033128,0.26689030524,0.023740601040000003,0.31896646236,0.20792171555999997,0.02412351396,0.44303024843999994,0.01761399432,0.23434270704,0.07734840984000001,0.35381153808,0.11372513724,0.19145646,0.09764279460000001,0.043269159960000005,0.01455069096,0.03944003076,0.058968589679999996,0.06586102224,0.03522798864,0.0459495504,0.03484507572,0.02795264316,0.02029438476,0.0134019522,0.0114873876,0.0019145645999999999,0.143592345
Hubei,0.058444467839999986,0.394370856,0.07913277503999999,0.012930191999999998,0.030773856959999995,0.009826945919999998,0.13162935456,0.2831712047999999,0.012412984319999995,0.14843860416,0.011378568959999998,0.09154575936,0.06646118687999998,,0.06542677152000001,0.12412984319999998,0.3762685872,0.034394310719999995,0.0103441536,0.04163521824,0.18567755712,0.057151448639999984,0.0219813264,0.15516230399999995,0.05275518336,0.05068635264,0.0103441536,0.005947888319999999,0.004913472959999999,0.00232743456,0.04991054111999999
Hunan,0.033427485,0.09038791943999998,0.04332202056,0.01016195544,0.0147080934,0.0053483976,0.07728434531999999,0.8084102972399999,0.007755176519999999,0.04385686031999999,0.01016195544,0.03422974464,0.043054600679999985,0.36422587656,0.04626363924,0.10108471464,,0.04064782176,0.007487756640000001,0.045996219359999986,0.28747637099999995,0.052681716359999985,0.01016195544,0.07461014651999999,0.19414683288,0.17516002139999998,0.004011298199999999,0.0037438783200000004,0.0016045192799999993,0.0008022596399999999,0.03583426392
Guangdong,0.07641447984000001,0.26462051352,0.10471613903999999,0.03113182512,0.03679215696,0.01627345404,0.20730965364,,0.03254690808,0.11462171976000002,0.0424524888,0.10896138792000001,0.22924343952000004,0.42664751244000004,0.16414962336,0.2158001514,1.3025838646799999,0.19386636552,0.030424283639999997,0.17759291147999998,0.6466929127200001,0.3608461548,0.0247639518,0.18254570184,1.48088431764,0.26603559648,0.0141508296,0.00778295628,0.004245248879999999,0.00212262444,0.09834826572000001
Guangxi,0.024262040159999998,0.03456803952,0.032635664640000006,0.004723583040000002,0.007944207840000002,0.0038647497600000007,0.037144539360000006,1.1343040545600005,0.007300082880000002,0.022114956960000005,0.009447166080000005,0.02018258208,0.040579872480000015,0.046806413760000005,0.02812678992000001,0.040579872480000015,0.21105827856000006,0.040579872480000015,0.004723583040000002,0.09618932736000003,0.035426872800000016,0.03478274784000001,0.006011832960000002,0.03413862288000001,,0.15738119856000005,0.002361791520000001,0.002361791520000001,0.0012882499200000002,0.00021470832000000005,0.019323748800000002
Hainan,0.03626135748,0.039963213,0.03163403808,0.014807422080000004,0.02221113312,0.010264235759999999,0.0307085742,0.17810973036000002,0.01968714072,0.013293026640000002,0.022379399280000004,0.023977927800000003,0.04088867688000001,0.023977927800000003,0.035756559000000014,0.028184581800000007,0.03693442212,,0.0138819582,0.016826616000000003,0.01606941828,0.018341011440000003,0.006394114079999999,0.02936244492,0.03895361604,0.017752079879999997,0.0050479847999999996,0.00487971864,0.0021033270000000003,0.00025239924,0.06040755144000001
Chongqing,0.021606714359999998,0.03753893808,0.031427948160000004,0.0067657388399999996,0.01484097552,0.005674490639999999,0.0480149208,0.11501756028,0.005237991359999999,0.0229162122,0.00480149208,0.05107041575999999,0.97906788504,0.15583024295999998,0.035138192039999995,0.04670542296,0.07835162075999999,0.03753893808,0.004364992799999999,0.07682387328,0.01811472012,0.031427948160000004,0.017023471919999998,,0.03077319924,0.25382433132,0.010039483439999998,0.00414674316,0.0032737446,0.005892740279999999,0.025535207879999997
Sichuan,0.0352596888,0.06632179560000001,0.0486919512,0.0114733908,0.0235064592,0.0072758088,0.05932582559999999,0.15615005040000002,0.009514519200000002,0.0240661368,0.0086750028,0.1620266652,,0.06967986120000001,0.0397371096,0.059045986799999985,0.0458935632,0.052329855599999996,0.0072758088,0.42731384759999996,0.019029038400000003,0.033580656,0.0694000224,0.9517317588,0.039177432000000005,0.2459783052,0.0159508116,0.0072758088,0.0257451696,0.029383074,0.042255658800000005
Guizhou,0.012120243840000001,0.02566639872,0.01728917136,0.0033865387200000003,0.005703644159999999,0.00213886656,0.03707368704,0.1809124632,0.00320829984,0.012298482719999998,0.0019606276800000003,0.019071560159999997,0.2593375704,0.03243947616,0.01942803792,0.08377227359999999,0.1933891848,0.02210162112,0.0016041499199999998,0.31958231184,0.027270548639999996,0.03707368704,0.004455972,0.28446925248000005,0.15453310896,,0.00124767216,0.0014259110399999998,0.0008911943999999998,0.0005347166399999999,0.01443734928
Yunnan,0.023693378040000004,0.035301543120000015,0.031485160080000005,0.01049505336,0.011926197,0.0052475266800000005,0.043570373040000006,0.12832587972000006,0.007791782040000001,0.01812781944,0.007314734160000002,0.03053106432,0.40246939476,0.03848186232,0.034347447360000005,0.055019522160000014,0.053588378520000014,0.014311436400000004,0.004929494760000001,,0.02099010672,0.02782779300000001,0.0068376862800000006,0.08714074608000001,0.11067510816,0.3321843404400001,0.003657367080000001,0.0030213032400000003,0.0017491755600000005,0.004929494760000001,0.03069008028
Tibet,0.00294041664,0.0087417792,0.0029801520000000002,0.00037748592,0.00164901744,0.00027814752,0.00401327136,0.0033576379199999995,0.00027814752,0.00156954672,0.0008344425599999997,0.01297359504,0.07305345936,0.003814594559999999,0.00125166384,0.00145034064,0.0028808136,0.0011523254399999998,0.0004768243199999999,0.012457035359999995,0.0009536486399999998,0.0011324577599999995,0.008443764,0.011622592799999998,0.0007947071999999999,0.0015099436799999998,0.0012913992,0.00037748592,0.032682333599999995,,0.0030397550399999997
Shaanxi,0.08530285607999999,0.2638605294,0.08650769868000001,0.0168677964,0.3472356373200001,0.18843738264000004,0.08674866720000002,0.07566411528000001,0.012289394520000002,0.047470798439999996,0.01421714268,,0.21277520316000004,0.10144774692,0.037832057640000014,0.047952735480000015,0.036386246520000005,0.0277113798,0.00795196116,0.029157190920000006,0.01662682788,0.02674750572,0.3144639186000001,0.05204920032000001,0.01494004824,0.018313607519999997,0.02795234832,0.11470101552,0.02722944276,0.01253036304,0.05445888552
Gansu,0.01844669376,0.036998198279999985,0.01897074756,0.006393456359999997,0.012996534239999998,0.04632635591999999,0.029032580519999993,0.021905448839999998,0.0044020519199999995,0.010166643719999998,0.0022010259599999998,0.31443227999999995,0.07148093831999998,0.014987938679999997,0.014044641839999998,0.017503396919999997,0.010166643719999998,0.00901372536,0.0031443228,0.0061838348399999975,0.004926105719999998,0.008804103839999997,,0.014149452600000001,0.0061838348399999975,0.009118536119999998,0.04590711287999999,0.12870761327999994,0.13677804179999994,0.0041924304,0.0188659368
Qinghai,0.005568432480000001,0.01784754,0.0066392848800000005,0.0006782065199999999,0.0029269965599999998,0.0029626916399999995,0.005961078359999999,0.00692484552,0.0007852917599999999,0.003605203079999999,0.00132071796,0.0331964244,0.029269965599999993,0.006353724239999999,0.0021773998799999995,0.005639822639999999,0.00389076372,0.0023201802,0.0004997311200000001,0.00203461956,0.00110654748,0.00207031464,0.15923575187999994,0.0028556064000000003,0.00103515732,0.0011422425599999998,0.015491664719999998,0.00949489128,,0.018811307159999995,0.00449758008
Ningxia,0.0137597292,0.01858967496,0.011176269840000001,0.004268324160000001,0.011288594159999995,0.12984691392,0.013366594079999995,0.009154432079999998,0.0020218377600000003,0.006121675439999999,0.0019095134399999998,0.11648031983999994,0.009435242879999998,0.006627134879999999,0.00454913496,0.006964107839999999,0.00443681064,0.004268324160000001,0.0013478918399999998,0.00415599984,0.00151637832,0.0034258917599999995,0.13888902167999995,0.006121675439999999,0.0033135674399999994,0.0023588107199999995,0.005391567359999999,,0.009772215840000001,0.00033697296,0.009772215840000001
Xinjiang,0.01891911168,0.052510187520000015,0.024662413440000003,0.0035232019200000008,0.0094112928,0.00955608192,0.016409433600000002,0.01467196416,0.00347493888,0.008301242879999999,0.00294404544,0.05386155264,0.03460459968,0.01008697536,0.008446032000000001,0.009025188480000002,0.0073842451200000015,0.008880399360000001,0.00173746944,0.003619728,0.0025579411199999997,0.00492283008,0.09932533632000001,0.018629533440000002,0.00202704768,0.00333014976,,0.0071911929599999995,0.0238902048,0.00173746944,0.0161681184
Taiwan,3.213756000000001e-05,,0.00012943476,0.00012943476,3.213756000000001e-05,9.700235999999999e-05,9.700235999999999e-05,0.00022673196000000005,3.213756000000001e-05,3.213756000000001e-05,6.456996000000001e-05,,3.213756000000001e-05,3.213756000000001e-05,0.0003885991200000001,0.00016186716000000004,,3.213756000000001e-05,,9.700235999999999e-05,,0.00093936024,,,3.213756000000001e-05,,6.456996000000001e-05,,,,0.00016186716000000004
Hong Kong,,3.0488400000000004e-05,,3.0488400000000004e-05,3.0488400000000004e-05,3.0488400000000004e-05,,0.0284456772,,,3.0488400000000004e-05,,,,0.00022561416,0.00012805128,3.0488400000000004e-05,0.00025915140000000003,,3.0488400000000004e-05,3.0488400000000004e-05,0.0007103797200000001,6.402564e-05,,6.402564e-05,,,,,,0.00012805128
Macau,0.0013770324,0.0011549304,0.0011327202,0.0007107264,0.0006663060000000001,0.000111051,0.0038423646000000002,0.1883647062,0.0010660896,0.0002443122,0.00015547140000000002,0.0005108345999999999,0.0007995671999999999,0.0014880834,0.005330448000000001,0.0033537402,0.0019100772000000001,0.0008661978,0.00031094280000000003,0.000222102,0.0008217774,0.0019100772000000001,8.88408e-05,0.000111051,0.0020211282,0.0003997836,2.22102e-05,,,,0.0027096444
