,Hebei,Henan,Shandong,Tianjin,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Anhui,Heilongjiang,Shaanxi,Sichuan,Hubei,Shanghai,Zhejiang,Hunan,Hainan,Jilin,Yunnan,Jiangxi,Fujian,Gansu,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.3242098852,0.34391162736,0.30768354791999997,0.30156049224000003,0.18011988792,0.14083028064,0.13572773424000004,0.12348162287999999,0.10766372904,0.10052016408,0.09745863624,0.09184583520000003,0.09031507127999999,0.08827405272000001,0.08623303416000001,0.07296641352000001,0.06939463104000003,0.06480233928000001,0.06378183000000001,0.04439215368,0.043881899040000005,0.04184088048,0.04133062584000001,0.03877935264,0.027553750560000003,0.023981968080000002,0.015307639200000002,0.01479738456,0.007143564960000001,0.0015307639199999999,
Tianjin,1.0661028516,0.11281263984,0.23568947784000002,,0.06810887592,0.05078909304,0.05172529751999999,0.03721412808,0.057810626640000015,0.03440551464,0.04540591728,0.02504346984,0.02504346984,0.02200080528,0.02317106088,0.0280861344,0.0140430672,0.013809016079999998,0.032299054560000005,0.014979271680000001,0.01100040264,0.01568142504,0.0187240896,0.013340913839999998,0.010532300400000002,0.013340913839999998,0.00538317576,0.0070215336,0.0018724089600000002,0.00023405112000000002,0.28039324175999997
Hebei,,0.42837853104,0.8208525031199999,0.9997562538,0.4865686783200001,0.21357022140000004,0.1578562506,0.07614242676,0.20057029488000008,0.09595183859999999,0.07861860324,0.11390411808,0.058190147279999986,0.08171382383999999,0.040856911919999996,0.06809485320000001,0.047666397240000005,0.034047426600000014,0.06128536788,0.030952206000000006,0.03528551484,0.02599985304,0.023523676559999998,0.03280933836,0.024142720680000004,0.01919036772,0.011761838279999999,0.017333235360000004,0.006190441200000001,0.0006190441200000001,1.8868464777600005
Shanxi,0.44340173388000004,0.32330960136,0.10910200392000001,0.0469578222,,0.16245408275999998,0.06254382276,0.04056356556,0.0129883338,0.030372719039999996,0.007593179759999999,0.35108465364,0.04356087336,0.035767873080000005,0.0219802572,0.026775949680000004,0.01878312888,0.02457792396,0.006793897679999999,0.012388872240000001,0.01039066704,0.015586000559999999,0.01718456472,0.01858330836,0.009991026,0.007593179759999999,0.00519533352,0.0129883338,0.00439605144,0.00039964104,0.11050074755999999
Inner Mongolia,0.24179403960000004,0.039527206200000005,0.055569628800000014,0.034069474800000006,0.16786658700000004,,0.024642484200000002,0.0201770676,0.17084353140000005,0.010750077000000002,0.143885646,0.19978604640000006,0.011246234400000004,0.010584691200000005,0.011742391800000002,0.013396249800000004,0.006450046200000003,0.011080848600000002,0.12949708140000002,0.0074423610000000015,0.004796188200000001,0.0054577314000000005,0.047961882,0.006450046200000003,0.0038038734000000007,0.0036384876000000008,0.004796188200000001,0.15463572300000006,0.0031423302000000005,0.00016538580000000005,0.1055161404
Liaoning,0.2146089816,0.0594058374,0.0955096272,0.050775449400000006,0.0293433192,0.1938960504,0.044446498200000004,0.040275144,,0.027761081400000002,0.13161341699999998,0.022007489400000003,0.0243089262,0.0188430138,0.022582848600000004,0.028911799799999995,0.013233261599999999,0.018986853600000003,0.230862879,0.011363344200000002,0.008774227800000001,0.0126579024,0.0103564656,0.011219504400000002,0.011651023800000002,0.017692295400000002,0.008198868599999999,0.0025891164,0.0025891164,0.0012945582,0.069762303
Jilin,0.0698364828,0.03591590544,0.070423344,0.02828670984,0.017371091519999996,0.13943822111999998,0.0387328392,0.03075152688,0.23028433488000002,0.01854481392,0.23873513616,0.01619736912,0.014436785519999999,0.010563501599999999,0.024061309199999995,0.031221015839999998,0.014319413279999997,0.023004959040000002,,0.01021138488,0.00974189592,0.01044612936,0.006924962159999999,0.00633810096,0.0076291956,0.009507151440000002,0.00516437856,0.0023474448,0.0017605835999999998,0.0007042334399999999,0.04847473512
Heilongjiang,0.06795152207999999,0.035325791280000005,0.08291435724,0.03183821316,0.01653787044,0.13410300384,0.03870086688,0.04702605336,0.09821469996,0.015525347759999999,,0.0157503528,0.01710038304,0.01203776964,0.02936315772,0.02508806196,0.012825287279999998,0.03588830388,0.26640596736000005,0.0123752772,0.008887699080000002,0.0101252268,0.00585013104,0.008887699080000002,0.01102524696,0.01080024192,0.00270006048,0.0028125629999999997,0.0009000201600000002,0.00022500504,0.06570147168
Shanghai,0.04898273796,0.1918911384,0.14947309728,0.02171399724,0.030803577479999993,0.010604510279999998,2.0709093646799994,0.17320700124000002,0.02120902056,0.4883124495599999,0.028783670759999994,0.060597201600000004,0.06766687512,0.10049035932,,0.9246123010799998,0.07271664191999999,0.046457854560000005,0.023733903959999997,0.04898273796,0.13432379687999998,0.09493561583999996,0.0201990672,0.05100264468,0.03181353084,0.03433841424,0.006564696839999999,0.00555474348,0.00302986008,0.0015149300399999995,0.07069673519999999
Jiangsu,0.11574456119999997,0.42008467212,0.5439994376399999,0.036085069080000004,0.06263823311999997,0.016340408639999998,,0.18451044756,0.03199996691999999,1.5673175287199996,0.0408510216,0.09668075111999998,0.08578714535999997,0.1668083382,1.6891897431599996,0.96067985796,0.09736160148,0.035404218719999984,0.02655316404,0.06263823311999997,0.13617007199999998,0.10212755399999998,0.038808470519999985,0.061957382759999985,0.0374467698,0.06399993383999998,0.00953190504,0.007489353959999999,0.00544680288,0.00136170072,0.08782969644
