,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Hubei,Hainan,Shanghai,Anhui,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.69491379508,0.41152643891999996,0.31002888672,0.30326238324,0.23436707508,0.22083406811999998,0.19499832755999996,0.18515614068,0.16239608351999998,0.14394198311999998,0.13102411283999998,0.11564569583999998,0.09903700548000001,0.0984218688,0.09473104872000002,0.09411591204,0.09165536532,0.07750722168,0.07627694832000001,0.07197099155999999,0.06458935140000001,0.05351689116,0.05105634444,0.0399838842,0.03629306412,0.033217380719999995,0.01968437376,0.01783896372,0.010457323559999999,0.00246054672,
Tianjin,0.8870463576000001,0.1445490522,,0.06464305440000001,0.02980763064,0.03627193608,0.034655859719999994,0.04453188192,0.032321527200000005,0.02011117248,0.016879019759999996,0.014365123200000001,0.022445505,0.016699455720000003,0.01041471432,0.01490381532,0.02029073652,0.009516894120000001,0.015622071479999998,0.00915776604,0.00915776604,0.007362125639999998,0.005566485239999999,0.005746049279999999,0.008080381800000001,0.0035912808000000004,0.0007182561599999999,0.00251389656,0.0008978202000000001,0.00017956403999999998,0.30436104779999995
Hebei,,0.90948469248,0.88377009552,0.4161704508,0.10082828808000001,0.1793254788,0.43038114912,0.22872457296,0.22466437344,0.0981214884,0.07240689144000001,0.11571568632000001,0.05954959296,0.07511369112,0.041278695119999986,0.03857189544,0.08188069031999999,0.04466219472,0.048722394239999994,0.033834996,0.041278695119999986,0.03112819632,0.030451496400000007,0.02977479648,0.02300779728,0.02165439744,0.01150389864,0.01556409816,0.0067669992,0.00135339984,2.4591275092800005
Shanxi,0.4286584670400001,0.13709855232,0.03855896784,0.35131504032,0.04554919008,0.07463753424,,0.0214216488,0.18783403631999998,0.0372060216,0.05501981376,0.388972044,0.007892186399999999,0.03765700368,0.025705978559999995,0.01600986384,0.02999030832,0.019617720480000003,0.006990222240000001,0.018039283200000002,0.029313835200000006,0.0191667384,0.01059807888,0.010823569920000001,0.02209812192,0.012852989279999998,0.0076666953600000014,0.0135294624,0.00405883872,0.00090196416,0.191667384
Inner Mongolia,0.23666569956,0.06346859652,0.02738586672,0.04237407756,0.02109451896,0.033122095559999995,0.16413016067999994,0.22445308332,,0.01776380544,0.029976421680000007,0.22001213196,0.1230513606,0.01239765588,0.01350789372,0.00851182344,0.00980710092,0.00814174416,0.1221261624,0.01239765588,0.01406301264,0.007771664879999998,0.0046259909999999994,0.00425591172,0.06642923076,0.005551189200000001,0.006476387399999999,0.15913409039999998,0.00351575316,0.00018503964,0.18466956072000001
Liaoning,0.23909473728,0.15760204344,0.03916847016,0.04659377256,0.06348633552,0.08223522408,0.02153337696,,0.1986268392,0.05271964704,0.031186270079999998,0.02580292584,0.16094342952,0.02023394904,0.0361983492,0.02357533512,0.018563256,0.01782072576,0.32578514280000004,0.027102353760000003,0.01782072576,0.015036237360000003,0.010209790800000002,0.013922442,0.00575460936,0.008539097760000001,0.003712651200000001,0.0035270186400000007,0.00167069304,0.00055689768,0.18266243903999999
Jilin,0.056588586120000006,0.06619360176,0.01353960036,0.016085508119999998,0.0341383086,0.037610001,0.00786916944,0.35249250168,0.11375578764000001,0.02569052376,0.01481255424,0.01145658492,0.22704868296000005,0.00786916944,0.021755939040000002,0.01307670804,0.00960501564,0.01122513876,,0.00844778484,0.006364769399999999,0.007290554040000001,0.00509181552,0.006364769399999999,0.0026616308399999996,0.00185156928,0.0017358462,0.0005786154,0.00046289232,0.00023144616,0.07359987888000001
Heilongjiang,0.06212657880000001,0.09014214924000002,0.018403533720000004,0.020982372840000003,0.049701263040000006,0.04055810616,0.00726763752,0.18766915596000008,0.10561518396,0.031063289400000006,0.015941914560000003,0.01019813652,,0.00961203672,0.034697108160000004,0.018169093799999998,0.01137033612,0.012308095800000002,0.2883611016000001,0.011721996000000002,0.010667016360000002,0.00843983712,0.006798757680000001,0.01019813652,0.0018755193600000005,0.00304771896,0.0017582994000000002,0.00222717924,0.00070331976,0.00023443992000000006,0.09752700672
Shanghai,0.04273310519999999,0.14214380255999998,0.016193597759999998,0.12909895991999998,0.15563846735999995,1.89060253848,0.022491108,0.031037729039999993,0.009446265359999996,0.9716158656,0.06792314615999999,0.035086128479999985,0.018892530719999998,0.06657367967999997,0.03733523928,,0.3373666199999999,0.058476880799999985,0.015293953439999997,0.07736941151999999,0.03913452791999999,0.0404839944,0.09266336495999998,0.026539507439999995,0.013494664799999995,0.026539507439999995,0.002698932959999999,0.0044982216,0.004048399439999999,0.0004498221599999999,0.10975660703999997
Jiangsu,0.13938200064,0.7738604827200001,0.028311968880000007,0.39273782471999996,0.24391850112,,0.06097962528,0.06388341696000001,0.02105248968,1.14481986984,0.10235865672,0.10308460464,0.03484550016,0.15680475072000002,0.04283092728,1.5702253509600002,1.4845634963999998,0.09655107336000003,0.0290379168,0.11034408384,0.0762245316,0.07041694824,0.13575226104000002,0.047186614800000005,0.031215760560000003,0.05589798984,0.01161516672,0.010163270880000002,0.0072594792,0.00290379168,0.19818378216
Zhejiang,0.08172351144000001,0.19467893807999997,0.01717755336,0.27536138568,0.28316936448,1.0879117128,0.0312319152,0.04736840472,0.014054361840000001,,0.12180446927999998,0.06090223463999999,0.026026596000000003,0.16448808672,0.04008095784,0.7750720288799999,0.57883149504,0.14835159720000002,0.0208212768,0.28681308792,0.078079788,0.08953149024,0.38987840807999996,0.05049159624,0.02134180872,0.15928276752,0.00832851072,0.00832851072,0.004684787279999999,0.00104106384,0.12648925655999999
Anhui,0.06252475536,0.18217089216,0.01698203232,0.42184912104,0.11694444984,1.49403288888,0.0212275404,0.017367987600000002,0.008105060879999999,0.5743014566400001,0.036665751600000004,0.040911259680000006,0.012350568959999999,0.12427760015999999,0.019297764,0.28136139911999997,,0.04863036528,0.0057893292,0.057893292,0.025859003760000002,0.02277136152,0.11887422624000002,0.02006967456,0.009262926719999998,0.01659607704,0.004631463359999999,0.0034735975200000002,0.0027016869600000005,0.00038595527999999997,0.08645398272000003
Fujian,0.0251811504,0.04910324328,0.00683488368,0.06421193351999999,0.39192661944,0.10540110096,0.013310036640000002,0.01870599744,0.00467649936,0.2904825563999999,0.05809651128000001,0.02302276608,0.0098925948,0.058456242,0.02248317,0.06547099104,0.0512616276,0.06673004856,0.005395960799999999,,0.04640526288,0.035973072,0.2095431444,0.04298782103999999,0.008993268,0.05162135832,0.00413690328,0.00287784576,0.00197851896,0.00071946144,0.056297857679999994
Jiangxi,0.021876087960000002,0.043526649239999986,0.005412640319999999,0.05435192988,0.5121710902800001,0.12336309396,0.00766790712,0.0090210672,0.0036084268799999996,0.3766295556,0.027063201600000003,0.01781660772,0.00496158696,0.15764314931999998,0.02119950792,0.08164065816,0.10825280640000001,0.27897650315999994,0.0029318468400000002,0.20951428572,0.02796530832,0.02503346148,,0.047811656159999986,0.005638167,0.02548451484,0.0018042134399999998,0.0018042134399999998,0.0006765800399999999,0.00022552667999999998,0.047360602800000005
