,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Hubei,Hainan,Shanghai,Anhui,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Shandong,0.7484925268800001,,0.13037651783999998,0.6387511413599999,0.1500736896,0.8751172024799999,0.11302424748,0.13881816287999998,0.05252579136,0.23871096251999996,0.08160256871999999,0.10598954328,0.07785072648,0.0984858588,0.04127026464,0.11630710944,0.21854481048000002,0.061436416679999994,0.05205681108,0.0656572392,0.058153554719999986,0.04736700828,0.05440171248,0.04549108716,0.0257939154,0.030483718200000006,0.01500736896,0.01313144784,0.00797266476,0.00187592112,0.37612218456
Henan,0.34197193979999996,0.5931707760000001,0.0462852954,,0.27456616980000004,0.4098270816,0.2925410418,0.0372978594,0.0274116798,0.2965853880000001,0.08583001380000001,0.2682749646,0.0166267566,0.377472312,0.053924615999999995,0.1082986038,0.4412831076000001,0.1136910654,0.013481153999999999,0.0745957188,0.061563936600000015,0.050779013399999996,0.062912052,0.047633410800000005,0.040443462000000006,0.0319053978,0.0274116798,0.015728013,0.013481153999999999,0.003594974400000001,0.25749004140000004
Hubei,0.0470540016,0.07349155919999999,0.0092167632,0.320161248,0.31797833039999995,0.14261728319999994,0.0235270008,0.017463340799999998,0.007518938399999999,0.14504274720000002,0.07979776559999999,0.0841636008,0.010186948799999998,,0.0293481144,0.058211136,0.1149669936,0.3446584344,0.006791299200000001,0.058696228799999986,0.1460129328,0.035169228,0.15789770639999998,0.0465689088,0.012612412799999998,0.031773578399999995,0.0055785672,0.003638196,0.0031531032,0.0014552784,0.08610397199999999
Hunan,0.03172365648,0.04685787791999999,0.0058208544,0.08032779072,1.0128286655999998,0.08935011504000001,0.01397005056,0.013387965120000001,0.00552981168,0.13300652304000002,0.0567533304,0.03172365648,0.0101864952,0.33004244448000003,0.043656408,0.04016389536,0.043947450719999996,,0.00698502528,0.06432044111999999,0.0756711072,0.05995480032000001,0.24360275664,0.21158805744000003,0.00844023888,0.16181975231999998,0.00523876896,0.0032014699199999995,0.00261938448,0.00116417088,0.07043233824
Guangdong,0.07558855199999999,0.12275064,0.020673792,0.230641992,,0.240978888,0.033594912000000005,0.051038424000000006,0.0161514,0.272635632,0.25777634400000005,0.096262344,0.040701528,0.298477872,0.20286158400000004,0.124042752,0.10013868,1.012369752,0.031010688,0.412829784,0.16409822400000001,0.16926667199999998,0.516198744,1.281775104,0.02261196,0.20673792,0.010982951999999999,0.008398728000000001,0.005168448,0.002584224,0.207383976
Guangxi,0.02234075904,0.032812989839999994,0.00488704104,0.032812989839999994,1.2946004431200002,0.040725342000000005,0.01000679832,0.012101244479999999,0.0030253111199999997,0.048404977919999995,0.054688316400000006,0.013497541919999998,0.00884321712,0.040259909520000005,0.047939545439999995,0.020246312880000002,0.02001359664,0.1989723852,0.00442160856,0.039794477040000005,0.036303733440000006,0.10984206528,0.036769165920000006,,0.005817905999999999,0.14079332519999999,0.0016290136800000007,0.0025598786400000003,0.0016290136800000007,0.00069814872,0.035605584720000014
Hainan,0.029666285639999998,0.026300453760000002,0.00907991856,0.02810078244,0.17181397620000002,0.03076213788,0.01808156196,0.0238739238,0.00853199244,0.027787681800000002,0.05534053812000001,0.019960165800000002,0.01815983712,0.01823811228,,0.02450012508,0.014089528799999999,0.03686760036,0.01158472368,0.01659433392,0.027474581160000004,0.01518538104,0.011662998840000001,0.03968550612,0.004774784759999999,0.01581158232,0.00399203316,0.0046965096,0.0013306777199999999,0.00015655032,0.06692526180000001
Chongqing,0.02504055384,0.035907209280000005,0.0059057910000000005,0.04228546356000001,0.15118824960000002,0.06543616428,0.01842606792,0.00992172888,0.00614202264,0.07063326036,1.01863083168,0.053624582280000006,0.0054333277200000005,0.16040128356000002,0.04039561044,0.036143440920000006,0.02456809056,0.07937383104,0.003307242960000001,0.0389782206,,0.08480715876,0.01984345776,0.038269525680000006,0.013228971840000004,0.24024757788000003,0.008504339040000001,0.0035434746,0.004015937880000001,0.0054333277200000005,0.048191254560000014
Sichuan,0.048156612479999986,0.06490673856000001,0.012562594559999998,0.08165686463999998,0.24497059392,0.09456842016,0.02826583776,0.02303142336,0.01186467264,0.10015179552,,0.19053268415999997,0.012213633599999996,0.08095894271999997,0.0628129728,0.048156612479999986,0.033151291199999995,0.06176608992,0.008026102079999998,0.061068168,1.0950394924799998,0.45330028703999997,0.025823111040000003,0.06595362144,0.07816725504000001,0.2721895488,0.025823111040000003,0.00977090688,0.02826583776,0.043271159039999986,0.1169019216
Guizhou,0.0122227056,0.0209532096,0.0025221456,0.0269675568,0.2359176192,0.04539862079999999,0.006014347199999999,0.004462257599999999,0.0025221456,0.13580784,0.2708396352,0.0180430416,0.0019401120000000001,0.0296837136,0.0234753552,0.0211472208,0.0149388624,0.17907233760000002,0.0019401120000000001,0.049472856,0.26773545600000004,0.3241927152,0.031623825599999995,0.1722819456,0.0038802240000000003,,0.0017461007999999998,0.0019401120000000001,0.0005820335999999999,0.0007760448,0.0283256352
Yunnan,0.02003755644,0.026495942400000003,0.005630387760000001,0.037259919,0.16212204755999998,0.04338710568,0.011591974799999998,0.01225437336,0.0049679892,0.06590865672,0.44413823448,0.0273239406,0.0069551848800000005,0.030635933400000006,0.017387962200000003,0.02748954024,0.015566366159999998,0.06027826896000001,0.005630387760000001,0.030635933400000006,0.08644301207999999,,0.02020315608,0.11625094728,0.00645838596,0.30934012751999995,0.00397439136,0.0014903967600000002,0.0018215960400000005,0.0049679892,0.04587110028
Tibet,0.00183779604,0.0012311449199999998,8.921339999999999e-05,0.005620444199999999,0.0035863786799999993,0.0031938397199999997,0.0010527181199999998,0.0012311449199999998,0.00032116823999999995,0.0012311449199999998,0.07936424063999999,0.007708037759999999,0.00041038163999999985,0.002676402,0.0006423364799999999,0.0006423364799999999,0.0010348754399999995,0.00192700944,5.352803999999999e-05,0.0011597742,0.010527181200000001,0.009849159359999998,0.0007672352399999999,0.0009278193599999998,0.0069586451999999995,0.0013917290399999998,0.0008742913199999997,0.00033901091999999995,0.027656153999999995,,0.00387186156
Shaanxi,0.0840160836,0.08572075775999999,0.01071509472,0.25229177567999994,0.09667937736,0.09960167591999998,0.30976364735999995,0.022891338719999998,0.20748319776,0.05942007071999999,0.22233821544,,0.009984520079999998,0.09278297928,0.030684134879999995,0.02630068704,0.03604168224,0.03969455544,0.007062221519999998,0.02459601288,0.06136826975999999,0.03044061,0.018264366,0.01875141576,0.29685682872,0.02094313968,0.021673714319999995,0.10666389744,0.0255701124,0.00438344784,0.10861209648
Gansu,0.018038064960000003,0.02337828156,0.00439084476,0.04319641872,0.030142555919999998,0.03524542956,0.014952606480000004,0.00545888808,0.045332505360000004,0.02444632488,0.12246896736,0.34841946528000006,0.0023734296,0.01578330684,0.0100870758,0.01162980504,0.00973106136,0.00925637544,0.0017800722000000004,0.0094937184,0.02242890972,0.0094937184,0.00498420216,0.007950989160000001,,0.008425675079999998,0.047824606440000014,0.12828386988,0.13504814424000006,0.00510287364,0.02978654148
Qinghai,0.0060665241600000004,0.006791454720000001,0.0006486220800000003,0.014994616320000003,0.007783464960000002,0.00805054464,0.0036246528000000006,0.00125908992,0.003395727360000001,0.0053034393599999995,0.03773454336,0.033384960000000005,0.0006104678400000003,0.0041206579200000005,0.0029378764800000005,0.0035864985600000004,0.003472035840000001,0.0030523392000000003,0.00011446272,0.002976030720000001,0.007516385280000002,0.0026707968000000003,0.0012209356800000006,0.0014880153600000006,0.16261337088000002,0.0020221747200000004,0.016520785920000003,0.0093477888,,0.01854296064,0.0091570176
Ningxia,0.014539979519999998,0.013338328319999999,0.0018024768,0.02295153792,0.012437089919999998,0.0147202272,0.0108148608,0.0022230547199999996,0.13446476927999998,0.00955312704,0.01766427264,0.10886959872,0.0017423942399999994,0.006789329279999999,0.00582800832,0.00498685248,0.0063086688,0.004626357120000001,0.00048066048,0.003004128,0.00997370496,0.0036049536,0.00198272448,0.0034847884799999998,0.14762284992,0.00204280704,0.006488916479999999,,0.0072099072,0.0003004128,0.02000749248
Xinjiang,0.0156550158,0.0181620468,0.0009471006,0.0553218174,0.016434981,0.0198334008,0.008635329,0.0046240794,0.0109195128,0.0132594084,0.08295487019999999,0.0449037108,0.0022841838000000002,0.007855363800000001,0.008802464400000001,0.0030641490000000004,0.006629704199999999,0.008078211,0.0017827776,0.0074653812,0.0229532616,0.005961162600000001,0.0018384894,0.0026184545999999994,0.1215631476,0.0035098434,,0.0079667874,0.0255717162,0.0009471006,0.025627427999999997
Taiwan,3.224124e-05,6.448248e-05,,6.448248e-05,0.00025896995999999997,0.00012931164,,9.70704e-05,6.448248e-05,0.00012931164,,3.224124e-05,,,,0.0008420857199999998,,3.224124e-05,6.448248e-05,0.00126330192,,,,,,,3.224124e-05,,,,
Hong Kong,,,,,0.02297148984,3.1084559999999994e-05,,3.1084559999999994e-05,,6.456024000000001e-05,,,,,3.1084559999999994e-05,0.00016020504000000002,,,,0.00028932552000000004,3.1084559999999994e-05,,,3.1084559999999994e-05,,,,,,,0.00012912048000000002
Macau,0.0008694961199999999,0.0014154587999999995,0.00022242924,0.00066728772,0.1761235164,0.00238605912,0.0006066251999999999,0.0013143546,8.088335999999999e-05,0.0022242924,0.0014154587999999995,0.0004044168,0.00044485848,0.0016783297199999998,0.0006470668799999999,0.0023456174399999995,0.00032353343999999996,0.001516563,0.00012132503999999997,0.00157722552,0.00024265008,0.00048530016,0.00054596268,0.00194120064,,0.00024265008,2.0220839999999997e-05,6.0662519999999985e-05,2.0220839999999997e-05,,0.0018400964399999998
