,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Zhejiang,Jilin,Guizhou,Sichuan,Gansu,Heilongjiang,Shanghai,Jiangxi,Fujian,Yunnan,Chongqing,Guangxi,Hainan,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6290598153600001,0.09144570816,0.06864129215999999,0.05381842176,0.040363816319999996,0.02918965248,0.02257637184,0.020181908159999998,0.019725819840000002,0.01869962112,0.01778744448,0.0176734224,0.01345460544,0.012086340479999999,0.01037600928,0.01014796512,0.009805898879999999,0.00946383264,0.0071833910400000015,0.006955346879999999,0.00672730272,0.004902949439999999,0.00364870656,0.00296457408,0.002850552,0.0026225078399999997,0.0026225078399999997,0.00148228704,0.0007981545600000003,0.00022804416,
Tianjin,0.3280276051200001,,0.05690212416000001,0.01686894336,0.02071946304,0.01754125632,0.00195581952,0.017724614399999998,0.00605081664,0.004094997120000001,0.01320178176,0.008312232959999999,0.00763992,0.00513402624,0.00140574528,0.00556186176,0.0031782067200000004,0.00385051968,0.004094997120000001,0.00238365504,0.0017724614399999997,0.0017113420800000006,0.00128350656,0.0007945516800000001,0.0006723129600000001,0.00116126784,0.00018335808,0.00128350656,0.00042783552000000014,0.00018335808,0.07572688704000001
Hebei,,0.4951992672000001,0.4932661536000001,0.17398022400000004,0.31219784640000003,0.0995553504,0.030285446400000002,0.15110504640000005,0.043817241600000015,0.07635798720000002,0.14659444800000002,0.05992652160000001,0.0818351424,0.01610928,0.0196533216,0.0318963744,0.021908620800000004,0.0083768256,0.026741404800000004,0.021908620800000004,0.016431465600000004,0.0167536512,0.011920867199999999,0.014176166400000002,0.0035440416000000006,0.0090211968,0.002255299200000001,0.0086990112,0.006443712000000001,0.0006443712000000001,0.8154517536
Shanxi,0.244714932,0.0521211024,0.1148888934,0.14301522,,0.011917935,0.014460427800000003,0.1546153434,0.0220879062,0.3108197448,0.1590647058,0.0379784862,0.06022529820000001,0.0030192102,0.011123406,0.0247893048,0.013030275599999998,0.0025424928,0.022246812,0.0093754422,0.009693253800000001,0.011759029200000002,0.008580913200000002,0.0066740436,0.0023835870000000004,0.006832949400000001,0.0027013986000000005,0.006991855200000001,0.0076274783999999984,0.0006356232,0.11043953100000002
Inner Mongolia,0.12436535232000001,0.03391782336,0.03666117672,0.006567421679999999,0.09011500127999998,0.15495789888,0.0036578044799999996,,0.00382406832,0.09003186936,0.01188786456,0.01072401768,0.01138907304,0.05669596944,0.00216142992,0.0049879152,0.02103237576,0.03042628272,0.00532044288,0.0029927491200000002,0.00133011072,0.00199516608,0.00157950648,0.0017457703199999998,0.0007481872800000001,0.00191203416,0.002078298,0.04879843704,0.0029096171999999994,0.00016626384,0.06492602952000001
Liaoning,0.12134805695999999,0.03913925184,0.06902591904,0.013428529919999998,0.00949822848,,0.00540416448,0.11291428512,0.01113585408,0.0056498083200000005,0.03995806464,0.032179343039999996,0.0393030144,0.14673125375999999,0.0040940640000000006,0.01080832896,0.0044215891200000005,0.02775775392,0.018750813119999998,0.00687802752,0.01039892256,0.0031933699200000004,0.004667232959999999,0.004503470400000001,0.00278396352,0.0036846576000000007,0.0008188128,0.0012282192,0.00098257536,0.00016376256,0.06632383680000001
Jilin,0.03437838288,0.02506635072,0.04474460736000001,0.0056809252800000005,0.002635480800000001,0.19215583344,0.0030454444800000003,0.046911558240000005,0.004743865440000001,0.0036896731200000005,0.02524204944,0.020088220320000003,0.034495515360000006,,0.0021669508800000003,0.005388094079999999,0.00093705984,0.06020609472,0.011596115520000002,0.0040996368,0.006149455200000001,0.00286974576,0.0024597820800000003,0.0021083846399999997,0.00251834832,0.003806805600000001,0.00029283120000000003,0.00035139744,0.00035139744,0.00017569871999999998,0.03625250256
Heilongjiang,0.0238665042,0.0211646358,0.0443352042,0.0054037368,0.0032340546000000003,0.06488577899999999,0.002456244,0.030088989,0.0024971813999999995,0.0018012456,0.0183808926,0.016907146199999997,0.0281239938,0.06967545480000001,0.00204687,0.0065090466,0.0006549984,,0.0091290402,0.002456244,0.0029474928,0.0022924944,0.0016784333999999995,0.0016374959999999998,0.0023743691999999995,0.0009006228,0.0001228122,0.0004503114,0.0001637496,0.000204687,0.0422473968
Shanghai,0.007448005079999999,0.0026225370000000003,0.028323399600000007,0.041121380160000005,0.004300960679999999,0.00723820212,0.00986073912,0.00094411332,0.07122810492000001,0.005874482880000002,0.4996457492400001,0.021609704880000004,0.23896557144,0.0035666503200000007,0.00881172432,0.012797980559999998,0.008392118399999999,0.0023078325600000005,,0.026435172960000003,0.014056798320000004,0.006608793240000001,0.004615665120000001,0.0036715517999999997,0.00251763552,0.0035666503200000007,0.00041960592000000015,0.0008392118400000003,0.00094411332,,0.0070283991600000005
Jiangsu,0.05032891584,0.02067080472,0.36518421672,0.15278420880000002,0.031755149280000006,0.02007165096,0.029957688,0.007788998879999999,0.5395379608800001,0.032354303040000004,,0.08268321887999999,0.6372000237600001,0.008388152640000002,0.02037122784,0.031155995519999997,0.0359492256,0.0038944994399999996,0.7004107454399999,0.06530775984000001,0.04164118632,0.01437969024,0.013480959600000002,0.01437969024,0.00659069136,0.008388152640000002,0.00179746128,0.00479323008,0.004194076320000001,0.0005991537600000001,0.0434386476
