,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Zhejiang,Jilin,Guizhou,Sichuan,Gansu,Heilongjiang,Shanghai,Jiangxi,Fujian,Yunnan,Chongqing,Guangxi,Hainan,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.01814201064,0.008838415439999999,0.05628675096,0.06559034616000001,0.00899347536,0.0139553928,0.0558215712,0.00356637816,0.14250006648,0.012094673759999999,0.37121344848000004,0.10683628488,,0.008063115840000001,0.05365073232,0.02977150464,0.011009254319999998,0.0023258988,0.25615898784,0.13118069232,0.09334607184,0.024189347519999998,0.02031284952,0.02139826896,0.00558215712,0.005427097199999999,0.00093035952,0.0017056591199999997,0.00294613848,0.00062023968,0.01442057256
Anhui,0.034749855360000005,0.021236022719999997,0.09459682847999999,0.41120662176,0.015444380159999998,0.014800864319999997,0.031532276160000004,0.006435158400000001,,0.014800864319999997,2.4357074544,0.20399452127999998,2.18666682432,0.0038610950399999996,0.023810086080000004,0.0193054752,0.010296253440000002,0.0012870316800000002,0.5283265046400001,0.12612910464000002,0.10424956608000002,0.010296253440000002,0.009009221760000002,0.017374927680000003,0.004504610880000001,0.018018443520000003,,0.0019305475199999998,0.0038610950399999996,0.0006435158400000001,0.07014322656000001
Fujian,0.0121614696,0.0075285288,0.028087203600000003,0.023454262800000004,0.011292793200000002,0.011003234399999999,0.044302496399999995,0.0028955879999999997,0.0273633066,0.0073837493999999995,0.1232072694,0.4470787872,0.2442428478,0.0028955879999999997,0.0632685978,0.023164703999999998,0.0092658816,0.002171691,0.0729688176,0.1320388128,,0.033299262,0.022006468799999998,0.049659334200000016,0.0114375726,0.0053568378,0.0005791176000000001,0.0018821322,0.0018821322,0.00028955880000000004,0.0199795572
Jiangxi,0.011794733999999998,0.007548629759999998,0.02311767864,0.023589467999999995,0.00330252552,0.00377431488,0.1957925844,0.0023589468,0.07784524439999999,0.0070768403999999984,0.23872541615999995,1.8234658764,1.25779043376,0.0014153680799999994,0.058973669999999985,0.022645889279999998,0.00660505104,0.00047178936,0.15993659303999996,,0.6185158509599998,0.024533046719999996,0.01839978504,0.05803009127999999,0.015569048879999997,0.023589467999999995,,0.00094357872,0.00094357872,,0.02311767864
Shandong,0.3813763824000001,0.1527719616,,0.334880568,0.0979733232,0.0547986384,0.0238014288,0.043451445600000006,0.1131951672,0.0611641368,0.6667167672000001,0.07389513360000001,0.2692882584,0.0202035384,0.0143915616,0.0301669272,0.0174359304,0.0135612792,0.10267825679999999,0.0398535552,0.0293366448,0.0168824088,0.0107936712,0.016605648,0.0052584552000000005,0.010240149600000002,0.004151412,0.0038746512000000007,0.0052584552000000005,0.0016605647999999998,0.14723674560000002
Henan,0.19907823600000002,0.054604316159999985,0.38564298288000004,,0.16153776863999994,0.01820143872,0.09726393816,0.017632643759999997,0.6507014342399999,0.08930080872000001,1.08014162904,0.6700404628799999,1.22234036904,0.00455035968,0.0369716724,0.051191546399999996,0.034696492559999986,0.00227517984,0.26676483624,0.13025404584,0.13423561056,0.0170638488,0.0170638488,0.028439748,0.006825539519999999,0.07735611456000001,0.00511915464,0.006825539519999999,0.013651079039999998,0.0017063848799999998,0.19794064608
Hubei,0.0034221463200000005,0.0016820719199999998,0.005510235600000001,0.05881451472,0.001450062,0.00110204712,0.14164205616000006,0.00098604216,0.01844478864,0.014964639840000002,0.01780676136,0.15707071584,0.02644913088,0.0006960297599999999,0.004872208320000001,0.005626240560000001,0.00179807688,0.00017400743999999998,0.016124689440000003,0.030509304480000006,0.008352357119999999,0.00220409424,0.04680800136,0.006844292640000001,0.00034801488,,0.00046401984,0.00046401984,0.00040601736000000013,5.800248e-05,0.0038861661600000006
Hunan,0.01295186112,0.007064651519999999,0.020605233599999998,0.03296837376,0.005887209599999999,0.00470976768,,0.0017661628799999997,0.030024768960000003,0.0088308144,0.15659977535999997,3.64477146336,0.6776178249599999,0.00117744192,0.23725454688,0.030024768960000003,0.00824209344,0.00058872096,0.04650895584,0.28729582848,0.16837419456,0.06240442176,0.05769465407999999,0.2148831504,0.020605233599999998,0.09242919072000001,0.00058872096,,0.0017661628799999997,0.00117744192,0.04238790912
Guangdong,0.01243188,0.004765554,0.024034968,0.062366598,0.006423137999999999,0.010152702,0.401549724,0.004351158,0.02279178,0.013053474,0.046412352,,0.08308639799999999,0.006630336,0.13902985799999998,0.055321866,0.01139589,0.004972752,0.021962988,0.23309775,0.143588214,0.037088442,0.028178928,0.5194453859999999,0.06423137999999999,0.019269414,0.007666325999999999,0.0018647820000000002,0.002486376,0.000414396,0.020305404
Guangxi,0.00986801292,0.00128713212,0.007293748680000002,0.014587497360000003,0.00257426424,0.0034323523200000005,0.11884519907999999,0.0004290440400000001,0.006006616560000002,0.00514852848,0.017161761600000002,3.65588426484,0.07508270700000001,0.0017161761600000007,0.13128747624000006,0.03518161128,0.00257426424,0.003003308280000001,0.006006616560000002,0.043762492080000014,0.033894479160000004,0.07079226660000001,0.010726101000000002,,0.01544558544,0.005577572520000001,0.0004290440400000001,,0.0004290440400000001,,0.006006616560000002
Hainan,0.01732827168,0.0027167205600000005,0.00554357844,0.017842245840000003,0.0102794832,0.00965537172,0.012115105200000002,0.005029604280000001,0.0025698708,0.005690428199999999,0.0070855009200000004,0.107383887,0.01317976596,0.01057318272,0.019127181240000003,0.023752948680000004,0.006057552600000001,0.009912358800000002,0.00690193872,0.012041680320000001,0.00451563012,0.00231288372,0.01325319084,0.01527237504,,0.004405492800000001,0.00132164784,0.00106466076,0.00157863492,0.00011013732,0.01721813436
Chongqing,0.01195960464,0.0032992012800000005,0.01278440496,0.023919209280000003,0.0061860024000000005,0.0028868011200000013,0.14805165744000004,0.0010310004000000002,0.01938280752,0.02453780952,0.07608782952000001,0.34579753416000003,0.21795348456000005,0.0010310004000000002,0.25506949896000003,0.4111629595200001,0.007010802720000002,0.0004124001600000001,0.03897181512,0.07052042736000001,0.14392765584000006,0.06907702680000001,,0.07217002800000001,0.005773602240000003,0.06866462664000003,0.0014434005600000006,0.0012372004800000002,0.003093001200000001,0.0043302016799999996,0.010722404159999999
Sichuan,0.022071728880000002,0.0081747144,0.031881386160000004,0.10095772284,0.02084552172,0.010627128719999998,0.0899218584,0.00449609292,0.036377479080000004,0.11853335879999995,0.2023241814,0.6682829022,0.388298934,0.0020436786,0.48271688531999996,,0.0490482864,0.00163494288,0.059675415119999985,0.051909436439999984,0.14550991632000002,0.42222399876,0.8775555908399999,0.14918853779999994,0.015123221639999997,0.02697655752,0.005722300079999999,0.00163494288,0.013488278759999998,0.033925064760000005,0.0388298934
Guizhou,0.004368576240000001,0.0012481646400000002,0.0062408232,0.009049193640000001,0.0021842881200000003,0.0015602058,0.33045158844,0.00031204116000000005,0.017162263800000004,0.00592878204,0.06334435547999999,0.8016337400400001,0.5201726137200001,0.00031204116000000005,,0.1591409916,0.0031204116,0.00031204116000000005,0.02933186904,0.163821609,0.20469900096000002,0.3479258934,0.1513399626,0.25337742191999996,0.00592878204,0.0124816464,0.00031204116000000005,0.00031204116000000005,0.00031204116000000005,0.00031204116000000005,0.019346551919999996
Yunnan,0.006857706240000002,0.0012468556800000002,0.008260418880000002,0.01106584416,0.003117139200000001,0.002649568320000001,0.07449962688000003,0.0012468556800000002,0.007013563200000002,0.006701849280000001,0.038029098239999996,0.22583673504000004,0.17518322304000006,0.0017144265600000006,0.39478567968,0.32090948063999997,0.0029612822400000003,0.00046757087999999995,0.015118125120000003,0.032574104640000004,0.042548950080000016,,0.03085967808,0.13528384127999998,0.0024937113600000003,0.004675708800000001,0.0006234278400000001,0.00046757087999999995,0.00015585696000000002,0.0017144265600000006,0.006857706240000002
Tibet,0.00012939263999999995,,0.00022643712000000002,0.00022643712000000002,3.2348159999999994e-05,0.0001617408,0.00022643712000000002,,0.0001617408,0.00019408896000000002,6.469631999999999e-05,0.00035582976000000005,,,0.0003234816,0.01004285952,0.00191102976,,9.704448000000001e-05,6.469631999999999e-05,3.2348159999999994e-05,0.0018786816,0.00093809664,3.2348159999999994e-05,,9.704448000000001e-05,0.00019408896000000002,,0.007482378239999999,,
Shaanxi,0.043139984400000005,0.00793219068,0.04021759836,0.09796951296000002,0.24311468628,0.0048706434,0.02115250848,0.11091150828,0.02936302164,,0.13999620744000002,0.10437093,0.11258144316,0.0015307736400000005,0.025049023200000003,0.06999810372000001,0.11299892687999999,0.00180909612,0.02657979684,0.01099373796,0.015586058880000003,0.012385350359999998,0.021430830959999998,0.00640141704,0.0025049023200000003,0.022265798399999998,0.00264406356,0.04411411308,0.011828705400000002,0.00180909612,0.043557468120000005
Gansu,0.01156143456,0.01126498752,0.015859916640000003,0.028088357039999998,0.008374628879999998,0.0022233528,0.007337064239999998,0.03201628032,0.00830051712,0.14889052583999998,0.06914627207999999,0.035277197760000004,0.047135079360000005,0.0008893411199999998,0.005558381999999999,0.04313304432,,0.00014822352,0.02252997504,0.005558381999999999,0.01912083408,0.005261934959999999,0.01030153464,0.00326091744,0.00103756464,0.00400203504,0.0122284404,0.08337573,0.07292597183999999,0.0030385821599999995,0.022233527999999995
Qinghai,0.00041433443999999996,0.0004462063199999999,0.00118988352,0.00378212976,0.001327995,0.0005099500799999999,0.0007436771999999997,0.0014873543999999995,0.00054182196,0.005280108119999999,0.0025497504,0.0014554825199999998,0.00135986688,0.00012748751999999998,0.00035059068,0.0049507653600000005,0.06233077331999999,,0.0010942678799999998,0.00028684692,0.00041433443999999996,0.00054182196,0.0006374375999999999,0.00025497503999999995,6.374375999999999e-05,0.00012748751999999998,0.00203980032,0.00219915972,,0.008414176319999998,0.00115801164
Ningxia,0.00309828888,0.00138434184,0.0026368416,0.005295656879999999,0.00369157824,0.00037355256,0.0013403944799999998,0.05190183216,0.00228526272,0.0404315712,0.005075920079999999,0.00355973616,0.0052736832,0.00028565784,0.00103276296,0.00268078896,0.07121669687999999,0.00015381576000000002,0.00173592072,0.00063723672,0.00103276296,0.0010547366399999995,0.0007690787999999997,0.00123052608,0.00030763152000000003,0.0018677628,0.00127447344,,0.0037574992799999994,4.394736e-05,0.003933288720000001
Xinjiang,0.0011301444000000002,0.0008013751200000001,0.0028767312,0.0032363226,0.0008732934000000001,0.0009349376400000001,0.0017465868,0.00469523628,0.0008732934000000001,0.0040479717600000005,0.0029794716,0.011044593,0.00430482276,0.00034931736000000006,0.00041096160000000004,0.01081856412,0.029383754400000007,0.00028767312,0.00407879388,0.0008013751200000001,0.00099658188,0.0012226107599999998,0.00209590416,0.0005445241200000001,0.0010685001599999998,0.0001541106,,0.00135617328,0.00248631768,0.00012328848,0.00686305872
Taiwan,3.22704e-05,3.22704e-05,9.68112e-05,3.22704e-05,3.22704e-05,6.45408e-05,3.22704e-05,,9.68112e-05,6.45408e-05,0.003725886600000001,0.0028828224000000003,0.0012303090000000002,3.22704e-05,,9.68112e-05,,,0.0018461358000000003,,0.0016188984,6.45408e-05,0.0001936224,3.22704e-05,,3.22704e-05,,,,,0.0005822118000000001
Hong Kong,0.00012926628,9.401184000000001e-05,0.00022327812,0.00012926628,6.267456e-05,0.00012926628,9.401184000000001e-05,,0.00012926628,3.133728e-05,0.00022327812,0.03035799,0.00041913612,9.401184000000001e-05,3.133728e-05,0.00041913612,,,0.0009362012400000001,6.267456e-05,0.00090486396,6.267456e-05,0.00032120712,0.00025853256,0.00016060355999999998,3.133728e-05,,,,,0.0005484023999999999
Macau,0.0001272348,,3.08448e-05,,3.08448e-05,6.16896e-05,9.639e-05,3.08448e-05,,0.0001272348,6.16896e-05,0.0339524136,,,6.16896e-05,,,,0.0001272348,3.08448e-05,0.0005474952,6.16896e-05,6.16896e-05,9.639e-05,6.16896e-05,,,,,,6.16896e-05
