,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.07970902524000001,0.032009136120000004,0.19017192636,0.29749667688000003,1.3782757435200002,0.035147286720000004,0.28494407448000003,1.239569487,0.04832751924,0.015690752999999998,,0.12866417460000001,0.06401827224000001,0.18138510468,0.706083885,0.02573283492,0.17134302276000002,0.018828903600000002,0.32071899132000004,0.033264396360000004,0.08221954572000001,0.45565946712,0.08347480596000001,0.02133942408,0.15690753000000002,0.054603820439999985,0.00815919156,0.00815919156,0.0043934108400000005,0.0012552602400000001,0.13682336616
Anhui,0.06991220808,0.02640041424,0.2126700036,0.51627476736,1.8895852044,0.027867103919999997,0.12417972623999997,0.46054055952,0.020044758959999995,0.01075572432,0.7191668397600001,0.04497848352,0.054756414720000014,0.16084696823999994,,0.00831124152,0.06306765623999999,0.006844551840000001,0.06551213904,0.01564468992,0.02884489704,0.1564468992,0.02248924176,0.010266827759999998,0.020044758959999995,0.0195558624,0.004400069039999999,0.0048889656,0.0024444828,0.00097779312,0.11293510535999997
Fujian,0.02428560792,0.016323113519999998,0.042400282680000005,0.06608870352000001,0.109484298,0.01373530284,0.41982251723999997,0.10908617328000003,0.01771655004,0.008360619120000001,0.32686039512000004,0.06290370576000001,0.02428560792,0.06489432936,0.06369995519999999,0.008161556759999999,0.07245869904,0.0069671826,,0.01831373712,0.05115902652,0.23967108144,0.035632162440000004,0.011545616880000002,0.053348712480000005,0.046182467520000006,0.002786873040000001,0.0033840601200000003,0.0019906235999999997,0.0009953117999999999,0.06190839396000001
Jiangxi,0.02991619008,0.009348809399999998,0.045141393959999984,0.06303768624,0.13435574652,0.0080132652,0.5684076115200001,0.1322188758,0.00988302708,0.00480795912,0.4380584975999999,0.0320530608,0.020300271840000002,0.2030027184,0.15171782111999998,0.0034724149200000003,0.36246669588,0.00480795912,0.23826108528,0.017629183439999998,0.02590955748,,0.02243714256,0.00587639448,0.02964908124,0.048613808880000005,0.0010684353599999998,0.0016026530399999995,0.0005342176799999999,0.00026710883999999996,0.053421768
Shandong,0.8886918239999999,0.228287808,,0.7604158175999999,1.00555344,0.13751622719999998,0.14186456639999998,0.23915865600000002,0.15219187199999998,0.059789664000000006,0.26524869119999994,0.09620700480000001,0.10925202239999997,0.0989247168,0.2598132672,0.0701169696,0.07066051200000001,0.0494623584,0.0679428,0.032069001599999994,0.0500059008,0.06305091839999999,0.040765679999999985,0.026090035199999997,0.028264204799999994,0.0364173408,0.0119579328,0.0125014752,0.007066051199999999,0.0016306271999999994,0.4152663936
Henan,0.4097481487200001,0.08432811504000001,0.69138243036,,0.4756970592000001,0.37623312864,0.29839179168,0.21406367664,0.042704622360000014,0.031893325560000005,0.36866522088,0.10432901412000001,0.31947382044,0.48326496696000004,0.55299783132,0.01459525068,0.12216765384000002,0.01459525068,0.08540924472000001,0.043245187200000014,0.05621874336,0.07513851276000001,0.04540744656,0.041082927840000005,0.034596149760000014,0.04594801140000001,0.017298074880000004,0.02594711232,0.013514121000000002,0.004324518720000001,0.3032568752400001
Hubei,0.058648536,0.01994050224,0.07360391267999998,0.38033575596,0.17008075439999995,0.0234594144,0.35247770135999995,0.12022949879999995,0.021993201,0.0070378243199999985,0.17682533603999998,0.08914577471999999,0.0997025112,,0.16040374595999998,0.00997025112,0.44602211628,0.007331066999999998,0.07096472855999998,0.024045899759999996,0.16978751171999998,0.20761581744,0.035189121600000005,0.013195920600000001,0.032843180160000006,0.04134721788,0.00469188288,0.004105397520000001,0.0029324267999999995,0.0014662133999999998,0.10087548191999998
Hunan,0.0312887934,0.012186161640000002,0.04512173364,0.08727926579999999,0.09650122596,0.015479718839999997,1.06513639848,0.08826733296,0.01350358452,0.005599047239999999,0.14590458396,0.06620049971999999,0.037546552080000004,0.4133414286,0.05269691519999999,0.008233893,,0.007904537279999999,0.06718856688000001,0.03985204212,0.09123153444,0.32013375984000003,0.05664918384,0.008233893,0.19135567332000003,0.2371361184,0.00263484576,0.0046109800799999994,0.00296420148,0.0009880671599999998,0.07179954696
Guangdong,0.06915104459999999,0.0356232654,0.11734722719999995,0.230503482,0.251458344,0.036321760799999984,,0.24447339,0.0530856504,0.013969907999999998,0.28568461859999994,0.2710162152,0.11175926399999997,0.3331823057999999,0.1131562548,0.027939816,1.1273715756,0.0216533574,0.4288761755999999,0.185101281,0.16973438219999998,0.5755602096,0.1627494282,0.0223518528,0.2263125096,1.3872118643999998,0.008381944799999999,0.010477431,0.0055879632,0.0048894678,0.223518528
Guangxi,0.0196165152,0.007601399639999998,0.03334807584,0.03040559856,0.04438236563999999,0.009317844720000001,1.3746273026399998,0.03874261752,0.012750734879999998,0.00416850948,0.047324842919999985,0.05958516492,0.01422197352,0.03629055312,0.02010692808,0.005884954559999999,0.22779678276,0.00416850948,0.03776179176,0.04193030124,0.03457410804,0.03849741108,0.10200587903999997,0.00563974812,0.15644170872000002,,0.0012260322,0.0014712386399999998,0.0014712386399999998,0.0007356193199999999,0.033593282280000004
Hainan,0.02120727744,0.011857104000000002,0.019852179840000005,0.02784725568000001,0.029202353280000006,0.013821995520000002,0.15725907648,0.03089622528,0.014025260159999999,0.00589467456,0.026627667840000004,0.042143535360000005,0.016667700480000002,0.01781953344,0.012331388160000002,0.01341546624,0.0342162144,0.00806283072,0.0162611712,,0.025882364159999997,0.013076691840000002,0.012128123519999999,0.0040652928,0.015583622400000004,0.03807824256,0.0030489696000000005,0.00176162688,0.0014228524800000003,6.775488000000001e-05,0.0413304768
Chongqing,0.034175617199999994,0.0178307568,0.05438380824,0.04962893976,0.09628608672,0.01872229464,0.16523167967999994,0.08647917047999999,0.01693921896,0.00653794416,0.09271993536,1.24458682464,0.07815815064,0.2095113924,0.03328407936,0.0059435856000000006,0.10549864439999998,0.006835123439999999,0.044576891999999986,0.03744458928,,0.02496305952,0.0936114732,0.01901947392,0.29093851512,0.03744458928,0.005646406319999999,0.00832101984,0.00416050992,0.006835123439999999,0.07043148936
Sichuan,0.05710048344,0.02076381216,0.06269074056,0.08425316087999997,0.11100653423999997,0.03354154272,0.25715182752,0.09782949960000001,0.026753373360000002,0.012777730559999999,0.11140583832,,0.2615441724,0.08545107312000001,0.03354154272,0.013177034640000002,0.07067682216,0.009183993840000002,0.06229143647999999,0.059496307920000005,1.2933459151200002,0.027951285599999997,0.47477255111999994,0.09383645880000001,0.3074641416,0.06588517320000001,0.010781210159999999,0.026753373360000002,0.02874989376,0.04631927328,0.13536408311999998
Guizhou,0.011845845000000002,0.005169096000000001,0.018953352000000003,0.02756851200000001,0.051260202000000005,0.007107507000000002,0.22959401400000004,0.042645042,0.006461370000000001,0.002799927,0.147534615,0.3133764450000001,0.020676384000000003,0.03381450300000001,0.017661078,0.002799927,0.21279445200000005,0.001938411,0.05104482300000001,0.022399416,0.31919167800000003,0.029937681000000008,0.3609752040000001,0.004953717000000001,,0.17316471600000002,0.001938411,0.0010768950000000002,0.0008615160000000003,0.0008615160000000003,0.029722302000000006
Yunnan,0.02201883264,0.008388126719999998,0.02429061696,0.0340767648,0.04421241792,0.008213374079999999,0.15028727039999998,0.05714411328,0.012232684799999996,0.004368816,0.06885254015999999,0.45470636928,0.026911906560000004,0.031630227840000004,0.01782476928,0.0052425792,0.058716887039999985,0.0034950528,0.030756464639999998,0.01415496384,0.08999760960000001,0.023941111680000002,,0.005766837120000001,0.36890282304,0.12197734272,0.00297079488,0.0017475264,0.0019222790399999999,0.006465847679999999,0.042639644160000004
Tibet,0.00164595888,0.0005178297599999999,0.00168294672,0.007342086240000001,0.0032549299199999995,0.0010356595199999998,0.00660232944,0.0012945744,0.0006657811200000001,0.00040686623999999994,0.0021268007999999997,0.07872861744000001,0.008766118080000001,0.0020343312,0.00118361088,0.00031439664000000003,0.0020713190399999997,0.00022192704,0.0011281291199999998,0.00109114128,0.01139225472,0.0008692142399999999,0.00983876544,0.00540022464,0.0014795135999999998,0.0008322264000000001,0.00038837232,0.00105415344,0.02794431312,,0.0033289056000000003
Shaanxi,0.08703159696000001,0.01949733828,0.09013986828,0.28906923276,0.11557117908,0.4012495704,0.09748669140000002,0.077706783,0.023453319959999996,0.24837913548,0.06696911844000003,0.25120483668000004,,0.11105005715999998,0.044646078960000016,0.011302804800000002,0.042385518,0.007629393240000002,0.02656159128,0.02712673152,0.06583883796000001,0.01893219804,0.033343274160000005,0.31986937584,0.022605609600000003,0.017236777319999997,0.12320057232,0.02147532912,0.03136528332,0.00536883228,0.12320057232
Gansu,0.021010706639999998,0.01009605384,0.02442153564,0.04406791068000001,0.03533618843999999,0.01678127868,0.03519975528,0.02646803304,0.00559375956,0.05402753136,0.02237503824,0.1221076782,0.40206852252,0.015416947080000002,0.01200611808,0.00245579688,0.009686754359999999,0.0021829305600000004,0.01350688284,0.010232487,0.02428510248,0.00586662588,0.009686754359999999,,0.008595289079999999,0.00791312328,0.15185010708000002,0.051162435,0.17245151424000002,0.00491159376,0.040247782200000005
Qinghai,0.00763640784,0.0012875338800000002,0.006437669399999999,0.017270713080000003,0.00936791892,0.00404019252,0.00945671436,0.00670405572,0.0012875338800000002,0.00381820392,0.00546091956,0.0392919822,0.03547377828,0.004883749200000001,0.0034186244400000003,0.00053277264,0.00417338568,0.00035518176000000004,0.0032410335600000003,0.0035962153200000007,0.00670405572,0.0022198860000000003,0.0022642837200000003,0.20427390972,0.0017759088,0.00213109056,0.01136581632,0.014962031640000003,,0.019579394519999998,0.010255873320000001
Ningxia,0.013361578559999998,0.00357658416,0.013496544,0.01916509248,0.01525109472,0.012956682239999998,0.014103888479999997,0.013564026719999995,0.0022269297600000003,0.15777459936,0.009177649920000001,0.015790956479999996,0.13240109664000002,0.00661330656,0.0060734448,0.00188951616,0.00465630768,0.00128217168,0.004453859520000001,0.0047237904,0.0057360312,0.00283427424,0.00344161872,0.16620993935999998,0.0031716878399999995,0.0026993088,,0.00425141136,0.009784994399999998,0.00047237904,0.022539228480000003
Xinjiang,0.015203311200000003,0.0037514664,0.015104588400000002,0.04600482480000001,0.0176220198,0.0062688978,0.0161905392,0.0126858798,0.003850189200000001,0.0094280274,0.011797374600000002,0.0632319534,0.036280629,0.0094280274,0.0063676206,0.0019744560000000003,0.0104152554,0.0023693472,0.005084224200000001,0.006071452200000001,0.018263718,0.0031591296000000003,0.004491887400000001,0.1043006382,0.0028135998,0.0029123226000000004,0.009131859000000004,,0.02808663660000001,0.0008391438000000001,0.0199420056
Taiwan,0.00016166304000000002,,6.429780000000001e-05,0.00012920796,0.00029148336,,0.00016166304000000002,0.00116593344,3.184272e-05,6.429780000000001e-05,0.00025902828000000003,3.184272e-05,3.184272e-05,3.184272e-05,0.00012920796,3.184272e-05,3.184272e-05,3.184272e-05,0.0023649343200000004,,3.184272e-05,9.675288000000002e-05,,3.184272e-05,6.429780000000001e-05,6.429780000000001e-05,3.184272e-05,6.429780000000001e-05,3.184272e-05,,0.00019411812
Hong Kong,3.2221800000000004e-05,6.444360000000001e-05,6.444360000000001e-05,3.2221800000000004e-05,,,0.02267919,0.0007435800000000001,,3.2221800000000004e-05,6.444360000000001e-05,,3.2221800000000004e-05,3.2221800000000004e-05,,,3.2221800000000004e-05,,0.00032221800000000004,0.00012888720000000002,3.2221800000000004e-05,,,3.2221800000000004e-05,,,,,,,0.00012888720000000002
Macau,0.0008082828000000001,0.0003828708,0.000638118,0.0005104943999999999,0.0021057894,0.0002552472,0.1888403868,0.0026375544,0.0004041414,0.00012762359999999998,0.0020632482,0.0009359063999999999,0.0004041414,0.001276236,0.0007019298000000001,0.000531765,0.0015527538,0.00012762359999999998,0.0018718127999999999,0.0005104943999999999,0.0004041414,0.0007444709999999999,0.00034032960000000004,,0.000531765,0.0021696012,,2.1270600000000006e-05,,,0.0014251302
