,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.1435903656,0.5922602064000001,0.41717598479999995,0.3256710624,0.23632767359999995,0.230563584,0.22624051679999999,0.2240789832,0.2190354048,0.18949444559999998,0.151307352,0.151307352,0.133294572,0.111679236,0.10735616880000001,0.10087156799999998,0.09222543359999999,0.0698895864,0.06772805280000001,0.06772805280000001,0.0641254968,0.056199873600000005,0.0525973176,0.039628116000000005,0.0367460712,0.03602556,0.020174313600000004,0.014410224,0.008646134399999998,0.0028820447999999997,
Tianjin,1.2825205956,,0.23657874444000002,0.08334980676,0.06903721368,0.06426634932,0.03872819304,0.04658608728,0.07914022056,0.044340974639999996,0.03844755396,0.03115093788,0.02469623904,0.01936409652,0.029747742480000002,0.03311541144,0.018802818359999997,0.025257517200000003,0.0168383448,0.014312593080000003,0.01739962296,0.01010300688,0.01010300688,0.009261089640000001,0.00617405976,0.010383645959999998,0.0042095862,0.0028063908,0.0016838344799999998,,0.53293361292
Hebei,,1.3505123844,1.0108330848000002,0.4676743980000001,0.1895312034,0.5472610938,0.09927824939999999,0.07384332600000001,0.2617335666,0.27322030620000004,0.10256017500000003,0.07958669580000001,0.1247131728,0.07630477020000001,0.08779150980000001,0.05907466080000001,0.0475879212,0.0475879212,0.0336397374,0.04102407,0.0344602188,0.032819256000000005,0.032819256000000005,0.0237939606,0.0213325164,0.027896367600000003,0.0147686652,0.011486739600000002,0.006563851200000001,0.0016409628000000002,3.0095257751999998
Shanxi,0.53284392,0.06980255352,0.14493354624000002,0.3948373447199999,0.08552144915999997,,0.04635742103999999,0.05248512612,0.024777242280000004,0.21819958524,0.04502531124,0.05035375044,0.48115805976000003,0.037565496360000006,0.032769901080000004,0.006660549,0.02504366424,0.005594861160000001,0.019715225040000003,0.02504366424,0.02024806896,0.0106568784,0.014919629760000002,0.019981647,0.01039045644,0.012255410159999999,0.013853941919999998,0.006660549,0.005594861160000001,0.0013321098,0.24404251536
Inner Mongolia,0.28633528511999995,0.048477651119999986,0.06863891723999997,0.0419082498,0.03171435119999999,0.18824732748,0.024465356639999998,0.03103475796,0.2978883702,,0.02016126612,0.02537148096,0.2609638041599999,0.015404113439999997,0.013138802639999995,0.18915345179999996,0.009740836439999996,0.15109623035999994,0.011326553999999996,0.012232678319999996,0.010873491839999996,0.0058898080799999995,0.008155118879999998,0.07158382127999999,0.0056632769999999995,0.00317143512,0.19889428823999994,0.00634287024,0.0036244972799999993,0.0004530621599999999,0.21973514759999996
Liaoning,0.29189521583999994,0.08971091495999997,0.15777516635999994,0.048649202639999986,0.08993407643999997,0.0256635702,0.06315469884,0.08569400831999997,,0.25931363975999994,0.058245146279999986,0.03369738348,0.028118346479999997,0.02610989315999999,0.023208793919999998,0.18053763732,0.02097717911999999,0.3804903234,0.028787830919999993,0.032135253119999985,0.014951819159999997,0.011827558439999998,0.016513949519999998,0.004463229599999999,0.010934912519999998,0.013166527319999998,0.0033474221999999997,0.0033474221999999997,0.0017852918399999995,0.0008926459199999998,0.22182251111999995
Jilin,0.06694032456000001,0.0336102048,0.07548291827999999,0.01806548508,0.03809156544000001,0.008822678760000001,0.03066931188,0.04103245836000001,0.4310508765600001,0.14158298772,0.032489864640000005,0.015124592160000004,0.01064323152,0.011623529160000002,0.010783274040000002,0.27182253132,0.0112034016,,0.008682636240000001,0.019045782720000005,0.006161870880000001,0.006441955920000001,0.006441955920000001,0.0021006378,0.0032209779600000004,0.006441955920000001,0.00126038268,0.002240680320000001,0.0005601700800000001,0.00014004252000000006,0.08598610728
Heilongjiang,0.0809260956,0.04178628,0.092626254,0.0235396044,0.0429005808,0.011003720400000002,0.0448506072,0.039836253599999996,0.2292673896,0.15641997480000006,0.030643272000000006,0.0189431136,0.012535884000000002,0.0149037732,0.011003720400000002,,0.0133716096,0.3299723244,0.0108644328,0.031757572799999995,0.005989366800000001,0.005989366800000001,0.009053694,0.0025071768,0.0032036148,0.0072429552,0.0023678892000000003,0.0011143008,0.0005571504,0.0002785752,0.1151908452
Shanghai,0.056787029639999986,0.03489323508,0.1813079862,0.1778870808,2.84140402524,0.032840691839999984,0.21756958344,,0.06020793504,0.01915707024,1.5380390678399998,0.0992062566,0.06294465935999999,0.10673224848,0.54255559644,0.03010396752,0.09099608364,0.023262156719999996,0.1128898782,0.0376299594,0.06294465935999999,0.14162548356,0.04857685667999999,0.016420345919999996,0.03694577832,0.04241922696,0.0068418108,0.008894354039999998,0.00547344864,0.00068418108,0.18951815916
Jiangsu,0.1546244316,0.06296084639999999,0.8990438507999999,0.4286892924,,0.0731456892,0.245362122,2.444362272,0.078701058,0.0240732648,1.5073567344,0.1212922188,0.1185145344,0.17962359120000002,1.8897512868,0.031480423199999996,0.11295916560000001,0.025925054400000005,0.1222181136,0.037035792000000005,0.0731456892,0.16388337960000002,0.05925726720000001,0.0305545284,0.05833137240000001,0.040739371200000006,0.010184842800000002,0.012962527200000002,0.006481263600000001,0.0018517896,0.22591833120000002
