,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
AQI,27.66666666666667,54.72222222222224,50.27844065656566,58.63575757575757,59.45987847222222,59.89609990208204,46.48089726631393,38.73435363247863,30.06083333333333,34.351641865079365,31.044108495670997,41.46328125,28.525540123456786,33.79648358585859,44.31522548010974,44.76044526143791,37.99116452991453,37.68365504535148,28.547027867965372,43.68617311507937,27.274166666666666,75.55147058823529,72.67221395502644,43.937222222222225,52.49443824404762,29.109201388888888,57.357231570512816,140.06954059829062,53.31106770833333,80.20548611111113,177.27056671626985
PM2.5,16.35763888888889,37.84166666666667,32.620422979797986,36.054486531986534,28.313292824074068,40.69208423520923,30.931867283950616,24.364775641025638,18.644166666666667,21.746682925485008,18.709715458152953,26.21935763888889,12.71875,18.59941287878788,27.399853395061726,28.152697440087145,22.44714743589744,23.4559552154195,15.319436477873975,28.5226314484127,12.224166666666669,54.75,52.10310019841271,29.674490740740744,35.121285962301585,11.405208333333334,39.718115651709404,60.809070512820504,22.061067708333333,41.08902777777778,75.6222904265873
PM10,22.76736111111111,45.569444444444436,49.724116161616166,60.940420875420884,66.69311342592593,56.44990594722737,42.536265432098766,33.32767094017094,23.47083333333333,30.48893711419753,26.81716495310246,36.50182291666667,21.85216049382716,29.828630050505055,43.10700445816187,39.37062130407718,32.89931623931624,32.99331065759637,23.01740395021645,38.9539310515873,22.192083333333336,75.87009803921569,74.8288277116402,41.078240740740746,45.722780257936506,20.910937499999996,50.233186431623935,210.84855769230768,59.86276041666666,106.875,220.72806299603175
SO2,2.861111111111111,12.394444444444444,15.160132575757576,34.57505892255892,17.45364583333333,23.788381261595543,16.05145502645503,11.299786324786327,7.804166666666665,8.348859126984125,5.669809704184706,8.128038194444445,5.728163580246912,8.375694444444441,12.619135802469135,8.261842514783693,8.83911324786325,6.0541950113378675,7.2415591931216925,8.312065972222223,5.0337499999999995,9.029411764705884,10.706522817460318,11.316666666666668,7.061383928571429,9.67829861111111,11.601469017094015,19.0099358974359,14.46953125,18.923611111111114,14.178224206349205
NO2,31.14236111111111,42.975,31.44955808080808,36.03132996632997,19.424189814814813,31.964025458668306,20.3848544973545,11.332532051282053,26.625,17.95268752755732,12.744327200577201,19.761848958333335,7.931944444444444,10.581502525252525,21.27320816186557,16.265773809523807,11.987617521367524,14.276884920634924,12.098742634680132,13.20455109126984,4.7837499999999995,28.678921568627448,18.3546875,8.731018518518518,9.899987599206348,8.9265625,28.37256944444444,19.21185897435897,16.00989583333333,21.9375,20.700409226190477
O3,37.826388888888886,40.197222222222216,49.817929292929286,43.13574915824916,58.90167824074074,44.43878839414554,55.63714726631393,64.9926282051282,64.8875,63.59704861111111,66.67688943001443,70.18355034722222,75.10848765432098,66.44801136363635,62.2377743484225,68.8018615779645,67.65412393162393,59.040440759637185,69.29395968614719,69.12394593253968,84.26083333333332,39.11029411764706,46.54289847883598,57.298611111111114,61.75248015873015,68.58628472222222,50.66243322649572,63.3909188034188,68.69479166666667,62.42361111111112,62.489893353174594
CO,0.4756944444444445,1.106666666666667,1.728822601010101,1.4199031986531987,3.201163194444444,1.9888215702947847,1.7426873897707231,1.7500480769230768,0.8879166666666668,4.750741429673721,1.3751251352813854,1.7629861111111114,1.7220987654320987,1.7896243686868685,1.7762294238683127,1.7545308123249301,2.5312500000000004,1.6767467403628118,0.9956492003367003,1.8181547619047616,2.3550000000000004,0.8624999999999999,1.297791005291005,2.8292361111111113,1.6272259424603173,1.8511284722222223,1.5203098290598291,2.8614743589743594,1.4716145833333334,1.7428472222222222,1.7472557043650792
