,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
AQI,21.161805555555556,68.3625,66.2564678030303,117.39022306397305,58.061953125,90.64100526953207,129.08499559082895,78.4372061965812,45.97666666666667,42.528323757164905,45.0375248015873,35.87950086805555,58.93577160493827,40.497244318181814,40.010235066716554,78.23556644880173,37.52054487179487,30.43356717687075,52.700833333333335,52.53098958333333,28.979166666666668,52.75980392156863,59.3908201058201,33.17601851851852,37.83999255952381,36.58689236111111,84.39784188034189,66.73563034188034,47.54348958333333,77.121875,138.1805121527778
PM2.5,12.182638888888887,48.8875,46.83162563131313,88.68090067340067,39.753828125,65.83842203927024,97.80591710758377,57.6965544871795,32.08083333333333,26.826554577270727,25.74017631673882,22.021341145833333,36.701203703703705,22.233748947811446,27.077675676518272,57.519724556489265,23.667499999999997,18.934872448979586,30.400137385762385,29.96138392857143,10.66875,35.99019607843137,40.44290343915344,20.639444444444447,21.347606646825398,17.449739583333333,62.23671741452991,45.52612179487179,28.67890625,55.945763888888884,102.76243179563491
PM10,17.925,42.994444444444454,62.11944444444444,104.52204966329965,53.88140914351851,78.13998434601113,116.25621693121694,71.93378205128207,31.048333333333336,40.72119226741622,47.85115665584415,25.89537760416667,58.17476851851851,40.51611321548822,32.5699568992393,55.57238173046997,31.576602564102554,24.942695578231298,54.2054800986051,57.99283234126984,28.675,50.815686274509794,59.60904431216932,29.892083333333332,34.204650297619054,32.3984375,75.4329594017094,71.00870726495725,44.4296875,76.38819444444444,151.65313740079367
SO2,4.317361111111111,10.136111111111113,15.94217171717172,27.70630892255892,21.492433449074074,20.62665075499897,25.047751322751324,26.234102564102557,6.860833333333334,7.819475446428572,6.652180284992785,7.047200520833334,7.969444444444442,13.340702861952861,7.78308821237062,9.112651727357608,7.492040598290599,5.770763888888888,9.245192700817702,11.228943452380951,3.3916666666666666,7.207843137254902,9.658449074074074,12.157361111111111,10.36201636904762,7.631944444444445,12.654927884615386,18.856143162393163,13.30078125,18.54375,14.084759424603178
NO2,18.727083333333333,54.60833333333334,36.93589015151515,38.46348484848485,29.59790219907407,27.46002274015667,37.15573192239859,31.452478632478634,50.03583333333333,33.86536527226631,36.87386138167388,39.41516927083333,34.59297839506173,27.003960437710433,25.80926354595336,33.78829365079364,30.873130341880344,22.8380399659864,35.83803932178932,24.83918650793651,11.089583333333334,39.07549019607843,33.91569113756614,19.675185185185185,19.653373015873015,20.404513888888886,33.98763354700854,32.840865384615384,25.11328125,35.53819444444444,50.78221726190476
O3,50.88333333333335,21.319444444444443,35.72708333333333,40.467798821548826,49.38363715277779,51.693545467429395,42.63988095238095,41.45883547008547,17.7025,13.576273837081127,27.584663600288597,22.672764756944446,37.82415123456789,33.80748526936027,40.41364065033046,32.59118425147837,30.85924145299145,35.3990589569161,54.43220719095719,47.030158730158725,53.65833333333333,29.815686274509808,35.99641203703705,47.26916666666667,47.340687003968256,58.9296875,39.65271100427351,45.13135683760683,62.42838541666666,46.62638888888889,35.04517609126984
CO,0.7236111111111111,2.3369444444444443,1.8502809343434343,2.137060185185185,1.9865451388888886,1.8414784322820037,1.8872883597883596,2.1171848290598287,2.2029166666666664,1.5024550126763667,1.334531700937951,1.6239800347222224,0.9326466049382716,1.928203914141414,1.1664729080932783,2.1112083722377837,2.7583920940170943,1.92578160430839,1.7221431577681574,2.251388888888889,0.9389583333333332,1.3446078431372548,1.4106200396825395,1.6609027777777776,3.045498511904762,0.9980034722222223,1.9151308760683758,1.2940277777777778,2.075911458333333,5.074791666666667,2.204649057539682
