,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
AQI,76.16180555555555,64.79361111111112,75.13297979797981,79.20498737373738,43.09436921296297,50.16811031230674,32.56512125220458,29.142382478632477,28.385,32.60236751818783,20.28286886724387,38.42296875,28.339390432098767,26.71553030303031,45.01006172839506,92.76395308123249,60.65051816239316,40.587361111111115,24.15158805315055,30.094407242063486,20.380833333333335,98.93357843137251,83.19000330687832,62.564675925925926,41.135143849206344,41.17682291666666,118.74976762820513,79.85347222222222,74.37812499999998,91.82499999999999,91.77039806547617
PM2.5,56.25347222222222,45.601944444444456,52.82462121212121,35.41932239057239,15.251649305555555,24.04403409090909,20.10603835978836,16.826351495726495,18.47,20.589844783399474,12.172858044733045,25.263980034722223,17.420563271604937,15.475662878787876,29.7402914951989,59.6473165655151,39.16418803418804,26.915718537414964,14.593355429292929,18.543241567460317,9.674583333333334,74.07573529411764,57.07358465608466,44.645740740740735,25.677306547619047,15.264496527777776,33.062558760683764,23.326014957264956,21.992708333333333,24.309722222222224,42.235789930555555
PM10,69.58333333333333,52.48055555555556,73.74952651515152,95.98354377104376,48.42065972222222,52.66880153576583,28.746064814814808,23.247516025641023,11.0875,26.561077353395063,16.231421356421357,31.496006944444442,21.768248456790122,22.536237373737375,38.609919410150894,92.31934523809524,57.889957264957275,33.775096371882086,18.350405844155844,27.219146825396827,20.0075,87.25367647058823,79.325667989418,53.167731481481475,34.10234375,45.986284722222216,167.99233707264958,112.89230769230768,103.26927083333334,132.24027777777775,113.68365575396825
SO2,2.461805555555556,5.280555555555557,11.043371212121214,11.131712962962963,8.713310185185184,9.348437822098537,10.518309082892415,12.28928952991453,4.258333333333334,6.5588190310846555,3.6431615259740258,6.759678819444444,4.287847222222221,9.321780303030303,6.652597736625514,7.731905539993776,7.344391025641026,5.09108276643991,5.651847342472342,6.740476190476189,3.749166666666667,7.667892156862746,7.941127645502646,12.47027777777778,7.733296130952381,6.152951388888889,7.181826923076923,7.446474358974358,13.628645833333334,9.086111111111112,10.905171130952379
NO2,17.947916666666668,14.369444444444444,15.791098484848487,13.261300505050507,7.2899305555555545,12.701337997320142,9.981183862433861,9.270432692307692,29.437499999999996,15.858575148809523,12.009999549062048,15.97443576388889,15.518942901234567,9.600252525252525,12.73914609053498,15.300317071272957,10.712873931623932,11.21952664399093,14.980059523809524,10.581498015873015,3.46375,23.356617647058826,14.310638227513229,9.598287037037036,9.958432539682539,7.913368055555555,9.132227564102564,4.544337606837607,10.355208333333334,7.175,16.0359623015873
O3,45.05555555555554,53.27777777777778,47.95208333333333,65.85677609427609,63.97291666666666,49.84164218717791,57.09024470899471,62.24329594017093,49.68749999999999,39.532657490079366,34.13893398268398,25.300000000000004,28.93993055555556,33.85378787878788,59.03310185185185,39.532985138499846,41.04011752136751,38.562461734693876,34.78750601250601,43.57418154761905,53.111666666666665,46.841911764705884,54.64969246031747,59.07398148148148,72.04232390873015,60.665104166666666,66.04810630341879,69.17863247863248,79.51015625,70.06041666666667,70.20837053571428
CO,0.9173611111111112,1.0408333333333333,1.6030208333333333,2.6607870370370375,3.0381423611111114,1.4280837069676353,0.9305070546737212,2.2307211538461535,0.5683333333333334,2.435757275132275,0.7851934523809522,1.215759548611111,1.1540354938271604,1.0181123737373736,2.5928763717421117,1.7789139822595705,2.3052083333333337,1.3915121882086168,0.8081921897546898,1.180121527777778,1.2195833333333335,1.7066176470588237,1.4384457671957667,1.2346296296296295,1.3919084821428571,0.8217881944444445,1.096045673076923,3.3454807692307686,1.3169270833333333,0.5039583333333333,1.5965736607142857
