,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
AQI,21.78472222222223,22.85333333333333,26.40299873737374,31.595930134680135,28.971875,68.77314561430633,37.91675485008819,31.33037927350427,41.25,36.11363846175044,24.88817527958153,40.92361111111111,15.488402777777777,24.873327020202023,30.52438271604938,32.88277797230003,30.44193376068376,23.90236394557823,15.208803811928814,22.69496527777778,19.041666666666668,46.43137254901961,49.16879133597883,28.53055555555555,47.19112723214286,33.605034722222214,38.60300213675214,50.79198717948718,49.99609375,36.61902777777778,166.7942336309524
PM2.5,6.399305555555557,9.875555555555557,11.489898989898991,12.150180976430978,13.225636574074073,14.541555864770148,19.33150352733686,18.669588675213674,24.43333333333333,21.170202615189595,10.7372959505772,24.11215277777778,5.594066358024691,11.766647727272726,12.432947530864196,14.198954442888265,14.013675213675214,10.840034013605441,4.7715833934583936,7.113740079365078,7.808333333333334,24.22549019607843,25.083325066137565,14.876620370370368,31.33975074404762,13.330729166666666,20.82398237179487,26.18173076923076,19.915364583333336,20.184999999999995,79.15456349206349
PM10,8.559027777777779,9.08222222222222,19.973358585858588,29.096759259259258,21.88275462962963,90.2132711038961,33.61466049382716,26.95666132478632,34.80833333333333,33.00132412918871,16.61068272005772,35.879644097222226,8.795833333333334,20.836092171717173,28.547196502057613,30.498576097105502,27.575587606837605,19.94078373015873,7.917216810966812,14.627951388888889,16.625,46.45588235294118,53.074462632275136,24.313194444444445,40.627157738095235,31.147135416666664,34.38180689102565,54.41442307692307,54.3515625,32.91319444444444,258.5854538690476
SO2,2.1736111111111107,4.043333333333333,6.6737058080808085,12.935290404040403,9.939409722222221,12.832758709544423,11.15943562610229,12.303082264957265,5.6875,6.333402915564374,4.281374007936508,6.778428819444445,4.256327160493827,5.106136363636363,8.155375514403293,7.573648070339247,6.651495726495726,4.602589285714285,5.853305375180375,6.056026785714286,3.8020833333333335,5.901960784313724,8.1229580026455,8.086342592592594,6.660329861111111,7.971788194444444,7.512522702991452,17.27403846153846,14.580729166666666,17.65277777777778,9.709623015873017
NO2,4.46875,9.293333333333333,8.426325757575759,10.80315656565657,8.419560185185185,7.767461605854463,9.216269841269842,10.313338675213675,14.629166666666668,8.395940117945326,7.461749188311687,11.768706597222222,7.810956790123457,4.809450757575758,9.586359739369,11.211360099595394,8.0579594017094,6.336269841269841,7.327266714766714,6.046354166666666,5.597916666666666,11.012254901960787,11.235193452380953,5.496296296296297,9.74998759920635,8.696614583333334,13.95006276709402,14.241559829059828,13.591145833333332,18.77013888888889,20.909598214285715
O3,68.00347222222221,69.98777777777778,69.22058080808081,66.10869107744107,65.86568287037038,66.95305220573077,69.94276895943563,58.424877136752144,66.34583333333333,65.72384879298941,60.80432674963925,64.63185763888889,39.81844135802469,61.97703282828283,65.51965877914952,66.2007683629007,59.05619658119657,61.09599206349206,45.821012205387206,64.42780257936508,45.46041666666666,63.683823529411775,56.6107886904762,64.1462962962963,59.69970238095238,62.22699652777777,58.1311124465812,61.932264957264955,70.83072916666666,58.6,64.74553571428572
CO,0.7097222222222221,5.2925,4.486676136363636,1.0268434343434343,1.2455787037037036,0.84651991857349,0.5674559082892416,1.4288247863247858,0.6141666666666666,3.1241378692680772,0.9107447240259742,0.9514019097222223,1.4800694444444444,1.6862752525252527,1.0574545610425239,0.7471743697478993,1.8518162393162394,1.4653776927437645,0.7960367063492063,1.4308531746031743,0.5462499999999999,1.867892156862745,1.115406746031746,3.152546296296296,0.9730964781746031,1.9609374999999998,1.071443643162393,1.361549145299145,0.6812499999999999,1.0990972222222222,1.3607229662698412
