,Reunion,Guadeloupe,Saint Barthelemy,Mayotte,Martinique,Wallis and Futuna,French Polynesia,Saint Pierre and Miquelon,New Caledonia,French Guiana,St Martin
Reunion,inf,0.00031860588958924994,0.0017636189697034428,0.0001107427403978359,0.0003086418246069186,3.4357251926485386e-05,4.5930285291820274e-05,0.000767130445556969,2.4584800114629544e-05,0.00027348628384479465,0.00013435607056338958
Guadeloupe,0.00031860588958924994,inf,0.0001942505547876511,8.07197260416849e-05,0.15077895680222927,7.04631215438649e-05,0.00011324334132100217,0.0010748520619073992,1.8769754757213535e-05,0.0039908238420605915,8.366860240249041e-05
Saint Barthelemy,0.0017636189697034428,0.0001942505547876511,inf,0.00017421859513749407,0.0001932887322227182,2.7724994657553733e-05,3.648579958925051e-05,0.0002945042819874702,3.151559279402487e-05,0.00019606991031100282,0.0002340062785900943
Mayotte,0.0001107427403978359,8.07197260416849e-05,0.00017421859513749407,inf,8.311893929011474e-05,2.02314030398811e-05,2.639760089257298e-05,7.214006692510501e-05,6.861595246499742e-05,0.0001005806871440699,0.0050591559097566486
Martinique,0.0003086418246069186,0.15077895680222927,0.0001932887322227182,8.311893929011474e-05,inf,6.996056124090473e-05,0.00011291574721972556,0.0009381672940438698,1.900049769858001e-05,0.005648500720482049,8.577501996480333e-05
Wallis and Futuna,3.4357251926485386e-05,7.04631215438649e-05,2.7724994657553733e-05,2.02314030398811e-05,6.996056124090473e-05,inf,0.0012733712322204108,5.464789136375961e-05,8.507378235503302e-06,6.370683627671218e-05,1.9971315755959664e-05
French Polynesia,4.5930285291820274e-05,0.00011324334132100217,3.648579958925051e-05,2.639760089257298e-05,0.00011291574721972556,0.0012733712322204108,inf,7.781964284087731e-05,1.0075457521929372e-05,0.00010269901481244134,2.591796201940325e-05
Saint Pierre and Miquelon,0.000767130445556969,0.0010748520619073992,0.0002945042819874702,7.214006692510501e-05,0.0009381672940438698,5.464789136375961e-05,7.781964284087731e-05,inf,1.8574272915900398e-05,0.000537754335052012,7.952781856754789e-05
New Caledonia,2.4584800114629544e-05,1.8769754757213535e-05,3.151559279402487e-05,6.861595246499742e-05,1.900049769858001e-05,8.507378235503302e-06,1.0075457521929372e-05,1.8574272915900398e-05,inf,2.0633107755994147e-05,6.77012665803853e-05
French Guiana,0.00027348628384479465,0.0039908238420605915,0.00019606991031100282,0.0001005806871440699,0.005648500720482049,6.370683627671218e-05,0.00010269901481244134,0.000537754335052012,2.0633107755994147e-05,inf,0.00010146912500620931
St Martin,0.00013435607056338958,8.366860240249041e-05,0.0002340062785900943,0.0050591559097566486,8.577501996480333e-05,1.9971315755959664e-05,2.591796201940325e-05,7.952781856754789e-05,6.77012665803853e-05,0.00010146912500620931,inf
