,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,沈阳,大连,长春,哈尔滨,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,重庆,成都,贵阳,昆明,拉萨,西安,兰州,西宁,银川,乌鲁木齐,湘潭,株洲,包头,鄂尔多斯,营口,丹东,盘锦,葫芦岛,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,玉溪,菏泽,大同,长治,临汾,阳泉,赤峰,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,芜湖,马鞍山,九江,洛阳,安阳,开封,焦作,平顶山,三门峡,宜昌,荆州,岳阳,常德,张家界,桂林,北海,柳州,三亚,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,库尔勒,寿光,章丘,即墨,胶南,莱西,平度,莱州,荣成,文登,乳山,吴江,昆山,常熟,张家港,太仓,句容,江阴,宜兴,金坛,溧阳,海门,临安,义乌,诸暨,信阳,周口,漳州,晋城,朔州,晋中,运城,忻州,吕梁,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,鹤壁,新乡,濮阳,许昌,漯河,南阳,商丘,驻马店,黄石,十堰,襄阳,鄂州,荆门,孝感,黄冈,咸宁,随州,恩施州,衡阳,邵阳,益阳,郴州,永州,怀化,娄底,湘西州,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝州,甘孜州,凉山州,六盘水,安顺,铜仁地区,毕节,黔西南州,黔东南州,黔南州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,昌都,山南,日喀则,那曲地区,阿里地区,林芝,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,酒泉,庆阳,定西,陇南,临夏州,甘南州,海东地区,海北州,黄南州,海南州,果洛州,玉树州,海西州,吴忠,中卫,固原,吐鲁番地区,哈密地区,昌吉州,博州,阿克苏地区,克州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠
AQI,22.805555555555557,48.21416666666668,115.99479166666667,53.89722222222222,52.616666666666674,135.84375,87.28472222222221,37.56666666666666,29.116666666666667,29.551041666666666,80.94444444444444,85.22222222222221,111.39583333333334,63.15694444444445,144.99305555555557,117.16666666666669,68.06666666666668,142.1625,211.59756944444442,45.07083333333333,60.10879629629629,58.40625,55.45,126.8125,132.07142857142856,58.39583333333333,60.484375,55.049305555555556,64.75,80.46875,107.9825,100.83333333333333,114.8125,49.8030303030303,50.086979166666666,66.38541666666666,51.805555555555564,50.41388888888889,57.59722222222223,59.9375,24.097222222222218,57.52777777777778,51.72222222222223,45.02777777777777,70.0875,58.493055555555564,45.854166666666664,71.77343750000001,118.01291666666665,115.0787037037037,182.4861111111111,87.99166666666666,85.33333333333334,55.30681818181818,43.42575757575758,44.927083333333336,54.01041666666667,45.02083333333333,59.229166666666664,55.3,43.833333333333336,53.12500000000001,108.0921875,34.55833333333333,54.02549019607843,54.9296875,86.46249999999999,43.01190476190476,35.333333333333336,183.40705128205127,55.92333333333333,67.07291666666667,47.541666666666664,179.17857142857142,97.95833333333333,98.66011904761906,180.46666666666667,59.383333333333326,136.13541666666666,118.73958333333334,91.89999999999999,70.84375,57.541666666666664,168.64583333333334,90.3611111111111,154.5277777777778,121.63888888888887,122.65972222222223,164.82916666666665,77.0486111111111,105.56333333333332,138.375,175.20833333333334,119.06944444444444,68.03888888888889,111.26041666666666,57.4,44.364583333333336,42.12500000000001,43.3125,43.81944444444445,43.298611111111114,39.4375,46.48611111111111,63.57222222222222,52.041666666666664,59.166666666666664,52.72222222222223,46.36111111111111,172.38888888888889,41.13666666666667,91.3275,112.18333333333332,60.34722222222222,28.950000000000003,116.84523809523809,142.75,133.55555555555554,76.88333333333334,119.36309523809526,83.05,71.36666666666666,130.58333333333334,77.9875,62.775,87.34895833333333,157.74107142857142,163.94791666666666,195.01458333333332,121.02708333333334,135.83333333333334,141.6875,141.575,108.19444444444446,75.79166666666667,123.50833333333335,49.68749999999999,90.75208333333333,50.68229166666667,141.1125,31.604166666666664,48.575,58.216666666666676,35.33333333333333,58.354166666666664,70.4375,55.943749999999994,88.35347222222224,36.56083333333333,36.162499999999994,191.70833333333334,90.26875,64.97916666666666,145.03125,178.44791666666666,36.020833333333336,32.520833333333336,79.46875,46.466666666666654,49.63055555555555,114.20833333333334,110.47916666666667,103.33333333333333,96.54583333333333,113.95833333333334,78.89583333333333,95.41666666666667,58.54166666666667,64.24583333333334,69.64583333333333,67.625,41.16666666666667,51.083333333333336,56.77083333333333,39.8125,69.60416666666667,59.38888888888889,73.5625,68.56458333333333,66.79166666666667,41.172916666666666,54.5,46.8125,48.97916666666667,97.32291666666667,113.47916666666666,47.77777777777777,98.59027777777779,72.1,69.69791666666667,179.625,77.62638888888888,64.52777777777779,52.61111111111111,43.27083333333333,26.916666666666664,133.06944444444446,26.0625,31.083333333333332,22.445833333333333,35.81944444444444,54.033333333333324,158.08333333333334,142.67708333333334,54.53125,122.81944444444444,110.125,62.875,68.9375,70.375,31.541666666666668,44.208333333333336,61.949999999999996,74.94895833333334,87.97916666666666,50.625,134.95833333333331,95.72916666666666,78.59166666666668,239.64583333333334,42.20833333333333,89.64583333333333,98.78472222222221,109.16388888888889,70.68750000000001,73.3125,37.861111111111114,75.81666666666666,98.625,117.83333333333334,78.52083333333333,125.3125,63.111111111111114,62.361111111111114,57.34166666666666,37.21666666666667,40.583333333333336,37.42708333333333,66.28888888888889,45.925,72.81666666666666,67.59166666666667,55.06249999999999,53.31666666666666,62.927083333333336,71.55833333333332,70.39999999999999,56.77777777777778,143.6,129.54166666666669,207.11145833333333,157.79166666666666,139.54166666666666,141.35833333333335,112.125,95.05555555555554,68.79166666666667,86.83611111111111,129.70833333333334,80.55555555555556,121.80208333333333,102.58333333333333,87.625,70.75,109.02777777777777,82.125,112.41666666666667,107.40833333333333,112.975,58.79416666666666,85.25833333333334,72.91666666666666,109.91666666666667,67.7638888888889,65.45833333333334,73.90277777777777,79.375,114.28125,89.3611111111111,96.8125,107.75,150.69444444444446,165.47916666666669,101.125,57.364583333333336,56.71041666666667,55.853125,57.34375,48.833333333333336,58.89833333333333,108.65,51.09722222222222,57.5625,62.225,28.208333333333332,17.083333333333332,32.7,57.78499999999999,60.78125,72.52083333333334,26.625,74.7,78.75,79.7375,54.39583333333333,31.020833333333336,28.420833333333334,51.47916666666667,50.083333333333336,36.25,39.86527777777778,57.02083333333333,50.1875,30.166666666666668,65.20833333333333,29.041666666666664,29.229166666666668,29.4375,27.383333333333333,33.3125,26.708333333333336,21.183333333333334,31.208333333333332,112.5,58.41770833333334,80.90277777777777,71.20833333333334,36.07083333333333,46.125,50.14583333333333,51.2,55.625,43.9375,63.23749999999999,65.5,23.0,77.0,52.125,70.70833333333333,34.583333333333336,56.791666666666664,28.333333333333332,45.458333333333336,25.041666666666668,27.833333333333332,42.77777777777777,34.75,43.91388888888889,103.97916666666666,122.0625,146.83333333333331,61.08333333333333,63.625,56.958333333333336,117.83333333333333,124.57708333333333,193.06944444444446,26.0,20.625,142.51875,245.41666666666666
PM2.5,8.753472222222221,30.88638888888889,85.24999999999999,33.88333333333333,35.75,102.72916666666667,63.56944444444445,23.216666666666665,16.175,14.592708333333333,57.81944444444445,61.611111111111114,82.125,47.008796296296296,110.04166666666667,86.85606060606061,48.9375,109.84583333333333,171.06979166666667,31.116666666666664,41.49768518518518,41.015625,39.075,96.14583333333334,100.08333333333334,41.39583333333333,42.375,39.43125,46.458333333333336,59.02083333333333,80.94916666666668,75.21875,86.38541666666667,33.09848484848485,33.961979166666666,47.25,35.22222222222222,32.99722222222223,38.65277777777778,41.951388888888886,10.847222222222221,40.625,36.125,31.111111111111114,50.875,41.548611111111114,31.854166666666668,52.143229166666664,89.18375,85.16666666666667,140.83796296296293,65.16666666666666,62.97500000000001,39.09469696969697,28.55454545454546,30.0625,37.10416666666667,30.302083333333332,41.86458333333333,39.375,29.45,37.385416666666664,81.15989583333334,21.19166666666667,37.87598039215686,38.611979166666664,63.88333333333334,28.190476190476186,11.833333333333334,139.9551282051282,38.45666666666666,47.885416666666664,28.833333333333332,136.85714285714286,73.04166666666667,73.5827380952381,140.325,38.733333333333334,111.20833333333334,88.03125000000001,64.42777777777778,46.61458333333333,40.927083333333336,127.88541666666666,63.763888888888886,116.97222222222221,90.66666666666667,92.32638888888887,125.8625,53.27777777777778,78.57166666666667,104.95833333333333,133.0,89.83333333333333,48.150000000000006,80.65625,39.775,30.163194444444446,28.590277777777782,27.770833333333332,30.180555555555554,29.659722222222225,26.4375,31.75,45.69722222222222,36.458333333333336,41.34375000000001,36.97222222222222,30.013888888888886,131.98611111111111,20.975,68.36083333333333,84.36666666666667,41.5,12.793750000000001,88.29761904761905,107.8,101.27777777777779,52.65,90.25,59.725,51.26666666666667,97.71666666666667,57.46666666666667,44.15,63.442708333333336,119.72916666666667,127.46875,153.525,91.36041666666668,103.22916666666667,106.83333333333333,107.35,81.25,55.333333333333336,92.91666666666666,35.83333333333333,68.30416666666666,34.442708333333336,109.20277777777778,19.229166666666664,34.18958333333334,41.21666666666667,22.325,41.072916666666664,51.00000000000001,39.485416666666666,65.91666666666667,24.9775,23.229166666666664,149.85416666666666,67.14375000000001,46.71874999999999,109.88020833333333,135.10416666666666,16.541666666666664,15.416666666666668,51.197916666666664,30.116666666666667,36.11666666666667,82.97916666666666,82.70833333333333,76.89583333333334,71.17083333333333,84.77083333333333,54.708333333333336,69.58333333333333,38.8125,41.724999999999994,47.041666666666664,46.83333333333333,26.625,35.72222222222222,40.52083333333333,25.666666666666664,50.64583333333333,42.59722222222222,53.625,49.418749999999996,47.9375,30.610416666666666,39.083333333333336,32.145833333333336,33.916666666666664,72.54166666666667,85.44791666666667,28.638888888888886,72.51388888888889,47.50833333333333,49.40625,139.26666666666668,57.543055555555554,43.666666666666664,33.02777777777778,23.229166666666664,17.729166666666664,100.04166666666667,13.729166666666668,18.652777777777775,9.404166666666667,22.555555555555557,34.75833333333333,123.27083333333334,106.79166666666666,32.20833333333333,91.15277777777777,82.16666666666666,44.41666666666667,46.3125,48.5625,14.1875,29.26388888888889,47.53333333333333,54.29687499999999,64.1875,34.93055555555556,101.85833333333333,70.91666666666667,57.036111111111104,194.20833333333334,29.0625,66.41666666666667,73.48611111111111,82.09444444444445,50.555555555555564,53.375,24.763888888888886,55.483333333333334,73.875,88.91666666666667,57.354166666666664,94.9375,45.22222222222222,44.305555555555564,40.141666666666666,24.654166666666665,27.458333333333332,24.84375,47.830555555555556,31.500000000000007,53.016666666666666,48.725,38.90625,29.866666666666664,44.90625,51.925,50.94166666666666,40.0,109.35000000000001,97.70833333333333,163.559375,121.18055555555556,105.84374999999999,106.975,84.38541666666667,70.66666666666667,53.479166666666664,64.46111111111111,97.88541666666667,58.93055555555555,92.0,76.64583333333334,64.79166666666666,50.930555555555564,81.8611111111111,60.333333333333336,84.56249999999999,80.63333333333334,84.75,41.852500000000006,62.858333333333334,53.075,82.60833333333333,48.93055555555555,46.59375,53.76388888888889,57.888888888888886,85.75000000000001,66.19444444444444,72.125,80.5,114.27777777777779,129.6875,75.52083333333333,40.239583333333336,40.5125,39.248958333333334,38.8125,33.75,42.49,81.74166666666666,35.833333333333336,40.90625,44.141666666666666,13.902777777777779,8.625,19.566666666666666,41.04333333333334,43.5625,52.6875,17.3125,54.28333333333333,57.625,58.737500000000004,38.33333333333333,20.354166666666664,9.85138888888889,31.291666666666668,34.9375,23.75,27.879166666666666,40.083333333333336,35.0625,18.645833333333336,37.125,19.625,14.791666666666668,17.208333333333332,8.395833333333334,11.1875,13.395833333333332,4.016666666666667,9.895833333333332,84.67708333333333,41.709374999999994,59.388888888888886,51.70833333333333,20.65416666666667,32.34722222222222,34.64583333333333,34.7625,35.75,25.270833333333336,44.84861111111112,46.6875,12.416666666666668,56.16666666666667,35.083333333333336,51.208333333333336,16.541666666666668,32.041666666666664,14.75,18.166666666666668,9.208333333333334,7.625,22.541666666666668,18.527777777777775,30.288888888888888,77.83333333333334,92.39583333333334,111.66666666666666,43.0625,42.58333333333333,33.0,88.33333333333333,94.16041666666666,153.93055555555554,9.041666666666666,9.541666666666666,108.24791666666667,195.58333333333334
PM10,14.347222222222221,37.388888888888886,116.11979166666666,53.27777777777777,50.62499999999999,132.90625,80.65972222222223,26.166666666666668,23.65833333333333,23.139583333333334,73.52777777777779,78.41666666666667,102.0625,61.592129629629625,127.23611111111113,109.14015151515152,60.641666666666666,119.20416666666668,190.2086805555556,26.2125,48.26851851851852,41.86979166666667,38.86666666666666,96.09375,112.94047619047618,49.97916666666667,52.95833333333333,47.08402777777778,54.072916666666664,67.11458333333333,83.04166666666667,81.19791666666667,84.68749999999999,41.2310606060606,39.0765625,58.90625,41.81944444444445,44.98611111111111,47.583333333333336,55.819444444444436,17.59722222222222,47.125,40.65277777777778,34.763888888888886,49.2875,42.72222222222222,38.166666666666664,57.760416666666664,110.44208333333336,109.42129629629629,146.125,74.35,61.633333333333326,49.04924242424243,39.15151515151515,40.52083333333333,46.645833333333336,34.614583333333336,43.09375000000001,38.333333333333336,38.45,41.802083333333336,87.828125,31.93333333333333,45.44362745098039,43.26822916666667,80.19583333333334,32.785714285714285,37.99999999999999,137.39102564102566,54.05,61.47916666666667,48.583333333333336,128.10119047619045,81.66071428571429,77.82738095238096,170.275,68.27499999999999,129.8125,102.60416666666666,71.93055555555556,69.90625,42.28125000000001,149.22916666666669,89.36111111111113,135.80555555555554,102.93055555555556,109.27083333333336,152.87499999999997,74.38194444444444,98.60499999999999,106.45833333333334,152.5,111.69444444444444,63.833333333333336,103.42708333333333,48.80833333333333,36.77777777777778,36.68055555555556,40.375,29.944444444444443,34.90277777777778,32.958333333333336,39.291666666666664,54.30555555555555,40.48611111111111,47.0,39.80555555555555,42.763888888888886,164.875,43.5,86.78333333333333,104.48333333333332,63.09027777777778,26.28125,114.79761904761904,135.88333333333335,131.06944444444446,69.74166666666666,113.58928571428571,73.38333333333334,66.725,120.71666666666667,49.84375,49.45833333333333,75.11979166666667,145.17857142857142,147.72916666666666,149.63541666666666,118.31249999999999,127.54166666666666,100.53125,105.41666666666666,99.65277777777777,61.416666666666664,88.86666666666667,42.822916666666664,85.90729166666665,47.51562499999999,114.77083333333336,27.875,41.344791666666666,49.9,31.291666666666668,46.552083333333336,61.90625,46.447916666666664,76.06944444444444,31.44166666666667,29.083333333333332,154.42708333333334,67.46666666666667,48.68750000000001,115.53645833333333,157.94791666666669,35.145833333333336,32.104166666666664,99.82291666666666,37.775,41.43611111111111,113.4375,110.58333333333334,90.70833333333334,108.16666666666667,107.1875,76.04166666666666,88.33333333333333,59.6875,64.32916666666667,69.5625,66.08333333333333,34.979166666666664,41.31944444444445,43.479166666666664,32.77083333333333,60.35416666666667,50.25,58.166666666666664,62.04375,53.79166666666667,35.94375,49.291666666666664,41.14583333333333,37.083333333333336,86.59375000000001,92.73958333333333,48.73611111111111,107.00694444444444,85.39166666666668,66.70833333333334,155.89166666666665,67.09861111111111,66.30555555555556,55.55555555555555,43.625,23.770833333333332,137.79166666666666,24.6875,26.73611111111111,14.1875,32.166666666666664,47.05,133.71875,130.57291666666669,50.09375,122.41666666666667,96.14583333333334,62.625,77.77083333333333,66.41666666666666,29.375,37.388888888888886,62.729166666666664,81.35416666666667,87.86458333333333,44.013888888888886,109.35833333333335,102.1875,76.7638888888889,212.6875,27.083333333333332,76.04861111111111,86.98611111111113,94.0,68.60416666666667,54.208333333333336,29.86111111111111,61.900000000000006,89.13888888888887,90.5,65.53125,111.20833333333333,51.375,42.38888888888889,46.224999999999994,31.414583333333333,30.906249999999996,30.59375,48.486111111111114,37.84166666666667,62.73333333333333,59.93333333333334,41.22916666666667,39.4,63.53125,64.125,65.35,51.34722222222222,123.02777777777777,122.60416666666666,174.46874999999997,121.15277777777779,103.19791666666666,115.39166666666668,94.91666666666667,87.65277777777777,67.5625,73.66944444444444,91.07291666666667,78.84722222222223,81.91666666666666,85.64583333333333,84.41666666666666,59.51388888888889,95.77777777777777,67.16666666666667,95.21527777777777,82.58333333333334,95.575,52.552499999999995,75.46666666666667,60.641666666666666,102.38333333333334,55.31944444444445,58.83333333333333,62.430555555555564,71.80555555555556,95.39583333333333,72.13888888888889,84.9375,94.8125,114.7361111111111,133.22916666666666,89.625,47.67708333333333,47.34791666666667,44.5,52.645833333333336,42.4375,54.642500000000005,94.475,40.819444444444436,46.802083333333336,57.25833333333334,16.01388888888889,9.166666666666668,24.266666666666666,48.43749999999999,47.302083333333336,56.041666666666664,20.770833333333336,61.54166666666667,60.72916666666667,71.45833333333333,28.854166666666668,25.333333333333336,14.125,49.020833333333336,38.104166666666664,28.395833333333336,31.709722222222222,47.08333333333333,42.5625,17.333333333333332,80.45833333333333,21.75,12.541666666666668,16.791666666666668,21.8125,26.666666666666664,23.541666666666668,5.291666666666667,14.416666666666668,90.84375,46.979166666666664,62.291666666666664,51.10416666666667,36.270833333333336,37.263888888888886,43.39583333333333,46.208333333333336,57.79166666666667,42.125,52.52777777777778,62.458333333333336,18.0625,77.375,46.541666666666664,54.125,32.291666666666664,63.125,25.416666666666668,31.625,19.416666666666668,19.458333333333332,43.486111111111114,33.458333333333336,38.30555555555556,112.02083333333334,105.8125,133.25,64.3125,69.375,57.333333333333336,115.40277777777779,140.60416666666669,172.90277777777774,12.583333333333334,6.583333333333333,122.1875,269.5
SO2,2.524305555555555,7.502777777777778,10.953125000000002,16.72222222222222,14.85833333333333,11.677083333333334,8.597222222222223,12.558333333333334,13.458333333333334,4.61875,14.222222222222221,12.916666666666666,15.28125,22.184722222222224,15.479166666666666,15.75,17.349999999999998,17.3625,49.13229166666667,6.891666666666666,5.564814814814815,4.208333333333334,8.991666666666667,19.739583333333332,10.49404761904762,10.281250000000002,7.708333333333334,9.535416666666666,10.104166666666666,7.53125,7.908333333333334,6.552083333333333,6.260416666666667,5.238636363636364,9.154687500000001,7.489583333333333,3.8333333333333326,5.347222222222222,7.694444444444444,4.277777777777778,6.486111111111111,4.430555555555556,4.166666666666667,4.611111111111112,7.395833333333333,4.9375,4.0625,8.286458333333332,21.017083333333336,14.245370370370372,10.851851851851851,10.9625,7.3125,5.931818181818182,5.803030303030304,3.4270833333333335,6.104166666666667,4.34375,4.875,8.075,6.533333333333334,6.09375,9.96875,3.2083333333333335,7.2598039215686265,4.783854166666667,15.979166666666666,8.738095238095237,5.944444444444444,17.19871794871795,16.7,22.364583333333332,21.631944444444443,9.613095238095237,10.285714285714286,10.220238095238097,40.00833333333333,23.358333333333334,17.520833333333336,30.729166666666668,24.305555555555557,40.94791666666667,4.864583333333333,23.65625,18.73611111111111,20.375,19.402777777777775,23.993055555555554,23.225,13.340277777777779,16.255000000000003,16.645833333333332,23.680555555555557,13.347222222222221,8.875,12.364583333333332,8.5,7.1319444444444455,5.25,5.364583333333333,7.9305555555555545,8.777777777777777,7.25,9.11111111111111,7.6805555555555545,6.166666666666667,7.9375,9.680555555555555,5.944444444444444,12.888888888888888,29.21666666666667,28.016666666666662,78.1,17.944444444444443,16.90625,16.0,17.241666666666667,23.326388888888886,27.066666666666663,19.934523809523814,21.85,17.425000000000004,13.65,7.520833333333333,7.7333333333333325,8.510416666666666,11.226190476190476,21.989583333333336,13.354166666666668,18.083333333333332,14.166666666666668,14.427083333333334,7.875,8.263888888888888,6.6875,5.191666666666666,2.3541666666666665,17.073958333333334,7.203125,8.631944444444445,4.25,3.448958333333333,4.174999999999999,19.94166666666667,3.90625,6.177083333333333,6.062500000000001,9.125000000000002,9.166666666666668,5.770833333333333,16.229166666666664,16.789583333333333,8.854166666666668,14.932291666666666,19.812499999999996,15.166666666666668,10.979166666666666,51.645833333333336,8.375,6.116666666666667,32.04166666666667,23.833333333333332,19.5625,17.291666666666668,13.520833333333332,18.125,26.833333333333332,7.583333333333334,6.85,11.875,7.875,7.375,14.111111111111112,7.354166666666666,10.9375,5.1875,13.722222222222221,8.0,7.231249999999999,5.9375,20.145833333333336,3.0,4.5625,3.270833333333333,8.895833333333334,8.604166666666666,3.180555555555556,30.45833333333334,50.10000000000001,20.593749999999996,25.091666666666665,29.931944444444444,31.527777777777782,9.569444444444445,11.354166666666668,4.3125,27.152777777777775,25.3125,5.291666666666667,20.895833333333336,10.555555555555555,17.166666666666664,15.375,11.427083333333334,17.28125,16.069444444444446,11.854166666666668,17.0625,25.708333333333336,6.0625,8.1875,16.48611111111111,8.770833333333332,15.458333333333332,16.677083333333332,9.847222222222221,15.241666666666665,7.166666666666667,20.805555555555557,26.395833333333332,16.833333333333336,12.944444444444443,13.368055555555557,11.027777777777777,18.01388888888889,14.604166666666666,4.861111111111111,7.420833333333333,6.527777777777778,9.895833333333332,5.0,8.75,16.625,10.597222222222221,6.666666666666666,5.279166666666667,7.21875,6.114583333333333,7.263888888888889,4.7,19.675,8.333333333333334,9.3125,3.65,8.0625,10.716666666666667,6.8916666666666675,5.069444444444444,24.180555555555557,17.927083333333332,15.59375,9.166666666666666,7.46875,10.425,5.968749999999999,10.333333333333334,13.197916666666666,4.836111111111111,14.28125,15.166666666666666,15.833333333333332,13.6875,8.208333333333334,7.930555555555556,7.0,4.25,12.548611111111112,7.133333333333333,5.233333333333333,8.169166666666667,4.866666666666667,2.716666666666667,4.7666666666666675,4.333333333333333,8.354166666666666,7.597222222222222,6.958333333333333,11.09375,11.5,15.791666666666666,7.458333333333333,7.055555555555556,14.583333333333334,7.833333333333333,9.479166666666666,8.3375,4.135416666666667,5.197916666666667,5.21875,4.742500000000001,10.433333333333334,6.972222222222222,4.0,4.458333333333334,5.375,9.020833333333334,11.941666666666666,8.5625,15.3125,2.3125,6.479166666666667,5.3125,24.979166666666664,10.666666666666666,4.208333333333333,6.520833333333334,5.541666666666667,1.9375,7.083333333333333,7.5625,9.880555555555555,2.6041666666666665,4.479166666666667,6.083333333333333,6.75,8.541666666666668,4.0625,9.145833333333332,4.75,4.333333333333334,13.645833333333334,11.958333333333334,9.125,27.239583333333336,16.145833333333336,5.916666666666667,21.791666666666664,12.604166666666666,9.958333333333334,18.6875,8.0,8.208333333333332,13.770833333333334,11.805555555555555,12.875,19.5,16.958333333333336,5.5,16.416666666666668,9.875,17.875,9.25,21.666666666666668,27.458333333333332,8.375,17.194444444444443,10.736111111111112,11.333333333333334,11.020833333333334,18.541666666666664,7.854166666666666,13.541666666666668,9.083333333333334,4.75,11.736111111111112,39.458333333333336,30.333333333333332,5.041666666666667,5.75,7.8125,9.958333333333334
