,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,沈阳,大连,长春,哈尔滨,上海,南京,苏州,南通,连云港,徐州,扬州,无锡,常州,镇江,泰州,淮安,盐城,宿迁,杭州,宁波,温州,绍兴,湖州,嘉兴,台州,舟山,金华,衢州,丽水,合肥,福州,厦门,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,重庆,成都,贵阳,昆明,拉萨,西安,兰州,西宁,银川,乌鲁木齐,湘潭,株洲,包头,鄂尔多斯,营口,丹东,盘锦,葫芦岛,泉州,临沂,德州,聊城,滨州,淄博,枣庄,烟台,潍坊,济宁,泰安,日照,威海,东营,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,玉溪,菏泽,大同,长治,临汾,阳泉,赤峰,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,芜湖,马鞍山,九江,洛阳,安阳,开封,焦作,平顶山,三门峡,宜昌,荆州,岳阳,常德,张家界,桂林,北海,柳州,三亚,绵阳,宜宾,攀枝花,泸州,自贡,德阳,南充,遵义,曲靖,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,库尔勒,寿光,章丘,即墨,胶南,胶州,莱西,平度,莱州,荣成,文登,乳山,吴江,昆山,常熟,张家港,太仓,句容,江阴,宜兴,金坛,溧阳,海门,临安,义乌,诸暨,信阳,周口,漳州,晋城,朔州,晋中,运城,忻州,吕梁,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区,蚌埠,淮南,淮北,铜陵,安庆,黄山,滁州,阜阳,宿州,六安,亳州,池州,宣城,莆田,三明,南平,龙岩,宁德,景德镇,萍乡,新余,鹰潭,赣州,吉安,宜春,抚州,上饶,鹤壁,新乡,濮阳,许昌,漯河,南阳,商丘,驻马店,黄石,十堰,襄阳,鄂州,荆门,孝感,黄冈,咸宁,随州,恩施州,衡阳,邵阳,益阳,郴州,永州,怀化,娄底,湘西州,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,广元,遂宁,内江,乐山,眉山,广安,达州,雅安,巴中,资阳,阿坝州,甘孜州,凉山州,六盘水,安顺,铜仁地区,毕节,黔西南州,黔东南州,黔南州,保山,昭通,丽江,普洱,临沧,楚雄州,红河州,文山州,西双版纳州,大理州,德宏州,怒江州,迪庆州,昌都,山南,日喀则,那曲地区,阿里地区,林芝,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,酒泉,庆阳,定西,陇南,临夏州,甘南州,海东地区,海北州,黄南州,海南州,果洛州,玉树州,海西州,吴忠,中卫,固原,吐鲁番地区,哈密地区,昌吉州,博州,阿克苏地区,克州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠
AQI,22.47083333333333,42.90277777777778,174.99479166666666,53.84375,46.49999999999999,173.20833333333334,94.59166666666668,26.430833333333332,36.825,24.54583333333333,70.77777777777779,140.59722222222226,167.27083333333331,212.0,273.2541666666667,68.90075757575758,43.891666666666666,131.98749999999998,293.44652777777776,42.39583333333333,44.34074074074074,58.875,66.15833333333333,96.85625,175.5398809523809,71.09375,54.90104166666667,67.17986111111112,60.84166666666667,74.04166666666667,111.93333333333332,98.42708333333333,119.79270833333334,25.454545454545453,21.864583333333336,36.5625,27.134722222222223,34.11111111111111,36.93611111111111,18.88888888888889,22.319444444444443,21.26388888888889,16.652777777777782,21.708333333333332,55.047916666666666,58.019444444444446,68.41666666666666,23.7546875,175.83083333333332,175.8101851851852,181.9027777777778,54.5375,56.86583333333333,59.862500000000004,60.497727272727275,54.25,56.234375,52.60416666666667,51.260416666666664,91.30833333333334,78.35,50.510416666666664,35.63541666666667,29.7,56.40220588235293,63.186458333333334,34.41708333333334,33.13333333333333,29.400694444444444,132.71570512820512,80.4,96.66666666666667,253.72222222222226,146.625,52.87797619047619,51.48809523809524,272.37499999999994,37.36666666666667,60.21875,50.239583333333336,38.861111111111114,60.09375000000001,76.59375,127.3,106.16666666666667,148.25694444444443,100.17222222222222,141.91666666666666,143.78333333333333,75.04166666666667,160.39666666666668,239.0625,146.7236111111111,134.95833333333334,70.45555555555556,95.59166666666667,27.525,74.64444444444443,43.75,50.56041666666667,58.23611111111111,67.09722222222223,69.47222222222223,43.041666666666664,67.41666666666667,88.15277777777779,102.51041666666667,52.361111111111114,32.62499999999999,277.47222222222223,66.45,157.95416666666668,138.57833333333332,157.375,30.416666666666664,65.19642857142858,130.24166666666667,81.02847222222222,56.908333333333324,120.3220238095238,84.19166666666666,96.68333333333334,111.405,38.5625,53.866666666666674,50.59322916666667,110.23333333333333,215.3833333333333,232.60416666666666,215.32291666666666,120.5,115.25000000000001,64.13333333333333,61.083333333333336,65.9375,67.525,36.08333333333333,15.020833333333334,56.51041666666667,17.590277777777775,28.1875,62.03125,60.69166666666666,48.920833333333334,53.47916666666667,72.21875,59.0625,54.38194444444445,32.2825,38.82291666666667,145.625,88.39583333333333,51.885416666666664,113.2609375,105.17708333333334,50.4,38.041666666666664,184.35416666666669,140.31666666666666,92.1388888888889,150.39583333333331,179.54166666666669,150.875,189.75,200.20833333333334,110.125,132.29583333333332,134.79166666666666,37.87708333333333,55.90833333333333,66.04166666666667,49.5625,46.10416666666667,57.833333333333336,63.52083333333333,39.0,54.456250000000004,69.72222222222221,46.5625,62.04166666666667,57.875,44.8125,19.541666666666668,19.0,21.8125,100.48958333333333,227.22916666666669,74.65277777777777,157.22916666666666,110.41666666666667,184.29166666666666,127.50833333333333,215.65277777777774,112.19444444444444,167.05555555555554,53.80555555555555,32.416666666666664,157.75,41.66666666666667,28.944444444444443,20.008333333333333,61.333333333333336,35.714999999999996,76.71875,140.04166666666666,50.696875,118.09722222222223,129.97916666666666,85.20833333333334,81.95833333333334,100.16666666666667,52.16666666666667,47.375,50.63541666666667,57.166666666666664,100.88541666666666,84.19444444444444,84.875,103.95833333333333,22.0,234.99166666666667,31.104166666666664,106.46527777777779,98.61458333333333,205.225,31.803472222222222,30.31875,19.415277777777774,58.71875,142.04166666666666,152.94999999999996,61.208333333333336,211.08333333333334,34.236111111111114,36.09722222222222,71.63333333333334,46.75,33.802083333333336,54.989583333333336,62.34722222222222,17.073333333333334,44.66666666666667,26.363333333333333,26.025,29.85,26.385416666666664,33.483333333333334,24.983333333333334,20.0,184.20833333333334,173.69791666666666,191.53541666666666,202.9027777777778,174.98958333333331,88.16666666666666,289.5458333333333,120.58333333333333,42.266666666666666,44.21875,90.17708333333333,45.833333333333336,81.08333333333334,63.791666666666664,45.25,55.79895833333333,71.6388888888889,50.54166666666667,31.11111111111111,28.858333333333338,78.775,14.953333333333333,24.091666666666665,32.1,27.575,34.166666666666664,46.270833333333336,36.705555555555556,40.583333333333336,41.66666666666667,39.569444444444436,36.4375,24.729166666666668,17.777777777777775,27.3125,45.85416666666667,60.520833333333336,49.13541666666667,55.03125,54.88645833333334,54.90625,39.325,60.435,41.88888888888889,51.4375,54.602500000000006,36.208333333333336,26.0,28.21666666666666,36.8,27.854166666666664,35.0625,33.08333333333333,32.208333333333336,24.458333333333336,16.070833333333333,39.39583333333333,34.974999999999994,27.5,42.54166666666667,37.47916666666667,32.70833333333333,44.65277777777778,48.70833333333333,56.00416666666666,31.75,42.625,43.375,31.770833333333336,32.520833333333336,32.875,39.266666666666666,41.3125,21.416666666666668,26.854166666666664,81.89583333333333,63.54166666666667,58.84722222222223,64.15833333333333,79.54166666666666,74.58888888888889,80.21875,35.135416666666664,71.16666666666666,48.02083333333333,66.55833333333334,88.6,61.31875,67.91666666666666,59.791666666666664,87.90833333333335,25.5,40.0,26.458333333333332,46.708333333333336,28.625,36.625,181.93055555555554,128.36111111111111,89.625,141.96458333333334,70.30833333333334,160.23611111111111,86.08333333333334,106.52916666666667,120.70833333333333,113.1111111111111,131.9375,250.33333333333334,29.916666666666668,59.75,290.07500000000005,311.7083333333333
PM2.5,10.538194444444445,25.463888888888892,136.515625,30.583333333333332,29.458333333333332,136.17708333333334,68.675,16.330833333333338,21.583333333333332,12.545833333333333,47.93055555555555,110.40277777777777,130.5,173.01388888888889,224.4703125,48.24545454545455,29.02916666666667,99.99166666666666,246.89097222222225,28.93333333333333,30.317592592592593,42.58854166666667,48.108333333333334,72.12708333333333,135.98035714285714,51.96875,38.671875,49.23541666666666,43.91458333333333,54.885416666666664,84.05000000000001,73.40625,90.553125,14.02651515151515,6.770833333333333,17.71875,16.023611111111112,21.569444444444443,24.755555555555556,5.847222222222222,4.777777777777778,10.430555555555555,7.152777777777778,6.9305555555555545,39.25625,38.60277777777778,47.270833333333336,14.671354166666665,139.55583333333334,136.25925925925927,140.90277777777777,37.895833333333336,40.72416666666667,36.18068181818182,40.043181818181814,33.104166666666664,29.333333333333336,31.666666666666664,26.541666666666664,66.85,53.18333333333334,33.875,18.411458333333336,13.833333333333332,38.33602941176471,44.98854166666666,20.75875,17.925,11.671527777777778,100.43685897435898,58.575,71.66666666666667,203.75,114.48809523809523,37.723214285714285,36.92857142857143,226.875,21.841666666666665,42.270833333333336,32.8125,20.722222222222225,33.52083333333333,53.416666666666664,95.92500000000001,75.27777777777777,115.8125,71.85277777777777,106.70138888888887,108.94166666666665,51.76388888888889,123.87999999999997,193.79166666666669,111.39027777777778,101.80555555555556,49.955555555555556,67.09166666666667,14.025,53.76944444444445,25.965277777777775,29.091666666666665,39.5,47.861111111111114,47.083333333333336,24.055555555555554,46.84722222222222,63.59722222222222,74.5625,31.375,14.125,229.5,45.03333333333334,119.84583333333333,105.48666666666668,118.9513888888889,13.447916666666664,44.51190476190476,97.21666666666667,58.382638888888884,33.15,91.4470238095238,62.61666666666666,71.39166666666667,80.51333333333334,26.864583333333336,38.708333333333336,35.46302083333334,82.59642857142856,176.35,187.875,169.14583333333334,91.71875,86.89583333333333,46.05,42.43055555555555,47.416666666666664,48.70833333333333,23.677083333333332,6.166666666666666,33.833333333333336,9.833333333333334,8.4375,43.3125,43.208333333333336,29.583333333333336,37.3125,52.333333333333336,40.54166666666667,36.90972222222222,20.149166666666666,21.041666666666664,110.28125,65.08333333333334,33.77083333333333,85.05260416666667,78.66666666666667,33.94444444444445,20.333333333333336,145.53125,107.69166666666668,67.34722222222223,112.83333333333334,137.14583333333331,114.77083333333334,146.70833333333334,157.29166666666666,87.39583333333334,97.81666666666666,100.58333333333333,24.73125,32.05416666666666,43.833333333333336,34.25,32.333333333333336,41.27777777777778,45.25,25.4375,39.85416666666667,51.09722222222222,32.479166666666664,44.875,41.79166666666667,29.645833333333332,10.875,9.020833333333334,9.875,75.01041666666667,180.97916666666666,48.81944444444445,118.4236111111111,79.51666666666667,142.78125,96.91666666666666,170.16666666666666,84.125,126.19444444444446,36.125,21.729166666666668,119.83333333333333,27.6875,18.722222222222225,8.529166666666667,44.305555555555564,19.848333333333336,54.895833333333336,105.73958333333333,30.666666666666664,89.125,98.02083333333333,61.583333333333336,58.04166666666667,74.77083333333334,30.645833333333332,31.055555555555554,42.739583333333336,39.97916666666667,74.75,61.44444444444445,62.61666666666666,76.64583333333333,11.916666666666666,188.8875,20.416666666666664,78.95138888888889,73.16319444444446,162.3083333333333,19.54861111111111,20.38125,7.263888888888889,42.083333333333336,108.45833333333333,117.31111111111109,43.76041666666667,167.5,23.125,24.125,52.19166666666666,30.427083333333332,22.645833333333336,37.208333333333336,44.916666666666664,9.381666666666666,31.166666666666664,14.421666666666663,15.225,16.991666666666667,11.770833333333332,22.133333333333333,13.3,10.84375,146.16666666666666,136.53125,155.06666666666666,157.68055555555554,137.86458333333331,65.21666666666667,246.4520833333333,90.8611111111111,28.583333333333332,29.3125,66.83333333333333,27.541666666666668,59.56250000000001,45.52083333333333,24.354166666666664,39.91354166666666,51.763888888888886,32.5,20.833333333333332,19.35,57.425,8.145000000000001,15.083333333333334,21.425,17.683333333333334,22.152777777777782,27.0,18.150000000000002,25.055555555555557,24.6875,24.333333333333332,15.854166666666668,13.958333333333334,6.75,8.8125,25.145833333333332,42.479166666666664,29.822916666666664,36.583333333333336,37.303125,34.53125,23.158333333333335,40.41,28.847222222222218,36.05208333333333,36.63583333333334,19.48611111111111,10.875,16.741666666666667,23.375,15.020833333333332,24.5,22.875,19.645833333333336,12.833333333333332,9.779166666666667,26.75,18.6,12.652777777777779,24.25,25.375,17.541666666666664,29.652777777777782,31.520833333333332,36.87916666666666,19.270833333333336,23.291666666666668,24.229166666666668,18.708333333333332,18.041666666666668,8.395833333333332,24.579166666666666,25.6875,4.375,7.9375,60.177083333333336,46.21875,41.77777777777778,45.6375,58.291666666666664,54.019444444444446,58.82291666666667,24.677083333333332,48.85416666666667,28.166666666666664,47.35,63.7875,43.71458333333334,38.25,36.791666666666664,62.824999999999996,8.25,21.666666666666668,11.458333333333334,14.666666666666666,12.583333333333334,9.708333333333334,141.94444444444446,96.875,66.23611111111111,106.11041666666668,47.037499999999994,124.09722222222223,62.45833333333333,77.94583333333333,91.25,85.0,100.6875,200.61111111111111,12.5,42.583333333333336,244.24166666666667,261.7083333333333
PM10,19.711805555555554,40.59166666666666,186.75,58.73958333333333,47.02499999999999,182.35416666666669,91.81666666666668,17.225,34.175000000000004,22.89375,72.9861111111111,145.6527777777778,172.36458333333334,212.48611111111111,272.37083333333334,65.7878787878788,42.300000000000004,103.10833333333332,248.0454861111111,21.005833333333335,36.32870370370371,35.890625,37.5,78.01041666666667,178.33333333333331,47.49999999999999,43.765625,57.49305555555555,45.729166666666664,63.60416666666667,96.76666666666667,80.45833333333333,96.5625,19.916666666666668,9.71875,37.572916666666664,16.805555555555554,27.263888888888886,26.75,16.583333333333332,7.75,16.166666666666668,10.569444444444445,10.527777777777779,30.556250000000006,65.59027777777779,66.77083333333333,18.0390625,179.30583333333334,180.0,143.59259259259258,42.412499999999994,29.683333333333337,71.35113636363637,69.77727272727272,57.21875,63.63020833333333,54.59374999999999,55.31250000000001,79.01666666666667,78.79166666666666,46.96875,36.52083333333333,29.225,57.71691176470589,64.95677083333334,32.33333333333333,28.946428571428573,26.305555555555557,102.20448717948717,80.5,83.54166666666666,264.06944444444446,102.32738095238096,32.666666666666664,32.88690476190476,264.65,35.31666666666666,55.677083333333336,49.0625,34.263888888888886,72.625,67.02083333333334,137.36770833333333,109.30555555555554,157.81666666666666,93.36666666666667,140.15972222222223,148.89166666666665,73.50694444444446,162.93333333333334,209.27083333333334,148.42222222222222,135.18055555555557,66.43055555555556,95.13541666666667,26.25,66.31944444444444,43.381944444444436,56.68749999999999,58.555555555555564,54.611111111111114,71.18055555555556,41.23611111111111,80.8888888888889,74.05555555555556,86.19791666666666,57.833333333333336,28.76388888888889,294.8055555555555,70.69166666666666,142.35,125.85,158.8472222222222,29.75,66.57738095238095,126.36666666666667,84.0625,58.166666666666664,104.14940476190476,77.16666666666666,94.425,112.6,20.468749999999996,33.05,37.916666666666664,105.85714285714286,199.38333333333335,186.04166666666666,221.42708333333334,118.39583333333334,93.15624999999999,49.05,63.666666666666664,54.33333333333334,41.62499999999999,30.40625,11.125,58.0,15.027777777777777,27.25,65.79166666666667,54.291666666666664,50.1,45.96875000000001,69.3125,60.3125,54.729166666666664,29.541666666666668,39.0,114.32291666666667,77.86458333333333,51.625,91.63020833333333,101.04166666666667,48.583333333333336,39.97916666666667,173.47916666666666,146.01666666666668,103.38888888888887,163.77083333333331,184.41666666666666,161.89583333333331,186.16666666666666,206.95833333333334,123.22916666666666,137.35416666666666,140.125,35.72708333333333,60.34583333333333,82.6875,48.02083333333333,26.6875,54.541666666666664,47.58333333333333,31.583333333333336,56.041666666666664,58.38888888888889,39.72916666666667,51.83333333333333,54.10416666666667,41.4375,14.916666666666666,9.041666666666668,11.229166666666668,94.90625,185.34375,95.69444444444444,155.50694444444446,128.60833333333332,199.98958333333331,121.35,176.55555555555554,132.375,186.625,51.930555555555564,27.0625,155.94444444444446,35.1875,22.666666666666668,13.666666666666668,50.388888888888886,33.06666666666667,71.55208333333333,134.73958333333331,53.083333333333336,121.44444444444444,116.29166666666666,84.58333333333334,90.45833333333334,99.35416666666666,56.708333333333336,44.458333333333336,50.114583333333336,54.614583333333336,92.42708333333333,70.69444444444444,64.75833333333334,107.25,15.916666666666664,200.625,17.625,96.7638888888889,89.4375,202.69444444444446,26.42361111111111,16.9375,10.680555555555555,45.19791666666667,127.45833333333333,129.4486111111111,50.479166666666664,229.54166666666666,24.444444444444443,17.375,71.01666666666668,43.75,25.822916666666668,55.10416666666667,59.22222222222222,11.641666666666666,36.65,24.023333333333333,12.425,28.008333333333333,26.020833333333332,29.15,22.84166666666667,15.604166666666664,169.44444444444446,177.26041666666666,189.5125,150.5972222222222,152.11458333333334,73.38333333333334,254.61874999999998,120.84722222222221,38.641666666666666,43.104166666666664,64.46875,43.916666666666664,52.38541666666667,56.854166666666664,45.58333333333333,39.028125,70.83333333333333,46.04166666666667,21.569444444444443,22.85833333333333,68.3,11.915000000000001,20.725,27.875,25.05,31.180555555555554,46.458333333333336,40.18055555555555,41.166666666666664,45.447916666666664,39.44444444444445,39.625,22.541666666666664,11.75,27.9375,50.916666666666664,55.895833333333336,54.375,51.322916666666664,46.70833333333333,58.92708333333333,40.516666666666666,68.79333333333334,38.513888888888886,51.208333333333336,56.68333333333332,30.319444444444446,22.75,24.391666666666666,32.74166666666667,18.458333333333332,29.270833333333336,25.833333333333336,28.125,17.25,11.75,22.229166666666664,38.02083333333333,19.819444444444443,39.83333333333333,24.0625,25.833333333333336,41.11111111111111,44.04166666666667,60.958333333333336,19.458333333333336,42.583333333333336,47.208333333333336,17.895833333333332,25.104166666666664,27.145833333333336,32.333333333333336,35.95833333333333,6.791666666666667,16.416666666666668,66.21875,46.458333333333336,52.125,56.71666666666667,61.229166666666664,71.59722222222221,58.1875,31.6875,78.1875,52.270833333333336,59.34722222222223,92.66666666666666,62.235416666666666,85.6875,64.66666666666667,84.91666666666667,19.291666666666668,39.583333333333336,20.25,47.208333333333336,27.625,29.333333333333332,159.65277777777777,103.09722222222223,63.18055555555555,190.22916666666666,89.875,149.02777777777777,100.39583333333334,125.54166666666667,87.79166666666667,101.34722222222221,145.08333333333334,263.30555555555554,22.458333333333332,35.666666666666664,293.90000000000003,348.75
SO2,3.4548611111111107,13.533333333333331,13.859375,26.458333333333332,15.583333333333334,11.114583333333336,12.018055555555556,11.358333333333334,14.98333333333333,4.45625,14.944444444444445,12.375,13.499999999999998,52.33796296296296,24.313541666666666,20.28787878787879,16.662499999999998,26.5125,43.309374999999996,5.5183333333333335,4.282407407407407,3.125,5.383333333333333,18.625,18.803571428571427,6.708333333333334,5.083333333333334,8.041666666666666,7.770833333333334,6.666666666666667,8.1,6.052083333333334,15.291666666666668,4.6022727272727275,5.369791666666667,7.28125,3.1527777777777772,3.4583333333333335,6.736111111111112,3.125,5.333333333333333,4.916666666666667,4.458333333333333,4.180555555555555,4.5875,6.548611111111111,4.822916666666667,3.106770833333333,21.759999999999998,16.833333333333332,9.805555555555557,5.008333333333334,4.283333333333333,7.127651515151515,6.6825757575757585,3.4687500000000004,7.744791666666666,5.010416666666667,4.520833333333333,8.408333333333335,7.958333333333334,5.791666666666666,7.869791666666666,7.1,8.964460784313724,6.680729166666666,13.591666666666669,9.32738095238095,6.0625,10.30705128205128,14.325,19.302083333333336,9.465277777777777,10.642857142857142,5.047619047619047,5.297619047619048,71.74999999999999,18.908333333333335,13.729166666666666,20.65625,19.11111111111111,50.979166666666664,5.458333333333334,23.346875,15.180555555555557,27.899999999999995,15.908333333333333,28.222222222222225,25.625,13.541666666666666,22.633333333333333,16.958333333333332,18.283333333333335,16.444444444444446,9.236111111111112,14.770833333333332,8.983333333333333,9.194444444444445,5.368055555555556,9.3125,8.569444444444445,8.569444444444445,10.222222222222221,6.513888888888888,6.652777777777778,11.0,12.125,19.083333333333332,9.083333333333334,19.208333333333332,42.425,29.041666666666668,25.591666666666665,44.791666666666664,19.583333333333332,21.553571428571434,21.691666666666666,23.430555555555557,31.125,21.25654761904762,23.833333333333332,19.824999999999996,16.858333333333334,5.510416666666666,8.916666666666668,7.505208333333333,9.511904761904761,16.441666666666666,12.562500000000002,10.59375,12.177083333333334,13.28125,5.925,6.0555555555555545,5.819444444444444,4.533333333333333,2.71875,6.8125,8.447916666666666,14.055555555555555,4.354166666666667,7.09375,5.058333333333334,28.1,6.229166666666666,7.03125,5.375000000000001,4.784722222222222,18.991666666666667,9.083333333333334,8.739583333333332,11.499999999999998,10.677083333333332,8.125,11.84375,16.597222222222225,13.583333333333334,31.583333333333332,16.60833333333333,8.138888888888888,38.354166666666664,22.229166666666668,21.333333333333336,24.5,31.5,17.729166666666668,24.729166666666664,26.666666666666668,11.331249999999999,7.575000000000001,11.8125,6.020833333333334,5.020833333333333,15.194444444444443,5.8125,8.1875,8.458333333333334,10.027777777777777,4.3125,6.25,4.8125,15.541666666666666,2.125,6.1875,2.6041666666666665,5.53125,10.916666666666666,6.027777777777779,17.319444444444443,73.94166666666668,56.19791666666667,20.85,50.263888888888886,25.48611111111111,38.19444444444444,12.013888888888888,5.479166666666666,30.958333333333332,31.979166666666668,7.986111111111112,15.875,10.097222222222221,16.55,17.333333333333332,17.104166666666664,21.864583333333332,16.152777777777775,18.520833333333332,18.645833333333332,30.9375,12.166666666666668,14.979166666666666,19.305555555555554,18.6875,15.291666666666668,19.21875,12.416666666666666,11.916666666666668,10.291666666666668,10.055555555555555,28.604166666666664,23.229166666666668,13.472222222222221,13.145833333333334,12.486111111111112,9.854166666666666,7.4375,5.236111111111111,6.291666666666666,5.083333333333333,10.129166666666668,3.65625,8.708333333333332,7.625,7.125,7.7,11.354166666666668,5.4375,11.625,7.291666666666667,7.866666666666667,7.983333333333334,6.889999999999999,7.15,6.65,8.9375,9.533333333333335,4.6,19.052083333333336,14.666666666666666,15.052083333333332,25.543749999999996,12.138888888888888,8.65625,9.375,10.2125,12.069444444444445,7.4833333333333325,5.416666666666667,12.239583333333334,8.027777777777779,10.520833333333334,3.541666666666667,6.291666666666667,6.007291666666667,4.458333333333333,4.229166666666666,7.569444444444444,4.4,3.4666666666666672,5.615,4.366666666666666,4.1,3.641666666666667,4.611111111111111,9.895833333333334,7.388888888888889,9.986111111111112,7.53125,17.680555555555557,8.104166666666666,7.958333333333334,6.722222222222222,8.395833333333334,6.166666666666666,7.604166666666667,9.28125,8.020833333333334,8.833333333333334,10.1875,5.066666666666666,11.043333333333333,7.208333333333333,4.989583333333333,7.8916666666666675,5.75,11.6875,9.650000000000002,14.416666666666666,17.604166666666668,1.5,13.729166666666666,6.3125,19.395833333333332,7.666666666666667,5.666666666666666,10.770833333333334,7.666666666666667,4.229166666666667,7.4375,12.666666666666668,8.861111111111112,4.625,9.270833333333334,8.041666666666666,5.458333333333333,8.270833333333332,4.604166666666666,9.625,4.833333333333334,7.270833333333333,3.770833333333333,16.25,8.9375,11.0625,23.916666666666664,5.902777777777778,7.9875,30.0625,10.555555555555555,16.895833333333332,17.520833333333332,15.0625,9.229166666666668,20.166666666666668,19.583333333333332,23.318749999999998,11.395833333333332,14.958333333333334,15.666666666666666,6.833333333333333,16.208333333333332,10.916666666666666,19.041666666666668,12.916666666666666,9.708333333333334,14.25,9.083333333333334,10.527777777777777,20.520833333333332,11.895833333333334,5.847222222222221,13.9375,17.0,3.625,8.624999999999998,21.5,37.208333333333336,4.416666666666667,13.333333333333334,17.066666666666666,9.625
