p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.9317,0.0,0.0,0.0,0.00205,0.0,0.018275,0.0,0.001875,0.03005,0.00995,0.0,0.0,0.0,0.006225,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.8866,0.02035,0.02065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07235,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.00955,0.97466,0.00256,0.0,0.0,0.0,0.0,0.0041600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014819999999999998,0.0,0.0,0.0,0.0
Campania,0.0,0.00246,0.0,0.97524,0.0,0.0,0.011000000000000001,0.0,0.00028,0.0,0.00554,0.0010333333333333334,0.0,0.0,0.00206,0.0,0.0026666666666666666,0.00062,0.00028,0.0,0.00035
Emilia-Romagna,0.0007555555555555556,0.0,0.0,0.0,0.9438888888888891,0.0,0.0003333333333333333,0.0012,0.0205,0.0083,0.0,0.00037777777777777777,0.001777777777777778,0.0013666666666666664,0.00015,0.0,0.0003,0.005255555555555555,0.0014555555555555554,0.0,0.014544444444444447
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.0,0.94605,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0017666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0508
Lazio,0.00952,0.0,0.0,0.014839999999999997,0.00112,0.0,0.93992,0.0,0.0,0.0,0.0014,0.0014,0.0,0.001525,0.000125,0.0,0.0,0.008799999999999999,0.022120000000000004,0.0,0.0001
Liguria,0.0,0.0,0.0,0.0,0.005425,0.0,0.0,0.92315,0.0059,0.0,0.0,0.0,0.0,0.026375000000000003,0.0,0.0,0.0,0.039125000000000014,0.0,0.0,0.0
Lombardia,0.0,0.0,5.7142857142857155e-05,0.0,0.01125,0.00015454545454545454,0.0006666666666666666,0.0012,0.9633416666666668,3.333333333333333e-05,0.0,0.00010833333333333333,0.0016916666666666664,0.013175,0.000175,0.0,0.00044,0.00105,0.0,0.0008363636363636363,0.006274999999999999
Marche,0.027860000000000003,0.0,0.0,0.002925,0.0164,0.0,0.00156,0.0,0.0041600000000000005,0.94006,0.0,0.0,0.0,0.0,0.0022199999999999998,0.0,0.0,0.0009199999999999999,0.00446,0.0,0.0
Molise,0.0413,0.0,0.0,0.0534,0.0,0.0,0.0122,0.0,0.0,0.0046,0.8748,0.0,0.0,0.0,0.01375,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0037,0.0,0.0,0.0,0.0,0.0037,0.0037,0.0,0.0074,0.0,0.0,0.9004,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222
P.A. Trento,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0172,0.0,0.0,0.0173,0.9228,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.03860000000000001
Piemonte,0.0,0.0,0.0,0.0,0.00215,0.0,0.0001,0.009275000000000002,0.038425,0.001375,0.0,0.0,0.0,0.94325,0.0002,0.0,0.0,6.25e-05,0.0,0.005062500000000001,0.000975
Puglia,0.0008833333333333332,0.007783333333333333,0.0004,0.0023166666666666665,0.0,0.0,0.0011333333333333332,0.0,0.0,0.0,0.0044333333333333325,0.0,0.0,0.0007333333333333332,0.9823333333333334,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964799999999999,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.0042,0.0,0.0,0.0,0.0005833333333333334,0.0,0.0005833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964666666666666,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.00171,0.009040000000000001,0.0,0.006870000000000001,0.019269999999999995,0.00118,0.0013333333333333333,0.0,0.000825,0.000925,0.00017999999999999998,0.0,0.0,0.0,0.9463199999999998,0.00943,0.001475,0.0027600000000000003
Umbria,0.00175,0.0,0.0,0.0,0.00175,0.0,0.0634,0.0,0.0048,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.89715,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.006999999999999999,0.0,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,0.0035,0.0,0.9196,0.0
Veneto,0.0,0.0,0.0,0.00026000000000000003,0.019357142857142857,0.015299999999999998,0.0,0.0,0.010071428571428571,0.0006285714285714286,0.0,0.0035142857142857137,0.0089,0.0005142857142857143,0.00021666666666666666,0.0,0.0,0.00017142857142857143,0.0,0.0,0.9411857142857142
