p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.9303,0.0,0.0,0.0,0.005075,0.0,0.0218,0.0,0.0,0.031825,0.006699999999999999,0.0,0.0,0.0,0.00255,0.0,0.0,0.0,0.001725,0.0,0.0
Basilicata,0.0,0.8909999999999999,0.01335,0.042400000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.0098,0.97972,0.00392,0.0,0.0,0.0,0.0,0.004880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075200000000000015,0.0,0.0,0.0,0.0
Campania,0.0,0.00518,0.0,0.9569200000000001,0.0,0.0,0.02016,0.0015333333333333336,0.00028,0.0007,0.004059999999999999,0.0,0.0,0.0004666666666666666,0.0117,0.0,0.0,0.0,0.0,0.0,0.00035
Emilia-Romagna,0.0012555555555555558,0.0,0.0,0.0001333333333333333,0.9293333333333336,0.00034444444444444437,0.0,0.0016749999999999998,0.03264444444444445,0.011144444444444441,0.00056,0.0,0.0004333333333333333,0.0013000000000000002,0.0006125,0.0,0.0003,0.005966666666666667,0.0006222222222222223,0.0,0.014288888888888887
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.0005,0.947225,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051825
Lazio,0.01326,0.0,0.0,0.01872,0.0001,0.0,0.93494,0.0,0.0018399999999999998,0.0002,0.0014,0.0,0.0,0.000125,0.0,0.00016666666666666666,0.0004,0.0064,0.0226,0.0,0.0002
Liguria,0.0,0.0,0.0,0.0,0.00075,0.0032,0.0009,0.922875,0.006999999999999999,0.0,0.0,0.0,0.0,0.029275,0.0,0.0,0.0,0.037225,0.0,0.0,0.000375
Lombardia,0.0,0.0,0.0001,0.0001,0.01619166666666667,0.00024545454545454545,0.0003666666666666666,0.0015166666666666668,0.9588166666666668,0.0004416666666666666,0.0,0.0,0.0009333333333333332,0.01075,0.0,0.0,0.00024,0.0005166666666666667,0.0,0.00012727272727272728,0.009825
Marche,0.034480000000000004,0.0,0.0,0.001125,0.034480000000000004,0.0,0.00364,0.0,0.0,0.91696,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0009,0.005560000000000001,0.0,0.0008
Molise,0.05295,0.0,0.0,0.03835,0.00485,0.0,0.0,0.0,0.0,0.0,0.87955,0.0,0.0,0.0,0.02425,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0041,0.0,0.0,0.0,0.9053,0.0535,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0288
P.A. Trento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0239,0.9268,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0351
Piemonte,0.0,0.0,0.0,0.0,0.0011625,0.0,0.0001,0.0087625,0.0412375,0.0,0.0,0.0,0.0,0.94525,0.00022,0.0,0.0,0.0004875,0.0,0.0028875,6.25e-05
Puglia,0.0018333333333333333,0.008133333333333334,0.0006666666666666666,0.004483333333333333,0.0009166666666666666,0.0,0.0004,0.0,0.0,0.0,0.0036833333333333336,0.0012,0.0,0.0,0.9795,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.001575,0.0,0.0020666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.99754,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.004833333333333333,0.0,0.0,0.0,0.0006,0.0,0.00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943777777777778,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.00018999999999999998,0.013880000000000002,0.0,0.0054,0.023950000000000003,0.0013800000000000002,0.001911111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0007833333333333334,0.9426899999999999,0.00854,0.0,0.00183
Umbria,0.00185,0.0,0.0,0.0,0.0,0.0,0.05505,0.0,0.0,0.01995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218,0.9014,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0,0.9,0.0
Veneto,0.0,0.0,0.0,0.00028,0.01761428571428571,0.012000000000000002,0.0006142857142857142,0.00024,0.016142857142857143,0.0,0.0,0.002871428571428571,0.007357142857142856,0.0004142857142857143,0.0,0.0,0.0,0.0018714285714285714,0.0,0.0,0.9408285714285716
