p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.9556,0.0,0.0,0.001775,0.0021,0.0,0.014175000000000004,0.0,0.0,0.014725,0.0102,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.9023,0.0308,0.013500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053249999999999985,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.0176,0.98034,0.0013999999999999998,0.0,0.0081,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.002025,0.0,0.006500000000000001,0.0,0.0,0.0,0.0
Campania,0.00030000000000000003,0.00212,0.0014199999999999998,0.97992,0.0,0.0,0.01208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246,0.0,0.0027666666666666673,0.0,0.0,0.0,0.0
Emilia-Romagna,0.0,0.0,0.0,0.0,0.9636666666666668,0.0,0.00014444444444444444,0.0,0.015511111111111113,0.007033333333333336,0.00026000000000000003,0.0002222222222222222,0.00042222222222222216,0.001,0.0,0.0,0.0,0.002133333333333333,0.0008777777777777778,0.0,0.0088
Friuli Venezia Giulia,0.0022,0.0,0.0,0.0,0.0,0.97155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279
Lazio,0.0082,0.0,0.0,0.0057399999999999994,0.0,0.0,0.96208,0.0,0.00396,0.00012,0.0,0.0,0.0,0.00165,0.0003,0.0002,0.00165,0.00456,0.01242,0.0,0.0
Liguria,0.0,0.0,0.0,0.0,0.00205,0.0,0.000425,0.968975,0.00085,0.0,0.0,0.0027333333333333337,0.0,0.010900000000000002,0.0,0.0,0.0,0.014825,0.0,0.0,0.0
Lombardia,0.0,0.0,0.0,0.0,0.008458333333333333,0.0,0.0002666666666666666,0.00029166666666666664,0.978,0.000275,0.0,0.0,0.000425,0.006608333333333332,0.0,0.0,0.0,3.333333333333333e-05,5.7142857142857155e-05,0.0,0.005575
Marche,0.01658,0.0,0.0,0.0,0.013859999999999999,0.0,0.0,0.0,0.0,0.9622799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00374,0.0,0.00254
Molise,0.039,0.0,0.0051,0.0,0.0,0.0,0.013500000000000002,0.0,0.0,0.0,0.9322,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.9471,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096
P.A. Trento,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0077,0.0,0.0,0.0077,0.9583,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.022900000000000004
Piemonte,0.0,0.0,0.0,0.0,0.001075,0.0,0.0,0.0035625,0.0196125,0.0,0.0,0.0,0.0,0.9744,0.0,0.0,0.0,0.0,0.0,0.00095,0.0004125
Puglia,0.0,0.01073333333333333,0.0,0.0011166666666666666,0.0,0.0,0.0,0.0,0.0,0.0004666666666666666,0.0031166666666666673,0.0,0.0,0.0,0.9845666666666668,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.0018000000000000004,0.0011,0.0,0.0,0.0006333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980111111111108,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.0,0.0075499999999999986,0.0,0.00248,0.00953,0.00053,0.0007333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97321,0.00558,0.0,0.00053
Umbria,0.0,0.0,0.0,0.00595,0.0039,0.0,0.0356,0.0,0.0,0.00985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02165,0.9209999999999999,0.0,0.00195
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.9823,0.0
Veneto,0.0,0.0,0.0,0.0,0.0139,0.008742857142857142,0.0,0.0,0.008185714285714286,0.0,0.0,0.0016142857142857144,0.002857142857142857,0.00018571428571428566,0.0,0.0,0.0,0.00018571428571428566,0.0,0.0,0.9643428571428572
