p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.987675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006625,0.003075,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.97095,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.0,0.9927799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072000000000000015,0.0,0.0,0.0,0.0
Campania,0.0,0.0015,0.00074,0.9941200000000001,0.0,0.0,0.00198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00168,0.0,0.0,0.0,0.0,0.0,0.0
Emilia-Romagna,0.00016666666666666666,0.0,0.0,0.0,0.9898333333333332,0.00037777777777777777,0.0,0.0,0.005066666666666667,0.000711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009222222222222225,0.0,0.0,0.002933333333333333
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.0006,0.98635,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012475
Lazio,0.0,0.0,0.0,0.0054399999999999995,0.0,0.0,0.9751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00518,0.01154,0.0,0.0
Liguria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981475,0.0078,0.0,0.0,0.0,0.0,0.002625,0.0,0.0,0.0,0.008075,0.0,0.0,0.0
Lombardia,0.0,0.0,0.0,0.0,0.0027583333333333327,0.00016363636363636366,0.000275,0.0007,0.990625,0.0,0.0,0.0,0.000375,0.002283333333333333,0.0,0.0,0.0,0.0,0.0,4.545454545454546e-05,0.0028166666666666665
Marche,0.01236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840399999999999,0.0,0.0,0.0,0.0,0.0026000000000000003,0.0,0.0,0.0,0.0,0.0,0.00106
Molise,0.03805,0.0,0.0,0.00545,0.0,0.0,0.0,0.0,0.0,0.0,0.9402,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.9824,0.0059,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Trento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0035,0.9805,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0072
Piemonte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014125,0.0052125,0.0,0.0,0.0,0.0001,0.9929875,0.00012,0.0,0.0,0.0,0.0,0.0002125,0.0
Puglia,0.0,0.0021166666666666664,0.0,0.0010666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0010666666666666667,0.0,0.0,0.0,0.99575,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99592,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.00285,0.0,0.0,0.0,0.0022166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965888888888891,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.0006900000000000001,0.00186,0.0,0.0006999999999999999,0.00349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99116,0.0020800000000000003,0.0,0.0
Umbria,0.0,0.0,0.0,0.0,0.0,0.0,0.02945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.9685,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.9858,0.0
Veneto,0.0,0.0,0.0,0.0,0.004900000000000001,0.0025714285714285717,0.0,0.0,0.0039,0.0002142857142857143,0.0,0.0,0.0011285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872714285714286
