p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.966575,0.0,0.0,0.0,0.001775,0.0,0.013425,0.0,0.0,0.014175,0.00405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.9621,0.01515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02275,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0122,0.00315,0.99388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campania,0.0,0.00134,0.00128,0.99142,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00268,0.0,0.0,0.0,0.0,0.0,0.0
Emilia-Romagna,0.0,0.0,0.0004333333333333333,0.0,0.9784888888888889,0.0,0.0003333333333333333,0.0004375,0.011588888888888888,0.0029111111111111113,0.00026000000000000003,0.0,0.0,0.00045555555555555546,0.0,0.0,0.0,0.0017444444444444445,0.0,0.0,0.003822222222222222
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.0,0.971925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02805
Lazio,0.0054399999999999995,0.0,0.0,0.0036799999999999997,0.00024,0.0,0.9725799999999999,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.013239999999999998,0.0,0.00086
Liguria,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.972825,0.0,0.0,0.0,0.0,0.0,0.010925,0.0,0.0,0.0,0.0144,0.0,0.0,0.0
Lombardia,0.0,0.0,0.0,0.0,0.007441666666666666,0.0,0.00011666666666666668,0.00019166666666666667,0.9855833333333334,0.0,0.0,0.00019166666666666667,0.00035,0.0031583333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0029833333333333326
Marche,0.008119999999999999,0.0,0.0,0.0,0.00938,0.0,0.0,0.0,0.0,0.9811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,0.0,0.0
Molise,0.0211,0.0,0.0,0.0,0.0,0.0,0.01165,0.0,0.0,0.0,0.94375,0.0,0.0,0.0,0.01885,0.0,0.0,0.0,0.0,0.0,0.0047
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.914,0.0814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Trento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0284,0.9489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017
Piemonte,0.0,0.0,0.0,0.0,6.25e-05,0.0,0.0002,0.0037375,0.011025,0.0,0.0,0.0,0.0,0.9847625,0.0,0.0,0.0,0.0,0.0,0.0003125,0.0
Puglia,0.0,0.00295,0.0,0.0009333333333333332,0.0,0.0,0.0013666666666666669,0.0,0.0,0.0,0.002783333333333333,0.0,0.00175,0.0,0.9913833333333332,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000200000000001,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.0008166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994444444444446,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.0,0.0034500000000000004,0.0,0.00091,0.00691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98649,0.0022600000000000003,0.0,0.0
Umbria,0.0,0.0,0.0,0.0,0.00185,0.0,0.04185,0.0,0.0,0.00555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00925,0.94155,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.9793,0.0
Veneto,0.0,0.0,0.0,0.00028,0.005614285714285715,0.008285714285714285,0.00017142857142857143,0.0,0.0041285714285714285,0.0,0.0,0.0002,0.0029714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784428571428572
