p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.93485,0.0,0.0,0.0012,0.0,0.0,0.013825,0.0,0.0,0.027175,0.014475,0.0,0.0,0.00185,0.0048,0.0,0.0,0.0,0.0,0.0,0.00185
Basilicata,0.0,0.90525,0.0271,0.035750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02745,0.0,0.0089,0.0,0.0,0.0,0.0
Calabria,0.0,0.0056,0.9783,0.00706,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005525,0.0,0.0068000000000000005,0.0,0.0,0.0,0.0
Campania,0.0,0.006540000000000001,0.0047799999999999995,0.96528,0.0006000000000000001,0.0,0.00982,0.0,0.00030000000000000003,0.0,0.006500000000000001,0.0,0.0,0.0,0.00412,0.0,0.001,0.0,0.00116,0.0,0.000375
Emilia-Romagna,0.0,0.0,0.0,0.0005333333333333334,0.9252111111111112,0.0004111111111111111,0.0003111111111111111,0.0032,0.031022222222222225,0.011066666666666669,0.0,0.00038888888888888887,0.0011444444444444445,0.0018888888888888887,0.000725,0.0,0.0,0.00942222222222222,0.000688888888888889,0.0,0.014388888888888887
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.00125,0.93395,0.0,0.0,0.002975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061800000000000015
Lazio,0.01444,0.0,0.0,0.0182,0.0013,0.0,0.9271,0.00015,0.00012,0.0032,0.0034,0.00015,0.0,0.0,0.0003,0.0,0.0003,0.007640000000000002,0.023420000000000003,0.0,0.00126
Liguria,0.0,0.0,0.0,0.0015,0.004875000000000001,0.0,0.00075,0.908475,0.009475,0.0,0.0,0.0,0.001,0.037175,0.0,0.0,0.0,0.037075,0.0,0.0,0.0
Lombardia,0.0,0.0,0.0,0.0005727272727272727,0.01788333333333333,7.272727272727273e-05,0.0007499999999999999,0.0016166666666666664,0.9556083333333332,0.00013333333333333334,0.0,0.0009083333333333334,0.0010333333333333334,0.012683333333333331,0.0002875,0.0,0.0,0.0003,0.0,7.272727272727273e-05,0.008374999999999999
Marche,0.03916,0.0,0.0,0.0024,0.028780000000000007,0.0,0.00074,0.0,0.00286,0.90636,0.0,0.0,0.0,0.0,0.0017399999999999998,0.0,0.0,0.00176,0.015739999999999997,0.0,0.00088
Molise,0.05995,0.0,0.0,0.04315,0.0,0.0,0.0303,0.0,0.0,0.0,0.8429,0.0,0.0,0.0,0.0236,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8884,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313
P.A. Trento,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.014,0.0,0.0,0.0197,0.9255,0.0,0.0,0.0014,0.0,0.0014,0.0,0.0,0.0365
Piemonte,0.0001,0.0,0.0,0.0,0.0019875,0.0,0.0,0.012225,0.04170000000000002,0.000125,0.0,0.0,8.333333333333333e-05,0.9403375,0.0,0.0,0.0,0.0012499999999999998,0.0007999999999999999,0.001625,0.0003625
Puglia,0.004083333333333335,0.004366666666666667,0.0005666666666666666,0.004333333333333334,0.0009000000000000002,0.0,0.001716666666666667,0.0,0.0,0.0009000000000000002,0.006266666666666667,0.0,0.0,0.0,0.9765666666666668,0.0,0.0,0.0004333333333333333,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.0,0.0,0.0,0.0,0.00265
Sicilia,0.0,0.0018,0.0031166666666666673,0.0,0.0,0.0,0.0005166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971555555555556,0.0,0.0,0.0,0.0
Toscana,0.0012,0.0,0.00255,0.00044,0.014459999999999999,0.0,0.00847,0.016999999999999998,0.00237,0.0009666666666666666,0.0,0.0,0.00055,0.0,0.0,0.0,0.0,0.94689,0.0062,0.0,0.0016
Umbria,0.0,0.0,0.0,0.0,0.0037,0.0,0.0661,0.0,0.00185,0.01645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.8867,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0608,0.0,0.0,0.0,0.0,0.0,0.9354,0.0
Veneto,0.0,0.0,0.0,0.00026000000000000003,0.02508571428571429,0.015457142857142859,0.0005428571428571428,0.0,0.0102,0.00018571428571428566,0.0,0.002871428571428571,0.007857142857142858,0.0,0.0,0.0,0.0,0.00038571428571428567,0.0,0.0,0.9372285714285714
