p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.93555,0.0,0.0,0.001575,0.003225,0.0,0.019375,0.0,0.0,0.027225,0.00915,0.0,0.0,0.0,0.003825,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.84845,0.02075,0.055650000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07525000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.0124,0.98084,0.00156,0.0,0.0,0.003,0.0,0.0024,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.00624,0.0,0.0,0.0,0.0
Campania,0.00026000000000000003,0.00542,0.00062,0.96194,0.0,0.0,0.02164000000000001,0.0004333333333333333,0.0008799999999999998,0.0,0.00286,0.0,0.0013,0.0,0.005019999999999999,0.0,0.0004333333333333333,0.0,0.00026000000000000003,0.0,0.000325
Emilia-Romagna,0.0001333333333333333,0.0,0.0,0.0001333333333333333,0.9413,0.0,0.0004,0.0008749999999999999,0.029822222222222236,0.008288888888888889,0.0,0.0001333333333333333,0.0001333333333333333,0.0020333333333333327,0.00015,0.0,0.0003,0.0036444444444444436,0.0004444444444444444,0.0,0.012444444444444444
Friuli Venezia Giulia,0.0,0.0,0.0,0.00425,0.0034500000000000004,0.939375,0.0,0.0,0.005325,0.0,0.0,0.000475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493
Lazio,0.01374,0.0,0.0001,0.015419999999999994,0.00124,0.0,0.92858,0.0,0.0007199999999999999,0.0,0.003875,0.0,0.0,0.0,0.00165,0.0,0.0,0.013880000000000002,0.0219,0.0,0.0
Liguria,0.0,0.0,0.0,0.0,0.0035,0.0,0.00035,0.91885,0.006999999999999999,0.0,0.0,0.0,0.0004666666666666666,0.031,0.0007,0.0,0.0,0.0385,0.0,0.0,0.0
Lombardia,4e-05,0.0,0.0,0.0002,0.01520833333333333,0.0005363636363636364,0.0004416666666666666,0.0009416666666666668,0.9618583333333331,0.0,0.0,0.00010833333333333333,0.0007500000000000001,0.010225,5e-05,0.0001,0.00034,0.00018333333333333334,0.0,0.0003,0.009025
Marche,0.025020000000000004,0.0,0.0,0.0,0.024020000000000003,0.0,0.00264,0.00245,0.0008200000000000001,0.93532,0.0015800000000000002,0.0,0.0,0.0,0.00098,0.0,0.0,0.00098,0.0077199999999999986,0.0,0.0
Molise,0.0225,0.0,0.0,0.02865,0.0,0.0,0.0303,0.0,0.0,0.0,0.89595,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.8795,0.0683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04010000000000001
P.A. Trento,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0145,0.0,0.0,0.0251,0.9168,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0343
Piemonte,0.0001,0.0,0.0008333333333333334,0.0,0.002625,8.333333333333333e-05,0.00028,0.0097375,0.0426875,0.0,0.0,0.0,0.0004166666666666667,0.9396375,0.0001,0.0,0.0,0.0,0.0,0.0039875,0.00035
Puglia,0.0020666666666666667,0.0072166666666666655,0.0,0.0016666666666666663,0.0004,0.0,0.0007999999999999999,0.0,0.00096,0.0,0.004333333333333334,0.0,0.0,0.0004,0.9804666666666666,0.0,0.0007999999999999999,0.0,0.0,0.0,0.0016600000000000002
Sardegna,0.0,0.0,0.0,0.0024666666666666674,0.003,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.9949399999999999,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.004633333333333333,0.0017,0.0,0.0,0.0,0.0,0.00105,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.9944888888888888,0.0017,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.0,0.007769999999999998,0.0,0.00968,0.02348,0.00036,0.0007888888888888889,0.0,0.0,0.0,0.00186,0.0,0.0,0.0,0.94791,0.00772,0.0,0.00054
Umbria,0.0018,0.0,0.0,0.0,0.01035,0.0,0.06035,0.0,0.0,0.00895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040250000000000015,0.8684000000000001,0.0,0.01
Valle d'Aosta,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0187,0.0,0.0,0.0,0.0,0.07839999999999997,0.0,0.0,0.0,0.0,0.0,0.8993,0.0
Veneto,0.0002333333333333333,0.0,0.0,0.00026000000000000003,0.015014285714285713,0.015271428571428571,0.0007857142857142856,0.0,0.014299999999999997,0.0005428571428571428,0.0,0.003442857142857143,0.007171428571428572,0.0007142857142857143,0.0,0.0,0.0,0.0005571428571428572,0.0,0.0,0.9418857142857144
