p1,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
Abruzzo,0.97745,0.0,0.0,0.0,0.002225,0.0,0.005175,0.0,0.0,0.0123,0.001425,0.0,0.0,0.0,0.001425,0.0,0.0,0.0,0.0,0.0,0.0
Basilicata,0.0,0.9517,0.01245,0.023350000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01245,0.0,0.0,0.0,0.0,0.0,0.0
Calabria,0.0,0.0066,0.99198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00536,0.0,0.0,0.0,0.0
Campania,0.0,0.006039999999999999,0.0007,0.988,0.0007,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.000375
Emilia-Romagna,0.0,0.0,0.0,0.00015555555555555556,0.9729777777777778,0.0007777777777777777,0.00042222222222222216,0.0,0.0126,0.003133333333333333,0.0,0.0,0.0,0.0005888888888888889,0.0,0.0,0.0,0.0015666666666666667,0.0003555555555555556,0.0,0.007333333333333334
Friuli Venezia Giulia,0.0,0.0,0.0,0.0,0.000925,0.969575,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02895
Lazio,0.00392,0.0,0.0,0.00762,0.0012200000000000002,0.0,0.96226,0.0,0.00024,0.0,0.001675,0.0,0.0,0.00015,0.0,0.0,0.0,0.00508,0.0181,0.0,0.0
Liguria,0.0,0.0,0.0,0.0,0.001925,0.0,0.0,0.9807,0.002775,0.0,0.0,0.0,0.0,0.007925,0.0,0.0,0.0,0.006625,0.0,0.0,0.0
Lombardia,0.0,0.0,0.0,0.0,0.006758333333333334,0.0,0.000375,0.00055,0.9813666666666668,0.0,0.0,0.00031666666666666665,0.0007000000000000001,0.005716666666666666,0.0,0.0,0.0,0.0,5.7142857142857155e-05,3.636363636363637e-05,0.004083333333333335
Marche,0.007859999999999999,0.0,0.0,0.0,0.0030600000000000002,0.0,0.0,0.0,0.0,0.9854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010199999999999999,0.0,0.00264
Molise,0.01075,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.0,0.9407,0.0,0.0,0.0,0.0215,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Bolzano,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0049,0.0,0.0,0.9557,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.A. Trento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0,0.0,0.0109,0.9581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218
Piemonte,0.0,0.0,0.0,0.0,0.000825,0.0,0.0001,0.003912499999999999,0.013925,0.0,0.0,0.0,0.0,0.9791625,0.0,0.0,0.0,0.0003375,0.0,0.00095,0.0007624999999999999
Puglia,0.0018666666666666664,0.0008833333333333332,0.0,0.0,0.0,0.0,0.00155,0.0,0.0,0.0009333333333333332,0.0037166666666666663,0.0,0.0,0.0,0.9910333333333332,0.0,0.0,0.0,0.0,0.0,0.0
Sardegna,0.0,0.0,0.0,0.0,0.0,0.0,0.004725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99622,0.0,0.0,0.0,0.0,0.0
Sicilia,0.0,0.0,0.0018666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998777777777778,0.0,0.0,0.0,0.0
Toscana,0.0,0.0,0.0,0.0,0.005679999999999999,0.0,0.00343,0.00586,0.0009699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97861,0.00424,0.0,0.00121
Umbria,0.0,0.0,0.0,0.0019,0.00385,0.0,0.055250000000000014,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.022550000000000004,0.91455,0.0,0.0
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0043,0.0,0.0,0.0,0.0,0.0302,0.0,0.0,0.0,0.0,0.0,0.9612,0.0
Veneto,0.0,0.0,0.0,0.00028,0.00922857142857143,0.0067714285714285715,0.0,0.0,0.004971428571428572,0.0,0.0,0.0006,0.0028,0.00022857142857142862,0.0,0.0,0.0,0.0,0.0,0.0,0.9751428571428572
