date,name,cumCase
2020-11-26,South East,127553
2020-11-26,South West,76688
2020-11-26,West Midlands,159106
2020-11-26,Yorkshire and The Humber,207656
2020-11-27,East Midlands,134225
2020-11-27,East of England,82924
2020-11-27,London,155658
2020-11-27,North East,97756
2020-11-27,North West,301860
2020-11-27,South East,129353
2020-11-27,South West,77396
2020-11-27,West Midlands,160824
2020-11-27,Yorkshire and The Humber,209080
2020-11-28,East Midlands,135556
2020-11-28,East of England,83998
2020-11-28,London,157918
2020-11-28,North East,98508
2020-11-28,North West,303529
2020-11-28,South East,131271
2020-11-28,South West,78275
2020-11-28,West Midlands,162501
2020-11-28,Yorkshire and The Humber,210743
2020-11-29,East Midlands,136454
2020-11-29,East of England,84972
2020-11-29,London,159557
2020-11-29,North East,99106
2020-11-29,North West,304875
2020-11-29,South East,132839
2020-11-29,South West,78890
2020-11-29,West Midlands,163670
2020-11-29,Yorkshire and The Humber,211924
2020-11-30,East Midlands,137481
2020-11-30,East of England,86063
2020-11-30,London,161626
2020-11-30,North East,99634
2020-11-30,North West,305677
2020-11-30,South East,134734
2020-11-30,South West,79424
2020-11-30,West Midlands,165388
2020-11-30,Yorkshire and The Humber,213043
2020-12-01,East Midlands,138556
2020-12-01,East of England,86993
2020-12-01,London,163590
2020-12-01,North East,100272
2020-12-01,North West,307366
2020-12-01,South East,136610
2020-12-01,South West,80111
2020-12-01,West Midlands,166823
2020-12-01,Yorkshire and The Humber,214280
2020-12-02,East Midlands,139831
2020-12-02,East of England,88314
2020-12-02,London,166204
2020-12-02,North East,100862
2020-12-02,North West,309085
2020-12-02,South East,138820
2020-12-02,South West,80760
2020-12-02,West Midlands,168318
2020-12-02,Yorkshire and The Humber,215627
2020-12-03,East Midlands,140923
2020-12-03,East of England,89499
2020-12-03,London,168285
2020-12-03,North East,101514
2020-12-03,North West,310491
2020-12-03,South East,140752
2020-12-03,South West,81371
2020-12-03,West Midlands,169674
2020-12-03,Yorkshire and The Humber,217147
2020-12-04,East Midlands,142207
2020-12-04,East of England,90789
2020-12-04,London,171108
2020-12-04,North East,102212
2020-12-04,North West,311865
2020-12-04,South East,143051
2020-12-04,South West,82120
2020-12-04,West Midlands,171135
2020-12-04,Yorkshire and The Humber,218507
2020-12-05,East Midlands,143530
2020-12-05,East of England,92183
2020-12-05,London,173484
2020-12-05,North East,102798
2020-12-05,North West,313501
2020-12-05,South East,145150
2020-12-05,South West,82821
2020-12-05,West Midlands,172446
2020-12-05,Yorkshire and The Humber,219623
2020-12-06,East Midlands,144795
2020-12-06,East of England,93699
2020-12-06,London,176682
2020-12-06,North East,103340
2020-12-06,North West,315019
2020-12-06,South East,147747
2020-12-06,South West,83529
2020-12-06,West Midlands,174027
2020-12-06,Yorkshire and The Humber,220885
2020-12-07,East Midlands,145823
2020-12-07,East of England,95028
2020-12-07,London,179142
2020-12-07,North East,103806
2020-12-07,North West,316170
2020-12-07,South East,149916
2020-12-07,South West,84151
2020-12-07,West Midlands,175361
2020-12-07,Yorkshire and The Humber,221882
2020-12-08,East Midlands,146710
2020-12-08,East of England,96369
2020-12-08,London,181345
2020-12-08,North East,104212
2020-12-08,North West,317324
2020-12-08,South East,151860
2020-12-08,South West,84677
2020-12-08,West Midlands,176426
2020-12-08,Yorkshire and The Humber,222719
2020-12-09,East Midlands,147704
2020-12-09,East of England,97789
2020-12-09,London,183895
2020-12-09,North East,104899
2020-12-09,North West,319058
2020-12-09,South East,154101
2020-12-09,South West,85271
2020-12-09,West Midlands,177807
2020-12-09,Yorkshire and The Humber,223986
2020-12-10,East Midlands,149314
2020-12-10,East of England,100178
2020-12-10,London,188039
2020-12-10,North East,105690
2020-12-10,North West,320557
2020-12-10,South East,157546
2020-12-10,South West,85971
2020-12-10,West Midlands,179456
2020-12-10,Yorkshire and The Humber,225239
2020-12-11,East Midlands,150842
2020-12-11,East of England,102589
2020-12-11,London,192794
2020-12-11,North East,106379
2020-12-11,North West,322133
2020-12-11,South East,160787
2020-12-11,South West,86588
2020-12-11,West Midlands,181085
2020-12-11,Yorkshire and The Humber,226546
2020-12-12,East Midlands,152157
2020-12-12,East of England,104736
2020-12-12,London,197077
2020-12-12,North East,107150
2020-12-12,North West,323924
2020-12-12,South East,164264
2020-12-12,South West,87471
2020-12-12,West Midlands,182594
2020-12-12,Yorkshire and The Humber,227794
2020-12-13,East Midlands,153445
2020-12-13,East of England,106827
2020-12-13,London,201243
2020-12-13,North East,107722
2020-12-13,North West,325414
2020-12-13,South East,167725
2020-12-13,South West,88443
2020-12-13,West Midlands,184371
2020-12-13,Yorkshire and The Humber,229030
2020-12-14,East Midlands,154629
2020-12-14,East of England,109677
2020-12-14,London,206565
2020-12-14,North East,108231
2020-12-14,North West,326498
2020-12-14,South East,171523
2020-12-14,South West,89249
2020-12-14,West Midlands,185604
2020-12-14,Yorkshire and The Humber,230039
2020-12-15,East Midlands,155825
2020-12-15,East of England,111971
2020-12-15,London,210803
2020-12-15,North East,108691
2020-12-15,North West,328074
2020-12-15,South East,174645
2020-12-15,South West,90042
2020-12-15,West Midlands,187177
2020-12-15,Yorkshire and The Humber,231200
2020-12-16,East Midlands,157173
2020-12-16,East of England,115316
2020-12-16,London,217580
2020-12-16,North East,109492
2020-12-16,North West,330238
2020-12-16,South East,179042
2020-12-16,South West,91173
2020-12-16,West Midlands,189106
2020-12-16,Yorkshire and The Humber,232568
2020-12-17,East Midlands,158567
2020-12-17,East of England,119195
2020-12-17,London,223342
2020-12-17,North East,110082
2020-12-17,North West,332086
2020-12-17,South East,183786
2020-12-17,South West,92308
2020-12-17,West Midlands,190858
2020-12-17,Yorkshire and The Humber,233688
2020-12-18,East Midlands,160502
2020-12-18,East of England,123352
2020-12-18,London,230720
2020-12-18,North East,110597
2020-12-18,North West,333616
2020-12-18,South East,188801
2020-12-18,South West,93246
2020-12-18,West Midlands,192586
2020-12-18,Yorkshire and The Humber,234718
2020-12-19,East Midlands,161659
2020-12-19,East of England,126873
2020-12-19,London,237651
2020-12-19,North East,111128
2020-12-19,North West,335319
2020-12-19,South East,193567
2020-12-19,South West,94349
2020-12-19,West Midlands,194326
2020-12-19,Yorkshire and The Humber,235832
2020-12-20,East Midlands,163313
2020-12-20,East of England,131519
2020-12-20,London,249228
2020-12-20,North East,111714
2020-12-20,North West,337264
2020-12-20,South East,200687
2020-12-20,South West,95209
2020-12-20,West Midlands,196774
2020-12-20,Yorkshire and The Humber,236973
2020-12-21,East Midlands,164810
2020-12-21,East of England,135571
2020-12-21,London,258686
2020-12-21,North East,112822
2020-12-21,North West,339534
2020-12-21,South East,206209
2020-12-21,South West,96433
2020-12-21,West Midlands,198628
2020-12-21,Yorkshire and The Humber,238508
2020-12-22,East Midlands,166662
2020-12-22,East of England,140146
2020-12-22,London,268887
2020-12-22,North East,114075
2020-12-22,North West,341892
2020-12-22,South East,212429
2020-12-22,South West,97983
2020-12-22,West Midlands,200911
2020-12-22,Yorkshire and The Humber,240120
2020-12-23,East Midlands,168535
2020-12-23,East of England,145757
2020-12-23,London,278760
2020-12-23,North East,115016
2020-12-23,North West,344689
2020-12-23,South East,218415
2020-12-23,South West,99301
2020-12-23,West Midlands,204513
2020-12-23,Yorkshire and The Humber,241970
2020-12-24,East Midlands,170644
2020-12-24,East of England,151835
2020-12-24,London,289473
2020-12-24,North East,116153
2020-12-24,North West,347501
2020-12-24,South East,225325
2020-12-24,South West,100681
2020-12-24,West Midlands,206669
2020-12-24,Yorkshire and The Humber,243939
2020-12-25,East Midlands,172531
2020-12-25,East of England,156766
2020-12-25,London,299263
2020-12-25,North East,117097
2020-12-25,North West,349719
2020-12-25,South East,231649
2020-12-25,South West,101833
2020-12-25,West Midlands,209164
2020-12-25,Yorkshire and The Humber,245359
2020-12-26,East Midlands,174512
2020-12-26,East of England,161808
2020-12-26,London,307779
2020-12-26,North East,117902
2020-12-26,North West,351337
2020-12-26,South East,238798
2020-12-26,South West,103916
2020-12-26,West Midlands,211715
2020-12-26,Yorkshire and The Humber,246695
2020-12-27,East Midlands,175508
2020-12-27,East of England,165175
2020-12-27,London,317498
2020-12-27,North East,118485
2020-12-27,North West,353536
2020-12-27,South East,243810
2020-12-27,South West,105108
2020-12-27,West Midlands,212969
2020-12-27,Yorkshire and The Humber,247879
2020-12-28,East Midlands,177777
2020-12-28,East of England,170974
2020-12-28,London,329839
2020-12-28,North East,119184
2020-12-28,North West,356087
2020-12-28,South East,250400
2020-12-28,South West,107362
2020-12-28,West Midlands,215072
2020-12-28,Yorkshire and The Humber,249639
2020-12-29,East Midlands,180346
2020-12-29,East of England,178196
2020-12-29,London,344714
2020-12-29,North East,120414
2020-12-29,North West,360281
2020-12-29,South East,259286
2020-12-29,South West,109552
2020-12-29,West Midlands,219065
2020-12-29,Yorkshire and The Humber,251525
2020-12-30,East Midlands,182776
2020-12-30,East of England,184927
2020-12-30,London,357544
2020-12-30,North East,122371
2020-12-30,North West,363701
2020-12-30,South East,267426
2020-12-30,South West,111769
2020-12-30,West Midlands,222497
2020-12-30,Yorkshire and The Humber,253582
2020-12-31,East Midlands,185558
2020-12-31,East of England,192406
2020-12-31,London,369948
2020-12-31,North East,124112
2020-12-31,North West,368447
2020-12-31,South East,277197
2020-12-31,South West,114455
2020-12-31,West Midlands,227483
2020-12-31,Yorkshire and The Humber,256077
2021-01-01,East Midlands,188637
2021-01-01,East of England,200046
2021-01-01,London,385037
2021-01-01,North East,125452
2021-01-01,North West,373611
2021-01-01,South East,288041
2021-01-01,South West,116559
2021-01-01,West Midlands,230343
2021-01-01,Yorkshire and The Humber,258252
2021-01-02,East Midlands,191788
2021-01-02,East of England,206270
2021-01-02,London,398215
2021-01-02,North East,127189
2021-01-02,North West,377651
2021-01-02,South East,296390
2021-01-02,South West,119652
2021-01-02,West Midlands,236764
2021-01-02,Yorkshire and The Humber,261006
2021-01-03,East Midlands,193570
2021-01-03,East of England,212970
2021-01-03,London,412427
2021-01-03,North East,128755
2021-01-03,North West,383829
2021-01-03,South East,305412
2021-01-03,South West,121989
2021-01-03,West Midlands,239698
2021-01-03,Yorkshire and The Humber,262939
2021-01-04,East Midlands,197372
2021-01-04,East of England,219953
2021-01-04,London,423797
2021-01-04,North East,130879
2021-01-04,North West,390166
2021-01-04,South East,314987
2021-01-04,South West,125305
2021-01-04,West Midlands,246407
2021-01-04,Yorkshire and The Humber,265674
2021-01-05,East Midlands,200758
2021-01-05,East of England,227845
2021-01-05,London,438497
2021-01-05,North East,132431
2021-01-05,North West,395440
2021-01-05,South East,325880
2021-01-05,South West,128277
2021-01-05,West Midlands,251663
2021-01-05,Yorkshire and The Humber,268313
2021-01-06,East Midlands,204420
2021-01-06,East of England,235253
2021-01-06,London,453389
2021-01-06,North East,134411
2021-01-06,North West,401233
2021-01-06,South East,335447
2021-01-06,South West,131500
2021-01-06,West Midlands,257802
2021-01-06,Yorkshire and The Humber,271368
2021-01-07,East Midlands,207629
2021-01-07,East of England,240627
2021-01-07,London,463539
2021-01-07,North East,135747
2021-01-07,North West,408394
2021-01-07,South East,343670
2021-01-07,South West,134933
2021-01-07,West Midlands,262495
2021-01-07,Yorkshire and The Humber,274226
2021-01-08,East Midlands,211082
2021-01-08,East of England,249144
2021-01-08,London,480650
2021-01-08,North East,137225
2021-01-08,North West,416065
2021-01-08,South East,354426
2021-01-08,South West,139206
2021-01-08,West Midlands,268064
2021-01-08,Yorkshire and The Humber,276770
2021-01-09,East Midlands,214481
2021-01-09,East of England,256123
2021-01-09,London,495949
2021-01-09,North East,138322
2021-01-09,North West,423221
2021-01-09,South East,364574
2021-01-09,South West,141931
2021-01-09,West Midlands,272941
2021-01-09,Yorkshire and The Humber,279006
2021-01-10,East Midlands,217329
2021-01-10,East of England,262079
2021-01-10,London,509623
2021-01-10,North East,139591
2021-01-10,North West,430786
2021-01-10,South East,372951
2021-01-10,South West,144889
2021-01-10,West Midlands,277666
2021-01-10,Yorkshire and The Humber,281695
2021-01-11,East Midlands,220229
2021-01-11,East of England,266803
2021-01-11,London,519733
2021-01-11,North East,140829
2021-01-11,North West,436205
2021-01-11,South East,379643
2021-01-11,South West,147898
2021-01-11,West Midlands,283325
2021-01-11,Yorkshire and The Humber,283577
2021-01-12,East Midlands,222986
2021-01-12,East of England,271946
2021-01-12,London,528292
2021-01-12,North East,142128
2021-01-12,North West,442658
2021-01-12,South East,386605
2021-01-12,South West,150678
2021-01-12,West Midlands,288081
2021-01-12,Yorkshire and The Humber,285597
2021-01-13,East Midlands,226063
2021-01-13,East of England,276767
2021-01-13,London,538312
2021-01-13,North East,144039
2021-01-13,North West,448622
2021-01-13,South East,393375
2021-01-13,South West,153410
2021-01-13,West Midlands,292732
2021-01-13,Yorkshire and The Humber,288343
2021-01-14,East Midlands,229092
2021-01-14,East of England,281508
2021-01-14,London,548116
2021-01-14,North East,145674
2021-01-14,North West,455182
2021-01-14,South East,400612
2021-01-14,South West,157122
2021-01-14,West Midlands,297565
2021-01-14,Yorkshire and The Humber,290818
2021-01-15,East Midlands,232635
2021-01-15,East of England,288081
2021-01-15,London,559093
2021-01-15,North East,147622
2021-01-15,North West,461546
2021-01-15,South East,409553
2021-01-15,South West,159958
2021-01-15,West Midlands,304626
2021-01-15,Yorkshire and The Humber,292986
2021-01-16,East Midlands,235286
2021-01-16,East of England,292530
2021-01-16,London,567931
2021-01-16,North East,148883
2021-01-16,North West,466629
2021-01-16,South East,415842
2021-01-16,South West,162556
2021-01-16,West Midlands,309690
2021-01-16,Yorkshire and The Humber,294186
2021-01-17,East Midlands,237515
2021-01-17,East of England,296600
2021-01-17,London,577926
2021-01-17,North East,149960
2021-01-17,North West,470892
2021-01-17,South East,421975
2021-01-17,South West,164737
2021-01-17,West Midlands,313323
2021-01-17,Yorkshire and The Humber,295680
2021-01-18,East Midlands,240179
2021-01-18,East of England,300599
2021-01-18,London,584977
2021-01-18,North East,151047
2021-01-18,North West,475558
2021-01-18,South East,427420
2021-01-18,South West,167077
2021-01-18,West Midlands,318014
2021-01-18,Yorkshire and The Humber,297678
2021-01-19,East Midlands,242463
2021-01-19,East of England,304155
2021-01-19,London,591214
2021-01-19,North East,152113
2021-01-19,North West,479569
2021-01-19,South East,432008
2021-01-19,South West,169185
2021-01-19,West Midlands,322166
2021-01-19,Yorkshire and The Humber,299765
2021-01-20,East Midlands,245537
2021-01-20,East of England,307875
2021-01-20,London,597404
2021-01-20,North East,153612
2021-01-20,North West,484849
2021-01-20,South East,437492
2021-01-20,South West,171562
2021-01-20,West Midlands,326708
2021-01-20,Yorkshire and The Humber,302262
2021-01-21,East Midlands,248397
2021-01-21,East of England,311464
2021-01-21,London,605139
2021-01-21,North East,154996
2021-01-21,North West,489280
2021-01-21,South East,442479
2021-01-21,South West,173956
2021-01-21,West Midlands,331288
2021-01-21,Yorkshire and The Humber,304376
2021-01-22,East Midlands,251278
2021-01-22,East of England,316038
2021-01-22,London,613072
2021-01-22,North East,156263
2021-01-22,North West,494287
2021-01-22,South East,448917
2021-01-22,South West,176409
2021-01-22,West Midlands,335465
2021-01-22,Yorkshire and The Humber,306310
2021-01-23,East Midlands,253691
2021-01-23,East of England,319543
2021-01-23,London,619363
2021-01-23,North East,157439
2021-01-23,North West,498669
2021-01-23,South East,453254
2021-01-23,South West,178337
2021-01-23,West Midlands,339683
2021-01-23,Yorkshire and The Humber,308305
