date,name,Deaths
2020-07-31,East of England,4619
2020-07-31,London,6871
2020-07-31,North East,2416
2020-07-31,North West,6901
2020-07-31,South East,5673
2020-07-31,South West,2131
2020-07-31,West Midlands,5188
2020-07-31,Yorkshire and The Humber,4032
2020-08-01,East Midlands,3350
2020-08-01,East of England,4633
2020-08-01,London,6878
2020-08-01,North East,2420
2020-08-01,North West,6914
2020-08-01,South East,5693
2020-08-01,South West,2132
2020-08-01,West Midlands,5196
2020-08-01,Yorkshire and The Humber,4036
2020-08-02,East Midlands,3350
2020-08-02,East of England,4633
2020-08-02,London,6879
2020-08-02,North East,2420
2020-08-02,North West,6915
2020-08-02,South East,5692
2020-08-02,South West,2133
2020-08-02,West Midlands,5198
2020-08-02,Yorkshire and The Humber,4037
2020-08-03,East Midlands,3350
2020-08-03,East of England,4634
2020-08-03,London,6880
2020-08-03,North East,2420
2020-08-03,North West,6915
2020-08-03,South East,5693
2020-08-03,South West,2133
2020-08-03,West Midlands,5200
2020-08-03,Yorkshire and The Humber,4040
2020-08-04,East Midlands,3363
2020-08-04,East of England,4643
2020-08-04,London,6885
2020-08-04,North East,2427
2020-08-04,North West,6935
2020-08-04,South East,5708
2020-08-04,South West,2136
2020-08-04,West Midlands,5206
2020-08-04,Yorkshire and The Humber,4049
2020-08-05,East Midlands,3374
2020-08-05,East of England,4653
2020-08-05,London,6891
2020-08-05,North East,2428
2020-08-05,North West,6954
2020-08-05,South East,5712
2020-08-05,South West,2140
2020-08-05,West Midlands,5209
2020-08-05,Yorkshire and The Humber,4053
2020-08-06,East Midlands,3376
2020-08-06,East of England,4661
2020-08-06,London,6895
2020-08-06,North East,2430
2020-08-06,North West,6965
2020-08-06,South East,5720
2020-08-06,South West,2143
2020-08-06,West Midlands,5214
2020-08-06,Yorkshire and The Humber,4056
2020-08-07,East Midlands,3384
2020-08-07,East of England,4669
2020-08-07,London,6905
2020-08-07,North East,2435
2020-08-07,North West,6988
2020-08-07,South East,5734
2020-08-07,South West,2145
2020-08-07,West Midlands,5222
2020-08-07,Yorkshire and The Humber,4069
2020-08-08,East Midlands,3390
2020-08-08,East of England,4670
2020-08-08,London,6905
2020-08-08,North East,2439
2020-08-08,North West,7007
2020-08-08,South East,5745
2020-08-08,South West,2148
2020-08-08,West Midlands,5228
2020-08-08,Yorkshire and The Humber,4074
2020-08-09,East Midlands,3390
2020-08-09,East of England,4672
2020-08-09,London,6906
2020-08-09,North East,2439
2020-08-09,North West,7009
2020-08-09,South East,5744
2020-08-09,South West,2149
2020-08-09,West Midlands,5230
2020-08-09,Yorkshire and The Humber,4074
2020-08-10,East Midlands,3390
2020-08-10,East of England,4672
2020-08-10,London,6906
2020-08-10,North East,2439
2020-08-10,North West,7009
2020-08-10,South East,5744
2020-08-10,South West,2149
2020-08-10,West Midlands,5230
2020-08-10,Yorkshire and The Humber,4074
2020-08-11,East Midlands,3391
2020-08-11,East of England,4651
2020-08-11,London,6895
2020-08-11,North East,2433
2020-08-11,North West,7006
2020-08-11,South East,5733
2020-08-11,South West,2147
2020-08-11,West Midlands,5233
2020-08-11,Yorkshire and The Humber,4076
2020-08-12,East Midlands,3404
2020-08-12,East of England,4672
2020-08-12,London,6912
2020-08-12,North East,2446
2020-08-12,North West,7044
2020-08-12,South East,5760
2020-08-12,South West,2162
2020-08-12,West Midlands,5247
2020-08-12,Yorkshire and The Humber,4093
2020-08-13,East Midlands,3404
2020-08-13,East of England,4672
2020-08-13,London,6912
2020-08-13,North East,2446
2020-08-13,North West,7044
2020-08-13,South East,5760
2020-08-13,South West,2162
2020-08-13,West Midlands,5247
2020-08-13,Yorkshire and The Humber,4093
2020-08-14,East Midlands,3411
2020-08-14,East of England,4681
2020-08-14,London,6916
2020-08-14,North East,2452
2020-08-14,North West,7055
2020-08-14,South East,5775
2020-08-14,South West,2164
2020-08-14,West Midlands,5256
2020-08-14,Yorkshire and The Humber,4099
2020-08-15,East Midlands,3428
2020-08-15,East of England,4703
2020-08-15,London,6932
2020-08-15,North East,2460
2020-08-15,North West,7078
2020-08-15,South East,5798
2020-08-15,South West,2171
2020-08-15,West Midlands,5279
2020-08-15,Yorkshire and The Humber,4116
2020-08-16,East Midlands,3428
2020-08-16,East of England,4703
2020-08-16,London,6934
2020-08-16,North East,2460
2020-08-16,North West,7080
2020-08-16,South East,5798
2020-08-16,South West,2171
2020-08-16,West Midlands,5279
2020-08-16,Yorkshire and The Humber,4116
2020-08-17,East Midlands,3430
2020-08-17,East of England,4706
