date,name,Deaths
2020-10-23,South West,2400
2020-10-23,West Midlands,5918
2020-10-23,Yorkshire and The Humber,4823
2020-10-24,East Midlands,3881
2020-10-24,East of England,5193
2020-10-24,London,7440
2020-10-24,North East,3005
2020-10-24,North West,8661
2020-10-24,South East,6403
2020-10-24,South West,2402
2020-10-24,West Midlands,5928
2020-10-24,Yorkshire and The Humber,4846
2020-10-25,East Midlands,3910
2020-10-25,East of England,5210
2020-10-25,London,7450
2020-10-25,North East,3020
2020-10-25,North West,8708
2020-10-25,South East,6417
2020-10-25,South West,2412
2020-10-25,West Midlands,5949
2020-10-25,Yorkshire and The Humber,4879
2020-10-26,East Midlands,3917
2020-10-26,East of England,5221
2020-10-26,London,7458
2020-10-26,North East,3030
2020-10-26,North West,8732
2020-10-26,South East,6418
2020-10-26,South West,2412
2020-10-26,West Midlands,5968
2020-10-26,Yorkshire and The Humber,4894
2020-10-27,East Midlands,3961
2020-10-27,East of England,5244
2020-10-27,London,7478
2020-10-27,North East,3072
2020-10-27,North West,8857
2020-10-27,South East,6452
2020-10-27,South West,2439
2020-10-27,West Midlands,5989
2020-10-27,Yorkshire and The Humber,4950
2020-10-28,East Midlands,3989
2020-10-28,East of England,5255
2020-10-28,London,7503
2020-10-28,North East,3093
2020-10-28,North West,8941
2020-10-28,South East,6471
2020-10-28,South West,2451
2020-10-28,West Midlands,6018
2020-10-28,Yorkshire and The Humber,5002
2020-10-29,East Midlands,4016
2020-10-29,East of England,5272
2020-10-29,London,7526
2020-10-29,North East,3115
2020-10-29,North West,9018
2020-10-29,South East,6481
2020-10-29,South West,2461
2020-10-29,West Midlands,6048
2020-10-29,Yorkshire and The Humber,5027
2020-10-30,East Midlands,4049
2020-10-30,East of England,5294
2020-10-30,London,7552
2020-10-30,North East,3140
2020-10-30,North West,9119
2020-10-30,South East,6501
2020-10-30,South West,2473
2020-10-30,West Midlands,6068
2020-10-30,Yorkshire and The Humber,5080
2020-10-31,East Midlands,4074
2020-10-31,East of England,5318
2020-10-31,London,7567
2020-10-31,North East,3175
2020-10-31,North West,9227
2020-10-31,South East,6519
2020-10-31,South West,2488
2020-10-31,West Midlands,6106
2020-10-31,Yorkshire and The Humber,5121
2020-11-01,East Midlands,4089
2020-11-01,East of England,5331
2020-11-01,London,7572
2020-11-01,North East,3188
2020-11-01,North West,9261
2020-11-01,South East,6526
2020-11-01,South West,2498
2020-11-01,West Midlands,6133
2020-11-01,Yorkshire and The Humber,5144
2020-11-02,East Midlands,4102
2020-11-02,East of England,5341
2020-11-02,London,7584
2020-11-02,North East,3198
2020-11-02,North West,9292
2020-11-02,South East,6528
2020-11-02,South West,2499
2020-11-02,West Midlands,6152
2020-11-02,Yorkshire and The Humber,5173
2020-11-03,East Midlands,4156
2020-11-03,East of England,5353
2020-11-03,London,7603
2020-11-03,North East,3237
2020-11-03,North West,9419
2020-11-03,South East,6566
2020-11-03,South West,2516
2020-11-03,West Midlands,6199
2020-11-03,Yorkshire and The Humber,5231
2020-11-04,East Midlands,4193
2020-11-04,East of England,5387
2020-11-04,London,7634
2020-11-04,North East,3262
2020-11-04,North West,9566
2020-11-04,South East,6601
2020-11-04,South West,2531
2020-11-04,West Midlands,6252
2020-11-04,Yorkshire and The Humber,5310
2020-11-05,East Midlands,4225
2020-11-05,East of England,5405
2020-11-05,London,7651
2020-11-05,North East,3290
2020-11-05,North West,9704
2020-11-05,South East,6627
2020-11-05,South West,2543
2020-11-05,West Midlands,6287
2020-11-05,Yorkshire and The Humber,5358
2020-11-06,East Midlands,4282
2020-11-06,East of England,5432
2020-11-06,London,7677
2020-11-06,North East,3315
2020-11-06,North West,9807
2020-11-06,South East,6656
2020-11-06,South West,2553
2020-11-06,West Midlands,6324
2020-11-06,Yorkshire and The Humber,5440
2020-11-07,East Midlands,4318
2020-11-07,East of England,5457
2020-11-07,London,7698
2020-11-07,North East,3337
2020-11-07,North West,9921
2020-11-07,South East,6674
2020-11-07,South West,2575
2020-11-07,West Midlands,6358
2020-11-07,Yorkshire and The Humber,5510
2020-11-08,East Midlands,4331
2020-11-08,East of England,5464
2020-11-08,London,7712
2020-11-08,North East,3347
2020-11-08,North West,9952
2020-11-08,South East,6684
2020-11-08,South West,2584
2020-11-08,West Midlands,6382
2020-11-08,Yorkshire and The Humber,5533
2020-11-09,East Midlands,4349
2020-11-09,East of England,5478
2020-11-09,London,7724
2020-11-09,North East,3358
2020-11-09,North West,9992
2020-11-09,South East,6702
2020-11-09,South West,2590
2020-11-09,West Midlands,6418
2020-11-09,Yorkshire and The Humber,5564
2020-11-10,East Midlands,4409
2020-11-10,East of England,5493
2020-11-10,London,7750
2020-11-10,North East,3396
2020-11-10,North West,10158
2020-11-10,South East,6731
2020-11-10,South West,2613
2020-11-10,West Midlands,6471
2020-11-10,Yorkshire and The Humber,5656
2020-11-11,East Midlands,4475
2020-11-11,East of England,5532
2020-11-11,London,7786
2020-11-11,North East,3435
2020-11-11,North West,10298
2020-11-11,South East,6771
2020-11-11,South West,2640
2020-11-11,West Midlands,6517
2020-11-11,Yorkshire and The Humber,5767
2020-11-12,East Midlands,4533
2020-11-12,East of England,5572
2020-11-12,London,7829
2020-11-12,North East,3477
2020-11-12,North West,10456
2020-11-12,South East,6823
2020-11-12,South West,2663
2020-11-12,West Midlands,6597
2020-11-12,Yorkshire and The Humber,5869
2020-11-13,East Midlands,4562
2020-11-13,East of England,5591
2020-11-13,London,7839
2020-11-13,North East,3502
2020-11-13,North West,10525
2020-11-13,South East,6862
2020-11-13,South West,2680
2020-11-13,West Midlands,6650
2020-11-13,Yorkshire and The Humber,5918
2020-11-14,East Midlands,4619
2020-11-14,East of England,5612
2020-11-14,London,7862
2020-11-14,North East,3539
2020-11-14,North West,10636
2020-11-14,South East,6893
2020-11-14,South West,2705
2020-11-14,West Midlands,6696
2020-11-14,Yorkshire and The Humber,6006
2020-11-15,East Midlands,4642
2020-11-15,East of England,5622
2020-11-15,London,7872
2020-11-15,North East,3546
2020-11-15,North West,10664
2020-11-15,South East,6913
2020-11-15,South West,2711
2020-11-15,West Midlands,6721
2020-11-15,Yorkshire and The Humber,6034
2020-11-16,East Midlands,4662
2020-11-16,East of England,5633
2020-11-16,London,7882
2020-11-16,North East,3568
2020-11-16,North West,10710
2020-11-16,South East,6937
2020-11-16,South West,2722
2020-11-16,West Midlands,6743
2020-11-16,Yorkshire and The Humber,6063
2020-11-17,East Midlands,4744
2020-11-17,East of England,5658
2020-11-17,London,7948
2020-11-17,North East,3629
2020-11-17,North West,10893
2020-11-17,South East,6987
2020-11-17,South West,2726
2020-11-17,West Midlands,6824
2020-11-17,Yorkshire and The Humber,6153
2020-11-18,East Midlands,4789
2020-11-18,East of England,5699
2020-11-18,London,7951
2020-11-18,North East,3662
2020-11-18,North West,11015
2020-11-18,South East,7023
2020-11-18,South West,2777
2020-11-18,West Midlands,6882
2020-11-18,Yorkshire and The Humber,6238
2020-11-19,East Midlands,4855
2020-11-19,East of England,5720
2020-11-19,London,7987
2020-11-19,North East,3686
2020-11-19,North West,11131
2020-11-19,South East,7051
2020-11-19,South West,2808
2020-11-19,West Midlands,6939
2020-11-19,Yorkshire and The Humber,6320
2020-11-20,East Midlands,4910
2020-11-20,East of England,5761
2020-11-20,London,8044
2020-11-20,North East,3717
2020-11-20,North West,11254
2020-11-20,South East,7096
2020-11-20,South West,2842
2020-11-20,West Midlands,6998
2020-11-20,Yorkshire and The Humber,6391
2020-11-21,East Midlands,4946
2020-11-21,East of England,5770
2020-11-21,London,8047
2020-11-21,North East,3742
2020-11-21,North West,11329
2020-11-21,South East,7110
2020-11-21,South West,2854
2020-11-21,West Midlands,7060
2020-11-21,Yorkshire and The Humber,6440
2020-11-22,East Midlands,4990
2020-11-22,East of England,5800
2020-11-22,London,8081
2020-11-22,North East,3792
2020-11-22,North West,11409
2020-11-22,South East,7159
2020-11-22,South West,2887
2020-11-22,West Midlands,7117
2020-11-22,Yorkshire and The Humber,6514
2020-11-23,East Midlands,5011
2020-11-23,East of England,5813
2020-11-23,London,8099
2020-11-23,North East,3802
2020-11-23,North West,11439
2020-11-23,South East,7178
2020-11-23,South West,2906
2020-11-23,West Midlands,7145
2020-11-23,Yorkshire and The Humber,6547
2020-11-24,East Midlands,5082
2020-11-24,East of England,5856
2020-11-24,London,8124
2020-11-24,North East,3855
2020-11-24,North West,11564
2020-11-24,South East,7228
2020-11-24,South West,2948
2020-11-24,West Midlands,7235
2020-11-24,Yorkshire and The Humber,6648
2020-11-25,East Midlands,5157
2020-11-25,East of England,5892
2020-11-25,London,8176
2020-11-25,North East,3918
2020-11-25,North West,11731
2020-11-25,South East,7289
2020-11-25,South West,2991
2020-11-25,West Midlands,7333
2020-11-25,Yorkshire and The Humber,6799
2020-11-26,East Midlands,5220
2020-11-26,East of England,5916
2020-11-26,London,8207
2020-11-26,North East,3950
2020-11-26,North West,11828
2020-11-26,South East,7338
2020-11-26,South West,3023
2020-11-26,West Midlands,7383
2020-11-26,Yorkshire and The Humber,6888
2020-11-27,East Midlands,5277
2020-11-27,East of England,5963
2020-11-27,London,8259
2020-11-27,North East,3996
2020-11-27,North West,11941
2020-11-27,South East,7407
2020-11-27,South West,3057
2020-11-27,West Midlands,7455
2020-11-27,Yorkshire and The Humber,6974
2020-11-28,East Midlands,5345
2020-11-28,East of England,5990
2020-11-28,London,8297
2020-11-28,North East,4031
2020-11-28,North West,12012
2020-11-28,South East,7457
2020-11-28,South West,3098
2020-11-28,West Midlands,7532
2020-11-28,Yorkshire and The Humber,7045
2020-11-29,East Midlands,5376
2020-11-29,East of England,6007
2020-11-29,London,8313
2020-11-29,North East,4037
2020-11-29,North West,12047
2020-11-29,South East,7481
2020-11-29,South West,3112
2020-11-29,West Midlands,7567
2020-11-29,Yorkshire and The Humber,7082
2020-11-30,East Midlands,5394
2020-11-30,East of England,6023
2020-11-30,London,8335
2020-11-30,North East,4039
2020-11-30,North West,12069
2020-11-30,South East,7499
2020-11-30,South West,3131
2020-11-30,West Midlands,7595
2020-11-30,Yorkshire and The Humber,7133
2020-12-01,East Midlands,5459
2020-12-01,East of England,6062
2020-12-01,London,8374
2020-12-01,North East,4095
2020-12-01,North West,12196
2020-12-01,South East,7563
2020-12-01,South West,3178
2020-12-01,West Midlands,7688
2020-12-01,Yorkshire and The Humber,7235
2020-12-02,East Midlands,5549
2020-12-02,East of England,6104
2020-12-02,London,8431
2020-12-02,North East,4137
2020-12-02,North West,12334
2020-12-02,South East,7634
2020-12-02,South West,3229
2020-12-02,West Midlands,7785
2020-12-02,Yorkshire and The Humber,7334
2020-12-03,East Midlands,5612
2020-12-03,East of England,6140
2020-12-03,London,8472
2020-12-03,North East,4164
2020-12-03,North West,12397
2020-12-03,South East,7682
2020-12-03,South West,3256
2020-12-03,West Midlands,7838
2020-12-03,Yorkshire and The Humber,7380
2020-12-04,East Midlands,5673
2020-12-04,East of England,6172
2020-12-04,London,8517
2020-12-04,North East,4195
2020-12-04,North West,12501
2020-12-04,South East,7755
2020-12-04,South West,3293
2020-12-04,West Midlands,7921
2020-12-04,Yorkshire and The Humber,7484
2020-12-05,East Midlands,5734
2020-12-05,East of England,6205
2020-12-05,London,8551
2020-12-05,North East,4221
2020-12-05,North West,12568
2020-12-05,South East,7791
2020-12-05,South West,3315
2020-12-05,West Midlands,7977
2020-12-05,Yorkshire and The Humber,7561
2020-12-06,East Midlands,5761
2020-12-06,East of England,6216
2020-12-06,London,8573
2020-12-06,North East,4230
2020-12-06,North West,12614
2020-12-06,South East,7820
2020-12-06,South West,3334
2020-12-06,West Midlands,8013
2020-12-06,Yorkshire and The Humber,7594
2020-12-07,East Midlands,5784
2020-12-07,East of England,6238
2020-12-07,London,8593
2020-12-07,North East,4240
2020-12-07,North West,12630
2020-12-07,South East,7852
2020-12-07,South West,3336
2020-12-07,West Midlands,8053
2020-12-07,Yorkshire and The Humber,7616
2020-12-08,East Midlands,5862
2020-12-08,East of England,6275
2020-12-08,London,8640
2020-12-08,North East,4307
2020-12-08,North West,12764
2020-12-08,South East,7922
2020-12-08,South West,3385
2020-12-08,West Midlands,8120
2020-12-08,Yorkshire and The Humber,7709
2020-12-09,East Midlands,5930
2020-12-09,East of England,6323
2020-12-09,London,8684
2020-12-09,North East,4334
2020-12-09,North West,12852
2020-12-09,South East,8002
2020-12-09,South West,3417
2020-12-09,West Midlands,8200
2020-12-09,Yorkshire and The Humber,7797
2020-12-10,East Midlands,5976
2020-12-10,East of England,6373
2020-12-10,London,8729
2020-12-10,North East,4370
2020-12-10,North West,12947
2020-12-10,South East,8068
2020-12-10,South West,3451
2020-12-10,West Midlands,8282
2020-12-10,Yorkshire and The Humber,7860
2020-12-11,East Midlands,6022
2020-12-11,East of England,6418
2020-12-11,London,8768
2020-12-11,North East,4395
2020-12-11,North West,13020
2020-12-11,South East,8107
2020-12-11,South West,3478
2020-12-11,West Midlands,8334
2020-12-11,Yorkshire and The Humber,7931
2020-12-12,East Midlands,6099
2020-12-12,East of England,6458
2020-12-12,London,8803
2020-12-12,North East,4418
2020-12-12,North West,13107
2020-12-12,South East,8191
2020-12-12,South West,3519
2020-12-12,West Midlands,8407
2020-12-12,Yorkshire and The Humber,7994
2020-12-13,East Midlands,6128
2020-12-13,East of England,6475
2020-12-13,London,8827
2020-12-13,North East,4432
2020-12-13,North West,13139
2020-12-13,South East,8231
2020-12-13,South West,3532
2020-12-13,West Midlands,8442
2020-12-13,Yorkshire and The Humber,8027
2020-12-14,East Midlands,6164
2020-12-14,East of England,6486
2020-12-14,London,8854
2020-12-14,North East,4439
2020-12-14,North West,13171
2020-12-14,South East,8264
2020-12-14,South West,3543
2020-12-14,West Midlands,8474
2020-12-14,Yorkshire and The Humber,8057
2020-12-15,East Midlands,6225
2020-12-15,East of England,6512
2020-12-15,London,8874
2020-12-15,North East,4470
2020-12-15,North West,13228
2020-12-15,South East,8302
2020-12-15,South West,3585
2020-12-15,West Midlands,8541
2020-12-15,Yorkshire and The Humber,8126
2020-12-16,East Midlands,6313
2020-12-16,East of England,6574
2020-12-16,London,8929
2020-12-16,North East,4514
2020-12-16,North West,13319
2020-12-16,South East,8404
2020-12-16,South West,3623
2020-12-16,West Midlands,8637
2020-12-16,Yorkshire and The Humber,8212
2020-12-17,East Midlands,6364
2020-12-17,East of England,6629
2020-12-17,London,8995
2020-12-17,North East,4538
2020-12-17,North West,13384
2020-12-17,South East,8500
2020-12-17,South West,3648
2020-12-17,West Midlands,8694
2020-12-17,Yorkshire and The Humber,8272
2020-12-18,East Midlands,6413
2020-12-18,East of England,6677
2020-12-18,London,9051
2020-12-18,North East,4564
2020-12-18,North West,13466
2020-12-18,South East,8586
2020-12-18,South West,3678
2020-12-18,West Midlands,8767
2020-12-18,Yorkshire and The Humber,8338
2020-12-19,East Midlands,6480
2020-12-19,East of England,6722
2020-12-19,London,9101
2020-12-19,North East,4591
2020-12-19,North West,13514
2020-12-19,South East,8689
2020-12-19,South West,3714
2020-12-19,West Midlands,8842
2020-12-19,Yorkshire and The Humber,8421
2020-12-20,East Midlands,6534
2020-12-20,East of England,6786
2020-12-20,London,9180
2020-12-20,North East,4618
2020-12-20,North West,13623
2020-12-20,South East,8796
2020-12-20,South West,3743
2020-12-20,West Midlands,8922
2020-12-20,Yorkshire and The Humber,8498
2020-12-21,East Midlands,6550
2020-12-21,East of England,6801
2020-12-21,London,9213
2020-12-21,North East,4622
2020-12-21,North West,13654
2020-12-21,South East,8847
2020-12-21,South West,3759
2020-12-21,West Midlands,8948
2020-12-21,Yorkshire and The Humber,8514
2020-12-22,East Midlands,6635
2020-12-22,East of England,6883
2020-12-22,London,9269
2020-12-22,North East,4678
2020-12-22,North West,13765
2020-12-22,South East,8948
2020-12-22,South West,3808
2020-12-22,West Midlands,9036
2020-12-22,Yorkshire and The Humber,8589
2020-12-23,East Midlands,6724
2020-12-23,East of England,6949
2020-12-23,London,9358
2020-12-23,North East,4721
2020-12-23,North West,13875
2020-12-23,South East,9082
2020-12-23,South West,3849
2020-12-23,West Midlands,9125
2020-12-23,Yorkshire and The Humber,8680
2020-12-24,East Midlands,6790
2020-12-24,East of England,7029
2020-12-24,London,9428
2020-12-24,North East,4753
2020-12-24,North West,13943
2020-12-24,South East,9197
2020-12-24,South West,3873
2020-12-24,West Midlands,9189
2020-12-24,Yorkshire and The Humber,8735
2020-12-25,East Midlands,6835
2020-12-25,East of England,7130
2020-12-25,London,9506
2020-12-25,North East,4807
2020-12-25,North West,14034
2020-12-25,South East,9327
2020-12-25,South West,3908
2020-12-25,West Midlands,9259
2020-12-25,Yorkshire and The Humber,8805
2020-12-26,East Midlands,6851
2020-12-26,East of England,7155
2020-12-26,London,9551
2020-12-26,North East,4812
2020-12-26,North West,14044
2020-12-26,South East,9358
2020-12-26,South West,3916
2020-12-26,West Midlands,9281
2020-12-26,Yorkshire and The Humber,8837
2020-12-27,East Midlands,6894
2020-12-27,East of England,7211
2020-12-27,London,9621
2020-12-27,North East,4839
2020-12-27,North West,14118
2020-12-27,South East,9417
2020-12-27,South West,3945
2020-12-27,West Midlands,9328
2020-12-27,Yorkshire and The Humber,8884
2020-12-28,East Midlands,6916
2020-12-28,East of England,7267
2020-12-28,London,9673
2020-12-28,North East,4850
2020-12-28,North West,14157
2020-12-28,South East,9484
2020-12-28,South West,3959
2020-12-28,West Midlands,9376
2020-12-28,Yorkshire and The Humber,8904
2020-12-29,East Midlands,6950
2020-12-29,East of England,7309
2020-12-29,London,9729
2020-12-29,North East,4876
2020-12-29,North West,14211
2020-12-29,South East,9560
2020-12-29,South West,3977
2020-12-29,West Midlands,9410
2020-12-29,Yorkshire and The Humber,8930
2020-12-30,East Midlands,7037
2020-12-30,East of England,7436
2020-12-30,London,9846
2020-12-30,North East,4931
2020-12-30,North West,14400
2020-12-30,South East,9762
2020-12-30,South West,4061
2020-12-30,West Midlands,9520
2020-12-30,Yorkshire and The Humber,9030
2020-12-31,East Midlands,7125
2020-12-31,East of England,7570
2020-12-31,London,9982
2020-12-31,North East,4976
2020-12-31,North West,14520
2020-12-31,South East,9960
2020-12-31,South West,4114
2020-12-31,West Midlands,9628
2020-12-31,Yorkshire and The Humber,9129
2021-01-01,East Midlands,7184
2021-01-01,East of England,7657
2021-01-01,London,10130
2021-01-01,North East,5003
2021-01-01,North West,14593
2021-01-01,South East,10092
2021-01-01,South West,4148
2021-01-01,West Midlands,9708
2021-01-01,Yorkshire and The Humber,9193
2021-01-02,East Midlands,7221
2021-01-02,East of England,7712
2021-01-02,London,10206
2021-01-02,North East,5012
2021-01-02,North West,14624
2021-01-02,South East,10184
2021-01-02,South West,4166
2021-01-02,West Midlands,9760
2021-01-02,Yorkshire and The Humber,9221
2021-01-03,East Midlands,7285
2021-01-03,East of England,7791
2021-01-03,London,10311
2021-01-03,North East,5033
2021-01-03,North West,14700
2021-01-03,South East,10287
2021-01-03,South West,4200
2021-01-03,West Midlands,9824
2021-01-03,Yorkshire and The Humber,9263
2021-01-04,East Midlands,7307
2021-01-04,East of England,7849
2021-01-04,London,10398
2021-01-04,North East,5042
2021-01-04,North West,14741
2021-01-04,South East,10362
2021-01-04,South West,4219
2021-01-04,West Midlands,9855
2021-01-04,Yorkshire and The Humber,9300
2021-01-05,East Midlands,7401
2021-01-05,East of England,7981
2021-01-05,London,10543
2021-01-05,North East,5071
2021-01-05,North West,14873
2021-01-05,South East,10491
2021-01-05,South West,4267
2021-01-05,West Midlands,9937
2021-01-05,Yorkshire and The Humber,9394
2021-01-06,East Midlands,7504
2021-01-06,East of England,8147
2021-01-06,London,10744
2021-01-06,North East,5145
2021-01-06,North West,14971
2021-01-06,South East,10643
2021-01-06,South West,4325
2021-01-06,West Midlands,10023
2021-01-06,Yorkshire and The Humber,9485
2021-01-07,East Midlands,7589
2021-01-07,East of England,8288
2021-01-07,London,10971
2021-01-07,North East,5187
2021-01-07,North West,15112
2021-01-07,South East,10900
2021-01-07,South West,4382
2021-01-07,West Midlands,10132
2021-01-07,Yorkshire and The Humber,9560
2021-01-08,East Midlands,7675
2021-01-08,East of England,8483
2021-01-08,London,11206
2021-01-08,North East,5236
2021-01-08,North West,15241
2021-01-08,South East,11240
2021-01-08,South West,4452
2021-01-08,West Midlands,10267
2021-01-08,Yorkshire and The Humber,9629
2021-01-09,East Midlands,7761
2021-01-09,East of England,8628
2021-01-09,London,11389
2021-01-09,North East,5275
2021-01-09,North West,15358
2021-01-09,South East,11438
2021-01-09,South West,4505
2021-01-09,West Midlands,10371
2021-01-09,Yorkshire and The Humber,9700
2021-01-10,East Midlands,7825
2021-01-10,East of England,8732
2021-01-10,London,11545
2021-01-10,North East,5317
2021-01-10,North West,15457
2021-01-10,South East,11588
2021-01-10,South West,4554
2021-01-10,West Midlands,10468
2021-01-10,Yorkshire and The Humber,9762
2021-01-11,East Midlands,7863
2021-01-11,East of England,8798
2021-01-11,London,11677
2021-01-11,North East,5334
2021-01-11,North West,15483
2021-01-11,South East,11709
2021-01-11,South West,4567
2021-01-11,West Midlands,10529
2021-01-11,Yorkshire and The Humber,9784
2021-01-12,East Midlands,7959
2021-01-12,East of England,9017
2021-01-12,London,11875
2021-01-12,North East,5391
2021-01-12,North West,15634
2021-01-12,South East,11951
2021-01-12,South West,4644
2021-01-12,West Midlands,10667
2021-01-12,Yorkshire and The Humber,9877
2021-01-13,East Midlands,8074
2021-01-13,East of England,9283
2021-01-13,London,12120
2021-01-13,North East,5449
2021-01-13,North West,15825
2021-01-13,South East,12293
2021-01-13,South West,4733
2021-01-13,West Midlands,10854
2021-01-13,Yorkshire and The Humber,9972
2021-01-14,East Midlands,8179
2021-01-14,East of England,9466
2021-01-14,London,12332
2021-01-14,North East,5490
2021-01-14,North West,15959
2021-01-14,South East,12549
2021-01-14,South West,4805
2021-01-14,West Midlands,10972
2021-01-14,Yorkshire and The Humber,10048
2021-01-15,East Midlands,8298
2021-01-15,East of England,9656
2021-01-15,London,12544
2021-01-15,North East,5549
2021-01-15,North West,16093
2021-01-15,South East,12869
2021-01-15,South West,4878
2021-01-15,West Midlands,11096
2021-01-15,Yorkshire and The Humber,10130
2021-01-16,East Midlands,8412
2021-01-16,East of England,9848
2021-01-16,London,12769
2021-01-16,North East,5610
2021-01-16,North West,16245
2021-01-16,South East,13100
2021-01-16,South West,4954
2021-01-16,West Midlands,11225
2021-01-16,Yorkshire and The Humber,10198
2021-01-17,East Midlands,8501
2021-01-17,East of England,9975
2021-01-17,London,12938
2021-01-17,North East,5649
2021-01-17,North West,16348
2021-01-17,South East,13272
2021-01-17,South West,5006
2021-01-17,West Midlands,11319
2021-01-17,Yorkshire and The Humber,10262
2021-01-18,East Midlands,8552
2021-01-18,East of England,10051
2021-01-18,London,13072
2021-01-18,North East,5664
2021-01-18,North West,16404
2021-01-18,South East,13390
2021-01-18,South West,5033
2021-01-18,West Midlands,11388
2021-01-18,Yorkshire and The Humber,10295
2021-01-19,East Midlands,8669
2021-01-19,East of England,10324
2021-01-19,London,13280
2021-01-19,North East,5737
2021-01-19,North West,16581
2021-01-19,South East,13750
2021-01-19,South West,5165
2021-01-19,West Midlands,11568
2021-01-19,Yorkshire and The Humber,10415
2021-01-20,East Midlands,8801
2021-01-20,East of England,10605
2021-01-20,London,13575
2021-01-20,North East,5800
2021-01-20,North West,16812
2021-01-20,South East,14163
2021-01-20,South West,5291
2021-01-20,West Midlands,11779
2021-01-20,Yorkshire and The Humber,10509
2021-01-21,East Midlands,8897
2021-01-21,East of England,10811
2021-01-21,London,13797
2021-01-21,North East,5832
2021-01-21,North West,16963
2021-01-21,South East,14413
2021-01-21,South West,5381
2021-01-21,West Midlands,11914
2021-01-21,Yorkshire and The Humber,10592
2021-01-22,East Midlands,9002
2021-01-22,East of England,11058
2021-01-22,London,14014
2021-01-22,North East,5889
2021-01-22,North West,17111
2021-01-22,South East,14691
2021-01-22,South West,5479
2021-01-22,West Midlands,12063
2021-01-22,Yorkshire and The Humber,10685
2021-01-23,East Midlands,9103
2021-01-23,East of England,11287
2021-01-23,London,14240
2021-01-23,North East,5941
2021-01-23,North West,17280
2021-01-23,South East,14956
2021-01-23,South West,5597
2021-01-23,West Midlands,12239
2021-01-23,Yorkshire and The Humber,10760
