日期,省级,地区,面积,人口,确诊,疑似,治愈,死亡,现存确诊
2020-02-26,,待明确地区,-1,-1,0,0,0,0,0,0,0,0,1,2,5,4,7,4,220,0,0,0,4,0,2,4,-1,-2,-5,-8,-7,-6,-224
2020-02-26,,武汉,0.8062413439429955,978.54,47441,0,11826,2085,33530
2020-02-26,,孝感,0.8410346497719994,481.45,3501,0,1388,113,2000
2020-02-26,,黄冈,1.6441463076335003,616.21,2904,0,1852,107,945
2020-02-26,,鄂州,0.14848823766800043,104.87,1387,0,543,41,803
2020-02-26,,荆州,1.3174679891195022,569.17,1577,0,822,44,711
2020-02-26,,随州,0.9163804206494958,216.22,1306,0,652,37,617
2020-02-26,,宜昌,2.0000146264559993,405.97,927,0,362,30,535
2020-02-26,,襄阳,1.8830910377785035,550.03,1175,0,653,30,492
2020-02-26,,荆门,1.1651238165199984,287.37,922,0,469,37,416
2020-02-26,,黄石,0.42822827296749916,242.93,1011,0,602,32,377
2020-02-26,,十堰,2.268015857141,334.08,671,0,348,3,320
2020-02-26,,咸宁,0.9080128636579945,246.26,836,0,567,11,258
2020-02-26,,仙桃,0.236260400900501,117.51,575,0,337,19,219
2020-02-26,,天门,0.24602922174950254,141.89,496,0,286,13,197
2020-02-26,,潜江,0.1880588291859997,94.63,196,0,94,9,93
2020-02-26,,恩施州,2.2553218187715105,329.03,251,0,158,4,89
2020-02-26,,神农架林区,0.30684608205349856,7.61,11,0,10,0,1
2020-02-26,,济宁,1.1007525491370038,808.19,258,0,43,0,215
2020-02-26,,济南,0.8069946027799976,681.4,47,0,25,0,22
2020-02-26,,烟台,1.7718148827460014,696.82,47,0,26,0,21
2020-02-26,,青岛,1.4768457484110014,871.51,60,0,39,1,20
2020-02-26,,潍坊,1.616912413494003,908.62,44,0,24,0,20
2020-02-26,,德州,1.0487807650745038,556.82,37,0,15,2,20
2020-02-26,,威海,0.7672836086364958,280.48,38,0,27,0,11
2020-02-26,,淄博,0.6026278706149935,453.06,30,0,18,1,11
2020-02-26,,泰安,0.7744917674454983,549.42,35,0,23,2,10
2020-02-26,,聊城,0.8700188337889954,578.99,38,0,30,0,8
2020-02-26,,日照,0.7080454376865023,280.11,16,0,11,0,5
2020-02-26,,临沂,1.705721540976006,1003.94,49,0,45,0,4
2020-02-26,,滨州,0.9258738253435043,374.85,15,0,12,0,3
2020-02-26,,枣庄,0.4505137748080006,372.93,24,0,22,0,2
2020-02-26,,菏泽,1.2066987455484997,828.78,18,0,17,0,1
2020-02-26,,三亚,0.23808333571750312,68.54,54,0,42,1,11
2020-02-26,,海口,0.23317778111200513,204.62,39,0,28,0,11
2020-02-26,,昌江,0.15077409621850188,22.38,7,0,3,0,4
2020-02-26,,儋州,0.32925306065700005,93.24,15,0,12,1,2
2020-02-26,,万宁,0.22089098851499797,54.56,13,0,11,0,2
2020-02-26,,澄迈,0.2083982186470002,46.72,9,0,6,1,2
2020-02-26,,保亭,0.09962710166199856,14.67,3,0,1,0,2
2020-02-26,,琼海,0.15819697186700296,48.32,6,0,4,1,1
2020-02-26,,东方,0.23149737895350153,40.83,3,0,2,0,1
2020-02-26,,临高,0.1327837556200011,42.79,6,0,6,0,0
2020-02-26,,陵水,0.11868194568350147,32.05,4,0,4,0,0
2020-02-26,,定安,0.10165201064399798,28.46,3,0,2,1,0
2020-02-26,,文昌,0.32748188986099663,53.74,3,0,3,0,0
2020-02-26,,乐东,0.2661026580919982,45.89,2,0,2,0,0
2020-02-26,,琼中,0.23190695270999975,17.41,1,0,1,0,0
2020-02-26,,天津,1.2601887440589987,1293.82,135,0,96,3,36
2020-02-26,,宝坻区,-1,-1,60,0,34,2,24
2020-02-26,,南开区,-1,-1,6,0,2,0,4
2020-02-26,,河东区,-1,-1,15,0,11,1,3
2020-02-26,,北辰区,-1,-1,6,0,3,0,3
2020-02-26,,宁河区,-1,-1,4,0,1,0,3
2020-02-26,,河北区,-1,-1,12,0,10,0,2
2020-02-26,,和平区,-1,-1,6,0,5,0,1
2020-02-26,,外地来津人员,-1,-1,6,0,5,0,1
2020-02-26,,东丽区,-1,-1,4,0,4,0,0
2020-02-26,,河西区,-1,-1,4,0,4,0,0
2020-02-26,,西青区,-1,-1,4,0,4,0,0
2020-02-26,,滨海新区,-1,-1,3,0,3,0,0
2020-02-26,,武清区,-1,-1,2,0,2,0,0
2020-02-26,,红桥区,-1,-1,2,0,2,0,0
2020-02-26,,津南区,-1,-1,1,0,1,0,0
2020-02-26,,信阳,1.8063222310380052,610.87,274,0,219,2,53
2020-02-26,,郑州,0.7436224701159972,862.65,157,0,124,0,33
2020-02-26,,南阳,2.560365251078001,1026.3,155,0,129,3,23
2020-02-26,,周口,1.1653918402784944,895.32,76,0,56,0,20
2020-02-26,,驻马店,1.4540129104849968,723.07,139,0,126,0,13
2020-02-26,,平顶山,0.7689777367460003,490.44,58,0,44,1,13
2020-02-26,,安阳,0.734454433476996,517.28,53,0,43,0,10
2020-02-26,,漯河,0.2624676266980011,254.41,35,0,25,0,10
2020-02-26,,开封,0.6149629086720005,467.62,26,0,16,0,10
2020-02-26,,商丘,1.0476055076755006,736.25,91,0,80,3,8
2020-02-26,,许昌,0.4862347905985042,430.72,39,0,32,0,7
2020-02-26,,濮阳,0.419488123707002,359.85,17,0,10,0,7
2020-02-26,,洛阳,1.4903102682595049,654.95,31,0,24,1,6
2020-02-26,,新乡,0.8167292759264962,570.78,57,0,49,3,5
2020-02-26,,鹤壁,0.21324807764649992,156.91,19,0,15,0,4
2020-02-26,,焦作,0.5846726850570001,353.99,32,0,28,1,3
2020-02-26,,济源,-1,-1,5,0,3,0,2
2020-02-26,,三门峡,0.9729644635124955,223.39,7,0,6,1,0
2020-02-26,,深圳,0.248247423231,1035.79,417,0,262,3,152
2020-02-26,,广州,0.6469918438460005,1270.08,346,0,222,1,123
2020-02-26,,东莞,0.2182080035469986,822.02,97,0,40,1,56
2020-02-26,,佛山,0.33384726100150036,719.43,84,0,36,0,48
2020-02-26,,珠海,0.4425482619165006,156.02,98,0,59,1,38
2020-02-26,,江门,1.0185152855954962,444.89,23,0,11,0,12
2020-02-26,,中山,0.1619640380069983,312.09,66,0,55,0,11
2020-02-26,,惠州,1.0815242989990015,459.7,62,0,52,0,10
2020-02-26,,湛江,1.3880598169125022,699.33,22,0,14,0,8
2020-02-26,,茂名,1.0471913485020006,581.78,14,0,7,0,7
2020-02-26,,肇庆,1.3205938088554963,391.81,19,0,13,1,5
