日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,卫生人员,人口
20200120,北京,3.0,0,0,5.0,0,0,7.0203348,19.6568208,1.0,24.83333333333334,27.125000000000004,326102.0,1961.2
20200120,天津,0,0,0,0,0,0,2.769714,5.9718708,1.6250000000000002,33.08333333333333,36.58333333333334,132525.0,1293.82
20200120,石家庄,0,0,0,0,0,0,2.6225856,3.2802408,0.9583333333333331,52.49999999999999,71.70833333333333,623974.0,1016.38
20200120,太原,0,0,0,0,0,0,2.484918,3.5021808,-4.124999999999999,58.58333333333332,61.79166666666665,330891.0,420.16
20200120,呼和浩特,0,0,0,0,0,0,0.9957492,1.4588748,-11.304347826086959,60.47826086956523,109.08695652173914,241424.0,286.66
20200120,沈阳,0,0,0,0,0,0,2.4939576,3.466476,-10.521739130434783,65.73913043478262,69.30434782608697,391919.0,810.62
20200120,长春,0,0,0,0,0,0,2.051406,2.2838436,-12.583333333333332,88.08333333333334,138.99999999999997,241961.0,767.71
20200120,哈尔滨,0,0,0,0,0,0,2.57499,2.4294492,-14.958333333333329,78.29166666666666,329.625,299636.0,1063.6
20200120,上海,2.0,0,0,2.0,0,0,5.3363772,18.708246,6.565217391304348,67.82608695652173,165.47826086956522,238225.0,2301.91
20200120,南京,0,0,0,0,0,0,3.6541368,6.2712468,5.041666666666666,65.49999999999999,117.00000000000001,739314.0,800.47
20200120,杭州,1.0,0,0,1.0,0,0,3.7394136,10.4407704,6.166666666666667,73.66666666666666,77.20833333333334,589357.0,870.04
20200120,合肥,0,0,0,0,0,0,3.8725452,5.0290308,3.9166666666666665,75.45833333333334,108.00000000000001,426956.0,570.2
20200120,福州,0,0,0,0,0,0,1.8422316,3.4769412,11.583333333333334,72.95833333333334,35.91666666666666,318503.0,711.54
20200120,南昌,0,0,0,0,0,0,2.7202068,2.8367172,7.624999999999999,72.16666666666667,97.41666666666666,325847.0,504.26
20200120,济南,0,0,0,0,0,0,2.722086,3.9885048,1.9583333333333333,48.70833333333334,120.70833333333331,961360.0,681.4
20200120,郑州,0,0,0,0,0,0,4.8667068,9.7224948,4.391304347826086,39.47826086956521,69.34782608695652,863167.0,862.65
20200120,武汉,60.0,0,2.0,258.0,25.0,6.0,4.1816736,8.3070036,4.833333333333333,77.95833333333333,123.45833333333334,521930.0,978.54
20200120,长沙,0,0,0,0,0,0,4.2117084,7.617888,7.000000000000001,77.20833333333334,115.00000000000003,557808.0,704.41
20200120,广州,0,0,0,0,0,0,6.8798808,19.1640168,13.958333333333336,66.29166666666666,35.458333333333336,918396.0,1270.08
20200120,南宁,0,0,0,0,0,0,3.7779372,4.573422,10.458333333333332,91.45833333333334,72.79166666666666,420360.0,666.16
20200120,海口,0,0,0,0,0,0,1.6452072,2.3620896,20.95833333333333,80.75,35.0,81387.0,204.62
20200120,重庆,0,0,0,0,0,0,9.133074,6.7183992,9.083333333333332,70.16666666666667,88.20833333333334,272794.0,2884.62
20200120,成都,0,0,0,0,0,0,7.0001172,14.651928,8.478260869565217,73.95652173913042,100.60869565217388,746322.0,1404.76
20200120,贵阳,0,0,0,0,0,0,2.9093256,3.8049264,4.500000000000001,98.75000000000003,36.375,323381.0,432.46
20200120,昆明,0,0,0,0,0,0,3.3279012,5.5593216,9.333333333333334,56.499999999999986,38.12499999999999,389770.0,643.2
20200120,拉萨,0,0,0,0,0,0,0.2577096,0.4083696,-0.7826086956521742,19.347826086956516,27.347826086956527,36806.0,55.94
20200120,西安,0,0,0,0,0,0,5.4210384,8.49042,2.8750000000000004,61.24999999999999,79.875,410896.0,846.78
20200120,兰州,0,0,0,0,0,0,1.6185096,2.0056896,-1.5416666666666672,55.54166666666666,80.16666666666669,207045.0,361.62
20200120,西宁,0,0,0,0,0,0,0.8711712,1.092366,-5.999999999999998,67.04166666666667,98.75,59369.0,220.87
20200120,银川,0,0,0,0,0,0,1.2053124,1.5466788,-3.4782608695652177,42.34782608695653,50.43478260869565,65764.0,199.31
20200120,乌鲁木齐,0,0,0,0,0,0,1.4658084,2.091906,-6.375000000000001,66.45833333333333,129.29166666666666,227136.0,311.03
20200121,北京,5.0,0,0,10.0,0,0,7.075512,23.8547592,-1.0434782608695654,44.82608695652175,58.39130434782609,326102.0,1961.2
20200121,天津,2.0,0,0,2.0,0,0,3.0176712,7.012818,1.375,58.041666666666664,53.875,132525.0,1293.82
20200121,石家庄,0,0,0,0,0,0,2.9885112,3.9110688,-0.6666666666666666,62.33333333333333,82.25,623974.0,1016.38
20200121,太原,0,0,0,0,0,0,2.5355916,4.3448076,-1.9583333333333333,63.83333333333335,105.0,330891.0,420.16
20200121,呼和浩特,0,0,0,0,0,0,1.1029284,1.755756,-7.333333333333335,59.41666666666667,100.83333333333333,241424.0,286.66
20200121,沈阳,0,0,0,0,0,0,2.7392904,4.4210124,-6.791666666666666,60.70833333333335,64.29166666666667,391919.0,810.62
20200121,长春,0,0,0,0,0,0,2.3650056,2.955852,-6.291666666666667,61.0,53.583333333333336,241961.0,767.71
20200121,哈尔滨,0,0,0,0,0,0,3.0350052,3.050784,-9.916666666666666,69.70833333333333,92.95833333333336,299636.0,1063.6
