日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,医疗救治医院,发热门诊,人口
20200121,广州,2.0,0,0,2.0,0,0,7.0609644,22.0308984,17.35,72.52,52.96,115.0,113.0,1270.08
20200121,南宁,0,0,0,0,0,0,4.0161744,5.6927448,12.67,100.0,67.54,13.0,13.0,666.16
20200121,海口,0,0,0,0,0,0,1.6825644,2.91357,21.54,77.17,28.0,27.0,27.0,204.62
20200121,重庆,6.0,0,0,6.0,0,0,10.562724,8.1833328,10.25,71.88,83.42,141.0,129.0,2884.62
20200121,成都,1.0,0,0,1.0,0,0,7.5191328,19.1284092,8.67,72.71,120.37,313.0,309.0,1404.76
20200121,贵阳,0,0,0,0,0,0,3.0782592,4.846554,11.25,87.33,30.08,35.0,29.0,432.46
20200121,昆明,1.0,0,0,1.0,0,0,3.654396,6.9024312,11.75,46.46,29.75,49.0,48.0,643.2
20200121,拉萨,0,0,0,0,0,0,0.3005424,0.4577148,-2.5,20.67,27.25,2.0,0,55.94
20200121,西安,0,0,0,0,0,0,5.7319812,10.4358132,3.08,62.13,119.21,86.0,82.0,846.78
20200121,兰州,0,0,0,0,0,0,1.7141544,2.4961608,-1.25,57.29,100.46,12.0,0,361.62
20200121,西宁,0,0,0,0,0,0,0.9591048,1.1704176,-4.29,49.88,99.62,12.0,11.0,220.87
20200121,银川,1.0,0,0,1.0,0,0,1.2518712,1.7966124,-3.42,48.25,88.96,23.0,23.0,199.31
20200121,乌鲁木齐,0,0,0,0,0,0,1.5001524,2.3899536,-6.88,69.92,197.71,41.0,41.0,311.03
20200122,北京,4.0,0,0,14.0,0,0,5.9024376,23.8205448,-0.74,51.74,86.52,106.0,101.0,1961.2
20200122,天津,2.0,0,0,4.0,0,0,2.747358,6.6174732,1.87,75.61,194.13,47.0,47.0,1293.82
20200122,石家庄,1.0,0,0,1.0,0,0,2.7063396,4.035582,-0.7,71.57,132.52,55.0,55.0,1016.38
20200122,太原,1.0,0,0,1.0,0,0,2.0242224,4.9247676,-3.78,75.91,202.65,34.0,34.0,420.16
20200122,呼和浩特,0,0,0,0,0,0,1.0440576,1.8820188,-8.3,70.09,162.04,18.0,17.0,286.66
20200122,沈阳,1.0,0,0,1.0,0,0,2.447334,5.174928,-2.87,86.88,121.12,22.0,21.0,810.62
20200122,长春,1.0,0,0,1.0,0,0,2.2073148,3.5060688,-6.13,78.78,104.0,22.0,14.0,767.71
20200122,哈尔滨,1.0,0,0,1.0,0,0,2.7378648,3.391794,-16.0,74.23,125.09,63.0,63.0,1063.6
20200122,上海,7.0,0,0,16.0,0,0,4.3067052,21.2782464,9.3,97.52,104.04,115.0,115.0,2301.91
20200122,南京,0,0,0,0,0,0,3.1283172,8.5761504,6.61,100.0,100.35,50.0,50.0,800.47
20200122,杭州,5.0,0,0,6.0,0,0,3.0761856,10.9652292,7.65,93.04,91.09,48.0,46.0,870.04
20200122,合肥,4.0,0,0,5.0,0,0,4.3123428,6.948504,4.7,98.09,187.61,29.0,28.0,570.2
20200122,福州,1.0,0,0,1.0,0,0,1.8048744,4.0437792,15.17,75.7,70.7,202.0,199.0,711.54
20200122,南昌,1.0,0,0,1.0,0,0,2.4264036,3.432456,7.79,94.71,72.0,26.0,25.0,504.26
20200122,济南,0,0,0,0,0,0,2.49561,6.0036228,4.3,65.61,145.65,55.0,55.0,681.4
20200122,郑州,1.0,0,0,3.0,0,0,4.0876164,12.3805908,2.48,76.65,207.65,62.0,60.0,862.65
20200122,长沙,3.0,0,0,4.0,0,0,4.1150268,10.4538924,7.75,92.04,60.88,46.0,46.0,704.41
20200122,广州,3.0,0,0,5.0,0,0,5.8505652,19.6357932,19.5,74.17,43.62,115.0,113.0,1270.08
20200122,南宁,0,0,0,0,0,0,3.3770844,6.0841692,18.71,96.67,57.38,13.0,13.0,666.16
20200122,海口,1.0,0,0,1.0,0,0,1.4635728,3.4458696,21.65,87.13,33.43,27.0,27.0,204.62
20200122,重庆,3.0,0,0,9.0,0,0,8.7485184,8.2912896,11.35,73.52,84.39,141.0,129.0,2884.62
20200122,成都,3.0,0,0,4.0,0,0,6.798816,20.8452852,9.33,74.79,138.04,313.0,309.0,1404.76
20200122,贵阳,1.0,0,0,1.0,0,0,2.5694496,5.235354,9.22,86.43,46.0,35.0,29.0,432.46
20200122,昆明,0,0,0,1.0,0,0,3.1660632,7.1823348,12.17,42.78,32.26,49.0,48.0,643.2
20200122,拉萨,0,0,0,0,0,0,0.2849256,0.4223988,0.91,16.3,44.52,2.0,0,55.94
20200122,西安,2.0,0,0,2.0,0,0,4.9652028,11.1733668,3.35,73.43,200.09,86.0,82.0,846.78
20200122,兰州,1.0,0,0,1.0,0,0,1.4859936,2.803572,-1.87,58.78,101.78,12.0,0,361.62
20200122,西宁,0,0,0,0,0,0,0.862488,1.1503944,-3.78,44.04,66.74,12.0,11.0,220.87
20200122,银川,0,0,0,1.0,0,0,1.1214612,1.9249488,-3.74,53.0,94.13,23.0,23.0,199.31
20200122,乌鲁木齐,0,0,0,0,0,0,1.3654008,2.4015528,-8.87,70.13,200.39,41.0,41.0,311.03
20200123,北京,12.0,0,0,26.0,0,0,4.8391992,23.9144724,0.37,50.75,73.04,106.0,101.0,1961.2
20200123,天津,1.0,0,0,5.0,0,0,2.4186924,6.4302984,2.83,64.78,208.7,47.0,47.0,1293.82
20200123,石家庄,0,0,0,1.0,0,0,2.4028164,4.0872924,2.09,69.87,209.39,55.0,55.0,1016.38
20200123,太原,0,0,0,1.0,0,0,1.5358248,4.9070772,-2.46,71.29,146.58,34.0,34.0,420.16
20200123,呼和浩特,0,0,0,0,0,0,1.0111068,2.0099016,-8.13,69.42,197.08,18.0,17.0,286.66
20200123,沈阳,1.0,0,0,2.0,0,0,2.1356136,6.3455724,-2.88,67.88,109.88,22.0,21.0,810.62
20200123,长春,0,0,0,1.0,0,0,1.998594,4.4574948,-10.0,80.7,135.43,22.0,14.0,767.71
20200123,哈尔滨,0,0,0,1.0,0,0,2.422062,3.6871524,-14.08,68.83,144.33,63.0,63.0,1063.6
20200123,上海,4.0,0,0,20.0,0,0,3.7339704,19.6302852,8.75,95.96,52.83,115.0,115.0,2301.91
20200123,南京,3.0,0,0,3.0,0,0,2.5982856,9.5041836,7.79,93.25,34.0,50.0,50.0,800.47
20200123,杭州,0,0,0,6.0,0,0,2.6507412,10.188018,7.79,96.13,29.25,48.0,46.0,870.04
20200123,合肥,1.0,0,0,6.0,0,0,3.8136096,7.760772,6.65,93.43,64.57,29.0,28.0,570.2
20200123,福州,1.0,0,0,2.0,0,0,1.6225596,3.8191176,16.22,87.13,72.83,202.0,199.0,711.54
20200123,南昌,1.0,0,0,2.0,0,0,2.032614,3.3535944,7.3,96.78,35.65,26.0,25.0,504.26
20200123,济南,0,0,0,0,0,0,2.0978352,6.3864288,3.33,81.62,199.33,55.0,55.0,681.4
20200123,郑州,1.0,0,0,5.0,0,0,3.372516,12.2843628,2.83,85.0,256.21,62.0,60.0,862.65
20200123,长沙,4.0,0,0,8.0,0,0,3.597048,10.706418,6.38,93.92,54.25,46.0,46.0,704.41
20200123,广州,2.0,0,0,7.0,0,0,4.8758112,17.214282,22.21,74.38,43.17,115.0,113.0,1270.08
20200123,南宁,0,0,0,0,0,0,2.921022,6.0784344,20.52,88.43,45.91,13.0,13.0,666.16
