num,city,population(2000),Latitude(DD),longitude(DD)
1,Serekunda,225500,13.450,-16.680
2,Brikama,81400,13.280,-16.660
3,Bakau,74700,13.490,-16.690
4,Banjul,36100,13.460,-16.600
5,Farafenni,31600,13.570,-15.610
6,Sukuta,24800,13.400,-16.710
7,Basse,17100,13.310,-14.230
8,Lamin,15900,13.370,-16.440
9,Gunjur,13500,13.200,-16.740
10,Mansakonko,11900,13.470,-15.550
11,Sabi,8700,13.240,-14.180
12,Bansang,8500,13.430,-14.650
13,Gambissara,8300,13.240,-14.320
14,Kuntaur,7800,13.650,-14.870
15,Brufut,7600,13.410,-16.780
16,Janjanbureh,7200,13.550,-14.770
17,Essau,6600,13.470,-16.540
18,Kerewan,6300,13.490,-16.100
19,Barra,5300,13.490,-16.570
20,Salikeni,3800,13.350,-14.020
