日期,城市,温度,湿度,aqi
2020-01-01,Mumbai,22.136363636363633,73.4090909090909,-0.9999999999999997
2020-01-01,Ahmadabad,18.59090909090909,63.50000000000001,-0.9999999999999997
2020-01-01,Pune,19.77272727272727,64.81818181818183,-0.9999999999999997
2020-01-01,Kanpur,12.54545454545455,81.50000000000003,-0.9999999999999997
2020-01-01,Surat,20.130434782608695,72.60869565217392,-0.9999999999999996
2020-01-01,Indore,16.434782608695656,83.1304347826087,-0.9999999999999996
2020-01-01,Ludhiana,8.142857142857144,86.47619047619048,-1.0000000000000004
2020-01-01,Patna,14.363636363636362,86.63636363636367,-0.9999999999999997
2020-01-01,Agra,11.428571428571427,80.71428571428571,-1.0000000000000004
2020-01-02,Mumbai,21.695652173913054,78.04347826086958,-0.9999999999999996
2020-01-02,Ahmadabad,19.130434782608695,60.78260869565217,-0.9999999999999996
2020-01-02,Pune,19.521739130434785,68.47826086956519,-0.9999999999999996
2020-01-02,Kanpur,14.913043478260867,84.00000000000001,-0.9999999999999996
2020-01-02,Surat,20.782608695652176,65.95652173913045,-0.9999999999999996
2020-01-02,Indore,17.000000000000004,83.7391304347826,-0.9999999999999996
2020-01-02,Ludhiana,10.260869565217392,88.78260869565216,-0.9999999999999996
2020-01-02,Patna,15.73913043478261,84.7391304347826,-0.9999999999999996
2020-01-02,Agra,13.913043478260871,84.8260869565217,-0.9999999999999996
2020-01-03,Mumbai,21.136363636363633,73.72727272727273,-0.9999999999999997
2020-01-03,Ahmadabad,18.09090909090909,65.63636363636365,-0.9999999999999997
2020-01-03,Pune,18.818181818181817,77.22727272727273,-0.9999999999999997
2020-01-03,Kanpur,14.590909090909095,91.09090909090907,-0.9999999999999997
2020-01-03,Surat,21.095238095238095,55.28571428571428,-1.0000000000000004
2020-01-03,Indore,16.18181818181818,75.54545454545456,-0.9999999999999997
2020-01-03,Ludhiana,10.545454545454545,87.27272727272728,-0.9999999999999997
2020-01-03,Patna,15.999999999999995,91.1363636363636,-0.9999999999999997
2020-01-03,Agra,13.772727272727275,87.22727272727273,-0.9999999999999997
