01,2021-01-09,73690
01,2021-01-10,73788
01,2021-01-11,74360
01,2021-01-12,74794
01,2021-01-13,75256
01,2021-01-14,75700
01,2021-01-15,76168
01,2021-01-16,76382
01,2021-01-17,76404
01,2021-01-18,77082
02,2020-05-13,28
02,2020-05-14,57
02,2020-05-15,85
02,2020-05-16,99
02,2020-05-17,103
02,2020-05-18,115
02,2020-05-19,131
02,2020-05-20,159
02,2020-05-21,163
02,2020-05-22,179
02,2020-05-23,183
02,2020-05-24,185
02,2020-05-25,217
02,2020-05-26,233
02,2020-05-27,241
02,2020-05-28,263
02,2020-05-29,265
02,2020-05-30,271
02,2020-05-31,271
02,2020-06-01,275
02,2020-06-02,291
02,2020-06-03,299
02,2020-06-04,315
02,2020-06-05,327
02,2020-06-06,357
02,2020-06-07,365
02,2020-06-08,381
02,2020-06-09,401
02,2020-06-10,413
02,2020-06-11,423
02,2020-06-12,443
02,2020-06-13,445
02,2020-06-14,445
02,2020-06-15,457
02,2020-06-16,467
02,2020-06-17,487
02,2020-06-18,491
02,2020-06-19,491
02,2020-06-20,493
02,2020-06-21,493
02,2020-06-22,509
02,2020-06-23,519
02,2020-06-24,519
02,2020-06-25,529
02,2020-06-26,531
02,2020-06-27,533
02,2020-06-28,533
02,2020-06-29,541
02,2020-06-30,547
02,2020-07-01,551
02,2020-07-02,561
02,2020-07-03,567
02,2020-07-04,573
02,2020-07-05,573
02,2020-07-06,581
02,2020-07-07,589
02,2020-07-08,595
02,2020-07-09,605
02,2020-07-10,615
02,2020-07-11,619
02,2020-07-12,621
02,2020-07-13,629
02,2020-07-14,629
02,2020-07-15,629
02,2020-07-16,633
02,2020-07-17,639
02,2020-07-18,641
02,2020-07-19,641
02,2020-07-20,645
02,2020-07-21,653
02,2020-07-22,667
02,2020-07-23,675
02,2020-07-24,683
02,2020-07-25,687
02,2020-07-26,687
02,2020-07-27,697
02,2020-07-28,705
02,2020-07-29,707
02,2020-07-30,707
02,2020-07-31,711
02,2020-08-01,721
02,2020-08-02,721
02,2020-08-03,749
02,2020-08-04,757
02,2020-08-05,763
02,2020-08-06,765
02,2020-08-07,777
02,2020-08-08,777
02,2020-08-09,779
02,2020-08-10,797
02,2020-08-11,815
02,2020-08-12,827
02,2020-08-13,831
02,2020-08-14,831
02,2020-08-15,831
02,2020-08-16,833
02,2020-08-17,847
02,2020-08-18,865
02,2020-08-19,891
02,2020-08-20,913
02,2020-08-21,939
02,2020-08-22,967
02,2020-08-23,969
02,2020-08-24,987
02,2020-08-25,1007
02,2020-08-26,1057
02,2020-08-27,1087
02,2020-08-28,1137
02,2020-08-29,1153
02,2020-08-30,1153
02,2020-08-31,1197
02,2020-09-01,1255
02,2020-09-02,1287
02,2020-09-03,1317
02,2020-09-04,1361
02,2020-09-05,1381
02,2020-09-06,1387
02,2020-09-07,1441
02,2020-09-08,1491
02,2020-09-09,1549
02,2020-09-10,1621
02,2020-09-11,1717
02,2020-09-12,1765
02,2020-09-13,1777
02,2020-09-14,1869
02,2020-09-15,1941
02,2020-09-16,2045
02,2020-09-17,2145
02,2020-09-18,2219
02,2020-09-19,2273
02,2020-09-20,2273
02,2020-09-21,2361
02,2020-09-22,2445
02,2020-09-23,2521
02,2020-09-24,2621
02,2020-09-25,2695
02,2020-09-26,2769
02,2020-09-27,2783
02,2020-09-28,2857
02,2020-09-29,2937
02,2020-09-30,3009
02,2020-10-01,3145
02,2020-10-02,3255
02,2020-10-03,3315
02,2020-10-04,3321
02,2020-10-05,3471
02,2020-10-06,3673
02,2020-10-07,3835
02,2020-10-08,4055
02,2020-10-09,4257
02,2020-10-10,4399
02,2020-10-11,4407
02,2020-10-12,4667
02,2020-10-13,5005
02,2020-10-14,5259
02,2020-10-15,5637
02,2020-10-16,6033
02,2020-10-17,6225
02,2020-10-18,6237
02,2020-10-19,6723
02,2020-10-20,7281
02,2020-10-21,7663
02,2020-10-22,8335
02,2020-10-23,8939
02,2020-10-24,9269
02,2020-10-25,9289
02,2020-10-26,9840
02,2020-10-27,10508
02,2020-10-28,11066
02,2020-10-29,11674
02,2020-10-30,12296
02,2020-10-31,12686
02,2020-11-01,12718
02,2020-11-02,13360
02,2020-11-03,13990
02,2020-11-04,14584
02,2020-11-05,15202
02,2020-11-06,15770
02,2020-11-07,16206
02,2020-11-08,16230
02,2020-11-09,16772
02,2020-11-10,17328
02,2020-11-11,17364
02,2020-11-12,17812
02,2020-11-13,18276
