,Confirmed,Deaths,Recovered
Province/Sta20te,0.0,0.0,0.0
1/22/2020,0.0,0.0,0.0
1/23/2020,0.0,0.0,0.0
1/24/2020,0.0,0.0,0.0
1/25/2020,0.0,0.0,0.0
1/26/2020,0.0,0.0,0.0
1/27/2020,0.0,0.0,0.0
1/28/2020,0.0,0.0,0.0
1/29/2020,0.0,0.0,0.0
1/30/2020,0.0,0.0,0.0
1/31/2020,2.0,0.0,0.0
2/1/2020,2.0,0.0,0.0
2/2/2020,2.0,0.0,0.0
2/3/2020,2.0,0.0,0.0
2/4/2020,2.0,0.0,0.0
2/5/2020,2.0,0.0,0.0
2/6/2020,2.0,0.0,0.0
2/7/2020,3.0,0.0,0.0
2/8/2020,3.0,0.0,0.0
2/9/2020,3.0,0.0,0.0
2/10/2020,3.0,0.0,0.0
2/11/2020,3.0,0.0,0.0
2/12/2020,3.0,0.0,0.0
2/13/2020,3.0,0.0,0.0
2/14/2020,3.0,0.0,0.0
2/15/2020,3.0,0.0,0.0
2/16/2020,3.0,0.0,0.0
2/17/2020,3.0,0.0,0.0
2/18/2020,3.0,0.0,0.0
2/19/2020,3.0,0.0,0.0
2/20/2020,3.0,0.0,0.0
2/21/2020,20.0,1.0,0.0
2/22/2020,62.0,2.0,1.0
2/23/2020,155.0,3.0,2.0
2/24/2020,229.0,7.0,1.0
2/25/2020,322.0,10.0,1.0
2/26/2020,453.0,12.0,3.0
2/27/2020,655.0,17.0,45.0
2/28/2020,888.0,21.0,46.0
2/29/2020,1128.0,29.0,46.0
3/1/2020,1694.0,34.0,83.0
3/2/2020,2036.0,52.0,149.0
3/3/2020,2502.0,79.0,160.0
3/4/2020,3089.0,107.0,276.0
3/5/2020,3858.0,148.0,414.0
3/6/2020,4636.0,197.0,523.0
3/7/2020,5883.0,233.0,589.0
3/8/2020,7375.0,366.0,622.0
3/9/2020,9172.0,463.0,724.0
3/10/2020,10149.0,631.0,724.0
3/11/2020,12462.0,827.0,1045.0
3/12/2020,15113.0,1016.0,1045.0
3/13/2020,17660.0,1266.0,1439.0
3/14/2020,21157.0,1441.0,1966.0
3/15/2020,24747.0,1809.0,2335.0
3/16/2020,27980.0,2158.0,2749.0
3/17/2020,31506.0,2503.0,2941.0
3/18/2020,35713.0,2978.0,4025.0
3/19/2020,41035.0,3405.0,4440.0
3/20/2020,47021.0,4032.0,4440.0
3/21/2020,53578.0,4825.0,6072.0
3/22/2020,59138.0,5476.0,7024.0
3/23/2020,63927.0,6077.0,7024.0
3/24/2020,69176.0,6820.0,8326.0
3/25/2020,74386.0,7503.0,9362.0
3/26/2020,80589.0,8215.0,10361.0
3/27/2020,86498.0,9134.0,10950.0
3/28/2020,92472.0,10023.0,12384.0
3/29/2020,97689.0,10779.0,13030.0
3/30/2020,101739.0,11591.0,14620.0
3/31/2020,105792.0,12428.0,15729.0
4/1/2020,110574.0,13155.0,16847.0
4/2/2020,115242.0,13915.0,18278.0
4/3/2020,119827.0,14681.0,19758.0
4/4/2020,124632.0,15362.0,20996.0
4/5/2020,128948.0,15887.0,21815.0
4/6/2020,132547.0,16523.0,22837.0
4/7/2020,135586.0,17127.0,24392.0
4/8/2020,139422.0,17669.0,26491.0
4/9/2020,143626.0,18279.0,28470.0
4/10/2020,147577.0,18849.0,30455.0
4/11/2020,152271.0,19468.0,32534.0
4/12/2020,156363.0,19899.0,34211.0
4/13/2020,159516.0,20465.0,35435.0
4/14/2020,162488.0,21067.0,37130.0
4/15/2020,165155.0,21645.0,38092.0
4/16/2020,168941.0,22170.0,40164.0
4/17/2020,172434.0,22745.0,42727.0
4/18/2020,175925.0,23227.0,44927.0
4/19/2020,178972.0,23660.0,47055.0
4/20/2020,181228.0,24114.0,48877.0
4/21/2020,183957.0,24648.0,51600.0
4/22/2020,187327.0,25085.0,54543.0
4/23/2020,189973.0,25549.0,57576.0
4/24/2020,192994.0,25969.0,60498.0
4/25/2020,195351.0,26384.0,63120.0
4/26/2020,197675.0,26644.0,64928.0
4/27/2020,199414.0,26977.0,66624.0
4/28/2020,201505.0,27359.0,68941.0
4/29/2020,203591.0,27682.0,71252.0
4/30/2020,205463.0,27967.0,75945.0
5/1/2020,207428.0,28236.0,78249.0
5/2/2020,209328.0,28710.0,79914.0
5/3/2020,210717.0,28884.0,81654.0
5/4/2020,211938.0,29079.0,82879.0
5/5/2020,213013.0,29315.0,85231.0
5/6/2020,214457.0,29684.0,93245.0
5/7/2020,215858.0,29958.0,96276.0
5/8/2020,217185.0,30201.0,99023.0
5/9/2020,218268.0,30395.0,103031.0
5/10/2020,219070.0,30560.0,105186.0
5/11/2020,219814.0,30739.0,106587.0
5/12/2020,221216.0,30911.0,109039.0
5/13/2020,222104.0,31106.0,112541.0
5/14/2020,223096.0,31368.0,115288.0
5/15/2020,223885.0,31610.0,120205.0
5/16/2020,224760.0,31763.0,122810.0
5/17/2020,225435.0,31908.0,125176.0
5/18/2020,225886.0,32007.0,127326.0
5/19/2020,226699.0,32169.0,129401.0
5/20/2020,227364.0,32330.0,132282.0
5/21/2020,228006.0,32486.0,134560.0
5/22/2020,228658.0,32616.0,136720.0
5/23/2020,229327.0,32735.0,138840.0
5/24/2020,229858.0,32785.0,140479.0
5/25/2020,230158.0,32877.0,141981.0
5/26/2020,230555.0,32955.0,144658.0
5/27/2020,231139.0,33072.0,147101.0
5/28/2020,231732.0,33142.0,150604.0
5/29/2020,232248.0,33229.0,152844.0
5/30/2020,232664.0,33340.0,155633.0
5/31/2020,232997.0,33415.0,157507.0
6/1/2020,233197.0,33475.0,158355.0
6/2/2020,233515.0,33530.0,160092.0
6/3/2020,233836.0,33601.0,160938.0
6/4/2020,234013.0,33689.0,161895.0
6/5/2020,234531.0,33774.0,163781.0
6/6/2020,234801.0,33846.0,165078.0
6/7/2020,234998.0,33899.0,165837.0
6/8/2020,235278.0,33964.0,166584.0
